date,close,volume
2018-04-25,7.97,14180
2018-04-26,7.99,17123
2018-04-27,7.95,15224
2018-04-30,7.88,16882
2018-05-01,8.09,22916
2018-05-02,7.97,8043
2018-05-03,8.0,16867
2018-05-04,7.92,20672
2018-05-07,8.08,16893
2018-05-08,8.04,22017
2018-05-09,7.99,17545
2018-05-10,8.14,33157
2018-05-11,8.14,11094
2018-05-14,8.14,24188
2018-05-15,7.97,20983
2018-05-16,8.03,26769
2018-05-17,7.95,19595
2018-05-18,7.64,61014
2018-05-21,7.79,24099
2018-05-22,7.79,16463
2018-05-23,7.84,26553
2018-05-24,7.7,45814
2018-05-25,7.75,6922
2018-05-29,7.75,10242
2018-05-30,7.75,9152
2018-05-31,7.69,8871
2018-06-01,7.45,32425
2018-06-04,7.68,17654
2018-06-05,7.61,21494
2018-06-06,7.66,22224
2018-06-07,7.6,29343
2018-06-08,7.67,20921
2018-06-11,7.66,56073
2018-06-12,7.58,12518
2018-06-13,7.52,26568
2018-06-14,7.4,8171
2018-06-15,7.15,30401
2018-06-18,7.14,12124
2018-06-19,7.11,14223
2018-06-20,7.33,9815
2018-06-21,7.22,17022
2018-06-22,7.16,14389
2018-06-25,7.06,15306
2018-06-26,7.05,10981
2018-06-27,7.05,34181
2018-06-28,7.2,35267
2018-06-29,7.38,20459
2018-07-02,7.29,17795
2018-07-03,7.52,13430
2018-07-05,7.4,16497
2018-07-06,7.43,2586
2018-07-09,7.42,18646
2018-07-10,7.2,15568
2018-07-11,7.18,12347
2018-07-12,7.2,19311
2018-07-13,7.2,25448
2018-07-16,7.33,3716
2018-07-17,7.32,10772
2018-07-18,7.39,5845
2018-07-19,7.39,8518
2018-07-20,7.49,18289
2018-07-23,7.64,1248
2018-07-24,7.68,7884
2018-07-25,7.8,4934
2018-07-26,7.63,5316
2018-07-27,7.6,6147
2018-07-30,7.48,6173
2018-07-31,7.46,3994
2018-08-01,7.47,14739
2018-08-02,7.83,32346
2018-08-03,8.02,43707
2018-08-06,8.13,11635
2018-08-07,8.09,25673
2018-08-08,7.97,3343
2018-08-09,8.08,2847
2018-08-10,8.2,11851
2018-08-13,8.12,27293
2018-08-14,8.03,16569
2018-08-15,7.81,23118
2018-08-16,8.48,26120
2018-08-17,8.44,29310
2018-08-20,8.26,41123
2018-08-21,8.33,19193
2018-08-22,8.74,17931
2018-08-23,8.61,14596
2018-08-24,8.76,11789
2018-08-27,8.8,32176
2018-08-28,8.98,42503
2018-08-29,9.05,50529
2018-08-30,9.02,34708
2018-08-31,9.01,11553
2018-09-04,9.21,24650
2018-09-05,9.1,40325
2018-09-06,9.05,38446
2018-09-07,9.35,32957
2018-09-10,9.68,25601
2018-09-11,9.75,26641
2018-09-12,9.65,15108
2018-09-13,9.49,31517
2018-09-14,8.51,57175
2018-09-17,8.01,49180
2018-09-18,7.89,41406
2018-09-19,7.68,40477
2018-09-20,8.03,17359
2018-09-21,7.89,67858
2018-09-24,8.04,8808
2018-09-25,8.11,27476
2018-09-26,8.1,6648
2018-09-27,7.9,11265
2018-09-28,8.28,9377
2018-10-01,8.2,10245
2018-10-02,8.04,9882
2018-10-03,8.18,5006
2018-10-04,7.82,15557
2018-10-05,7.75,32547
2018-10-08,7.74,13566
2018-10-09,7.75,12712
2018-10-10,7.74,7439
2018-10-11,7.77,1533
2018-10-12,7.95,9588
2018-10-15,8.0,3625
2018-10-16,7.87,279878
2018-10-17,7.8,208
2018-10-18,7.97,32324
2018-10-19,7.93,10261
2018-10-22,7.81,1851
2018-10-23,7.24,38644
2018-10-24,7.16,16490
2018-10-25,7.4,3781
2018-10-26,7.33,8256
2018-10-29,7.19,4428
2018-10-30,7.25,1892
2018-10-31,7.23,6185
2018-11-01,7.73,10925
2018-11-02,7.74,27681
2018-11-05,7.61,3761
2018-11-06,7.33,12239
2018-11-07,7.2,27908
2018-11-08,7.37,12467
2018-11-09,7.35,12512
2018-11-12,7.58,7635
2018-11-13,7.89,9033
2018-11-14,7.84,4038
2018-11-15,7.93,12960
2018-11-16,7.77,7889
2018-11-19,7.87,9303
2018-11-20,7.7,10764
2018-11-21,7.73,17672
2018-11-23,7.81,9983
2018-11-26,7.8,1565
2018-11-27,7.84,3608
2018-11-28,7.85,8735
2018-11-29,7.46,35415
2018-11-30,7.67,46500
2018-12-03,7.66,163916
2018-12-04,7.72,50763
2018-12-06,7.67,100655
2018-12-07,7.4,25790
2018-12-10,7.36,93832
2018-12-11,7.45,58576
2018-12-12,7.27,42467
2018-12-13,7.2,13167
2018-12-14,7.13,13228
2018-12-17,6.95,23567
2018-12-18,7.03,54146
2018-12-19,7.19,103628
2018-12-20,7.04,23688
2018-12-21,6.81,22485
2018-12-24,6.68,6183
2018-12-26,6.65,30298
2018-12-27,7.1,27660
2018-12-28,7.11,47324
2018-12-31,6.7,47241
2019-01-02,6.7,20153
2019-01-03,6.71,20256
2019-01-04,6.87,12057
2019-01-07,6.9,13649
2019-01-08,6.79,336
2019-01-09,6.9,14693
2019-01-10,6.85,12052
2019-01-11,6.89,15571
2019-01-14,6.85,13345
2019-01-15,6.76,12318
2019-01-16,6.75,19920
2019-01-17,6.78,20350
2019-01-18,6.81,22127
2019-01-22,6.81,9531
2019-01-23,6.76,2738
2019-01-24,6.86,22744
2019-01-25,6.9,12796
2019-01-28,7.0,57243
2019-01-29,7.04,42927
2019-01-30,7.05,18759
2019-01-31,7.04,17384
2019-02-01,7.05,11395
2019-02-04,7.16,9765
2019-02-05,7.24,9485
2019-02-06,7.25,545
2019-02-07,7.26,5083
2019-02-08,7.27,10038
2019-02-11,7.31,9605
2019-02-12,7.35,22973
2019-02-13,7.3,8325
2019-02-14,7.24,24886
2019-02-15,7.24,6606
2019-02-19,7.21,12171
2019-02-20,7.21,13640
2019-02-21,7.21,13518
2019-02-22,7.27,14023
2019-02-25,7.37,10969
2019-02-26,7.47,7522
2019-02-27,7.56,13238
2019-02-28,7.51,19793
2019-03-01,7.47,7101
2019-03-04,7.42,22218
2019-03-05,7.42,4396
2019-03-06,7.42,8575
2019-03-07,7.65,14219
2019-03-08,7.57,25022
2019-03-11,7.53,18443
2019-03-12,7.48,7583
2019-03-13,7.52,1239
2019-03-14,7.49,2193
2019-03-15,7.44,5070
2019-03-18,7.42,24620
2019-03-19,7.42,3186
2019-03-20,7.35,5259
2019-03-21,7.06,35398
2019-03-22,7.05,7584
2019-03-25,7.09,2056
2019-03-26,6.96,11525
2019-03-27,6.93,4185
2019-03-28,6.81,5927
2019-03-29,6.77,8586
2019-04-01,6.74,3506
2019-04-02,6.7,2547
2019-04-03,6.69,6209
2019-04-04,6.64,4482
2019-04-05,6.65,7485
2019-04-08,6.72,3187
2019-04-09,6.67,201905
2019-04-10,6.68,6531
2019-04-11,6.69,2201
2019-04-12,6.65,7775
2019-04-15,6.69,1379
2019-04-16,6.67,4572
2019-04-17,6.66,2902
2019-04-18,6.4,12670
2019-04-22,6.31,15087
2019-04-23,6.43,1730
2019-04-24,6.49,2019
2019-04-25,6.59,461
2019-04-26,6.58,2480
2019-04-29,6.58,2387
2019-04-30,6.48,918
2019-05-01,6.52,1559
2019-05-02,6.52,2672
2019-05-03,6.49,19132
2019-05-06,6.44,4295
2019-05-07,6.32,2347
2019-05-08,6.31,1023
2019-05-09,6.22,15997
2019-05-10,6.15,3250
2019-05-13,6.09,2212
2019-05-14,6.13,29485
2019-05-15,6.21,1924
2019-05-16,6.08,31536
2019-05-17,6.1,68967
2019-05-20,6.08,5111
2019-05-21,6.0,2703
2019-05-22,5.89,10765
2019-05-23,5.88,15222
2019-05-24,5.85,5860
2019-05-28,5.8,2747
2019-05-29,5.75,2779
2019-05-30,5.75,11442
2019-05-31,5.82,25826
2019-06-03,5.73,15453
2019-06-04,5.77,18618
2019-06-05,5.75,79722
2019-06-06,5.51,1299
2019-06-07,5.51,10892
2019-06-10,5.38,8958
2019-06-11,5.35,4307
2019-06-12,5.43,5124
2019-06-13,5.44,6608
2019-06-14,5.57,9899
2019-06-17,5.29,57780
2019-06-18,5.39,2145
2019-06-19,5.35,1514
2019-06-20,5.35,991
2019-06-21,5.11,14732
2019-06-24,5.3,22959
2019-06-25,5.3,2879
2019-06-26,5.2,1331
2019-06-27,5.1,9018
2019-06-28,5.2,11281
2019-07-01,5.33,39490
2019-07-02,5.3,2917
2019-07-03,5.25,25088
2019-07-05,5.25,10250
2019-07-08,5.29,1721
2019-07-09,5.25,2336
2019-07-10,5.3,7378
2019-07-11,5.25,62217
2019-07-12,5.19,73113
2019-07-15,5.15,39608
2019-07-16,5.11,60588
2019-07-17,5.05,29075
2019-07-18,5.01,4124
2019-07-19,5.03,11833
2019-07-22,5.05,4646
2019-07-23,5.06,4595
2019-07-24,5.13,4185
2019-07-25,5.06,2020
2019-07-26,5.15,3480
2019-07-29,5.05,3637
2019-07-30,5.1,1810
2019-07-31,5.12,2429
2019-08-01,5.01,9945
2019-08-02,4.96,8699
2019-08-05,4.69,34639
2019-08-06,4.71,946
2019-08-07,4.8,458
2019-08-08,4.93,11531
2019-08-09,4.8,81850
2019-08-12,4.55,7426
2019-08-13,4.47,78473
2019-08-14,4.5,48827
2019-08-15,4.25,138718
2019-08-16,4.15,84123
2019-08-19,4.27,21425
2019-08-20,4.45,8244
2019-08-21,4.48,6536
2019-08-22,4.31,5838
2019-08-23,4.23,656
2019-08-26,4.24,2242
2019-08-27,4.25,4929
2019-08-28,4.33,10242
2019-08-29,4.35,2520
2019-08-30,4.39,2114
2019-09-03,4.37,2916
2019-09-04,4.4,8320
2019-09-05,4.44,4915
2019-09-06,4.52,6759
2019-09-09,4.69,7662
2019-09-10,4.76,134046
2019-09-11,4.83,87000
2019-09-12,4.93,74226
2019-09-13,4.7,227528
2019-09-16,4.77,140374
2019-09-17,4.69,153619
2019-09-18,5.3,202907
2019-09-19,5.4,30776
2019-09-20,5.23,44030
2019-09-23,5.17,21249
2019-09-24,5.05,31284
2019-09-25,5.25,6141
2019-09-26,5.25,23047
2019-09-27,5.33,46272
2019-09-30,5.46,33637
2019-10-01,5.7,23678
2019-10-02,5.67,10813
2019-10-03,5.76,5725
2019-10-04,5.83,8178
2019-10-07,5.81,5098
2019-10-08,5.87,15739
2019-10-09,5.99,12159
2019-10-10,6.14,23327
2019-10-11,6.25,16504
2019-10-14,6.1,24718
2019-10-15,6.04,13247
2019-10-16,5.97,22746
2019-10-17,5.98,11992
2019-10-18,6.05,8239
2019-10-21,6.17,42816
2019-10-22,6.4,58764
2019-10-23,6.4,34025
2019-10-24,6.62,28086
2019-10-25,6.6,15786
2019-10-28,6.56,17363
2019-10-29,6.8,40611
2019-10-30,6.95,40125
2019-10-31,7.0,34406
2019-11-01,7.0,23871
2019-11-04,6.74,31469
2019-11-05,6.02,29800
2019-11-06,6.25,38246
2019-11-07,6.3,60456
2019-11-08,6.3,51345
2019-11-11,6.41,69394
2019-11-12,6.68,38408
2019-11-13,6.74,35593
2019-11-14,6.74,29932
2019-11-15,7.0,65667
2019-11-18,7.17,68882
2019-11-19,7.22,38079
2019-11-20,7.79,92820
2019-11-21,8.0,61844
2019-11-22,8.12,42674
2019-11-25,8.0,45589
2019-11-26,7.64,27064
2019-11-27,7.78,262947
2019-11-29,8.02,35940
2019-12-02,7.98,83024
2019-12-03,7.88,83381
2019-12-04,7.83,58923
2019-12-05,7.53,96532
2019-12-06,7.75,66526
2019-12-09,7.86,39648
2019-12-10,8.0,39101
2019-12-11,8.05,20655
2019-12-12,8.1,33000
2019-12-13,8.73,93036
2019-12-16,9.01,53844
2019-12-17,8.5,77910
2019-12-18,8.0,244877
2019-12-19,7.79,67371
2019-12-20,7.81,45906
2019-12-23,7.73,73023
2019-12-24,7.81,15194
2019-12-26,8.12,41551
2019-12-27,8.18,31817
2019-12-30,7.83,43652
2019-12-31,8.09,55983
2020-01-02,8.65,76292
2020-01-03,8.31,36915
2020-01-06,8.59,26592
2020-01-07,9.08,64621
2020-01-08,8.71,63002
2020-01-09,8.95,33543
2020-01-10,9.07,57767
2020-01-13,9.72,65219
2020-01-14,9.31,83536
2020-01-15,9.15,61922
2020-01-16,9.0,54291
2020-01-17,9.05,94618
2020-01-21,8.61,77016
2020-01-22,8.79,52257
2020-01-23,9.21,57351
2020-01-24,8.84,42411
2020-01-27,8.14,57013
2020-01-28,8.12,26528
2020-01-29,8.05,57767
2020-01-30,7.45,41920
2020-01-31,7.65,30013
2020-02-03,7.79,78408
2020-02-04,8.1,52026
2020-02-05,8.54,61912
2020-02-06,9.18,93830
2020-02-07,8.79,37516
2020-02-10,10.6,257172
2020-02-11,10.96,431109
2020-02-12,10.41,141731
2020-02-13,9.96,72272
2020-02-14,8.6,146006
