date,close,volume
2018-04-25,11.95,1198868
2018-04-26,12.03,886750
2018-04-27,12.12,991280
2018-04-30,12.13,1617788
2018-05-01,12.21,1384835
2018-05-02,13.84,4984342
2018-05-03,13.82,1944072
2018-05-04,14.18,1881518
2018-05-07,14.19,1861036
2018-05-08,14.27,1525468
2018-05-09,14.37,1262379
2018-05-10,14.62,1092622
2018-05-11,14.73,752807
2018-05-14,14.54,1571791
2018-05-15,14.6,1079675
2018-05-16,14.82,3869363
2018-05-17,14.91,1248942
2018-05-18,15.22,2152874
2018-05-21,15.39,4009682
2018-05-22,14.8,1525196
2018-05-23,14.59,1110560
2018-05-24,14.59,1522679
2018-05-25,14.22,1198065
2018-05-29,14.19,1603132
2018-05-30,14.45,1273764
2018-05-31,14.06,957399
2018-06-01,13.79,1830538
2018-06-04,13.75,1389170
2018-06-05,13.8,1204002
2018-06-06,13.88,777194
2018-06-07,14.07,728085
2018-06-08,13.81,895715
2018-06-11,13.71,1074893
2018-06-12,13.75,543873
2018-06-13,13.66,705849
2018-06-14,13.52,1208294
2018-06-15,13.5,1829693
2018-06-18,13.93,1125227
2018-06-19,13.76,889771
2018-06-20,13.77,783458
2018-06-21,13.2,1461379
2018-06-22,13.4,1750826
2018-06-25,13.09,1135805
2018-06-26,13.25,620844
2018-06-27,13.24,761385
2018-06-28,13.22,917687
2018-06-29,13.33,878908
2018-07-02,13.23,827135
2018-07-03,13.35,400100
2018-07-05,13.8,1234107
2018-07-06,13.78,885900
2018-07-09,14.2,1584599
2018-07-10,14.27,758513
2018-07-11,14.0,588287
2018-07-12,14.1,617976
2018-07-13,14.49,599337
2018-07-16,13.95,833108
2018-07-17,14.08,737564
2018-07-18,14.14,703407
2018-07-19,14.39,509622
2018-07-20,14.17,968965
2018-07-23,14.13,1110913
2018-07-24,13.95,1515779
2018-07-25,14.21,1005215
2018-07-26,14.41,1086894
2018-07-27,14.16,974901
2018-07-30,14.51,1077814
2018-07-31,14.95,1117908
2018-08-01,14.71,1600662
2018-08-02,16.83,2692935
2018-08-03,17.31,2796370
2018-08-06,17.22,2648355
2018-08-07,17.37,1647619
2018-08-08,17.05,1569578
2018-08-09,17.05,2177833
2018-08-10,17.25,2272481
2018-08-13,16.95,1412881
2018-08-14,17.23,989791
2018-08-15,16.84,1596956
2018-08-16,16.76,934427
2018-08-17,16.67,1211261
2018-08-20,16.89,1091109
2018-08-21,17.31,1218804
2018-08-22,17.44,896074
2018-08-23,17.1,1365264
2018-08-24,17.26,2188219
2018-08-27,16.98,1227933
2018-08-28,16.93,780850
2018-08-29,17.37,823675
2018-08-30,17.34,1006613
2018-08-31,17.19,621079
2018-09-04,16.86,1181150
2018-09-05,16.54,1157424
2018-09-06,15.87,2016533
2018-09-07,15.8,1362416
2018-09-10,15.95,946045
2018-09-11,16.2,696027
2018-09-12,16.09,943867
2018-09-13,15.84,1731715
2018-09-14,16.18,955149
2018-09-17,16.23,769351
2018-09-18,16.57,810314
2018-09-19,16.69,767524
2018-09-20,16.82,738618
