date,close,volume
2019-07-17,11.5,32598639
2019-07-18,11.05,9071589
2019-07-19,10.5,6048263
2019-07-22,10.05,5291276
2019-07-23,10.38,2765705
2019-07-24,10.2,2866765
2019-07-25,9.72,2186118
2019-07-26,10.08,2083287
2019-07-29,10.08,1375893
2019-07-30,10.02,985974
2019-07-31,9.77,874756
2019-08-01,9.33,2653070
2019-08-02,8.8,3626527
2019-08-05,8.18,3100059
2019-08-06,7.84,2023488
2019-08-07,8.39,1687005
2019-08-08,9.22,2626187
2019-08-09,9.56,2143508
2019-08-12,9.93,4430688
2019-08-13,8.84,4086825
2019-08-14,8.14,2518599
2019-08-15,8.31,2182011
2019-08-16,8.7,2960957
2019-08-19,8.45,4032774
2019-08-20,8.31,2197597
2019-08-21,8.22,2532706
2019-08-22,8.2,1530176
2019-08-23,8.07,2366277
2019-08-26,8.35,450483
2019-08-27,8.64,1736765
2019-08-28,8.82,646078
2019-08-29,9.2,1703838
2019-08-30,9.46,795526
2019-09-03,9.35,2846725
2019-09-04,9.98,1848045
2019-09-05,9.97,1139308
2019-09-06,9.96,866957
2019-09-09,9.78,1673799
2019-09-10,9.75,1048148
2019-09-11,9.57,970277
2019-09-12,9.39,562073
2019-09-13,9.5,1264017
2019-09-16,9.33,604440
2019-09-17,9.02,1078881
2019-09-18,9.04,763257
2019-09-19,9.16,1011815
2019-09-20,9.5,1170638
2019-09-23,9.06,774129
2019-09-24,8.78,1306280
2019-09-25,8.75,1337688
2019-09-26,8.61,725226
2019-09-27,8.19,2870022
2019-09-30,8.19,1168824
2019-10-01,8.19,834624
2019-10-02,8.12,1358742
2019-10-03,8.24,1275843
2019-10-04,8.51,340947
2019-10-07,8.11,708641
2019-10-08,7.93,1082030
2019-10-09,8.01,1198088
2019-10-10,8.11,1497817
2019-10-11,8.53,734411
2019-10-14,7.66,3814388
2019-10-15,7.47,2341529
2019-10-16,7.12,3140089
2019-10-17,7.37,1503967
2019-10-18,7.54,1771529
2019-10-21,7.57,1389449
2019-10-22,7.33,1361464
2019-10-23,7.81,1843732
2019-10-24,7.75,947679
2019-10-25,7.9,891314
2019-10-28,7.88,559057
2019-10-29,7.76,877996
2019-10-30,7.91,421722
2019-10-31,7.77,456895
2019-11-01,7.76,774865
2019-11-04,8.28,896289
2019-11-05,8.25,553102
2019-11-06,7.8,872537
2019-11-07,7.98,499906
2019-11-08,8.03,709149
2019-11-11,7.78,538135
2019-11-12,7.39,857465
2019-11-13,7.31,452821
2019-11-14,7.22,744586
2019-11-15,7.52,578307
2019-11-18,7.65,431494
2019-11-19,7.66,392198
2019-11-20,7.3,630448
2019-11-21,7.34,465209
2019-11-22,7.59,349490
2019-11-25,7.7,730461
2019-11-26,7.65,1119745
2019-11-27,7.84,1681191
2019-11-29,7.46,905052
2019-12-02,7.51,3181072
2019-12-03,7.2,2827057
2019-12-04,7.3,918656
2019-12-05,7.16,988891
2019-12-06,7.18,621513
2019-12-09,7.12,1279558
2019-12-10,7.32,991737
2019-12-11,7.71,1348887
2019-12-12,8.09,2626103
2019-12-13,8.03,3503290
2019-12-16,7.63,2309716
2019-12-17,7.62,1138178
2019-12-18,7.7,708106
2019-12-19,7.74,1774755
2019-12-20,7.87,3906347
2019-12-23,8.06,1692454
2019-12-24,8.08,1452606
2019-12-26,8.5,1741928
2019-12-27,8.15,1750748
2019-12-30,8.36,1693735
2019-12-31,8.47,1276684
2020-01-02,8.85,2560071
2020-01-03,8.78,1687551
2020-01-06,8.98,1532765
2020-01-07,8.99,2187086
2020-01-08,9.36,1926358
2020-01-09,9.21,2577946
2020-01-10,9.35,2109011
2020-01-13,9.36,2714027
2020-01-14,8.92,2372485
2020-01-15,8.94,1994964
2020-01-16,9.11,1312138
2020-01-17,9.37,1387048
2020-01-21,8.59,2908645
2020-01-22,7.6,4218140
2020-01-23,7.93,4015298
2020-01-24,7.72,2985796
2020-01-27,7.6,4362841
2020-01-28,7.99,2861511
2020-01-29,8.0,2019454
2020-01-30,8.08,2821108
2020-01-31,8.09,1928164
2020-02-03,8.25,1920872
2020-02-04,8.14,1604060
2020-02-05,8.02,1149259
2020-02-06,8.28,1220876
2020-02-07,8.59,1515687
2020-02-10,8.85,1102179
2020-02-11,8.5,1545694
2020-02-12,8.53,1452272
2020-02-13,8.45,634031
2020-02-14,8.76,1265694
2020-02-18,8.33,984843
2020-02-19,8.09,847333
2020-02-20,8.16,1351211
2020-02-21,8.07,1051646
2020-02-24,7.9,785332
2020-02-25,7.9,558899
2020-02-26,7.98,681899
2020-02-27,7.79,1614450
2020-02-28,7.77,1168557
2020-03-02,7.8,705430
2020-03-03,7.98,1661288
2020-03-04,8.16,484227
2020-03-05,8.02,394118
2020-03-06,7.56,1016349
2020-03-09,7.45,1570701
2020-03-10,7.6,562913
2020-03-11,7.29,1100634
2020-03-12,6.91,1278347
2020-03-13,7.71,1265328
2020-03-16,7.37,924980
2020-03-17,7.87,772268
2020-03-18,7.73,1292629
2020-03-19,8.04,1968441
2020-03-20,7.25,1652254
2020-03-23,7.0,599739
2020-03-24,6.69,3270822
2020-03-25,6.67,2313311
2020-03-26,6.86,2092285
2020-03-27,6.61,2021802
2020-03-30,6.24,2013426
2020-03-31,6.41,1654015
2020-04-01,6.27,1187230
2020-04-02,6.55,1522532
2020-04-03,7.16,3510427
2020-04-06,7.47,1901909
