date,close,volume
2018-04-25,14.5,8038
2018-04-26,15.0,2440
2018-04-27,14.0,6155
2018-04-30,15.0,12878
2018-05-01,15.5,10875
2018-05-02,16.0,10424
2018-05-03,16.5,9698
2018-05-04,16.5,6615
2018-05-07,18.0,8561
2018-05-08,17.5,2560
2018-05-09,18.0,4036
2018-05-10,18.5,4851
2018-05-11,19.0,7425
2018-05-14,19.5,11076
2018-05-15,18.0,6239
2018-05-16,17.0,29571
2018-05-17,17.5,18498
2018-05-18,17.0,3435
2018-05-21,16.75,2435
2018-05-22,17.5,3864
2018-05-23,17.0,2745
2018-05-24,16.5,2409
2018-05-25,16.5,2325
2018-05-29,15.0,4416
2018-05-30,16.0,5824
2018-05-31,16.5,6004
2018-06-01,17.0,2668
2018-06-04,16.5,5601
2018-06-05,17.0,3864
2018-06-06,17.0,5899
2018-06-07,17.5,3234
2018-06-08,16.5,4377
2018-06-11,17.25,6970
2018-06-12,17.0,3841
2018-06-13,17.0,3482
2018-06-14,17.0,3053
2018-06-15,16.5,3365
2018-06-18,16.75,6475
2018-06-19,16.5,3070
2018-06-20,16.75,7465
2018-06-21,17.0,1368
2018-06-22,16.75,3887
2018-06-25,16.5,1652
2018-06-26,16.5,2756
2018-06-27,16.75,2028
2018-06-28,16.5,7452
2018-06-29,15.5,9523
2018-07-02,15.5,2056
2018-07-03,16.0,961
2018-07-05,16.5,2184
2018-07-06,16.25,3574
2018-07-09,16.0,1086
2018-07-10,16.5,3258
2018-07-11,16.3,3205
2018-07-12,16.5,746
2018-07-13,16.25,742
2018-07-16,16.25,1010
2018-07-17,16.5,1266
2018-07-18,16.0,3915
2018-07-19,16.25,1323
2018-07-20,16.0,1212
2018-07-23,16.5,3931
2018-07-24,16.5,1994
2018-07-25,17.0,7484
2018-07-26,16.5,6373
2018-07-27,17.0,5284
2018-07-30,16.5,8342
2018-07-31,16.5,4484
2018-08-01,16.25,4794
2018-08-02,17.75,30276
2018-08-03,17.5,7554
2018-08-06,18.5,14173
2018-08-07,18.45,4699
2018-08-08,18.5,8465
2018-08-09,18.5,4488
2018-08-10,18.5,13057
2018-08-13,19.0,5130
2018-08-14,18.75,8438
2018-08-15,19.0,8319
2018-08-16,18.0,8752
