date,close,volume
2018-04-25,14.67,8368
2018-04-26,14.93,5025
2018-04-27,14.82,5052
2018-04-30,14.76,9902
2018-05-01,14.81,12191
2018-05-02,14.8,12393
2018-05-03,14.82,12445
2018-05-04,15.03,5151
2018-05-07,15.06,13064
2018-05-08,15.03,10982
2018-05-09,15.18,10241
2018-05-10,15.38,20566
2018-05-11,15.39,9174
2018-05-14,15.45,33523
2018-05-15,15.28,6588
2018-05-16,15.46,5713
2018-05-17,15.41,8642
2018-05-18,15.38,11783
2018-05-21,15.44,9090
2018-05-22,15.49,25253
2018-05-23,15.38,16947
2018-05-24,15.32,12660
2018-05-25,15.27,4933
2018-05-29,15.05,13575
2018-05-30,15.18,10390
2018-05-31,15.12,17991
2018-06-01,15.36,8289
2018-06-04,15.5,8565
2018-06-05,15.57,5016
2018-06-06,15.71,12307
2018-06-07,15.68,12235
2018-06-08,15.62,9400
2018-06-11,15.66,25877
2018-06-12,15.56,8987
2018-06-13,15.59,4554
2018-06-14,15.57,11587
2018-06-15,15.45,12700
2018-06-18,15.44,12177
2018-06-19,15.2,10464
2018-06-20,15.23,15448
2018-06-21,15.0,6871
2018-06-22,14.99,13184
2018-06-25,14.59,11704
2018-06-26,14.7,2501
2018-06-27,14.59,16333
2018-06-28,14.39,1959
2018-06-29,14.51,5514
2018-07-02,14.45,7440
2018-07-03,14.37,3268
2018-07-05,14.56,782
2018-07-06,14.7,4390
2018-07-09,14.87,5856
2018-07-10,14.97,7509
2018-07-11,14.67,3826
2018-07-12,14.83,1437
2018-07-13,14.84,3889
2018-07-16,14.75,8729
2018-07-17,14.89,5041
2018-07-18,14.97,16041
2018-07-19,14.86,5363
2018-07-20,14.79,3111
2018-07-23,14.75,3655
2018-07-24,14.87,4038
2018-07-25,14.79,4979
2018-07-26,14.97,2258
2018-07-27,14.86,5429
2018-07-30,14.78,5330
2018-07-31,14.83,1031
2018-08-01,14.71,2354
2018-08-02,14.78,8306
2018-08-03,14.81,832
2018-08-06,14.85,1825
2018-08-07,14.95,1266
2018-08-08,14.94,2880
2018-08-09,14.88,998
2018-08-10,14.6,1244
2018-08-13,14.48,8765
2018-08-14,14.57,1749
2018-08-15,14.27,3300
2018-08-16,14.34,2199
2018-08-17,14.38,6228
2018-08-20,14.5,7201
2018-08-21,14.64,2145
2018-08-22,14.6,1636
2018-08-23,14.55,2488
2018-08-24,14.72,4901
2018-08-27,14.94,3549
2018-08-28,15.01,3061
2018-08-29,15.04,10355
2018-08-30,14.91,5865
2018-08-31,14.82,2966
2018-09-04,14.74,2696
2018-09-05,14.63,4149
2018-09-06,14.54,4744
2018-09-07,14.41,3258
2018-09-10,14.48,3510
2018-09-11,14.4,6932
2018-09-12,14.42,3475
2018-09-13,14.61,3417
2018-09-14,14.67,2978
2018-09-17,14.63,2516
2018-09-18,14.67,2135
2018-09-19,14.81,2164
2018-09-20,15.01,8211
2018-09-21,15.04,2108
2018-09-24,14.91,2538
2018-09-25,14.84,4866
2018-09-26,14.78,6216
2018-09-27,14.78,3375
2018-09-28,14.73,2048
2018-10-01,14.85,3278
2018-10-02,14.84,1694
2018-10-03,14.81,3076
2018-10-04,14.54,1472
2018-10-05,14.34,3855
2018-10-08,14.26,6016
2018-10-09,14.12,6043
2018-10-10,13.69,7210
2018-10-11,13.5,7977
2018-10-12,13.49,2564
2018-10-15,13.48,29400
2018-10-16,13.74,64876
2018-10-17,13.71,3677
2018-10-18,13.45,10367
2018-10-19,13.39,1086
2018-10-22,13.44,5632
2018-10-23,13.33,28600
2018-10-24,12.87,22237
2018-10-25,13.01,54175
2018-10-26,12.83,82798
2018-10-29,12.8,6725
2018-10-30,12.86,9868
2018-10-31,13.24,2363
2018-11-01,13.5,2784
2018-11-02,13.46,3300
2018-11-05,13.36,1187
2018-11-06,13.56,1579
2018-11-07,13.71,2860
2018-11-08,13.63,3626
2018-11-09,13.36,2265
2018-11-12,13.06,10657
2018-11-13,13.09,1278
2018-11-14,13.05,4354
2018-11-15,13.19,1738
2018-11-16,13.22,1064
2018-11-19,12.99,9234
2018-11-20,12.69,6473
2018-11-21,12.93,1668
2018-11-23,12.93,56
2018-11-26,13.01,3325
2018-11-27,12.98,1206
2018-11-28,13.18,2284
2018-11-29,13.21,1329
2018-11-30,13.25,1627
2018-12-03,13.54,2234
2018-12-04,13.14,3561
2018-12-06,12.83,4557
2018-12-07,12.53,6192
2018-12-10,12.48,42056
2018-12-11,12.53,8235
2018-12-12,12.71,15878
2018-12-13,12.64,5511
2018-12-14,12.53,974
2018-12-17,12.14,2393
2018-12-18,12.31,3969
2018-12-19,12.31,337
2018-12-20,11.85,4337
2018-12-21,11.66,3894
2018-12-24,11.45,10352
2018-12-26,11.73,13813
2018-12-27,11.6,5987
2018-12-28,11.65,3927
2018-12-31,11.66,6236
2019-01-02,11.76,4297
2019-01-03,11.39,2814
2019-01-04,11.84,13082
2019-01-07,12.1,2111
2019-01-08,12.08,4693
2019-01-09,12.34,5573
2019-01-10,12.32,2689
2019-01-11,12.41,1859
2019-01-14,12.33,1637
2019-01-15,12.35,2382
2019-01-16,12.45,6988
2019-01-17,12.54,4604
2019-01-18,12.7,3909
2019-01-22,12.35,6381
2019-01-23,12.31,2893
2019-01-24,12.57,3817
2019-01-25,12.83,4419
2019-01-28,12.62,2216
2019-01-29,12.59,4610
2019-01-30,12.79,6068
2019-01-31,12.9,3320
2019-02-01,12.95,2931
2019-02-04,13.02,1981
2019-02-05,13.09,2422
2019-02-06,13.17,4072
2019-02-07,12.83,2111
2019-02-08,12.69,625
2019-02-11,12.77,2341
2019-02-12,12.98,3583
2019-02-13,13.05,7020
2019-02-14,13.07,1027
2019-02-15,13.23,2501
2019-02-19,13.28,3327
2019-02-20,13.42,3108
2019-02-21,13.35,4376
2019-02-22,13.49,4006
2019-02-25,13.67,22228
2019-02-26,13.62,4250
2019-02-27,13.57,3857
2019-02-28,13.45,6402
2019-03-01,13.49,2674
2019-03-04,13.48,4978
2019-03-05,13.4,11925
2019-03-06,13.23,4360
2019-03-07,12.98,16937
2019-03-08,12.91,2816
2019-03-11,13.19,2548
2019-03-12,13.21,2514
2019-03-13,13.26,207
2019-03-14,13.19,4683
2019-03-15,13.26,4534
2019-03-18,13.38,2678
2019-03-19,13.43,12911
2019-03-20,13.4,18009
2019-03-21,13.59,4209
2019-03-22,13.2,6956
2019-03-25,13.05,4631
2019-03-26,13.16,7376
2019-03-27,13.11,6430
2019-03-28,13.14,1966
2019-03-29,13.22,7772
2019-04-01,13.54,3565
2019-04-02,13.63,3050
2019-04-03,13.79,11006
2019-04-04,13.92,11558
2019-04-05,13.93,14449
2019-04-08,14.0,9508
2019-04-09,13.86,25272
2019-04-10,13.94,4515
2019-04-11,13.92,2079
2019-04-12,14.07,8264
2019-04-15,14.02,43375
2019-04-16,14.21,22756
2019-04-17,14.38,10664
2019-04-18,14.4,6230
2019-04-22,14.34,8454
2019-04-23,14.3,9642
2019-04-24,14.28,13529
2019-04-25,14.01,52676
2019-04-26,14.0,3547
2019-04-29,14.06,11771
2019-04-30,13.98,3147
2019-05-01,13.92,7268
2019-05-02,13.91,2790
2019-05-03,14.18,9683
2019-05-06,13.98,5058
2019-05-07,13.6,8183
2019-05-08,13.66,3691
2019-05-09,13.38,7816
2019-05-10,13.38,4703
2019-05-13,12.9,19357
2019-05-14,13.07,1894
2019-05-15,13.21,5306
2019-05-16,13.09,18692
2019-05-17,12.84,18937
2019-05-20,12.55,16920
2019-05-21,12.8,2802
2019-05-22,12.56,13012
2019-05-23,12.29,8656
2019-05-24,12.37,6569
2019-05-28,12.38,15767
2019-05-29,12.29,11037
2019-05-30,12.35,17725
2019-05-31,12.17,8306
2019-06-03,12.16,9767
2019-06-04,12.59,1807
2019-06-05,12.58,4177
2019-06-06,12.68,1432
2019-06-07,12.84,5206
2019-06-10,13.01,11454
2019-06-11,13.08,11249
2019-06-12,12.96,4084
2019-06-13,12.96,2516
2019-06-14,12.82,5467
2019-06-17,12.85,3006
2019-06-18,13.13,7638
2019-06-19,13.17,2528
2019-06-20,13.34,11742
2019-06-21,13.27,2913
2019-06-24,13.25,4710
2019-06-25,13.11,6640
2019-06-26,13.34,2727
2019-06-27,13.34,2807
2019-06-28,13.34,10776
2019-07-01,13.44,13822
2019-07-02,13.41,11604
2019-07-03,13.42,7716
2019-07-05,13.39,9228
