date,close,volume
2018-09-07,20.03,1499
2018-09-10,20.03,0
2018-09-11,20.03,0
2018-09-12,19.98,401
2018-09-13,20.13,402860
2018-09-14,20.2,31175
2018-09-17,20.08,1106
2018-09-18,20.13,12740
2018-09-19,20.11,300
2018-09-20,20.14,2276
2018-09-21,20.15,186
2018-09-24,20.04,509
2018-09-25,20.02,2138
2018-09-26,19.91,26151
2018-09-27,19.91,151911
2018-09-28,19.97,4322
2018-10-01,19.95,11562
2018-10-02,19.95,9948
2018-10-03,19.95,4827
2018-10-04,19.95,0
2018-10-05,19.82,4454
2018-10-08,19.72,4714
2018-10-09,19.79,2553
2018-10-10,19.33,1887
2018-10-11,18.97,620
2018-10-12,18.97,0
2018-10-15,18.95,357
2018-10-16,19.25,5494
2018-10-17,19.31,356
2018-10-18,19.13,4742
2018-10-19,19.1,3371
2018-10-22,19.1,1467
2018-10-23,18.68,320
2018-10-24,18.87,412
2018-10-25,18.75,101
2018-10-26,18.52,132
2018-10-29,18.84,704
2018-10-30,18.84,91
2018-10-31,19.13,5836
2018-11-01,19.02,11329
2018-11-02,19.02,0
2018-11-05,19.19,249
2018-11-06,19.3,415
2018-11-07,19.59,226
2018-11-08,19.58,420
2018-11-09,19.58,142
2018-11-12,19.58,418
2018-11-13,19.42,1879
2018-11-14,19.36,487
2018-11-15,19.28,3240
2018-11-16,19.28,0
2018-11-19,19.51,958
2018-11-20,19.14,2710
2018-11-21,19.22,1086
2018-11-23,19.22,0
2018-11-26,19.26,392
2018-11-27,19.24,8525
2018-11-28,19.52,7262
2018-11-29,19.57,7433
2018-11-30,19.72,5000
2018-12-03,19.72,6079
2018-12-04,19.36,23794
2018-12-06,19.28,10185
2018-12-07,19.09,2432
2018-12-10,18.75,381
2018-12-11,19.09,258017
2018-12-12,19.15,6393
2018-12-13,19.03,414
2018-12-14,18.82,640
2018-12-17,18.44,6588
2018-12-18,18.25,1741
2018-12-19,18.38,437
2018-12-20,17.88,1335
2018-12-21,17.85,4259
2018-12-24,17.33,3144
2018-12-26,17.65,10764
2018-12-27,17.54,3620
2018-12-28,17.83,468
