date,close,volume
2018-04-25,36.7,13504
2018-04-26,36.74,28279
2018-04-27,36.64,12797
2018-04-30,36.65,16248
2018-05-01,36.61,22040
2018-05-02,36.6,13056
2018-05-03,36.61,14014
2018-05-04,36.8,13751
2018-05-07,37.22,13842
2018-05-08,37.56,13545
2018-05-09,36.78,12199
2018-05-10,37.54,33510
2018-05-11,38.28,13327
2018-05-14,39.18,10664
2018-05-15,38.15,12699
2018-05-16,37.89,24135
2018-05-17,38.09,13872
2018-05-18,37.86,16205
2018-05-21,38.02,10271
2018-05-22,37.66,18596
2018-05-23,37.1,17892
2018-05-24,36.67,17753
2018-05-25,36.66,16984
2018-05-29,37.08,21358
2018-05-30,36.45,23270
2018-05-31,36.33,29650
2018-06-01,36.99,16140
2018-06-04,37.05,20890
2018-06-05,37.21,16477
2018-06-06,37.23,18148
2018-06-07,36.92,17240
2018-06-08,37.24,16300
2018-06-11,36.91,21300
2018-06-12,36.94,24533
2018-06-13,36.77,31899
2018-06-14,36.27,10883
2018-06-15,35.88,51360
2018-06-18,35.76,35159
2018-06-19,34.93,105638
2018-06-20,34.66,38018
2018-06-21,34.19,20062
2018-06-22,33.91,22753
2018-06-25,33.52,25649
2018-06-26,33.66,48320
2018-06-27,33.41,43367
2018-06-28,33.6,16337
2018-06-29,34.1,33778
2018-07-02,33.64,39947
2018-07-03,33.82,11379
2018-07-05,34.54,17682
2018-07-06,34.8,30443
2018-07-09,35.19,24489
2018-07-10,34.78,25204
2018-07-11,34.58,12915
2018-07-12,34.4,13140
2018-07-13,34.73,13223
2018-07-16,34.58,26904
2018-07-17,34.96,26702
2018-07-18,35.52,18484
2018-07-19,35.38,29289
2018-07-20,35.38,19730
2018-07-23,35.55,13902
2018-07-24,35.82,23543
2018-07-25,36.22,17157
2018-07-26,36.72,12262
2018-07-27,36.58,20380
2018-07-30,35.89,15646
2018-07-31,36.31,21196
2018-08-01,36.22,20587
2018-08-02,35.55,17957
2018-08-03,35.31,15822
2018-08-06,35.16,11281
2018-08-07,35.92,15784
2018-08-08,34.75,20941
2018-08-09,32.69,17125
2018-08-10,31.58,22882
2018-08-13,30.62,35076
2018-08-14,30.8,53313
2018-08-15,30.8,28263
2018-08-16,30.89,39406
2018-08-17,31.36,18450
2018-08-20,31.35,30384
2018-08-21,31.38,30979
2018-08-22,31.74,22070
2018-08-23,32.02,22346
2018-08-24,31.73,16594
2018-08-27,31.69,65688
2018-08-28,32.0,21271
2018-08-29,30.99,17463
2018-08-30,30.28,31536
2018-08-31,30.39,26766
2018-09-04,29.48,20769
2018-09-05,29.43,32862
2018-09-06,29.34,22703
2018-09-07,28.55,21799
2018-09-10,28.42,38955
2018-09-11,28.36,31288
2018-09-12,28.26,37255
2018-09-13,28.65,193623
2018-09-14,28.9,352733
2018-09-17,29.06,40761
2018-09-18,29.43,43700
2018-09-19,29.5,22973
2018-09-20,29.3,31706
2018-09-21,29.95,26025
2018-09-24,29.79,34185
2018-09-25,30.43,42078
2018-09-26,30.07,23521
2018-09-27,29.28,35570
2018-09-28,29.53,25257
2018-10-01,30.01,34719
