date,close,volume
2019-12-27,25.1,1206368
2019-12-30,24.93,100
2019-12-31,25.05,51615
2020-01-02,25.11,161
2020-01-03,25.14,1242
2020-01-06,25.21,562
2020-01-07,25.3,2776
2020-01-08,25.36,1993
2020-01-09,25.57,2798
2020-01-10,25.52,2222
2020-01-13,25.85,24443
2020-01-14,25.7,7523
2020-01-15,25.77,400
2020-01-16,25.77,0
2020-01-17,26.1,9158
2020-01-21,26.16,1823
2020-01-22,26.35,200
2020-01-23,26.42,1068
2020-01-24,26.35,174
2020-01-27,26.11,9276
2020-01-28,26.37,232
2020-01-29,26.37,0
2020-01-30,26.52,100
2020-01-31,26.13,6169
2020-02-03,26.36,5730
2020-02-04,26.67,3837
2020-02-05,26.53,100
2020-02-06,26.48,2148
2020-02-07,26.38,141
2020-02-10,26.63,1086
2020-02-11,26.63,0
2020-02-12,26.96,11653
2020-02-13,27.11,10942
2020-02-14,27.38,100
2020-02-18,27.43,6849
2020-02-19,27.43,0
2020-02-20,27.35,11072
2020-02-21,27.35,0
2020-02-24,26.27,30782
2020-02-25,25.49,7486
2020-02-26,25.49,113
2020-02-27,24.4,3807
2020-02-28,24.02,17542
2020-03-02,25.05,14860
2020-03-03,24.6,4141
2020-03-04,25.66,9097
2020-03-05,25.04,3148
2020-03-06,24.51,9486
2020-03-09,22.76,27469
2020-03-10,22.92,2819
2020-03-11,22.22,373
2020-03-12,20.22,7099
2020-03-13,21.3,34861
2020-03-16,18.62,1746
2020-03-17,19.17,100
2020-03-18,18.79,11208
2020-03-19,19.15,100
2020-03-20,18.74,24037
2020-03-23,18.49,40065
2020-03-24,18.65,110
2020-03-25,18.65,0
2020-03-26,18.52,25977
2020-03-27,18.48,4646
2020-03-30,18.5,139490
2020-03-31,18.54,200
2020-04-01,18.49,3331
2020-04-02,18.44,7008
2020-04-03,18.44,0
2020-04-06,18.52,2206
2020-04-07,18.48,100
2020-04-08,18.48,200
2020-04-09,18.48,1900
2020-04-13,18.48,100
2020-04-14,18.45,1561
2020-04-15,18.48,110
2020-04-16,18.48,8
2020-04-17,18.47,5944
2020-04-20,18.48,1600
2020-04-21,18.53,10906
2020-04-22,18.53,0
2020-04-23,18.53,265
2020-04-24,18.5,2513
2020-04-27,18.52,3708
2020-04-28,18.52,1
2020-04-29,18.47,1416
2020-04-30,18.45,641
2020-05-01,18.24,1939
2020-05-04,18.38,5390
2020-05-05,18.38,0
2020-05-06,18.65,6171
2020-05-07,18.65,0
2020-05-08,18.65,0
2020-05-11,19.0,6823
2020-05-12,18.73,17220
2020-05-13,18.43,181075
2020-05-14,18.53,2569
2020-05-15,18.53,0
2020-05-18,19.11,5926
2020-05-19,19.01,17507
2020-05-20,19.16,1548
2020-05-21,19.1,1064
2020-05-22,19.21,8553
2020-05-26,19.08,1600
2020-05-27,19.06,15803
2020-05-28,19.2,141704
2020-05-29,19.66,17593
2020-06-01,19.62,26443
2020-06-02,19.82,80615
2020-06-03,20.04,35481
2020-06-04,19.68,40902
2020-06-05,20.02,39487
2020-06-08,20.07,71934
2020-06-09,19.96,21429
2020-06-10,20.21,12396
2020-06-11,19.13,4022
2020-06-12,19.27,2533
2020-06-15,19.56,3697
2020-06-16,19.89,23023
2020-06-17,20.05,19644
2020-06-18,20.06,817
2020-06-19,20.07,3551
2020-06-22,20.07,89
2020-06-23,20.49,29906
2020-06-24,20.49,0
2020-06-25,20.21,3355
2020-06-26,19.94,956
2020-06-29,20.06,3195
2020-06-30,20.41,1801
2020-07-01,20.67,22910
2020-07-02,20.79,7377
2020-07-06,21.05,950
2020-07-07,20.87,9383
2020-07-08,21.17,5897
2020-07-09,21.36,900
2020-07-10,21.22,4833
2020-07-13,20.65,4154
2020-07-14,21.03,1600
2020-07-15,21.3,2857
2020-07-16,21.18,4833
2020-07-17,21.42,4413
2020-07-20,21.84,3946
2020-07-21,21.74,24294
2020-07-22,21.93,8041
2020-07-23,21.6,10145
2020-07-24,21.44,3743
2020-07-27,21.7,2266
2020-07-28,21.43,744
2020-07-29,21.96,1758
2020-07-30,22.2,2129
2020-07-31,22.23,811
2020-08-03,22.74,634
2020-08-04,22.88,1716
2020-08-05,23.1,2892
2020-08-06,23.1,400
2020-08-07,23.19,1626
2020-08-10,22.99,9424
2020-08-11,22.56,1442
2020-08-12,22.98,207
2020-08-13,22.98,2
2020-08-14,23.18,201
