date,close,volume
2018-04-25,27.9,819949
2018-04-26,27.55,1013070
2018-04-27,27.4,426622
2018-04-30,27.3,676220
2018-05-01,26.45,475433
2018-05-02,26.05,393418
2018-05-03,25.95,414259
2018-05-04,26.15,428101
2018-05-07,26.65,620044
2018-05-08,27.5,453684
2018-05-09,28.0,315474
2018-05-10,27.95,289996
2018-05-11,28.1,354295
2018-05-14,27.7,219053
2018-05-15,27.4,214243
2018-05-16,27.2,240276
2018-05-17,27.35,292871
2018-05-18,27.5,265515
2018-05-21,28.0,247345
2018-05-22,27.5,203460
2018-05-23,27.65,150938
2018-05-24,27.7,241122
2018-05-25,27.75,207640
2018-05-29,27.55,278953
2018-05-30,27.85,267319
2018-05-31,27.8,258166
2018-06-01,28.45,266702
2018-06-04,28.35,337797
2018-06-05,28.35,240588
2018-06-06,28.1,278381
2018-06-07,27.85,450797
2018-06-08,28.6,387293
2018-06-11,29.7,391041
2018-06-12,30.2,343650
2018-06-13,30.8,573611
2018-06-14,30.45,214711
2018-06-15,30.55,307126
2018-06-18,30.4,282765
2018-06-19,31.35,508912
2018-06-20,31.95,547845
2018-06-21,31.8,347565
2018-06-22,31.2,1432064
2018-06-25,30.15,460703
2018-06-26,29.55,398040
2018-06-27,28.85,214458
2018-06-28,28.7,263213
2018-06-29,29.25,277962
2018-07-02,29.45,477117
2018-07-03,29.4,120271
2018-07-05,29.1,208627
2018-07-06,29.4,146070
2018-07-09,29.8,156814
2018-07-10,29.45,167575
2018-07-11,29.1,149610
2018-07-12,29.6,349290
2018-07-13,29.75,255432
2018-07-16,29.5,672244
2018-07-17,28.95,247924
2018-07-18,29.35,371620
2018-07-19,30.6,323956
2018-07-20,31.45,659325
2018-07-23,31.35,331890
2018-07-24,30.7,620200
2018-07-25,31.2,385493
2018-07-26,32.0,1751632
2018-07-27,32.4,629544
2018-07-30,32.35,772172
2018-07-31,34.45,1114123
2018-08-01,33.95,494028
2018-08-02,34.0,446042
2018-08-03,33.55,295243
2018-08-06,33.0,343138
2018-08-07,33.0,379060
2018-08-08,32.9,287435
2018-08-09,32.6,462069
2018-08-10,32.9,364201
2018-08-13,32.6,264249
2018-08-14,32.45,222065
2018-08-15,32.35,246764
2018-08-16,32.7,207557
2018-08-17,32.25,202357
2018-08-20,32.9,213956
2018-08-21,33.4,228049
2018-08-22,33.3,276654
2018-08-23,33.05,261329
2018-08-24,33.4,162452
2018-08-27,33.55,338520
2018-08-28,33.15,336293
2018-08-29,32.75,315267
2018-08-30,32.45,457484
2018-08-31,33.2,397859
2018-09-04,33.45,158001
2018-09-05,33.9,509820
2018-09-06,34.25,256656
2018-09-07,34.2,243830
2018-09-10,36.65,808196
2018-09-11,36.25,353009
2018-09-12,35.75,333580
2018-09-13,34.85,316669
2018-09-14,35.1,297868
2018-09-17,34.4,329872
2018-09-18,34.85,420853
2018-09-19,35.35,363731
2018-09-20,36.05,668831
2018-09-21,35.6,977370
2018-09-24,33.15,1105938
2018-09-25,32.95,330808
2018-09-26,33.15,315644
2018-09-27,31.75,395056
2018-09-28,30.95,465355
2018-10-01,30.42,558063
2018-10-02,29.72,616124
2018-10-03,30.57,540309
2018-10-04,29.66,203930
2018-10-05,29.39,238638
2018-10-08,29.41,195003
2018-10-09,29.13,377293
2018-10-10,27.84,995523
2018-10-11,27.34,682932
2018-10-12,27.46,403658
2018-10-15,27.65,242201
2018-10-16,28.06,348511
2018-10-17,26.61,772444
2018-10-18,25.24,684357
2018-10-19,25.91,987540
2018-10-22,25.88,342322
2018-10-23,25.55,449006
2018-10-24,24.25,664768
2018-10-25,26.07,1057208
2018-10-26,25.0,381245
2018-10-29,25.48,446519
2018-10-30,26.09,380929
2018-10-31,25.71,351664
2018-11-01,26.3,283084
2018-11-02,26.38,209892
2018-11-05,26.08,201138
2018-11-06,26.04,209618
2018-11-07,26.71,135826
2018-11-08,26.39,122601
2018-11-09,25.25,371110
2018-11-12,24.72,243890
2018-11-13,25.05,263185
2018-11-14,25.3,270716
2018-11-15,26.09,265424
2018-11-16,25.92,298916
2018-11-19,25.34,234803
2018-11-20,24.92,295105
2018-11-21,25.69,199137
2018-11-23,24.75,110746
2018-11-26,25.02,154696
2018-11-27,24.89,213869
2018-11-28,25.53,178550
2018-11-29,25.53,178300
2018-11-30,25.37,270391
2018-12-03,24.96,305803
2018-12-04,23.42,381802
2018-12-06,23.11,384610
2018-12-07,22.56,322424
2018-12-10,22.79,453434
2018-12-11,22.21,320585
2018-12-12,21.75,668285
2018-12-13,21.54,484335
2018-12-14,21.03,460414
2018-12-17,21.06,315618
2018-12-18,21.25,266301
2018-12-19,20.25,204153
2018-12-20,19.84,226768
2018-12-21,19.76,649812
2018-12-24,19.2,149809
2018-12-26,19.98,165740
2018-12-27,20.04,148887
2018-12-28,20.16,206429
2018-12-31,20.33,167062
2019-01-02,20.46,231936
2019-01-03,20.17,212051
2019-01-04,20.87,230445
2019-01-07,20.92,174160
2019-01-08,21.81,280793
2019-01-09,22.4,229281
2019-01-10,22.45,121230
2019-01-11,22.56,208306
2019-01-14,22.38,207821
2019-01-15,22.22,170515
2019-01-16,22.26,203902
2019-01-17,22.91,174833
2019-01-18,23.57,179681
2019-01-22,23.34,170776
2019-01-23,23.43,263989
2019-01-24,23.15,169705
2019-01-25,23.55,168488
2019-01-28,23.51,126671
2019-01-29,23.7,122370
2019-01-30,24.07,139466
2019-01-31,23.76,155394
2019-02-01,23.79,131418
2019-02-04,24.03,164668
2019-02-05,24.19,176830
2019-02-06,24.24,301219
2019-02-07,23.33,708317
2019-02-08,23.91,569389
2019-02-11,24.62,278331
2019-02-12,24.64,386662
2019-02-13,24.67,303883
2019-02-14,25.18,248655
2019-02-15,25.4,227853
2019-02-19,25.25,188012
2019-02-20,25.51,176488
2019-02-21,25.6,96081
2019-02-22,25.42,126927
2019-02-25,24.98,147844
2019-02-26,24.5,106104
2019-02-27,23.97,129847
2019-02-28,24.02,125420
2019-03-01,24.08,123630
2019-03-04,23.34,140169
2019-03-05,23.01,332557
2019-03-06,23.29,187633
2019-03-07,23.12,124067
2019-03-08,23.38,141615
2019-03-11,23.72,170711
2019-03-12,23.75,158286
2019-03-13,23.95,179716
2019-03-14,23.78,102010
2019-03-15,23.89,479238
2019-03-18,24.45,136890
2019-03-19,23.61,133331
2019-03-20,23.56,168045
2019-03-21,23.87,218514
2019-03-22,23.15,164291
2019-03-25,23.58,221963
2019-03-26,23.96,160787
2019-03-27,23.79,119961
2019-03-28,24.4,113597
2019-03-29,24.78,262017
2019-04-01,25.48,193574
2019-04-02,25.14,159934
2019-04-03,24.98,121493
2019-04-04,25.39,63370
2019-04-05,25.52,123607
2019-04-08,25.33,132238
2019-04-09,25.01,223134
2019-04-10,24.82,319025
2019-04-11,25.15,437797
2019-04-12,25.13,223577
2019-04-15,24.74,181057
2019-04-16,24.09,339454
2019-04-17,24.69,512850
2019-04-18,25.36,341091
2019-04-22,24.95,125478
2019-04-23,24.94,149683
2019-04-24,25.81,315332
2019-04-25,22.87,694984
2019-04-26,24.05,382908
2019-04-29,23.2,646448
2019-04-30,22.94,343994
2019-05-01,22.36,532545
2019-05-02,22.87,412832
2019-05-03,23.7,274214
2019-05-06,23.57,145939
2019-05-07,22.82,209908
2019-05-08,22.93,262244
2019-05-09,22.6,223411
2019-05-10,22.3,315058
2019-05-13,21.4,232129
2019-05-14,21.8,204320
2019-05-15,21.71,148902
2019-05-16,21.98,360530
2019-05-17,21.61,262029
2019-05-20,21.39,377707
2019-05-21,21.37,285263
2019-05-22,20.95,402669
2019-05-23,20.95,233355
2019-05-24,20.86,448934
2019-05-28,20.32,151905
2019-05-29,20.11,247156
2019-05-30,19.83,105635
2019-05-31,19.67,323188
2019-06-03,19.51,183198
2019-06-04,20.12,412250
2019-06-05,20.2,359788
2019-06-06,19.82,123891
2019-06-07,19.76,197740
2019-06-10,20.52,195826
2019-06-11,20.41,306602
2019-06-12,20.55,257632
2019-06-13,20.82,226056
2019-06-14,20.53,244902
2019-06-17,19.64,194530
2019-06-18,19.64,278367
2019-06-19,19.64,223435
2019-06-20,20.15,157937
2019-06-21,19.72,262073
2019-06-24,19.52,175868
2019-06-25,19.19,268562
2019-06-26,19.85,258028
2019-06-27,20.4,292226
2019-06-28,20.87,1109827
2019-07-01,19.8,361396
2019-07-02,19.47,250801
2019-07-03,19.48,70751
2019-07-05,19.6,124862
2019-07-08,19.28,129036
2019-07-09,19.38,260986
2019-07-10,19.25,197579
2019-07-11,19.11,187504
2019-07-12,19.52,185122
2019-07-15,19.35,138095
2019-07-16,19.55,176306
2019-07-17,19.1,160441
2019-07-18,19.09,134122
2019-07-19,19.13,144596
2019-07-22,19.13,93983
2019-07-23,19.62,139963
2019-07-24,19.92,337445
2019-07-25,21.33,486395
2019-07-26,21.42,369873
2019-07-29,21.22,254611
2019-07-30,21.41,142636
2019-07-31,21.06,450332
2019-08-01,20.49,125162
2019-08-02,20.89,317013
2019-08-05,20.13,211026
2019-08-06,20.63,404041
2019-08-07,20.52,119951
2019-08-08,20.97,400762
2019-08-09,20.36,140671
2019-08-12,20.33,401501
2019-08-13,20.35,99488
2019-08-14,19.28,423626
2019-08-15,19.25,108463
2019-08-16,19.74,316337
2019-08-19,20.0,149819
2019-08-20,19.59,329332
2019-08-21,20.02,104650
2019-08-22,19.67,118263
2019-08-23,19.09,277466
2019-08-26,19.33,139288
2019-08-27,19.23,177579
2019-08-28,19.55,227191
2019-08-29,20.29,166412
2019-08-30,20.04,198001
2019-09-03,19.6,241569
2019-09-04,19.44,135606
2019-09-05,20.2,247319
2019-09-06,20.69,243908
2019-09-09,21.09,198501
2019-09-10,21.93,259258
2019-09-11,22.79,312298
2019-09-12,22.74,406038
2019-09-13,23.59,400202
2019-09-16,23.23,423996
2019-09-17,23.35,164293
2019-09-18,23.14,220379
2019-09-19,22.92,177852
2019-09-20,23.13,548947
2019-09-23,23.42,129823
2019-09-24,23.19,179137
2019-09-25,23.36,409303
2019-09-26,22.69,156104
2019-09-27,22.64,107919
2019-09-30,22.65,248355
2019-10-01,22.01,118039
2019-10-02,21.76,182915
2019-10-03,22.11,143391
2019-10-04,21.88,219398
2019-10-07,22.07,171741
2019-10-08,21.78,160259
2019-10-09,21.75,89772
2019-10-10,21.79,116697
2019-10-11,22.37,233340
2019-10-14,22.28,199018
2019-10-15,22.47,290944
2019-10-16,22.5,420532
2019-10-17,22.88,293631
2019-10-18,22.97,144893
