date,close,volume
2018-04-25,34.12,91373
2018-04-26,34.39,33973
2018-04-27,34.47,22717
2018-04-30,34.21,43071
2018-05-01,33.87,33264
2018-05-02,33.77,82297
2018-05-03,33.8,50153
2018-05-04,33.99,46071
2018-05-07,33.69,44024
2018-05-08,33.63,62720
2018-05-09,33.59,68842
2018-05-10,34.13,83945
2018-05-11,34.24,28593
2018-05-14,34.34,35231
2018-05-15,33.64,79718
2018-05-16,34.13,25753
2018-05-17,33.47,59976
2018-05-18,33.15,38131
2018-05-21,33.33,39660
2018-05-22,33.57,149946
2018-05-23,33.59,29499
2018-05-24,33.23,57218
2018-05-25,33.38,14112
2018-05-29,32.58,53147
2018-05-30,32.97,58947
2018-05-31,32.88,48996
2018-06-01,33.27,107901
2018-06-04,33.53,115514
2018-06-05,33.27,37341
2018-06-06,33.7,61080
2018-06-07,33.06,40009
2018-06-08,33.07,62111
2018-06-11,32.9,16133
2018-06-12,32.63,52077
2018-06-13,32.65,40039
2018-06-14,32.4,43375
2018-06-15,31.87,132917
2018-06-18,31.26,56071
2018-06-19,30.82,98143
2018-06-20,31.19,49419
2018-06-21,30.8,132677
2018-06-22,31.11,26640
2018-06-25,30.68,107186
2018-06-26,30.63,34821
2018-06-27,29.98,263190
2018-06-28,30.12,92947
2018-06-29,30.63,48932
2018-07-02,30.53,505353
2018-07-03,30.5,43605
2018-07-05,30.57,60612
2018-07-06,30.65,75511
2018-07-09,31.21,46426
2018-07-10,31.27,40054
2018-07-11,30.63,39215
2018-07-12,30.98,46197
2018-07-13,30.94,53379
2018-07-16,30.73,32061
2018-07-17,31.0,221006
2018-07-18,31.15,40821
2018-07-19,30.75,40244
2018-07-20,31.22,25693
2018-07-23,31.03,23283
2018-07-24,31.44,24122
2018-07-25,31.98,90225
2018-07-26,31.58,28564
2018-07-27,31.86,21229
2018-07-30,31.95,22889
2018-07-31,32.28,54650
2018-08-01,32.03,28671
2018-08-02,31.45,24718
2018-08-03,31.64,39086
2018-08-06,31.22,37380
2018-08-07,31.69,24093
2018-08-08,31.58,33385
2018-08-09,31.48,14855
2018-08-10,30.76,66929
2018-08-13,30.01,67020
2018-08-14,30.48,52129
2018-08-15,29.68,43322
2018-08-16,29.84,44931
2018-08-17,30.07,22777
2018-08-20,30.01,33704
2018-08-21,30.64,25818
2018-08-22,30.65,38581
2018-08-23,30.21,27162
2018-08-24,30.67,23157
2018-08-27,31.13,21689
2018-08-28,31.04,25323
2018-08-29,31.23,57300
2018-08-30,30.36,39916
2018-08-31,30.87,22482
2018-09-04,30.11,63922
2018-09-05,29.62,29327
2018-09-06,29.57,33706
2018-09-07,29.59,47187
2018-09-10,29.57,19757
2018-09-11,29.63,87917
2018-09-12,29.81,46506
2018-09-13,30.12,38125
2018-09-14,30.11,211090
2018-09-17,29.97,38335
2018-09-18,30.39,102165
2018-09-19,30.71,53908
2018-09-20,31.0,58895
2018-09-21,30.71,37605
2018-09-24,30.59,27115
