date,close,volume
2018-05-31,7.55,105278
2018-06-01,8.3,55658
2018-06-04,8.6,41506
2018-06-05,7.61,34100
2018-06-06,7.55,59836
2018-06-07,7.63,21070
2018-06-08,7.43,8562
2018-06-11,7.59,9328
2018-06-12,8.25,19728
2018-06-13,8.0,23093
2018-06-14,8.6,28852
2018-06-15,8.16,18066
2018-06-18,8.01,4327
2018-06-19,8.3,9243
2018-06-20,8.35,46269
2018-06-21,8.17,5360
2018-06-22,9.31,45460
2018-06-25,8.22,25653
2018-06-26,7.95,27030
2018-06-27,8.22,7516
2018-06-28,8.2,10138
2018-06-29,8.35,4437
2018-07-02,8.31,3615
2018-07-03,8.47,2269
2018-07-05,8.25,1224
2018-07-06,8.25,1545
2018-07-09,8.25,1397
2018-07-10,8.35,3492
2018-07-11,7.62,24224
2018-07-12,7.98,10243
2018-07-13,7.94,3065
2018-07-16,7.96,3330
2018-07-17,7.89,1033
2018-07-18,7.65,1673
2018-07-19,7.45,8836
2018-07-20,7.8,4664
2018-07-23,7.83,2755
2018-07-24,7.82,2705
2018-07-25,7.99,6081
2018-07-26,7.82,5512
2018-07-27,7.8,1643
2018-07-30,7.45,10377
2018-07-31,7.54,564
2018-08-01,7.51,1429
2018-08-02,7.51,978
2018-08-03,7.24,755
2018-08-06,7.15,15572
2018-08-07,6.75,30206
2018-08-08,6.6,7668
2018-08-09,7.0,17914
2018-08-10,6.71,3549
2018-08-13,6.67,3098
2018-08-14,6.65,2752
2018-08-15,6.35,3500
2018-08-16,6.75,9228
2018-08-17,7.0,3896
2018-08-20,7.3,6476
2018-08-21,7.21,1111
2018-08-22,7.26,2843
2018-08-23,7.25,5730
2018-08-24,7.15,2996
2018-08-27,7.15,1083
2018-08-28,7.27,5280
2018-08-29,7.2,4209
2018-08-30,7.0,8567
2018-08-31,7.23,7939
2018-09-04,7.11,1383
2018-09-05,6.94,3152
2018-09-06,7.15,17631
2018-09-07,7.15,2953
2018-09-10,6.97,1252
2018-09-11,7.14,3049
2018-09-12,7.15,3100
2018-09-13,7.0,4460
2018-09-14,7.08,5184
2018-09-17,7.09,6507
2018-09-18,7.19,7912
2018-09-19,7.5,10230
2018-09-20,7.68,25360
2018-09-21,7.45,6312
2018-09-24,7.6,6804
2018-09-25,8.62,1342989
2018-09-26,9.31,542689
2018-09-27,9.13,79749
2018-09-28,9.41,71066
2018-10-01,9.6,63462
2018-10-02,9.72,32742
2018-10-03,9.79,33425
2018-10-04,10.4,43523
2018-10-05,9.99,21588
2018-10-08,9.4,27906
2018-10-09,9.45,19348
2018-10-10,9.0,21805
2018-10-11,9.1,16550
2018-10-12,9.0,15361
2018-10-15,10.23,65746
2018-10-16,9.78,24168
2018-10-17,9.46,15319
2018-10-18,9.91,29609
2018-10-19,10.14,45199
2018-10-22,11.75,302442
2018-10-23,11.75,56640
2018-10-24,11.85,85320
2018-10-25,12.0,60450
2018-10-26,12.4,30590
2018-10-29,12.77,46448
2018-10-30,11.7,50692
2018-10-31,12.08,24250
2018-11-01,12.01,33726
2018-11-02,11.05,32517
2018-11-05,10.95,27633
2018-11-06,10.0,42439
2018-11-07,10.5,34691
2018-11-08,9.61,20389
2018-11-09,10.15,33604
2018-11-12,9.45,11441
2018-11-13,11.25,59145
2018-11-14,11.17,61218
2018-11-15,11.15,77937
2018-11-16,11.0,250223
2018-11-19,9.45,95934
2018-11-20,10.53,114487
2018-11-21,10.14,27440
2018-11-23,9.88,14361
2018-11-26,9.57,33707
2018-11-27,9.56,33495
2018-11-28,9.0,25544
2018-11-29,9.4,22065
2018-11-30,9.28,20730
2018-12-03,8.9,50941
2018-12-04,8.67,43097
2018-12-06,8.75,63164
2018-12-07,8.97,20098
2018-12-10,8.98,11109
2018-12-11,9.21,28203
2018-12-12,9.0,27630
2018-12-13,8.92,7698
2018-12-14,8.62,9809
2018-12-17,9.05,31315
2018-12-18,8.9,18531
2018-12-19,9.15,28640
2018-12-20,8.66,39511
2018-12-21,8.4,67541
2018-12-24,8.78,19324
2018-12-26,8.8,22764
2018-12-27,8.7,34784
2018-12-28,8.75,9641
2018-12-31,8.59,1745
2019-01-02,8.53,6633
2019-01-03,9.39,16668
2019-01-04,9.02,5374
2019-01-07,8.9,14854
2019-01-08,8.9,16555
2019-01-09,8.64,10133
2019-01-10,8.66,5257
2019-01-11,8.75,2895
2019-01-14,8.75,3875
2019-01-15,8.6,2382
2019-01-16,8.63,14166
2019-01-17,8.29,20757
2019-01-18,8.76,1924
2019-01-22,8.55,1045
2019-01-23,8.25,21426
2019-01-24,8.28,9863
2019-01-25,8.07,2543
2019-01-28,8.0,4294
2019-01-29,7.92,6507
2019-01-30,7.85,3128
2019-01-31,7.6,3587
2019-02-01,7.6,621
2019-02-04,7.51,5598
2019-02-05,7.67,2410
2019-02-06,7.61,979
2019-02-07,7.53,2583
2019-02-08,7.45,1243
2019-02-11,7.45,88
2019-02-12,7.65,483
2019-02-13,7.33,3193
2019-02-14,7.65,4022
2019-02-15,7.77,3520
2019-02-19,8.3,26808
2019-02-20,7.73,21589
2019-02-21,7.89,13602
2019-02-22,7.89,7004
2019-02-25,7.46,9755
2019-02-26,7.31,32694
2019-02-27,7.48,4007
2019-02-28,7.45,922
2019-03-01,7.2,5477
2019-03-04,7.1,18454
2019-03-05,7.05,15110
2019-03-06,7.15,9763
2019-03-07,7.5,3072
2019-03-08,7.2,11621
2019-03-11,7.94,55200
2019-03-12,7.51,3965
