date,close,volume
2018-04-25,88.47,2060953
2018-04-26,90.29,1815559
2018-04-27,90.09,681904
2018-04-30,89.84,894057
2018-05-01,91.36,389428
2018-05-02,91.51,859405
2018-05-03,91.57,906179
2018-05-04,90.78,813848
2018-05-07,91.67,882964
2018-05-08,92.25,698386
2018-05-09,91.99,713428
2018-05-10,94.4,1193984
2018-05-11,93.25,566914
2018-05-14,93.52,478555
2018-05-15,93.21,606657
2018-05-16,93.2,998654
2018-05-17,93.66,1070913
2018-05-18,94.04,812936
2018-05-21,95.91,1570392
2018-05-22,96.49,1096891
2018-05-23,101.33,2171268
2018-05-24,104.3,2735887
2018-05-25,100.68,1280077
2018-05-29,98.27,1812499
2018-05-30,97.63,932255
2018-05-31,99.47,1937581
2018-06-01,101.4,1018608
2018-06-04,101.05,1415842
2018-06-05,102.53,1166076
2018-06-06,104.41,1442678
2018-06-07,104.33,950999
2018-06-08,105.0,993753
2018-06-11,105.4,1251991
2018-06-12,106.27,1406028
2018-06-13,102.82,2873204
2018-06-14,103.99,1485567
2018-06-15,103.81,2053629
2018-06-18,104.97,588645
2018-06-19,105.69,1015798
2018-06-20,103.88,971369
2018-06-21,102.53,864416
2018-06-22,100.92,1561966
2018-06-25,95.45,2099969
2018-06-26,95.13,1172528
2018-06-27,92.65,1604111
2018-06-28,93.88,1529395
2018-06-29,94.66,1568505
2018-07-02,94.42,1000542
2018-07-03,94.58,452404
2018-07-05,91.71,1409521
2018-07-06,94.46,799441
2018-07-09,96.32,1006172
2018-07-10,95.23,779848
2018-07-11,95.38,966141
2018-07-12,98.13,784732
2018-07-13,97.14,826840
2018-07-16,95.38,1091300
2018-07-17,96.09,1041933
2018-07-18,97.09,934987
2018-07-19,93.96,978536
2018-07-20,93.3,1729666
2018-07-23,91.99,2448147
2018-07-24,90.66,4124009
2018-07-25,91.1,1697310
2018-07-26,89.53,1624017
2018-07-27,89.67,1676528
2018-07-30,87.95,1605127
2018-07-31,86.04,2049817
2018-08-01,86.63,2153828
2018-08-02,84.28,3359152
2018-08-03,85.24,1751059
2018-08-06,86.8,1376815
2018-08-07,87.16,1476847
2018-08-08,86.1,766598
2018-08-09,86.8,1199313
2018-08-10,86.99,1209147
2018-08-13,85.25,1431118
2018-08-14,85.09,1147839
2018-08-15,82.14,1464487
2018-08-16,85.0,1289982
2018-08-17,83.37,1094010
2018-08-20,86.06,1660001
2018-08-21,79.05,5948032
2018-08-22,80.26,2713860
2018-08-23,75.93,4048587
2018-08-24,75.22,3660139
2018-08-27,76.84,2687472
2018-08-28,76.99,2146200
2018-08-29,80.28,2203360
2018-08-30,79.33,1195191
2018-08-31,78.6,1649075
2018-09-04,75.53,2002881
2018-09-05,72.2,2279489
2018-09-06,70.74,2085636
2018-09-07,72.34,1946742
2018-09-10,70.05,1985228
2018-09-11,71.77,1830514
2018-09-12,69.79,2799904
2018-09-13,69.02,3220604
2018-09-14,69.51,2451386
2018-09-17,68.76,1139240
2018-09-18,67.58,3075792
2018-09-19,71.69,3918559
2018-09-20,73.11,2210564
2018-09-21,75.69,2621875
2018-09-24,72.98,703028
2018-09-25,73.62,388309
2018-09-26,73.56,717135
2018-09-27,73.26,779219
2018-09-28,74.01,1160024
2018-10-01,71.04,926826
2018-10-02,65.46,4262067
2018-10-03,63.75,3062243
2018-10-04,62.15,2624379
2018-10-05,61.46,2812177
2018-10-08,60.75,1407892
2018-10-09,63.04,2233903
2018-10-10,59.04,1876228
2018-10-11,58.57,1414270
2018-10-12,61.54,1676101
2018-10-15,61.6,1157911
2018-10-16,64.42,1084342
2018-10-17,63.21,1490556
