date,close,volume
2018-04-25,61.03,595938
2018-04-26,61.41,337554
2018-04-27,61.49,304988
2018-04-30,61.14,500753
2018-05-01,60.98,440001
2018-05-02,60.72,814807
2018-05-03,60.5,289535
2018-05-04,60.63,179843
2018-05-07,60.35,167221
2018-05-08,60.49,210289
2018-05-09,60.28,283470
2018-05-10,61.26,292723
2018-05-11,61.2,318888
2018-05-14,61.53,211179
2018-05-15,60.76,233068
2018-05-16,61.37,229127
2018-05-17,60.64,543937
2018-05-18,60.39,412658
2018-05-21,60.76,191670
2018-05-22,60.84,131547
2018-05-23,60.84,514801
2018-05-24,60.9,187743
2018-05-25,61.23,113895
2018-05-29,60.19,357884
2018-05-30,60.42,167609
2018-05-31,60.89,636252
2018-06-01,61.31,312194
2018-06-04,61.52,117931
2018-06-05,61.32,247213
2018-06-06,61.98,110957
2018-06-07,61.54,163257
2018-06-08,61.43,173341
2018-06-11,61.38,159488
2018-06-12,61.32,294274
2018-06-13,60.99,181779
2018-06-14,60.7,132762
2018-06-15,60.3,234022
2018-06-18,59.75,165396
2018-06-19,58.7,319237
2018-06-20,58.67,266216
2018-06-21,57.89,239822
2018-06-22,58.4,226622
2018-06-25,57.96,296767
2018-06-26,57.82,383678
2018-06-27,57.03,312262
2018-06-28,57.19,233875
2018-06-29,57.84,394992
2018-07-02,57.38,586904
2018-07-03,57.4,191109
2018-07-05,57.28,376910
2018-07-06,57.75,215436
2018-07-09,58.6,279916
2018-07-10,58.55,254208
2018-07-11,57.87,383777
2018-07-12,58.58,315546
2018-07-13,58.62,270275
2018-07-16,58.52,189639
2018-07-17,58.77,277371
2018-07-18,58.82,214881
2018-07-19,58.3,326591
2018-07-20,58.95,124727
2018-07-23,58.67,190373
2018-07-24,59.17,525603
2018-07-25,59.66,168841
2018-07-26,59.26,263658
2018-07-27,59.48,646886
2018-07-30,59.42,244953
2018-07-31,59.88,184754
2018-08-01,59.52,229715
2018-08-02,58.99,232501
2018-08-03,59.23,435455
2018-08-06,58.97,186503
2018-08-07,59.37,184295
2018-08-08,59.51,526143
2018-08-09,59.46,466698
2018-08-10,58.82,644582
2018-08-13,58.02,799237
2018-08-14,58.29,946642
2018-08-15,57.14,394449
2018-08-16,57.68,771888
2018-08-17,58.1,834454
2018-08-20,58.22,778170
2018-08-21,58.79,388741
2018-08-22,58.97,608901
2018-08-23,58.65,449141
2018-08-24,59.2,412089
2018-08-27,59.75,260100
2018-08-28,59.8,327317
2018-08-29,59.9,292921
2018-08-30,58.92,201219
2018-08-31,59.17,320722
2018-09-04,58.46,960919
2018-09-05,57.97,1600693
2018-09-06,57.92,1449272
2018-09-07,57.88,1691447
2018-09-10,57.56,365826
2018-09-11,57.54,377760
2018-09-12,57.8,1695828
2018-09-13,58.3,647764
2018-09-14,58.12,381322
2018-09-17,57.74,210410
2018-09-18,58.19,331504
2018-09-19,58.71,579921
2018-09-20,59.08,634699
2018-09-21,59.2,330377
2018-09-24,58.73,350726
2018-09-25,58.94,568728
2018-09-26,58.9,332770
2018-09-27,59.22,375577
2018-09-28,59.3,253694
2018-10-01,59.31,339522
2018-10-02,58.64,702205
2018-10-03,58.04,261170
2018-10-04,57.07,455123
2018-10-05,56.79,422871
2018-10-08,56.8,326043
2018-10-09,56.6,362961
2018-10-10,55.38,703585
2018-10-11,55.03,1011512
2018-10-12,55.68,3706751
2018-10-15,55.39,862585
2018-10-16,56.31,394921
2018-10-17,55.96,679461
2018-10-18,54.78,2193517
2018-10-19,55.25,307099
2018-10-22,55.66,621640
2018-10-23,55.05,1053016
2018-10-24,53.81,509240
2018-10-25,54.58,678760
2018-10-26,54.12,687385
2018-10-29,53.53,544622
2018-10-30,54.34,304514
2018-10-31,54.98,848306
2018-11-01,56.05,846491
2018-11-02,56.09,447950
2018-11-05,56.19,615022
2018-11-06,56.31,236482
2018-11-07,57.09,794361
2018-11-08,56.29,478315
2018-11-09,55.65,640371
2018-11-12,54.96,315925
2018-11-13,55.61,398980
2018-11-14,55.8,392032
2018-11-15,56.62,429753
2018-11-16,56.85,400320
2018-11-19,56.29,366621
2018-11-20,55.51,304240
2018-11-21,56.12,391194
2018-11-23,55.9,88629
2018-11-26,56.56,359521
2018-11-27,56.69,917881
2018-11-28,57.69,687397
2018-11-29,57.38,362777
2018-11-30,57.36,2565308
2018-12-03,57.84,2051585
2018-12-04,57.35,531359
2018-12-06,57.46,1064477
2018-12-07,56.54,463079
2018-12-10,56.17,844239
2018-12-11,56.56,848009
2018-12-12,57.09,1141715
2018-12-13,57.25,553231
2018-12-14,56.67,470023
2018-12-17,56.31,1048258
2018-12-18,55.69,2094915
2018-12-19,55.38,3313320
2018-12-20,55.68,1458884
2018-12-21,55.1,1714217
2018-12-24,54.92,685666
2018-12-26,55.68,984286
2018-12-27,55.61,1439185
2018-12-28,55.84,1336801
2018-12-31,55.87,967819
2019-01-02,55.75,785478
2019-01-03,55.11,604892
2019-01-04,56.39,922336
2019-01-07,56.49,654024
2019-01-08,56.58,518152
2019-01-09,56.96,615729
2019-01-10,57.34,446141
2019-01-11,57.21,605594
2019-01-14,56.99,351185
2019-01-15,57.21,544058
2019-01-16,57.56,694017
2019-01-17,57.79,649015
2019-01-18,58.01,740504
2019-01-22,57.32,783656
2019-01-23,57.83,566852
2019-01-24,58.13,413106
2019-01-25,58.53,879956
2019-01-28,58.27,781117
2019-01-29,58.29,1634388
2019-01-30,58.98,1577135
2019-01-31,59.38,1597538
2019-02-01,59.13,1571031
2019-02-04,59.24,367684
2019-02-05,59.81,2033573
2019-02-06,59.23,1287898
2019-02-07,58.91,847302
2019-02-08,58.72,490052
2019-02-11,58.43,564952
2019-02-12,58.58,1730671
2019-02-13,58.35,1094983
2019-02-14,58.53,896435
2019-02-15,58.39,1065217
2019-02-19,58.61,492220
2019-02-20,58.94,647253
2019-02-21,58.78,462916
2019-02-22,59.31,688417
2019-02-25,59.76,508581
2019-02-26,59.59,546077
2019-02-27,59.32,383522
2019-02-28,58.75,837597
2019-03-01,58.85,618646
2019-03-04,58.72,474343
2019-03-05,59.11,540620
2019-03-06,58.84,336164
2019-03-07,58.27,1326819
2019-03-08,58.04,2015814
2019-03-11,58.83,2838360
2019-03-12,58.9,964553
2019-03-13,58.95,365165
2019-03-14,58.69,849396
2019-03-15,59.34,424974
2019-03-18,59.81,190468
2019-03-19,59.72,553766
2019-03-20,59.93,488718
2019-03-21,59.91,1519443
2019-03-22,58.81,1459311
2019-03-25,58.9,368628
2019-03-26,58.98,1864315
2019-03-27,58.5,773400
2019-03-28,58.83,584941
2019-03-29,59.27,469762
2019-04-01,59.6,513599
2019-04-02,59.45,399020
2019-04-03,59.76,603635
2019-04-04,59.79,458289
2019-04-05,60.02,667768
2019-04-08,59.83,413991
2019-04-09,59.75,1061527
2019-04-10,59.97,625594
2019-04-11,59.46,782212
2019-04-12,59.9,592636
2019-04-15,59.73,350262
2019-04-16,59.86,1767552
2019-04-17,59.88,2563126
2019-04-18,59.87,979971
2019-04-22,59.7,623161
2019-04-23,59.99,725839
2019-04-24,59.54,388066
2019-04-25,59.43,526703
2019-04-26,59.74,2005710
2019-04-29,59.83,782700
2019-04-30,59.91,1164423
2019-05-01,59.52,1210175
2019-05-02,59.63,1452153
2019-05-03,59.93,2297314
2019-05-06,59.16,467080
2019-05-07,58.29,2052925
2019-05-08,58.2,386791
2019-05-09,57.6,806305
2019-05-10,57.79,585122
2019-05-13,56.36,1173251
2019-05-14,56.8,654579
2019-05-15,56.98,746799
2019-05-16,56.67,689996
2019-05-17,56.07,814246
2019-05-20,56.02,592401
2019-05-21,56.55,715068
2019-05-22,56.25,933634
2019-05-23,55.98,627436
2019-05-24,56.06,899149
2019-05-28,56.19,631497
2019-05-29,56.46,578800
2019-05-30,56.79,300633
2019-05-31,57.1,513216
2019-06-03,57.63,676157
2019-06-04,57.79,551019
2019-06-05,57.53,373055
2019-06-06,57.61,450138
2019-06-07,57.82,746450
2019-06-10,58.22,700660
2019-06-11,58.43,484278
2019-06-12,58.14,267200
2019-06-13,58.02,357920
2019-06-14,57.66,294088
2019-06-17,57.11,218580
2019-06-18,57.98,409988
2019-06-19,58.35,644885
2019-06-20,58.98,502891
2019-06-21,58.79,451556
2019-06-24,58.83,434087
2019-06-25,58.4,568209
2019-06-26,58.61,389807
2019-06-27,58.9,307627
2019-06-28,58.86,394432
2019-07-01,59.08,606393
2019-07-02,59.14,481880
2019-07-03,59.2,367767
2019-07-05,58.79,373607
2019-07-08,58.61,363943
2019-07-09,58.53,609780
2019-07-10,58.79,619226
2019-07-11,58.73,367492
2019-07-12,58.77,302498
2019-07-15,58.91,693724
