date,close,volume
2018-04-25,18.11,812
2018-04-26,18.26,219
2018-04-27,18.35,2059
2018-04-30,18.26,3210
2018-05-01,18.23,8396
2018-05-02,18.21,1078
2018-05-03,18.06,6649
2018-05-04,18.24,6803
2018-05-07,18.18,5571
2018-05-08,18.18,240
2018-05-09,18.24,2411
2018-05-10,18.3,9330
2018-05-11,18.34,3288
2018-05-14,18.41,1062
2018-05-15,18.29,582
2018-05-16,18.29,65
2018-05-17,18.29,138
2018-05-18,18.01,1647
2018-05-21,18.03,10297
2018-05-22,18.1,2611
2018-05-23,17.89,5436
2018-05-24,17.85,2892
2018-05-25,17.75,1869
2018-05-29,17.18,5126
2018-05-30,17.58,1208
2018-05-31,17.45,10763
2018-06-01,17.56,181
2018-06-04,17.7,3175
2018-06-05,17.47,2873
2018-06-06,17.6,1045
2018-06-07,17.59,417
2018-06-08,17.6,4154
2018-06-11,17.73,3338
2018-06-12,17.6,586
2018-06-13,17.66,654
2018-06-14,17.58,3467
2018-06-15,17.43,742
2018-06-18,17.35,741
2018-06-19,17.32,6037
2018-06-20,17.3,1580
2018-06-21,17.16,464
2018-06-22,17.36,651
2018-06-25,17.24,1399
2018-06-26,17.24,126
2018-06-27,17.14,1315
2018-06-28,17.18,2234
2018-06-29,17.17,2772
2018-07-02,17.05,375
2018-07-03,17.2,1020
2018-07-05,17.47,2148
2018-07-06,17.59,2366
2018-07-09,17.7,2909
2018-07-10,17.73,2044
2018-07-11,17.53,4186
2018-07-12,17.53,16
2018-07-13,17.54,870
2018-07-16,17.46,2094
2018-07-17,17.49,3387
2018-07-18,17.52,3186
2018-07-19,17.49,691
2018-07-20,17.61,2982
2018-07-23,17.57,1286
2018-07-24,17.56,5751
2018-07-25,17.7,1999
2018-07-26,17.7,129
2018-07-27,17.65,4656
2018-07-30,17.65,59
2018-07-31,17.75,222
2018-08-01,17.59,11476
2018-08-02,17.43,989
2018-08-03,17.35,3147
2018-08-06,17.39,11166
2018-08-07,17.5,7560
