date,close,volume
2018-04-25,55.79,220902
2018-04-26,56.0,205598
2018-04-27,55.99,250992
2018-04-30,55.83,373591
2018-05-01,55.67,496738
2018-05-02,55.57,571132
2018-05-03,55.61,368946
2018-05-04,55.75,196516
2018-05-07,55.7,576041
2018-05-08,55.65,282191
2018-05-09,55.82,199146
2018-05-10,56.2,178905
2018-05-11,56.31,369288
2018-05-14,56.38,227543
2018-05-15,56.04,218499
2018-05-16,55.97,237189
2018-05-17,55.98,4378829
2018-05-18,55.65,4525960
2018-05-21,55.9,2205281
2018-05-22,55.96,6470082
2018-05-23,55.26,718949
2018-05-24,54.91,212589
2018-05-25,54.34,190378
2018-05-29,53.08,278976
2018-05-30,53.88,245214
2018-05-31,53.53,860683
2018-06-01,53.99,576807
2018-06-04,54.25,2219254
2018-06-05,53.97,5490255
2018-06-06,54.52,2150978
2018-06-07,54.41,2446835
2018-06-08,54.37,2350737
2018-06-11,54.71,1477954
2018-06-12,54.26,494623
2018-06-13,54.2,968619
2018-06-14,54.24,512292
2018-06-15,53.78,402776
2018-06-18,53.37,633433
2018-06-19,51.58,203499
2018-06-20,51.54,2291769
2018-06-21,51.08,474739
2018-06-22,51.75,341127
2018-06-25,51.07,2138343
2018-06-26,51.3,2053077
2018-06-27,50.85,2890409
2018-06-28,51.07,1225717
2018-06-29,51.34,2135489
2018-07-02,50.85,2291874
2018-07-03,51.04,259317
2018-07-05,51.74,1099468
2018-07-06,52.02,1493728
2018-07-09,52.5,1313573
2018-07-10,52.4,1583314
2018-07-11,51.38,256371
2018-07-12,51.66,715008
2018-07-13,51.7,239065
2018-07-16,51.59,250919
2018-07-17,51.66,229105
2018-07-18,51.68,247755
2018-07-19,51.54,197822
2018-07-20,51.8,175738
2018-07-23,51.93,162698
2018-07-24,52.34,151026
2018-07-25,52.62,207285
2018-07-26,52.42,330362
2018-07-27,52.63,229770
2018-07-30,52.82,219323
2018-07-31,52.91,191349
2018-08-01,52.59,262373
2018-08-02,52.09,234322
2018-08-03,52.07,186152
2018-08-06,51.85,167275
2018-08-07,52.37,283390
2018-08-08,52.37,238121
2018-08-09,52.13,1100320
2018-08-10,51.12,397625
2018-08-13,50.77,359518
2018-08-14,50.75,494592
2018-08-15,50.01,717042
2018-08-16,50.39,382189
2018-08-17,50.66,256373
2018-08-20,50.9,565622
2018-08-21,51.12,324376
2018-08-22,51.37,259314
2018-08-23,50.84,1125983
2018-08-24,51.17,284906
2018-08-27,51.76,452595
2018-08-28,51.62,420170
2018-08-29,51.85,1493388
2018-08-30,51.27,253011
2018-08-31,50.88,784484
2018-09-04,50.49,300425
2018-09-05,50.23,582244
2018-09-06,50.05,304705
2018-09-07,49.68,1732745
2018-09-10,49.97,496665
2018-09-11,49.99,445505
2018-09-12,50.22,404970
2018-09-13,50.66,503543
2018-09-14,50.7,557462
2018-09-17,50.89,256721
2018-09-18,51.5,450863
2018-09-19,51.79,1225773
2018-09-20,52.47,980823
2018-09-21,52.53,1563657
2018-09-24,52.29,1975760
2018-09-25,52.64,900088
2018-09-26,52.54,1330322
2018-09-27,52.49,426046
2018-09-28,51.92,279614
2018-10-01,52.0,494373
2018-10-02,51.74,855987
2018-10-03,51.67,433195
2018-10-04,51.35,523809
2018-10-05,51.12,417783
2018-10-08,50.88,506550
2018-10-09,50.88,400239
2018-10-10,50.19,575313
2018-10-11,49.44,1339595
2018-10-12,49.39,881332
2018-10-15,49.41,1068825
2018-10-16,50.15,859041
2018-10-17,49.88,720407
2018-10-18,49.16,606704
2018-10-19,49.5,456705
2018-10-22,49.21,695201
2018-10-23,48.8,901885
2018-10-24,47.38,1035227
2018-10-25,47.91,1008419
2018-10-26,47.64,1001101
2018-10-29,47.67,1104603
2018-10-30,48.09,2169177
2018-10-31,48.25,2936800
2018-11-01,48.83,1476273
2018-11-02,48.76,2166692
2018-11-05,48.86,1698385
2018-11-06,49.17,1114202
2018-11-07,49.78,537426
2018-11-08,49.35,631611
2018-11-09,49.05,666543
2018-11-12,48.21,889143
2018-11-13,48.34,971521
2018-11-14,48.41,1170923
2018-11-15,48.54,1463764
2018-11-16,48.55,2706969
2018-11-19,48.23,1390133
2018-11-20,47.51,1250024
2018-11-21,48.15,1147474
2018-11-23,47.68,514509
2018-11-26,48.5,839284
