date,close,volume
2018-04-25,25.05,7623
2018-04-26,25.5,8822
2018-04-27,27.9,27185
2018-04-30,28.2,83293
2018-05-01,25.8,22165
2018-05-02,26.7,11140
2018-05-03,25.95,5749
2018-05-04,26.4,10434
2018-05-07,26.1,17168
2018-05-08,24.6,24937
2018-05-09,24.15,15813
2018-05-10,22.65,47744
2018-05-11,23.85,29442
2018-05-14,23.4,11107
2018-05-15,23.03,19500
2018-05-16,22.95,11583
2018-05-17,22.95,11219
2018-05-18,22.95,16138
2018-05-21,22.5,26026
2018-05-22,22.35,19863
2018-05-23,22.95,34398
2018-05-24,22.5,7331
2018-05-25,22.8,8493
2018-05-29,25.2,62406
2018-05-30,24.45,19672
2018-05-31,24.75,23953
2018-06-01,25.5,13396
2018-06-04,25.65,14514
2018-06-05,25.5,17771
2018-06-06,27.3,87116
2018-06-07,26.7,17775
2018-06-08,27.15,21021
2018-06-11,27.9,25499
2018-06-12,27.9,41197
2018-06-13,26.4,20905
2018-06-14,25.8,8735
2018-06-15,27.0,21529
2018-06-18,26.1,9888
2018-06-19,25.95,8496
2018-06-20,25.88,18898
2018-06-21,25.8,23581
2018-06-22,25.35,13302
2018-06-25,25.05,10073
2018-06-26,25.5,4533
2018-06-27,25.65,11103
2018-06-28,25.88,6943
2018-06-29,26.85,13333
2018-07-02,27.23,19978
2018-07-03,27.9,5841
2018-07-05,30.0,184402
2018-07-06,29.7,50590
2018-07-09,29.1,44931
2018-07-10,26.4,33792
2018-07-11,27.3,19000
2018-07-12,26.48,15626
2018-07-13,26.39,10464
2018-07-16,26.84,13284
2018-07-17,26.7,9897
2018-07-18,28.33,28317
2018-07-19,27.75,13268
2018-07-20,28.5,28312
2018-07-23,29.4,139451
2018-07-24,28.95,41702
2018-07-25,28.95,53862
2018-07-26,28.67,16269
2018-07-27,27.0,55853
2018-07-30,26.7,14739
2018-07-31,26.4,11194
2018-08-01,28.2,30704
2018-08-02,27.45,8452
2018-08-03,26.85,7879
2018-08-06,27.3,7149
2018-08-07,34.95,729218
2018-08-08,36.0,204231
2018-08-09,41.25,196004
2018-08-10,39.45,108312
2018-08-13,40.2,39154
2018-08-14,43.5,178047
2018-08-15,45.75,247838
2018-08-16,43.35,74313
2018-08-17,40.8,63938
2018-08-20,39.15,50722
2018-08-21,37.8,92553
2018-08-22,38.25,42756
2018-08-23,37.35,20717
2018-08-24,37.95,31056
2018-08-27,36.45,25306
2018-08-28,37.65,20339
2018-08-29,37.65,48591
2018-08-30,40.65,88047
2018-08-31,40.2,43284
2018-09-04,40.05,27305
2018-09-05,37.35,61684
2018-09-06,36.6,16232
2018-09-07,36.6,17743
2018-09-10,36.45,21812
2018-09-11,32.25,53696
2018-09-12,34.65,39420
2018-09-13,32.25,41864
2018-09-14,31.35,44642
2018-09-17,30.45,57906
2018-09-18,31.95,41464
2018-09-19,31.65,32212
2018-09-20,31.2,18518
2018-09-21,34.05,54182
2018-09-24,34.95,23828
2018-09-25,36.6,24055
2018-09-26,33.75,24788
2018-09-27,33.75,10671
2018-09-28,35.1,14273
2018-10-01,34.5,11467
2018-10-02,34.5,8290
2018-10-03,33.45,26939
2018-10-04,32.25,15278
2018-10-05,31.95,11440
2018-10-08,32.55,15890
2018-10-09,31.05,17941
2018-10-10,29.85,25631
2018-10-11,30.75,15554
2018-10-12,32.25,14919
2018-10-15,32.1,7872
2018-10-16,32.1,10804
2018-10-17,31.2,8198
2018-10-18,31.5,9486
2018-10-19,30.45,15731
2018-10-22,30.3,10946
2018-10-23,30.6,12251
2018-10-24,31.65,25458
2018-10-25,31.2,8142
2018-10-26,30.9,8182
2018-10-29,31.05,10384
2018-10-30,28.2,62123
2018-10-31,28.35,17719
2018-11-01,30.75,14092
2018-11-02,31.2,7820
2018-11-05,31.5,9658
2018-11-06,31.05,8256
2018-11-07,32.25,13771
2018-11-08,31.5,13282
2018-11-09,32.1,14802
2018-11-12,31.65,19800
2018-11-13,32.55,7477
2018-11-14,31.5,6022
2018-11-15,31.35,18765
2018-11-16,30.3,9138
2018-11-19,29.1,20103
2018-11-20,28.2,13068
2018-11-21,28.65,6944
2018-11-23,29.1,2790
2018-11-26,27.6,13105
2018-11-27,27.3,6095
2018-11-28,27.75,11336
2018-11-29,29.1,22639
2018-11-30,27.9,13251
2018-12-03,28.5,16362
2018-12-04,27.9,6967
2018-12-06,27.0,10077
2018-12-07,26.55,10416
2018-12-10,27.15,35179
2018-12-11,25.95,11802
2018-12-12,25.8,11556
2018-12-13,25.5,13349
2018-12-14,24.6,17825
2018-12-17,22.35,22957
2018-12-18,22.2,15113
2018-12-19,22.2,9872
2018-12-20,22.05,9081
2018-12-21,21.0,14230
2018-12-24,18.9,24383
2018-12-26,18.9,26333
2018-12-27,20.1,17063
2018-12-28,19.65,22228
2018-12-31,18.6,21540
2019-01-02,21.3,17973
2019-01-03,23.4,22028
2019-01-04,24.9,32857
2019-01-07,24.0,7016
2019-01-08,22.95,14051
2019-01-09,23.25,8464
2019-01-10,22.95,10635
2019-01-11,22.95,10783
2019-01-14,23.4,12272
2019-01-15,25.8,16842
2019-01-16,25.35,5196
2019-01-17,24.9,8452
2019-01-18,25.05,18257
2019-01-22,24.75,17876
2019-01-23,24.75,8496
2019-01-24,26.1,33275
2019-01-25,25.45,14714
2019-01-28,24.75,9845
2019-01-29,24.45,5057
2019-01-30,26.25,441255
2019-01-31,26.1,41809
2019-02-01,28.35,118541
2019-02-04,29.25,38096
2019-02-05,29.1,27077
2019-02-06,28.95,10995
2019-02-07,29.7,18332
2019-02-08,29.7,24185
2019-02-11,30.0,21219
2019-02-12,33.15,91702
2019-02-13,33.45,37548
2019-02-14,32.85,28755
2019-02-15,32.7,13484
2019-02-19,32.25,14341
2019-02-20,30.15,25406
2019-02-21,31.65,12112
2019-02-22,31.5,13708
2019-02-25,32.85,11925
2019-02-26,35.4,41074
2019-02-27,34.95,53668
2019-02-28,35.4,35254
2019-03-01,34.65,38400
2019-03-04,34.5,13744
2019-03-05,35.7,22416
2019-03-06,33.3,23888
2019-03-07,32.7,14113
2019-03-08,31.95,16908
2019-03-11,32.1,12581
2019-03-12,33.45,17775
2019-03-13,34.2,21624
2019-03-14,34.5,13427
2019-03-15,37.2,49515
2019-03-18,37.05,25678
2019-03-19,37.5,18104
2019-03-20,37.2,17335
2019-03-21,36.6,8541
2019-03-22,35.7,12183
2019-03-25,35.4,7426
2019-03-26,35.4,19929
2019-03-27,36.0,12059
2019-03-28,36.45,6383
2019-03-29,37.65,21006
2019-04-01,37.5,16191
2019-04-02,37.65,10659
2019-04-03,37.35,22477
2019-04-04,37.65,13181
2019-04-05,37.5,10744
2019-04-08,37.5,9531
2019-04-09,36.75,10269
2019-04-10,37.05,9289
2019-04-11,37.8,22591
2019-04-12,37.8,7857
2019-04-15,37.35,8824
2019-04-16,36.6,10672
2019-04-17,33.9,30621
2019-04-18,33.45,13207
2019-04-22,34.05,6679
2019-04-23,35.55,10034
2019-04-24,35.4,4261
2019-04-25,34.65,12160
2019-04-26,32.25,16744
2019-04-29,32.7,8348
2019-04-30,33.0,15682
2019-05-01,32.55,12557
2019-05-02,31.95,15700
