date,close,volume
2018-04-25,26.15,110988
2018-04-26,25.81,142548
2018-04-27,26.0,97917
2018-04-30,26.06,174660
2018-05-01,26.29,264921
2018-05-02,26.78,291725
2018-05-03,29.55,530938
2018-05-04,30.23,472566
2018-05-07,30.97,310469
2018-05-08,30.66,314678
2018-05-09,30.92,394675
2018-05-10,30.93,201980
2018-05-11,30.94,233583
2018-05-14,30.76,183745
2018-05-15,31.15,206690
2018-05-16,31.44,284475
2018-05-17,31.79,235636
2018-05-18,32.49,400692
2018-05-21,32.41,559680
2018-05-22,32.82,324878
2018-05-23,33.28,268428
2018-05-24,33.53,294343
2018-05-25,33.82,411551
2018-05-29,33.64,331546
2018-05-30,34.51,260015
2018-05-31,34.24,189776
2018-06-01,34.36,306038
2018-06-04,34.66,506068
2018-06-05,35.63,255940
2018-06-06,35.73,268570
2018-06-07,34.5,312854
2018-06-08,35.07,540871
2018-06-11,34.82,184921
2018-06-12,34.84,186613
2018-06-13,35.11,167070
2018-06-14,35.61,249322
2018-06-15,35.41,422128
2018-06-18,35.99,281694
2018-06-19,36.04,209915
2018-06-20,37.13,335861
2018-06-21,36.02,493775
2018-06-22,35.23,1515277
2018-06-25,35.28,430484
2018-06-26,35.41,194830
2018-06-27,34.31,249363
2018-06-28,33.94,427126
2018-06-29,33.5,313210
2018-07-02,34.58,288415
2018-07-03,34.85,136523
2018-07-05,35.37,272754
2018-07-06,34.94,156385
2018-07-09,34.84,180971
2018-07-10,35.74,250437
2018-07-11,35.51,167165
2018-07-12,35.32,106802
2018-07-13,35.07,92587
2018-07-16,35.07,148332
2018-07-17,35.39,214312
2018-07-18,35.48,232596
2018-07-19,35.68,243968
2018-07-20,35.46,152266
2018-07-23,35.56,177883
2018-07-24,35.03,128882
2018-07-25,35.13,253823
2018-07-26,35.58,166716
2018-07-27,34.7,142411
2018-07-30,33.22,202973
2018-07-31,33.73,243320
2018-08-01,33.69,218220
2018-08-02,34.63,442655
2018-08-03,32.78,504712
2018-08-06,33.62,450764
2018-08-07,33.65,259736
2018-08-08,33.67,172284
2018-08-09,33.56,183534
2018-08-10,33.61,150909
2018-08-13,33.09,211096
2018-08-14,34.34,443208
2018-08-15,34.14,299236
2018-08-16,34.82,197310
2018-08-17,34.76,192497
2018-08-20,34.92,172501
2018-08-21,35.36,271639
2018-08-22,35.93,173683
2018-08-23,36.09,179759
2018-08-24,36.28,253852
2018-08-27,35.88,225577
2018-08-28,35.77,138451
2018-08-29,36.18,151326
2018-08-30,36.1,98796
2018-08-31,36.54,152130
2018-09-04,36.19,330841
2018-09-05,35.7,296564
2018-09-06,35.34,181336
2018-09-07,34.84,172416
2018-09-10,33.95,249598
2018-09-11,33.97,403092
2018-09-12,33.73,235593
2018-09-13,34.4,181108
2018-09-14,34.57,188121
2018-09-17,34.55,203137
2018-09-18,35.12,348955
2018-09-19,33.87,293262
2018-09-20,33.88,109264
2018-09-21,33.92,467517
2018-09-24,34.55,180942
2018-09-25,35.18,124990
2018-09-26,35.22,184352
2018-09-27,35.07,240043
2018-09-28,35.46,261379
2018-10-01,34.65,163894
2018-10-02,34.25,175734
2018-10-03,35.07,264277
2018-10-04,35.52,249869
2018-10-05,35.7,444397
2018-10-08,35.63,340173
2018-10-09,37.41,276542
2018-10-10,37.22,386923
2018-10-11,35.86,352330
2018-10-12,35.96,417727
2018-10-15,35.33,328258
2018-10-16,36.52,297152
2018-10-17,36.27,301583
2018-10-18,35.83,301964
2018-10-19,35.3,474348
2018-10-22,35.28,170532
2018-10-23,36.11,327486
2018-10-24,34.62,230005
2018-10-25,35.26,188211
2018-10-26,34.41,201734
2018-10-29,34.43,304197
2018-10-30,35.02,265619
2018-10-31,34.64,279628
2018-11-01,38.95,1101034
2018-11-02,42.97,1176169
2018-11-05,42.19,829955
2018-11-06,42.0,309492
2018-11-07,43.38,544160
2018-11-08,44.88,406924
2018-11-09,44.13,560754
2018-11-12,43.0,465100
2018-11-13,42.51,376969
2018-11-14,42.09,452557
2018-11-15,42.68,276958
2018-11-16,42.74,716343
2018-11-19,42.36,395604
2018-11-20,41.14,382261
2018-11-21,41.15,273306
2018-11-23,41.62,156897
2018-11-26,42.19,258733
2018-11-27,41.86,290814
2018-11-28,42.56,366790
2018-11-29,42.75,265012
2018-11-30,42.43,393968
2018-12-03,42.73,400465
2018-12-04,42.54,483630
2018-12-06,42.89,364845
2018-12-07,42.66,340631
2018-12-10,42.7,320716
2018-12-11,43.49,401985
2018-12-12,44.06,962903
2018-12-13,42.69,441240
2018-12-14,40.04,412550
2018-12-17,38.01,1024525
2018-12-18,38.28,342324
2018-12-19,37.14,337655
2018-12-20,36.52,496841
2018-12-21,34.75,1207978
2018-12-24,34.08,214779
2018-12-26,36.3,305105
2018-12-27,35.84,449502
2018-12-28,35.89,250881
2018-12-31,36.28,400176
2019-01-02,35.73,652871
2019-01-03,35.28,237629
2019-01-04,36.49,316237
2019-01-07,37.09,381703
2019-01-08,38.15,256634
2019-01-09,39.3,511686
2019-01-10,37.83,401583
2019-01-11,37.49,248341
2019-01-14,37.57,247606
2019-01-15,38.98,222608
2019-01-16,39.13,181724
2019-01-17,39.82,328839
2019-01-18,38.06,379409
2019-01-22,38.51,357367
2019-01-23,39.61,297645
2019-01-24,39.04,153456
2019-01-25,39.78,236269
2019-01-28,39.57,198802
2019-01-29,39.23,119838
2019-01-30,39.74,144531
2019-01-31,40.75,327399
2019-02-01,40.87,440766
2019-02-04,41.45,343218
2019-02-05,41.17,224427
2019-02-06,41.33,288328
2019-02-07,45.8,1013648
2019-02-08,43.93,487517
2019-02-11,45.26,414644
2019-02-12,47.46,672873
2019-02-13,47.14,319183
2019-02-14,47.15,437147
2019-02-15,48.81,351142
2019-02-19,49.96,536574
2019-02-20,50.07,657769
2019-02-21,50.09,391740
2019-02-22,50.49,285250
2019-02-25,47.82,634614
2019-02-26,46.65,346567
2019-02-27,46.2,329324
2019-02-28,46.24,255602
2019-03-01,46.87,309727
2019-03-04,47.34,382877
2019-03-05,46.88,334423
2019-03-06,45.19,322066
2019-03-07,45.05,237118
2019-03-08,45.36,217529
2019-03-11,46.14,292388
2019-03-12,46.57,232690
2019-03-13,47.3,301980
2019-03-14,47.89,235741
2019-03-15,47.2,772052
2019-03-18,47.65,278562
2019-03-19,47.48,177119
2019-03-20,46.65,348464
2019-03-21,47.38,195755
2019-03-22,45.94,215468
2019-03-25,46.39,272504
2019-03-26,46.33,191929
2019-03-27,46.06,170738
2019-03-28,46.5,215587
2019-03-29,47.87,522115
2019-04-01,47.62,288901
2019-04-02,47.47,268211
2019-04-03,47.33,186362
2019-04-04,47.88,164668
2019-04-05,49.06,421831
2019-04-08,47.53,218610
2019-04-09,47.89,257804
2019-04-10,48.32,378648
2019-04-11,47.74,185773
2019-04-12,48.4,435615
2019-04-15,48.42,202395
2019-04-16,45.37,290782
2019-04-17,44.47,444149
2019-04-18,45.12,242369
2019-04-22,45.55,193224
2019-04-23,47.0,248752
2019-04-24,47.24,243581
2019-04-25,47.27,260434
2019-04-26,48.21,225951
2019-04-29,48.0,283905
2019-04-30,48.18,370049
2019-05-01,47.58,524435
2019-05-02,47.51,169466
2019-05-03,48.09,270062
2019-05-06,48.66,292773
2019-05-07,47.61,633897
2019-05-08,48.45,374507
2019-05-09,48.73,219200
2019-05-10,50.47,351846
2019-05-13,52.41,705391
2019-05-14,52.02,572055
2019-05-15,52.33,383875
2019-05-16,53.45,515823
2019-05-17,52.5,515456
2019-05-20,52.46,254932
2019-05-21,52.99,408453
2019-05-22,52.56,330822
2019-05-23,50.26,290795
2019-05-24,51.69,288342
2019-05-28,51.54,404218
2019-05-29,49.89,390758
2019-05-30,50.03,193103
2019-05-31,49.81,281211
2019-06-03,49.57,248527
2019-06-04,50.04,291644
2019-06-05,50.13,216500
2019-06-06,50.43,293497
2019-06-07,51.54,253363
2019-06-10,51.75,263483
2019-06-11,50.96,260551
2019-06-12,51.43,228005
2019-06-13,52.05,219571
2019-06-14,52.94,204486
2019-06-17,53.88,453630
2019-06-18,52.6,263800
2019-06-19,53.88,263008
2019-06-20,53.58,384030
2019-06-21,52.86,344538
2019-06-24,52.67,231222
2019-06-25,52.9,272983
2019-06-26,51.7,273055
2019-06-27,52.63,237413
2019-06-28,53.23,778086
2019-07-01,53.31,320786
2019-07-02,53.8,241853
2019-07-03,54.09,106191
2019-07-05,54.05,190748
2019-07-08,53.12,240115
2019-07-09,53.23,262563
2019-07-10,53.63,220103
2019-07-11,54.1,173603
2019-07-12,53.78,315242
2019-07-15,53.67,187488
2019-07-16,53.64,133555
2019-07-17,53.91,206698
2019-07-18,54.77,303179
2019-07-19,54.97,314549
2019-07-22,54.42,183693
2019-07-23,55.17,198848
2019-07-24,55.17,390362
2019-07-25,55.24,218441
2019-07-26,55.61,196671
2019-07-29,56.14,253764
2019-07-30,56.33,293057
2019-07-31,56.35,461071
2019-08-01,54.49,304769
2019-08-02,50.56,495358
2019-08-05,47.87,525016
2019-08-06,47.48,315140
2019-08-07,47.88,438789
2019-08-08,48.45,274926
2019-08-09,47.82,318610
2019-08-12,47.45,148710
2019-08-13,48.68,180159
2019-08-14,47.39,225771
2019-08-15,47.5,238730
2019-08-16,48.42,165628
2019-08-19,48.25,317612
2019-08-20,47.82,214230
2019-08-21,47.86,242216
2019-08-22,47.94,146671
2019-08-23,47.25,292175
2019-08-26,48.1,277074
2019-08-27,45.42,238559
2019-08-28,45.49,462899
2019-08-29,46.64,189626
2019-08-30,46.66,450628
2019-09-03,45.51,215979
2019-09-04,45.53,170145
2019-09-05,45.9,256324
2019-09-06,46.23,343163
2019-09-09,44.5,378170
2019-09-10,45.22,222200
2019-09-11,46.2,269438
2019-09-12,45.59,216324
2019-09-13,45.37,346265
2019-09-16,46.3,171944
2019-09-17,46.15,221412
2019-09-18,46.52,234094
2019-09-19,47.07,321874
2019-09-20,46.9,723192
2019-09-23,46.62,331546
2019-09-24,44.47,336804
2019-09-25,45.53,432348
2019-09-26,44.81,377171
2019-09-27,43.74,287078
2019-09-30,44.36,464808
2019-10-01,40.2,731210
2019-10-02,41.85,406988
2019-10-03,39.96,464662
2019-10-04,39.4,585021
2019-10-07,39.43,788512
2019-10-08,38.99,319426
2019-10-09,39.17,326946
2019-10-10,39.26,268428
2019-10-11,39.9,394841
2019-10-14,39.87,148007
2019-10-15,40.46,207342
2019-10-16,40.51,230442
2019-10-17,40.88,277874
2019-10-18,41.91,338459
2019-10-21,42.22,208525
2019-10-22,41.11,198956
2019-10-23,41.39,182375
2019-10-24,41.07,152980
2019-10-25,40.68,230698
2019-10-28,41.76,179369
2019-10-29,41.81,210349
2019-10-30,41.86,245297
2019-10-31,42.25,464032
2019-11-01,43.07,237164
2019-11-04,42.61,328660
2019-11-05,42.45,240259
2019-11-06,41.93,178370
2019-11-07,41.72,210859
2019-11-08,42.19,189109
2019-11-11,41.89,133814
2019-11-12,42.28,145518
2019-11-13,40.31,236484
2019-11-14,40.69,204900
2019-11-15,41.4,223775
2019-11-18,41.06,122138
2019-11-19,41.52,162729
2019-11-20,41.06,249797
2019-11-21,42.78,423776
2019-11-22,43.34,265845
2019-11-25,44.09,243038
2019-11-26,43.52,288458
2019-11-27,43.79,123753
2019-11-29,43.43,76244
2019-12-02,42.29,291366
2019-12-03,43.11,133978
2019-12-04,43.45,200117
2019-12-05,42.33,283588
2019-12-06,43.53,330227
2019-12-09,42.31,267749
2019-12-10,42.7,212591
2019-12-11,42.78,139704
2019-12-12,43.37,239638
2019-12-13,42.95,209845
2019-12-16,43.19,250481
2019-12-17,43.64,202214
2019-12-18,44.52,386557
2019-12-19,45.13,413641
2019-12-20,45.64,1115057
2019-12-23,44.77,214901
2019-12-24,44.79,40682
2019-12-26,44.25,82193
2019-12-27,44.68,133366
2019-12-30,44.51,145666
2019-12-31,45.37,231971
2020-01-02,45.01,175862
2020-01-03,45.31,277947
2020-01-06,45.73,248966
2020-01-07,45.48,195307
2020-01-08,46.33,286710
2020-01-09,46.93,211321
2020-01-10,46.82,231408
2020-01-13,47.3,198706
2020-01-14,46.65,252415
2020-01-15,47.09,204475
2020-01-16,47.79,186470
2020-01-17,47.53,150680
2020-01-21,47.22,218094
2020-01-22,47.53,140067
2020-01-23,45.92,383121
2020-01-24,44.87,222156
2020-01-27,44.81,205381
2020-01-28,45.78,184054
2020-01-29,45.98,186708
2020-01-30,46.33,221037
2020-01-31,45.2,203498
2020-02-03,45.81,209893
2020-02-04,46.75,217902
2020-02-05,47.9,231794
2020-02-06,52.16,619595
2020-02-07,53.03,455009
2020-02-10,53.27,321794
2020-02-11,52.68,252835
2020-02-12,52.69,230994
2020-02-13,53.08,162280
2020-02-14,52.1,182037
2020-02-18,52.33,237777
2020-02-19,52.25,352888
2020-02-20,51.7,265035
2020-02-21,51.2,342037
2020-02-24,48.8,240970
2020-02-25,47.83,210932
2020-02-26,47.81,181986
2020-02-27,45.93,415218
2020-02-28,44.5,374371
2020-03-02,44.33,431868
2020-03-03,42.02,386874
2020-03-04,45.61,503722
2020-03-05,44.94,530897
2020-03-06,45.57,414291
2020-03-09,37.13,861159
2020-03-10,37.45,833243
2020-03-11,35.56,628337
2020-03-12,30.85,865685
2020-03-13,31.39,652190
2020-03-16,24.99,1001460
2020-03-17,27.85,1199250
2020-03-18,29.1,716228
2020-03-19,35.15,729144
2020-03-20,33.28,1155935
2020-03-23,32.32,556001
2020-03-24,37.54,411348
2020-03-25,35.19,461490
2020-03-26,35.77,404961
2020-03-27,33.92,397743
2020-03-30,38.37,381567
2020-03-31,37.61,586958
2020-04-01,29.22,604590
2020-04-02,32.12,353407
2020-04-03,32.82,363521
2020-04-06,36.08,409083
2020-04-07,34.67,462262
2020-04-08,37.11,281566
2020-04-09,39.43,299057
2020-04-13,36.67,312317
2020-04-14,37.75,299862
2020-04-15,35.47,396478
2020-04-16,36.5,503739
2020-04-17,37.25,445644
2020-04-20,36.98,286865
2020-04-21,34.88,809651
2020-04-22,35.49,455693
2020-04-23,37.83,397313
2020-04-24,36.4,351648
2020-04-27,38.93,478295
2020-04-28,37.71,537077
2020-04-29,40.75,401017
2020-04-30,37.41,580554
2020-05-01,36.46,374927
2020-05-04,34.15,475383
2020-05-05,35.57,356314
2020-05-06,33.78,306315
2020-05-07,34.41,353350
2020-05-08,37.39,568183
2020-05-11,38.43,597111
2020-05-12,38.35,761457
2020-05-13,36.48,441213
2020-05-14,37.67,509744
2020-05-15,38.37,442017
2020-05-18,41.49,445861
2020-05-19,40.1,323202
2020-05-20,41.86,314766
2020-05-21,42.4,346082
2020-05-22,43.24,252703
2020-05-26,44.47,334361
2020-05-27,46.92,418122
2020-05-28,44.84,401999
2020-05-29,43.72,511005
2020-06-01,43.11,245751
2020-06-02,43.43,243064
2020-06-03,45.06,263434
2020-06-04,44.1,261461
2020-06-05,47.17,318747
2020-06-08,48.23,278681
2020-06-09,46.95,228574
2020-06-10,45.84,194788
2020-06-11,41.5,294338
2020-06-12,41.99,243181
2020-06-15,42.79,359247
2020-06-16,43.78,248969
2020-06-17,42.63,200684
2020-06-18,42.2,160131
2020-06-19,41.86,413405
2020-06-22,42.12,252447
2020-06-23,41.8,191747
2020-06-24,40.39,195049
2020-06-25,40.9,338517
2020-06-26,39.02,581475
2020-06-29,40.48,239573
2020-06-30,41.85,379354
2020-07-01,42.52,264765
2020-07-02,42.43,194204
2020-07-06,43.15,207401
2020-07-07,41.33,230247
2020-07-08,41.18,197938
2020-07-09,40.29,273376
2020-07-10,41.0,169576
2020-07-13,40.76,198775
2020-07-14,41.16,200617
2020-07-15,44.91,416318
2020-07-16,44.73,269182
2020-07-17,45.33,311292
2020-07-20,44.48,159734
2020-07-21,45.53,213731
2020-07-22,45.87,199473
2020-07-23,45.7,226325
2020-07-24,45.18,189646
2020-07-27,46.34,137817
2020-07-28,45.55,179060
2020-07-29,46.42,187264
2020-07-30,46.55,181789
2020-07-31,45.99,293911
