date,close,volume
2018-04-25,26.41,1042732
2018-04-26,26.53,608289
2018-04-27,25.95,1621709
2018-04-30,25.22,1413150
2018-05-01,25.27,531991
2018-05-02,24.73,908601
2018-05-03,24.97,1396704
2018-05-04,24.98,1366755
2018-05-07,24.75,762299
2018-05-08,25.0,1215123
2018-05-09,25.49,1381770
2018-05-10,25.17,4711225
2018-05-11,24.86,672502
2018-05-14,24.54,1312383
2018-05-15,25.09,1062419
2018-05-16,25.16,544009
2018-05-17,24.64,1124063
2018-05-18,24.32,884839
2018-05-21,24.57,728314
2018-05-22,24.83,904832
2018-05-23,25.28,731201
2018-05-24,25.01,433622
2018-05-25,25.39,561816
2018-05-29,23.66,1301675
2018-05-30,24.01,1578845
2018-05-31,24.06,623742
2018-06-01,24.16,845041
2018-06-04,24.16,980413
2018-06-05,23.23,771053
2018-06-06,24.06,1226710
2018-06-07,23.96,1314936
2018-06-08,24.52,939625
2018-06-11,24.9,755574
2018-06-12,26.37,2788453
2018-06-13,26.47,1181503
2018-06-14,25.98,1116960
2018-06-15,25.68,797852
2018-06-18,25.97,476446
2018-06-19,25.57,885666
2018-06-20,25.69,882457
2018-06-21,25.48,591992
2018-06-22,25.62,482709
2018-06-25,25.35,782413
2018-06-26,25.09,695049
2018-06-27,24.41,696677
2018-06-28,25.34,830619
2018-06-29,24.9,1503436
2018-07-02,24.98,1527842
2018-07-03,26.21,1154355
2018-07-05,23.5,6381323
2018-07-06,23.44,2346233
2018-07-09,23.39,1860893
2018-07-10,23.71,1859564
2018-07-11,22.19,2041167
2018-07-12,22.28,1934889
2018-07-13,21.5,3059553
2018-07-16,21.75,2185575
2018-07-17,22.3,2069397
2018-07-18,22.12,1630985
2018-07-19,21.72,1538322
2018-07-20,21.79,1356198
2018-07-23,21.38,1198702
2018-07-24,21.39,1152147
2018-07-25,21.5,1040855
2018-07-26,20.9,1312836
2018-07-27,20.89,471320
2018-07-30,20.5,1392402
2018-07-31,20.45,1900299
2018-08-01,20.34,1184313
2018-08-02,20.06,1433939
2018-08-03,20.18,981851
2018-08-06,19.95,780297
2018-08-07,19.95,1515418
2018-08-08,19.38,1512850
2018-08-09,19.3,1759819
2018-08-10,18.86,1224024
2018-08-13,18.65,1075817
2018-08-14,19.13,1220670
2018-08-15,18.65,983975
2018-08-16,19.38,1887602
2018-08-17,19.68,997149
2018-08-20,19.71,1048379
2018-08-21,19.45,964328
2018-08-22,19.57,902080
2018-08-23,18.87,1436450
2018-08-24,19.11,855995
2018-08-27,19.5,771342
2018-08-28,19.21,706581
2018-08-29,19.18,791853
2018-08-30,18.91,977712
2018-08-31,19.19,685725
2018-09-04,19.03,734999
2018-09-05,18.96,880105
2018-09-06,19.2,763122
2018-09-07,19.25,286373
2018-09-10,19.43,695690
2018-09-11,19.18,860214
2018-09-12,18.66,1197616
2018-09-13,18.22,1220160
2018-09-14,18.41,774519
2018-09-17,18.62,339702
2018-09-18,18.89,379948
2018-09-19,18.84,453208
2018-09-20,18.74,485664
2018-09-21,18.94,412531
2018-09-24,18.62,610972
2018-09-25,18.85,816780
2018-09-26,19.38,1378987
2018-09-27,19.77,863941
2018-09-28,19.59,1085584
2018-10-01,19.19,554873
2018-10-02,19.98,822877
2018-10-03,20.76,2030416
2018-10-04,20.18,1016952
2018-10-05,19.9,667020
2018-10-08,20.38,1963549
2018-10-09,20.19,1108842
2018-10-10,20.08,827819
2018-10-11,19.33,1372813
2018-10-12,19.21,1113303
2018-10-15,19.48,647254
2018-10-16,20.25,565903
2018-10-17,20.3,712735
2018-10-18,20.23,843137
2018-10-19,20.0,1351170
2018-10-22,20.06,999502
2018-10-23,19.94,737551
2018-10-24,19.14,723175
2018-10-25,20.32,1879931
2018-10-26,21.34,1609891
2018-10-29,20.93,2153657
2018-10-30,21.88,1753772
2018-10-31,22.27,1667397
2018-11-01,23.14,939779
2018-11-02,23.04,722696
2018-11-05,23.26,1098155
2018-11-06,23.19,2019758
2018-11-07,23.04,865796
2018-11-08,21.93,950469
2018-11-09,21.88,952596
2018-11-12,21.59,815013
2018-11-13,21.18,1437144
2018-11-14,21.45,1154168
2018-11-15,21.87,465230
2018-11-16,21.69,820207
2018-11-19,21.36,477520
2018-11-20,21.12,517778
2018-11-21,21.65,1019005
2018-11-23,21.62,644121
2018-11-26,21.49,486640
2018-11-27,21.99,1266347
2018-11-28,22.61,1072979
2018-11-29,22.55,905537
2018-11-30,22.45,819149
2018-12-03,22.63,745079
2018-12-04,22.16,1212933
2018-12-06,21.59,1940779
2018-12-07,21.06,1583868
2018-12-10,21.44,1666709
2018-12-11,21.34,780323
2018-12-12,21.73,547809
2018-12-13,21.33,803494
2018-12-14,21.12,414200
2018-12-17,21.86,1179863
2018-12-18,21.97,700583
2018-12-19,21.28,613419
2018-12-20,21.15,617312
