date,close,volume
2018-04-25,10.45,968526
2018-04-26,10.55,1066962
2018-04-27,10.4,1257130
2018-04-30,10.15,1547814
2018-05-01,10.1,1425206
2018-05-02,10.2,2190492
2018-05-03,10.05,1363871
2018-05-04,10.4,1419812
2018-05-07,10.6,3341976
2018-05-08,8.65,10487617
2018-05-09,7.75,7496432
2018-05-10,7.65,3751701
2018-05-11,7.5,4632907
2018-05-14,7.3,3759932
2018-05-15,7.75,2864783
2018-05-16,7.8,2050021
2018-05-17,7.8,2197222
2018-05-18,7.8,2356451
2018-05-21,7.75,1546628
2018-05-22,7.65,1112416
2018-05-23,7.45,1595593
2018-05-24,7.25,1273796
2018-05-25,7.2,1240374
2018-05-29,7.1,1595268
2018-05-30,7.1,2542135
2018-05-31,6.85,2538478
2018-06-01,6.9,3821213
2018-06-04,6.75,4287029
2018-06-05,6.4,3729717
2018-06-06,7.0,3513927
2018-06-07,6.85,3011208
2018-06-08,6.9,1475414
2018-06-11,7.0,1964155
2018-06-12,7.25,4113839
2018-06-13,7.35,2985837
2018-06-14,7.45,1494392
2018-06-15,7.45,2116915
2018-06-18,7.5,1583116
2018-06-19,7.6,1250194
2018-06-20,7.9,1880319
2018-06-21,7.75,1971888
2018-06-22,7.85,4228767
2018-06-25,7.6,1351092
2018-06-26,7.85,1648745
2018-06-27,7.75,1198160
2018-06-28,7.6,2021084
2018-06-29,7.55,1376605
2018-07-02,7.6,1104424
2018-07-03,7.6,437155
2018-07-05,7.75,864700
2018-07-06,7.85,731323
2018-07-09,7.85,1236013
2018-07-10,8.1,2574214
2018-07-11,8.1,2342679
2018-07-12,8.0,2465003
2018-07-13,8.0,1822849
2018-07-16,8.05,1150121
2018-07-17,8.1,946972
2018-07-18,8.0,1474293
2018-07-19,8.05,1362977
2018-07-20,8.0,1330723
2018-07-23,8.15,1338189
2018-07-24,8.0,2715242
2018-07-25,7.95,1866938
2018-07-26,7.75,1759217
2018-07-27,7.5,1142704
2018-07-30,7.45,1817393
2018-07-31,7.55,1275563
2018-08-01,7.35,2093706
2018-08-02,7.15,2243598
2018-08-03,7.1,911301
2018-08-06,7.05,1280469
2018-08-07,6.95,2430214
2018-08-08,8.35,5282862
2018-08-09,7.85,2558126
2018-08-10,7.7,1827659
2018-08-13,7.55,1045645
2018-08-14,7.55,796537
2018-08-15,7.4,1191317
2018-08-16,7.45,682498
2018-08-17,7.35,1089914
2018-08-20,7.35,595399
2018-08-21,7.6,933253
2018-08-22,7.75,989148
2018-08-23,7.75,692649
2018-08-24,7.85,774975
2018-08-27,7.9,1002009
2018-08-28,7.8,515038
2018-08-29,7.9,539091
2018-08-30,7.75,764056
2018-08-31,7.85,837256
2018-09-04,7.85,448776
2018-09-05,7.9,772289
2018-09-06,7.8,473901
2018-09-07,7.5,992740
2018-09-10,7.45,511268
2018-09-11,7.45,823656
2018-09-12,7.55,720518
2018-09-13,7.7,625545
2018-09-14,7.65,601535
2018-09-17,7.9,827375
2018-09-18,7.9,712119
2018-09-19,8.15,1137842
2018-09-20,8.1,962639
2018-09-21,7.9,2007608
2018-09-24,7.9,644300
2018-09-25,8.15,629432
2018-09-26,7.85,779014
2018-09-27,7.7,988322
2018-09-28,7.9,534419
2018-10-01,7.55,1355548
2018-10-02,7.45,1513796
2018-10-03,7.57,1011382
2018-10-04,7.37,1062922
2018-10-05,7.27,1566405
2018-10-08,7.28,999308
2018-10-09,7.3,949188
2018-10-10,6.99,1266895
2018-10-11,6.79,1351182
2018-10-12,6.86,1549869
2018-10-15,6.89,571162
2018-10-16,7.07,650945
2018-10-17,7.16,466104
2018-10-18,6.93,536380
2018-10-19,6.87,464748
2018-10-22,6.84,884149
2018-10-23,6.83,988630
2018-10-24,6.24,2581461
2018-10-25,6.41,1576157
2018-10-26,6.11,1220737
2018-10-29,6.14,1852472
2018-10-30,6.3,1308253
2018-10-31,6.49,986917
2018-11-01,7.37,2320759
2018-11-02,7.6,1583834
2018-11-05,7.61,1438645
2018-11-06,6.85,3703424
2018-11-07,7.37,2057838
2018-11-08,7.27,1777074
2018-11-09,7.12,1770805
2018-11-12,7.11,1678010
2018-11-13,7.26,2368710
2018-11-14,7.26,2120272
2018-11-15,7.22,1554976
2018-11-16,7.09,1324888
2018-11-19,6.37,2865409
2018-11-20,6.17,2125322
2018-11-21,6.46,818454
2018-11-23,6.57,535389
2018-11-26,6.54,1008276
2018-11-27,6.5,908173
2018-11-28,6.4,1249599
2018-11-29,6.53,1098502
2018-11-30,6.53,1240216
2018-12-03,6.68,620691
2018-12-04,6.35,1023135
2018-12-06,6.4,1181708
2018-12-07,6.46,867516
2018-12-10,6.47,1405424
2018-12-11,6.53,1115859
2018-12-12,6.56,966251
2018-12-13,6.43,956419
2018-12-14,6.38,789888
2018-12-17,6.13,1254951
2018-12-18,5.95,1281365
2018-12-19,5.94,951467
2018-12-20,5.71,1612646
2018-12-21,5.42,2610239
2018-12-24,5.42,741873
2018-12-26,5.58,1135148
2018-12-27,5.59,1533654
2018-12-28,5.69,1103718
2018-12-31,5.71,1288039
2019-01-02,5.95,881916
2019-01-03,6.01,675896
2019-01-04,6.44,750340
2019-01-07,6.72,873730
2019-01-08,6.88,967002
2019-01-09,6.96,837827
2019-01-10,7.07,939727
2019-01-11,7.09,1517332
2019-01-14,7.07,653879
2019-01-15,7.08,660624
2019-01-16,7.07,1108335
2019-01-17,7.16,763463
2019-01-18,7.16,728131
2019-01-22,7.08,1071344
2019-01-23,7.03,867241
2019-01-24,7.07,498455
2019-01-25,7.23,1058015
2019-01-28,7.25,1088511
2019-01-29,7.23,745193
2019-01-30,7.22,638834
2019-01-31,7.33,1057682
2019-02-01,7.27,510755
2019-02-04,7.24,528754
2019-02-05,7.25,924262
2019-02-06,7.1,345587
2019-02-07,6.89,517853
2019-02-08,6.9,341531
2019-02-11,7.01,525076
2019-02-12,7.07,531416
2019-02-13,7.34,823565
2019-02-14,7.36,570985
2019-02-15,7.35,600726
2019-02-19,7.51,797809
2019-02-20,7.65,1313109
2019-02-21,7.61,950953
2019-02-22,7.56,1460981
2019-02-25,7.26,1439085
2019-02-26,6.76,2807934
2019-02-27,6.37,2496020
2019-02-28,6.16,5567057
2019-03-01,6.16,4759727
2019-03-04,6.17,7615549
2019-03-05,6.11,1533169
2019-03-06,6.1,2330077
2019-03-07,5.94,1579391
2019-03-08,5.8,2218854
2019-03-11,6.14,1868980
2019-03-12,6.1,1365277
2019-03-13,6.01,1446218
2019-03-14,6.06,1259452
2019-03-15,6.07,1793396
2019-03-18,5.83,1628879
2019-03-19,5.83,1729417
2019-03-20,5.75,869091
2019-03-21,5.8,768955
2019-03-22,5.49,1819188
2019-03-25,5.27,1677140
2019-03-26,5.37,1466782
2019-03-27,5.32,1532581
2019-03-28,5.24,991975
2019-03-29,5.25,1153725
2019-04-01,5.38,1283067
2019-04-02,5.37,1277506
2019-04-03,5.56,1263886
2019-04-04,5.82,1397605
2019-04-05,6.01,2117953
2019-04-08,6.22,1368220
2019-04-09,6.12,1030434
2019-04-10,6.28,591006
2019-04-11,6.32,595629
2019-04-12,6.24,1008170
2019-04-15,6.14,872596
2019-04-16,6.24,1197735
2019-04-17,6.21,790948
2019-04-18,6.32,1570287
2019-04-22,6.14,1368647
2019-04-23,6.33,5038492
2019-04-24,6.45,1415889
2019-04-25,6.4,1559053
2019-04-26,6.61,1147660
2019-04-29,6.76,1498493
2019-04-30,6.88,2014100
2019-05-01,6.82,1947908
2019-05-02,6.45,1883643
2019-05-03,6.67,1213721
2019-05-06,6.75,1526460
2019-05-07,6.56,1073873
2019-05-08,6.58,813760
2019-05-09,6.72,1062658
2019-05-10,6.53,1322345
2019-05-13,6.26,2130084
2019-05-14,6.3,866074
2019-05-15,6.41,884013
2019-05-16,6.47,1083888
2019-05-17,6.32,693553
2019-05-20,6.24,578435
2019-05-21,6.36,717656
2019-05-22,6.19,734411
2019-05-23,6.15,869030
2019-05-24,6.2,530989
2019-05-28,5.96,1257134
2019-05-29,5.88,983379
2019-05-30,5.73,832112
2019-05-31,5.79,1102895
2019-06-03,5.68,1148464
2019-06-04,5.98,2045410
2019-06-05,5.61,1223550
2019-06-06,5.75,938564
2019-06-07,5.84,1377775
2019-06-10,5.9,1024166
2019-06-11,5.93,1147183
2019-06-12,5.93,1196447
2019-06-13,6.03,1030266
2019-06-14,5.95,609123
2019-06-17,6.01,563997
2019-06-18,5.94,1712504
2019-06-19,6.0,560592
2019-06-20,6.06,921474
2019-06-21,6.01,1078999
2019-06-24,5.94,788737
2019-06-25,5.88,489483
2019-06-26,5.84,1011776
2019-06-27,5.78,856418
2019-06-28,5.8,1457619
2019-07-01,6.06,1621891
2019-07-02,6.2,986617
2019-07-03,6.25,603641
2019-07-05,6.16,754989
2019-07-08,6.13,1846773
2019-07-09,6.12,753317
2019-07-10,6.11,609898
2019-07-11,6.0,874991
2019-07-12,6.09,723179
2019-07-15,6.0,582634
2019-07-16,6.09,437031
2019-07-17,5.88,1476709
2019-07-18,5.65,1146618
2019-07-19,5.73,1037768
2019-07-22,5.53,959590
2019-07-23,5.44,1427272
2019-07-24,5.7,1125885
2019-07-25,5.58,439491
2019-07-26,5.69,832093
2019-07-29,5.76,572785
2019-07-30,5.76,463133
2019-07-31,5.68,738205
2019-08-01,5.35,931109
2019-08-02,5.31,929313
2019-08-05,5.23,1269565
2019-08-06,5.25,2071463
2019-08-07,3.36,15520705
2019-08-08,3.45,3698139
2019-08-09,3.54,2181534
2019-08-12,3.33,4602040
2019-08-13,3.64,2191185
2019-08-14,3.44,1849636
2019-08-15,3.59,2263879
2019-08-16,3.65,1815085
2019-08-19,3.74,2572409
2019-08-20,3.71,1552814
2019-08-21,3.69,1324404
2019-08-22,3.84,1908354
2019-08-23,3.53,1202139
2019-08-26,3.52,717674
2019-08-27,3.36,888475
2019-08-28,3.46,1347820
2019-08-29,3.53,1280936
2019-08-30,3.56,768330
2019-09-03,3.4,1719705
2019-09-04,3.51,1287162
2019-09-05,3.6,1551286
2019-09-06,3.61,1078401
2019-09-09,3.68,1230966
2019-09-10,3.66,3532880
2019-09-11,3.76,1658631
2019-09-12,3.82,1245234
2019-09-13,3.86,1476263
2019-09-16,3.89,941239
2019-09-17,3.81,1038829
2019-09-18,3.71,803740
2019-09-19,3.61,626067
2019-09-20,3.58,1229703
2019-09-23,3.53,484139
2019-09-24,3.39,917743
2019-09-25,3.55,1579080
2019-09-26,3.51,1068354
2019-09-27,3.4,760723
2019-09-30,3.34,755207
2019-10-01,3.35,993537
2019-10-02,3.38,836102
2019-10-03,3.2,962549
2019-10-04,3.12,1013903
2019-10-07,3.09,1973625
2019-10-08,3.08,1548902
2019-10-09,3.14,1059807
2019-10-10,3.11,1002921
2019-10-11,3.3,1004268
2019-10-14,3.3,423860
2019-10-15,3.32,582584
2019-10-16,3.29,1003546
2019-10-17,3.28,635078
2019-10-18,3.29,906647
2019-10-21,3.28,1452768
2019-10-22,3.39,495060
2019-10-23,3.52,881109
2019-10-24,3.41,792876
2019-10-25,3.46,720715
2019-10-28,3.48,601666
2019-10-29,3.53,526486
2019-10-30,3.42,899879
2019-10-31,3.48,755111
2019-11-01,3.63,1379917
2019-11-04,3.59,1029816
2019-11-05,3.73,1454839
2019-11-06,3.61,1805068
2019-11-07,3.69,948657
2019-11-08,4.32,3642936
2019-11-11,4.89,5774923
2019-11-12,4.88,2053680
2019-11-13,4.85,1129131
2019-11-14,4.85,793926
2019-11-15,4.8,744934
2019-11-18,4.63,1355034
2019-11-19,4.56,1241804
2019-11-20,4.55,1014093
2019-11-21,4.5,619925
2019-11-22,4.49,477962
2019-11-25,4.74,890346
2019-11-26,4.71,775967
2019-11-27,4.82,746417
2019-11-29,4.73,405726
2019-12-02,4.78,748221
2019-12-03,4.78,1214395
2019-12-04,4.89,1719598
2019-12-05,4.86,686373
2019-12-06,5.01,1026950
2019-12-09,4.98,896687
2019-12-10,4.92,628487
2019-12-11,4.86,449094
2019-12-12,4.88,731551
2019-12-13,4.78,636271
2019-12-16,5.02,1071936
2019-12-17,5.1,1120743
2019-12-18,5.16,991149
2019-12-19,4.99,894027
2019-12-20,5.02,3433606
2019-12-23,4.84,701320
2019-12-24,4.84,297079
2019-12-26,4.84,1080111
2019-12-27,4.77,477076
2019-12-30,4.66,590629
2019-12-31,4.64,1133995
2020-01-02,4.6,1007032
2020-01-03,4.56,441450
2020-01-06,4.57,537957
2020-01-07,4.47,539669
2020-01-08,4.51,648899
2020-01-09,4.36,615493
2020-01-10,4.4,666833
2020-01-13,4.46,444295
2020-01-14,4.58,681970
2020-01-15,4.67,615793
2020-01-16,4.72,321410
2020-01-17,4.62,322945
2020-01-21,4.68,770482
2020-01-22,4.69,383226
2020-01-23,4.62,658872
2020-01-24,4.49,388168
2020-01-27,4.29,637528
2020-01-28,4.3,400967
2020-01-29,4.16,888015
2020-01-30,4.19,566679
2020-01-31,3.97,870629
2020-02-03,4.27,1189331
2020-02-04,4.32,564850
2020-02-05,4.44,636494
2020-02-06,4.52,373653
2020-02-07,4.41,403497
2020-02-10,4.41,353765
2020-02-11,4.39,385135
2020-02-12,4.45,487987
2020-02-13,4.56,416918
2020-02-14,4.63,315208
2020-02-18,4.6,307514
2020-02-19,4.49,703998
2020-02-20,4.54,1220448
2020-02-21,4.34,623011
2020-02-24,4.26,1162347
2020-02-25,4.49,4314419
2020-02-26,3.79,2217345
2020-02-27,3.49,2032103
2020-02-28,3.47,1346173
2020-03-02,3.53,1869049
2020-03-03,3.5,1085394
2020-03-04,3.45,1042682
2020-03-05,3.32,1318958
2020-03-06,3.27,905642
2020-03-09,2.63,964205
2020-03-10,2.69,2590565
2020-03-11,2.38,1659168
2020-03-12,2.01,1831369
2020-03-13,2.35,1397069
2020-03-16,1.78,1418398
2020-03-17,2.0,1041291
2020-03-18,1.57,1086370
2020-03-19,1.78,716915
2020-03-20,1.74,1262724
2020-03-23,1.51,1399775
2020-03-24,1.48,1394126
2020-03-25,1.87,1656439
2020-03-26,1.71,1283823
2020-03-27,1.62,968426
2020-03-30,1.62,1036202
2020-03-31,1.71,1660369
2020-04-01,1.41,1054136
2020-04-02,1.3,1690826
2020-04-03,0.8294,5486047
2020-04-06,0.8128,8651102
2020-04-07,0.7694,3706420
2020-04-08,0.8,2468673
2020-04-09,0.9206,3739249
2020-04-13,1.0,2640826
2020-04-14,1.11,2778400
2020-04-15,1.05,1706576
2020-04-16,0.9593,1302665
2020-04-17,1.01,1464873
2020-04-20,0.9965,1907926
2020-04-21,0.9996,1295063
2020-04-22,1.01,1831600
2020-04-23,1.13,1655603
