date,close,volume
2020-06-25,50.09,100
2020-06-26,50.18,20
2020-06-29,50.16,0
2020-06-30,50.15,1
2020-07-01,50.23,1260
2020-07-02,50.26,2424
2020-07-06,50.23,802
2020-07-07,50.39,7507
2020-07-08,50.37,0
2020-07-09,50.5,1200
2020-07-10,50.42,6915
2020-07-13,50.48,1524
2020-07-14,50.47,2769
2020-07-15,50.49,7522
2020-07-16,50.58,119
2020-07-17,50.58,7146
2020-07-20,50.65,235
2020-07-21,50.72,100
2020-07-22,50.77,3
2020-07-23,50.84,5
2020-07-24,50.77,59
2020-07-27,50.72,5599
2020-07-28,50.81,1
2020-07-29,50.84,1448
2020-07-30,50.95,1
2020-07-31,50.94,229
2020-08-03,50.89,2127
2020-08-04,51.05,201
2020-08-05,50.93,10
2020-08-06,51.05,1
2020-08-07,50.97,0
2020-08-10,50.93,481
2020-08-11,50.81,10
2020-08-12,50.73,800
2020-08-13,50.57,109
2020-08-14,50.55,252
