date,close,volume
2018-04-25,3.75,7215
2018-04-26,3.65,6715
2018-04-27,3.75,27799
2018-04-30,3.8,7077
2018-05-01,3.75,9521
2018-05-02,3.7,409
2018-05-03,3.55,5133
2018-05-04,3.35,13727
2018-05-07,3.4,2837
2018-05-08,3.4,13688
2018-05-09,3.3,17790
2018-05-10,3.35,16041
2018-05-11,3.3,10400
2018-05-14,3.3,11745
2018-05-15,3.3,21578
2018-05-16,3.45,64709
2018-05-17,3.4,27542
2018-05-18,3.5,17631
2018-05-21,3.4,1741
2018-05-22,3.25,7008
2018-05-23,3.3,6568
2018-05-24,3.21,5623
2018-05-25,3.35,1880
2018-05-29,3.35,1069
2018-05-30,3.3,6145
2018-05-31,3.3,6366
2018-06-01,3.35,3084
2018-06-04,3.3,3879
2018-06-05,3.35,14974
2018-06-06,3.3,5924
2018-06-07,3.3,3946
2018-06-08,3.25,7949
2018-06-11,3.2,6209
2018-06-12,3.2,3855
2018-06-13,3.3,58401
2018-06-14,3.35,13574
2018-06-15,3.35,18150
2018-06-18,3.35,5222
2018-06-19,3.25,11227
2018-06-20,3.2,3637
2018-06-21,3.23,7164
2018-06-22,2.9,58499
2018-06-25,2.95,42716
2018-06-26,2.9,22487
2018-06-27,2.9,25411
2018-06-28,2.8,12850
2018-06-29,2.85,2642
2018-07-02,2.85,4914
2018-07-03,2.8,1733
2018-07-05,2.8,6597
2018-07-06,2.9,10903
2018-07-09,2.85,20761
2018-07-10,2.9,10904
2018-07-11,2.8,5130
2018-07-12,2.79,6006
2018-07-13,2.85,10355
2018-07-16,2.65,18813
2018-07-17,2.73,7245
2018-07-18,2.7,24499
2018-07-19,2.65,4806
2018-07-20,2.65,13185
2018-07-23,2.75,13970
2018-07-24,2.65,12591
2018-07-25,2.7,808
2018-07-26,2.6,11985
2018-07-27,2.65,7434
2018-07-30,2.65,6261
2018-07-31,2.6,20081
2018-08-01,2.6,6048
2018-08-02,2.45,35125
2018-08-03,2.5,12846
2018-08-06,2.55,38992
2018-08-07,2.45,26339
2018-08-08,2.65,17434
2018-08-09,2.5,5888
2018-08-10,2.6,8593
2018-08-13,2.55,18667
2018-08-14,2.45,17621
2018-08-15,2.2,71519
2018-08-16,2.3,25760
2018-08-17,2.4,11309
2018-08-20,2.35,4141
2018-08-21,2.35,15524
2018-08-22,2.4,5949
2018-08-23,2.35,8310
2018-08-24,2.35,5219
2018-08-27,2.3,6674
2018-08-28,2.35,2320
2018-08-29,2.3,10477
2018-08-30,2.2,3853
2018-08-31,2.28,7289
2018-09-04,2.33,4518
2018-09-05,2.25,2691
2018-09-06,2.25,1434
2018-09-07,2.25,12801
2018-09-10,2.25,8909
2018-09-11,2.3,10334
2018-09-12,2.25,12398
2018-09-13,2.3,16764
2018-09-14,2.25,20116
2018-09-17,2.25,17366
2018-09-18,2.25,4628
2018-09-19,2.3,4905
2018-09-20,2.25,2790
2018-09-21,2.25,7093
2018-09-24,2.25,6593
2018-09-25,2.4,10514
2018-09-26,2.2,4278
2018-09-27,2.35,2218
2018-09-28,2.35,10573
2018-10-01,2.31,5707
2018-10-02,2.25,6984
2018-10-03,2.29,7913
2018-10-04,2.26,1108
2018-10-05,2.25,12776
2018-10-08,2.25,3711
2018-10-09,2.25,16775
2018-10-10,2.2,4469
2018-10-11,2.17,10885
2018-10-12,2.25,6533
2018-10-15,2.07,15518
2018-10-16,2.03,17425
2018-10-17,1.95,5779
2018-10-18,1.96,14863
2018-10-19,1.72,24964
2018-10-22,1.72,22366
2018-10-23,1.71,24642
2018-10-24,1.77,9693
2018-10-25,1.7,11659
2018-10-26,1.77,16497
2018-10-29,1.61,4188
2018-10-30,1.74,5764
2018-10-31,1.87,55855
2018-11-01,1.72,30161
2018-11-02,1.79,15012
2018-11-05,1.75,1240
2018-11-06,1.71,2369
2018-11-07,1.74,14006
2018-11-08,1.69,4945
2018-11-09,1.7,11648
2018-11-12,1.6,13626
2018-11-13,1.57,17534
2018-11-14,1.63,26998
2018-11-15,1.54,18105
2018-11-16,1.49,30564
2018-11-19,1.47,14772
2018-11-20,1.47,9725
2018-11-21,1.47,8924
2018-11-23,1.45,4948
2018-11-26,1.41,17921
2018-11-27,1.46,54068
2018-11-28,1.45,3252
2018-11-29,1.5,25646
2018-11-30,1.55,65711
2018-12-03,1.57,66945
2018-12-04,1.54,10379
2018-12-06,1.51,54692
2018-12-07,1.51,95524
2018-12-10,1.48,15896
2018-12-11,1.55,3327
2018-12-12,1.55,9626
2018-12-13,1.49,4066
2018-12-14,1.5,14594
2018-12-17,1.5,12890
2018-12-18,1.39,21824
2018-12-19,1.33,30807
2018-12-20,1.19,56346
2018-12-21,1.19,46704
2018-12-24,1.16,33781
2018-12-26,1.12,134494
2018-12-27,1.11,68139
2018-12-28,1.15,113805
2018-12-31,1.19,93907
2019-01-02,1.2,74769
2019-01-03,1.24,25134
2019-01-04,1.25,45402
2019-01-07,1.33,19236
2019-01-08,1.33,49219
2019-01-09,1.3,84738
2019-01-10,1.31,15308
2019-01-11,1.29,31833
2019-01-14,1.29,17689
2019-01-15,1.3,15049
2019-01-16,1.3,57423
2019-01-17,1.29,12311
2019-01-18,1.33,10983
2019-01-22,1.28,37000
2019-01-23,1.29,3368
2019-01-24,1.3,17084
2019-01-25,1.28,160801
2019-01-28,1.3,74024
2019-01-29,1.3,9133
2019-01-30,1.34,35317
2019-01-31,1.33,70565
2019-02-01,1.36,51135
2019-02-04,1.35,45702
2019-02-05,1.39,129365
2019-02-06,1.43,125145
2019-02-07,1.42,13694
2019-02-08,1.37,34294
2019-02-11,1.37,18928
2019-02-12,1.38,8106
2019-02-13,1.39,7630
2019-02-14,1.33,41965
2019-02-15,1.32,30280
2019-02-19,1.33,54208
2019-02-20,1.33,15357
2019-02-21,1.35,38899
2019-02-22,1.35,54213
2019-02-25,1.35,41864
2019-02-26,1.31,68256
2019-02-27,1.33,41036
2019-02-28,1.38,11110
2019-03-01,1.37,12665
2019-03-04,1.33,33651
2019-03-05,1.33,13428
2019-03-06,1.28,23622
2019-03-07,1.24,52892
2019-03-08,1.33,30325
2019-03-11,1.35,11813
2019-03-12,1.31,42244
2019-03-13,1.27,27162
2019-03-14,1.28,5045
2019-03-15,1.27,10211
2019-03-18,1.34,29476
2019-03-19,1.27,5184
2019-03-20,1.24,17184
2019-03-21,1.18,64753
2019-03-22,1.13,100330
2019-03-25,1.21,40232
2019-03-26,1.2,2861
2019-03-27,1.23,12911
2019-03-28,1.24,25962
2019-03-29,1.2,17481
2019-04-01,1.24,140510
2019-04-02,1.18,81172
2019-04-03,1.16,77913
2019-04-04,1.24,31989
2019-04-05,1.21,146591
2019-04-08,1.22,43128
2019-04-09,1.2,27827
2019-04-10,1.19,40676
2019-04-11,1.18,37950
2019-04-12,1.16,48996
2019-04-15,1.2,27445
2019-04-16,1.26,18095
2019-04-17,1.23,9755
2019-04-18,1.23,14651
2019-04-22,1.17,29636
2019-04-23,1.21,11892
2019-04-24,1.18,16864
2019-04-25,1.21,10602
2019-04-26,1.15,29600
2019-04-29,1.1,47828
2019-04-30,1.08,31220
2019-05-01,1.06,62377
2019-05-02,1.05,33289
2019-05-03,1.09,12615
2019-05-06,1.05,18672
2019-05-07,1.12,27114
2019-05-08,1.08,5266
2019-05-09,1.08,7495
2019-05-10,1.03,31101
2019-05-13,0.98,25998
2019-05-14,0.99,24827
2019-05-15,1.03,38475
2019-05-16,0.8799,97050
