date,close,volume
2018-04-25,43.17,16175730
2018-04-26,43.2,5983233
2018-04-27,43.1,3996639
2018-04-30,42.45,4561860
2018-05-01,44.2,8761176
2018-05-02,43.89,4801455
2018-05-03,44.27,3737001
2018-05-04,44.92,3277824
2018-05-07,45.36,3691383
2018-05-08,44.94,3750498
2018-05-09,45.08,2859333
2018-05-10,45.59,2767314
2018-05-11,46.04,2651202
2018-05-14,46.02,2945172
2018-05-15,45.48,2541300
2018-05-16,45.47,2197905
2018-05-17,45.28,1890501
2018-05-18,45.32,3705759
2018-05-21,45.75,2364726
2018-05-22,45.54,2201673
2018-05-23,46.35,4202964
2018-05-24,45.86,4276578
2018-05-25,45.32,3006990
2018-05-29,45.31,2774970
2018-05-30,45.82,2479500
2018-05-31,45.77,4005105
2018-06-01,47.3,4598106
2018-06-04,47.59,3676512
2018-06-05,47.29,2943447
2018-06-06,47.32,3924936
2018-06-07,47.34,3832908
2018-06-08,47.61,3016920
2018-06-11,48.76,4550820
2018-06-12,49.51,4946481
2018-06-13,50.66,5678397
2018-06-14,50.52,4916145
2018-06-15,50.84,6300456
2018-06-18,51.04,3597360
2018-06-19,51.2,4713609
2018-06-20,51.3,3966066
2018-06-21,50.73,3585228
2018-06-22,50.96,3318891
2018-06-25,50.0,3776910
2018-06-26,50.08,2569935
2018-06-27,48.25,5570049
2018-06-28,48.91,3590754
2018-06-29,48.52,3399978
2018-07-02,48.72,3045414
2018-07-03,48.51,1849761
2018-07-05,48.82,2806866
2018-07-06,49.18,2191530
2018-07-09,49.0,3557706
2018-07-10,49.02,1859577
2018-07-11,48.22,5669235
2018-07-12,49.06,3070737
2018-07-13,49.38,2912100
2018-07-16,48.89,2275974
2018-07-17,49.73,4121214
2018-07-18,49.94,2849964
2018-07-19,50.09,2565729
2018-07-20,50.87,4652664
2018-07-23,50.89,2794020
2018-07-24,50.77,2899104
2018-07-25,51.71,3473841
2018-07-26,51.69,3662598
2018-07-27,47.29,11378130
2018-07-30,47.39,7953408
2018-07-31,47.48,5237088
2018-08-01,47.59,3210732
2018-08-02,48.35,2874465
2018-08-03,48.4,2765274
2018-08-06,48.13,2619363
2018-08-07,47.58,2931012
2018-08-08,46.57,4921305
2018-08-09,46.38,3092622
2018-08-10,46.02,2677872
2018-08-13,45.7,2548440
2018-08-14,45.71,3061308
2018-08-15,45.96,4539156
2018-08-16,46.46,4177623
2018-08-17,46.59,4260921
2018-08-20,46.94,2419788
2018-08-21,46.8,2668287
2018-08-22,47.04,1829412
2018-08-23,47.01,2208447
2018-08-24,47.24,2595213
2018-08-27,46.91,3240783
2018-08-28,47.33,4503126
2018-08-29,47.94,3034062
2018-08-30,47.93,1992270
2018-08-31,48.08,2102502
2018-09-04,47.47,5265036
2018-09-05,46.6,3808527
2018-09-06,46.85,2622069
2018-09-07,47.11,3427461
2018-09-10,47.45,2168121
2018-09-11,47.97,4142655
2018-09-12,48.31,2325132
2018-09-13,48.63,2137518
2018-09-14,49.33,3798039
2018-09-17,48.76,2763621
2018-09-18,48.65,2526987
2018-09-19,49.57,3661548
2018-09-20,50.49,4877763
2018-09-21,51.23,5935227
2018-09-24,55.16,10980807
2018-09-25,56.12,8626722
2018-09-26,56.8,5603208
2018-09-27,57.39,5034027
2018-09-28,58.03,5826663
2018-10-01,56.94,6272370
2018-10-02,54.03,8121216
2018-10-03,51.91,10749561
2018-10-04,50.98,6264096
2018-10-05,50.56,5927412
2018-10-08,49.05,7759614
2018-10-09,49.31,6312360
2018-10-10,46.75,7758339
2018-10-11,46.59,6856323
2018-10-12,47.8,6355872
2018-10-15,47.26,6027561
2018-10-16,49.01,5436207
2018-10-17,49.54,4090668
2018-10-18,49.11,5532765
2018-10-19,48.47,13120506
2018-10-22,49.77,7105107
2018-10-23,49.43,8829195
2018-10-24,46.79,13052763
2018-10-25,47.78,5313381
2018-10-26,46.71,5264943
2018-10-29,46.41,6184581
2018-10-30,47.52,3914793
2018-10-31,49.2,5831694
2018-11-01,50.49,5383290
2018-11-02,50.93,4443768
2018-11-05,49.92,5685570
2018-11-06,50.91,2768298
2018-11-07,52.62,3719577
2018-11-08,52.38,2827755
2018-11-09,51.06,5821332
2018-11-12,49.27,4423281
2018-11-13,49.41,3521052
2018-11-14,49.55,4943430
2018-11-15,51.04,4035219
2018-11-16,51.9,4234083
2018-11-19,49.96,5123688
2018-11-20,49.86,6274791
2018-11-21,49.41,3380451
2018-11-23,49.4,1347090
2018-11-26,50.88,3479934
2018-11-27,51.51,3862425
2018-11-28,53.68,5012952
2018-11-29,54.27,3777450
2018-11-30,54.0,5383626
2018-12-03,54.48,4321656
2018-12-04,52.45,4931694
2018-12-06,54.44,7339746
2018-12-07,52.4,3480816
2018-12-10,53.97,3363999
2018-12-11,54.4,3216474
2018-12-12,54.38,3687882
2018-12-13,54.65,3347724
2018-12-14,53.38,2892039
2018-12-17,51.67,2949705
2018-12-18,52.02,3250002
2018-12-19,51.22,3619380
2018-12-20,49.51,4342479
2018-12-21,48.07,6750648
2018-12-24,46.64,2537085
2018-12-26,49.33,4192839
2018-12-27,50.0,5165655
2018-12-28,50.14,2538933
2018-12-31,51.06,2324988
2019-01-02,49.75,3060159
2019-01-03,47.89,4591548
2019-01-04,49.57,3782217
2019-01-07,49.91,3992916
2019-01-08,50.87,2835288
2019-01-09,51.45,3024024
2019-01-10,51.7,2779638
2019-01-11,50.93,3033636
2019-01-14,49.83,3969939
2019-01-15,54.03,7925754
2019-01-16,52.21,5928678
2019-01-17,53.04,4785315
2019-01-18,56.14,6916329
2019-01-22,56.1,4429818
2019-01-23,55.89,4719156
2019-01-24,56.4,3423387
2019-01-25,56.88,3453123
2019-01-28,56.11,3222357
2019-01-29,55.37,3053292
2019-01-30,56.25,2719446
2019-01-31,56.81,4335291
2019-02-01,56.23,6626064
2019-02-04,57.1,4088436
2019-02-05,56.7,3626718
2019-02-06,56.86,3005433
2019-02-07,56.75,2560968
2019-02-08,57.31,2708235
2019-02-11,57.77,2803149
2019-02-12,59.2,4050465
2019-02-13,58.74,2310063
2019-02-14,58.71,1461849
2019-02-15,59.26,2572137
2019-02-19,59.01,2175678
2019-02-20,58.89,2764419
2019-02-21,57.98,4420149
2019-02-22,57.5,4295343
2019-02-25,56.81,4589301
2019-02-26,56.04,4287129
2019-02-27,56.2,2058549
2019-02-28,56.43,4748040
2019-03-01,57.9,3847152
2019-03-04,57.07,4936599
2019-03-05,57.53,2803290
2019-03-06,57.21,2965890
2019-03-07,56.99,2611653
2019-03-08,56.42,3129432
2019-03-11,57.85,4588362
2019-03-12,58.48,4414500
2019-03-13,59.3,7502298
2019-03-14,59.34,5482839
2019-03-15,59.92,7611921
2019-03-18,63.63,14296866
2019-03-19,63.12,7527660
2019-03-20,62.97,3183270
2019-03-21,64.05,2578554
2019-03-22,63.0,3180096
2019-03-25,63.13,2579880
2019-03-26,63.43,2703012
2019-03-27,62.52,2234721
2019-03-28,62.92,1652577
2019-03-29,63.78,2247027
2019-04-01,63.33,4106910
2019-04-02,63.33,3168276
2019-04-03,63.57,4122261
2019-04-04,63.1,2511648
2019-04-05,62.77,2584005
2019-04-08,62.84,2696754
2019-04-09,63.32,2742255
2019-04-10,62.94,3257994
2019-04-11,63.45,2506974
2019-04-12,63.9,3145344
2019-04-15,63.08,2423634
2019-04-16,63.46,4880193
2019-04-17,59.16,8411202
2019-04-18,59.09,8024553
2019-04-22,59.42,3783579
2019-04-23,60.33,4736442
2019-04-24,59.24,7201233
2019-04-25,59.07,4303482
2019-04-26,58.71,3854142
2019-04-29,58.11,4102317
2019-04-30,58.69,2721873
2019-05-01,58.46,2761878
2019-05-02,59.55,3087642
2019-05-03,60.5,2990178
2019-05-06,61.0,3199674
2019-05-07,59.44,2917065
2019-05-08,59.26,2764734
2019-05-09,60.45,3499914
2019-05-10,60.37,2572701
2019-05-13,59.39,2607417
2019-05-14,59.63,2125905
2019-05-15,59.08,3702894
2019-05-16,59.05,2780598
2019-05-17,57.71,3264759
2019-05-20,57.59,3517725
2019-05-21,57.33,3674295
2019-05-22,57.55,3229584
2019-05-23,56.66,3220527
2019-05-24,56.46,3215808
2019-05-28,56.43,4212297
2019-05-29,55.74,3789738
2019-05-30,56.67,2242863
2019-05-31,56.9,3995160
2019-06-03,56.27,4625706
2019-06-04,58.01,3705771
2019-06-05,59.1,3996381
2019-06-06,59.93,3000957
2019-06-07,61.27,3599928
2019-06-10,61.74,3916119
2019-06-11,61.87,3063138
2019-06-12,61.6,3270912
2019-06-13,61.55,4069818
2019-06-14,61.31,3233817
2019-06-17,61.58,3212316
2019-06-18,63.1,3420096
2019-06-19,63.66,5916951
2019-06-20,64.29,7109682
2019-06-21,64.41,7141617
2019-06-24,63.92,4497162
2019-06-25,63.99,5899257
2019-06-26,62.35,3286497
2019-06-27,61.81,4940967
2019-06-28,61.58,12762378
2019-07-01,61.76,5541021
2019-07-02,61.55,4950765
2019-07-03,62.47,2281776
2019-07-05,62.77,2854776
2019-07-08,62.25,2775777
2019-07-09,63.33,4002348
2019-07-10,63.73,3510126
2019-07-11,65.01,2598162
2019-07-12,63.82,3078243
2019-07-15,63.63,2994723
2019-07-16,62.51,2461704
2019-07-17,63.25,2771628
2019-07-18,64.36,4345848
2019-07-19,64.78,3974316
2019-07-22,64.67,4221819
2019-07-23,65.15,3602718
2019-07-24,71.63,10900371
2019-07-25,70.82,4080093
2019-07-26,70.95,4142268
2019-07-29,72.09,3401349
2019-07-30,72.29,2978274
2019-07-31,70.95,2286123
2019-08-01,71.69,3764319
2019-08-02,71.45,3128163
2019-08-05,69.81,3364020
2019-08-06,70.91,2766915
2019-08-07,71.03,2808588
2019-08-08,72.37,2471055
2019-08-09,72.54,1757142
2019-08-12,71.96,1967022
2019-08-13,73.07,2822412
2019-08-14,71.17,2391840
2019-08-15,71.74,3177669
2019-08-16,73.11,3248295
2019-08-19,74.17,3884505
2019-08-20,74.0,3384147
2019-08-21,73.93,2530521
2019-08-22,72.22,8070153
2019-08-23,70.68,3059463
2019-08-26,71.89,1680075
2019-08-27,71.63,2283414
2019-08-28,72.3,1405374
2019-08-29,73.36,2067441
2019-08-30,73.95,2469807
2019-09-03,72.87,2172564
2019-09-04,73.29,2381802
2019-09-05,74.99,3578889
2019-09-06,75.43,2922129
2019-09-09,72.4,3001749
2019-09-10,72.76,4134951
