date,close,volume
2018-04-25,25.33,2868303
2018-04-26,25.36,2941904
2018-04-27,25.46,2651773
2018-04-30,25.71,3889563
2018-05-01,25.7,2183548
2018-05-02,25.71,2935892
2018-05-03,25.63,4359215
2018-05-04,25.58,5637564
2018-05-07,25.28,5067675
2018-05-08,25.65,4173696
2018-05-09,25.78,2879473
2018-05-10,26.08,5174299
2018-05-11,26.37,6287059
2018-05-14,26.51,16882192
2018-05-15,26.2,4628907
2018-05-16,26.25,5626788
2018-05-17,25.89,2682824
2018-05-18,25.87,4465015
2018-05-21,26.44,2521674
2018-05-22,26.42,3511955
2018-05-23,26.12,4686032
2018-05-24,26.03,2406900
2018-05-25,26.07,7077020
2018-05-29,25.79,6554943
2018-05-30,25.87,4635438
2018-05-31,25.99,4520111
2018-06-01,26.0,3382031
2018-06-04,26.13,2616862
2018-06-05,26.27,17906727
2018-06-06,26.52,4495372
2018-06-07,26.36,6205695
2018-06-08,26.23,4887807
2018-06-11,26.26,4312798
2018-06-12,26.1,3935350
2018-06-13,25.86,9446494
2018-06-14,25.75,4008380
2018-06-15,25.69,4218796
2018-06-18,25.51,3579338
2018-06-19,24.71,2865114
2018-06-20,24.86,3390242
2018-06-21,24.39,6198602
2018-06-22,24.63,3453457
2018-06-25,24.3,4473958
2018-06-26,24.38,4652515
2018-06-27,23.96,5892596
2018-06-28,24.2,3741692
2018-06-29,24.21,4229774
2018-07-02,23.87,4232669
2018-07-03,23.89,3814246
2018-07-05,23.92,3067749
2018-07-06,24.18,4647365
2018-07-09,24.55,2837632
2018-07-10,24.46,3172707
2018-07-11,24.16,5525717
2018-07-12,24.4,7334481
2018-07-13,24.43,5945070
2018-07-16,24.41,2222449
2018-07-17,24.36,3146863
2018-07-18,24.27,1969316
2018-07-19,24.14,4309183
2018-07-20,24.39,3363007
2018-07-23,24.39,2960944
2018-07-24,24.69,2856436
2018-07-25,24.95,2817332
2018-07-26,24.69,2794519
2018-07-27,24.61,5792699
2018-07-30,24.65,6682100
2018-07-31,24.76,7873993
2018-08-01,24.35,5530984
2018-08-02,23.98,4600897
2018-08-03,23.96,1935551
2018-08-06,24.07,3112176
2018-08-07,24.5,6417594
2018-08-08,24.53,4015558
2018-08-09,24.62,2304203
2018-08-10,24.27,3880188
2018-08-13,24.13,4266326
2018-08-14,24.19,4550873
2018-08-15,23.65,7473745
2018-08-16,23.75,4820490
2018-08-17,23.92,7204009
2018-08-20,23.98,2895512
2018-08-21,24.07,5644232
2018-08-22,24.15,3530175
2018-08-23,23.85,4775164
2018-08-24,23.95,4869246
2018-08-27,24.31,3589760
2018-08-28,24.23,2956731
2018-08-29,24.6,2208222
2018-08-30,24.11,4984345
2018-08-31,24.15,4074969
2018-09-04,24.14,3570733
2018-09-05,23.53,17620311
2018-09-06,23.3,3977087
2018-09-07,23.04,5117808
2018-09-10,22.87,4824381
2018-09-11,22.82,7644696
2018-09-12,23.17,10084062
2018-09-13,23.57,7087631
2018-09-14,23.6,9369553
2018-09-17,23.51,3832204
2018-09-18,23.82,3260788
2018-09-19,23.97,3081668
2018-09-20,24.02,4286923
2018-09-21,24.23,5185925
2018-09-24,23.93,3372486
2018-09-25,24.01,4122418
2018-09-26,24.09,4608719
2018-09-27,24.14,4233307
2018-09-28,23.92,6231152
2018-10-01,24.05,3394671
2018-10-02,23.48,5718542
2018-10-03,23.35,3959710
2018-10-04,22.83,7660575
2018-10-05,22.86,6074029
2018-10-08,22.69,5433852
2018-10-09,22.71,4454013
2018-10-10,22.26,9063575
2018-10-11,22.03,12343198
2018-10-12,22.29,6557481
2018-10-15,22.16,4401819
2018-10-16,22.25,4021710
2018-10-17,22.15,4137416
2018-10-18,21.89,5569518
2018-10-19,22.15,4145759
2018-10-22,22.56,3252252
2018-10-23,22.09,6549374
2018-10-24,21.57,5874507
2018-10-25,21.71,5609859
2018-10-26,21.5,6948217
2018-10-29,21.26,6804919
2018-10-30,21.3,3811908
2018-10-31,21.37,7454289
2018-11-01,21.99,7724818
2018-11-02,22.36,6156170
2018-11-05,22.26,4519609
2018-11-06,22.22,2353859
2018-11-07,22.67,5651972
2018-11-08,22.16,6634578
2018-11-09,21.88,6789043
2018-11-12,21.81,3560576
2018-11-13,22.31,7196725
2018-11-14,22.28,5020678
2018-11-15,22.79,8234047
2018-11-16,22.87,5346990
2018-11-19,22.78,5110567
2018-11-20,22.24,4543698
2018-11-21,22.59,4651370
2018-11-23,22.62,1148237
2018-11-26,23.14,3933616
2018-11-27,23.04,3534560
2018-11-28,23.38,4939759
2018-11-29,23.1,5525371
2018-11-30,23.08,4635629
2018-12-03,23.7,7939641
2018-12-04,23.48,6405196
2018-12-06,23.2,6547088
2018-12-07,22.92,5711903
2018-12-10,22.73,5287958
2018-12-11,22.86,5393913
2018-12-12,23.19,6055620
2018-12-13,23.31,7730966
2018-12-14,23.29,4622083
2018-12-17,23.08,6638370
