date,close,volume
2018-04-25,25.4,20
2018-04-26,25.4,10
2018-04-27,25.4,70
2018-04-30,25.2,180
2018-05-01,25.15,1563
2018-05-02,25.15,130
2018-05-03,25.7,704
2018-05-04,25.2,1786
2018-05-07,25.03,164
2018-05-08,25.03,0
2018-05-09,25.21,517
2018-05-10,25.02,7562
2018-05-11,24.7,1362
2018-05-14,24.37,270
2018-05-15,24.89,1203
2018-05-16,24.89,2
2018-05-17,24.89,50
2018-05-18,24.82,2727
2018-05-21,24.82,237
2018-05-22,24.82,142
2018-05-23,25.25,685
2018-05-24,25.25,119
2018-05-25,25.59,578
2018-05-29,25.98,2734
2018-05-30,25.59,1484
2018-05-31,25.88,1204
2018-06-01,25.88,136
2018-06-04,25.34,2959
2018-06-05,25.4,452
2018-06-06,25.08,259
2018-06-07,25.07,747
2018-06-08,25.07,89
2018-06-11,25.07,37
2018-06-12,25.07,0
2018-06-13,24.81,282
2018-06-14,24.81,0
2018-06-15,25.63,700
2018-06-18,26.08,525
2018-06-19,26.59,2734
2018-06-20,26.42,240
2018-06-21,26.51,2417
2018-06-22,26.04,2512
2018-06-25,27.13,3182
2018-06-26,26.73,3542
2018-06-27,26.57,263
2018-06-28,27.12,1327
2018-06-29,27.14,754
2018-07-02,28.13,2001
2018-07-03,27.97,1072
2018-07-05,28.18,439
2018-07-06,27.88,363
2018-07-09,27.15,4035
2018-07-10,27.29,1008
2018-07-11,28.12,4793
2018-07-12,28.12,28
2018-07-13,27.55,905
2018-07-16,27.36,330
2018-07-17,27.01,5050
2018-07-18,26.97,5605
2018-07-19,27.35,805
2018-07-20,26.88,6147
2018-07-23,26.69,3390
2018-07-24,26.5,6813
2018-07-25,26.32,151
2018-07-26,25.99,5678
2018-07-27,25.91,7524
2018-07-30,26.29,5498
2018-07-31,26.61,3182
2018-08-01,26.4,1023
2018-08-02,26.69,1510
2018-08-03,26.81,650
2018-08-06,27.07,1058
2018-08-07,26.47,455
2018-08-08,26.63,484
2018-08-09,26.63,10
2018-08-10,27.65,5341
