date,close,volume
2018-04-25,11.1,14325
2018-04-26,11.05,27711
2018-04-27,11.03,21976
2018-04-30,11.04,15729
2018-05-01,11.01,20898
2018-05-02,10.84,58287
2018-05-03,10.85,17993
2018-05-04,10.83,18459
2018-05-07,10.78,13678
2018-05-08,10.65,63498
2018-05-09,10.61,30790
2018-05-10,10.68,70034
2018-05-11,10.7,28459
2018-05-14,10.74,21153
2018-05-15,10.6,25893
2018-05-16,10.59,26172
2018-05-17,10.52,66058
2018-05-18,10.47,10159
2018-05-21,10.45,36586
2018-05-22,10.47,16477
2018-05-23,10.45,50307
2018-05-24,10.47,39312
2018-05-25,10.48,29079
2018-05-29,10.46,51390
2018-05-30,10.46,22469
2018-05-31,10.48,78319
2018-06-01,10.36,46183
2018-06-04,10.33,57652
2018-06-05,10.4,54783
2018-06-06,10.34,25132
2018-06-07,10.32,24411
2018-06-08,10.28,29246
2018-06-11,10.28,22824
2018-06-12,10.19,46943
2018-06-13,10.11,54372
2018-06-14,10.11,110498
2018-06-15,10.06,33253
2018-06-18,10.0,61004
2018-06-19,10.04,34789
2018-06-20,9.95,76409
2018-06-21,9.94,67660
2018-06-22,10.04,25334
2018-06-25,9.96,137392
2018-06-26,9.94,80344
2018-06-27,9.96,75807
2018-06-28,9.96,38388
2018-06-29,10.03,66766
2018-07-02,9.93,35301
2018-07-03,9.94,43493
2018-07-05,9.97,44126
2018-07-06,10.08,75987
2018-07-09,10.12,72559
2018-07-10,10.14,33878
2018-07-11,10.12,41363
2018-07-12,10.13,42153
2018-07-13,10.13,33249
2018-07-16,10.09,57537
2018-07-17,10.09,47337
2018-07-18,10.07,41347
2018-07-19,10.06,19951
2018-07-20,10.09,52497
2018-07-23,10.08,27899
2018-07-24,10.09,76916
2018-07-25,10.15,99381
2018-07-26,10.12,92807
2018-07-27,10.14,35908
2018-07-30,10.1,128898
2018-07-31,10.14,28866
2018-08-01,10.04,30859
2018-08-02,10.04,59716
2018-08-03,10.04,76915
2018-08-06,10.06,54388
2018-08-07,10.07,60674
2018-08-08,10.03,30668
