date,close,volume
2018-04-25,26.86,99381
2018-04-26,27.04,78225
2018-04-27,27.51,124546
2018-04-30,27.45,80654
2018-05-01,27.59,93404
2018-05-02,27.79,93928
2018-05-03,27.03,295621
2018-05-04,27.18,148224
2018-05-07,26.82,331428
2018-05-08,26.06,505524
2018-05-09,25.34,363074
2018-05-10,26.01,189381
2018-05-11,25.91,114604
2018-05-14,26.21,75232
2018-05-15,27.99,257660
2018-05-16,29.98,304825
2018-05-17,29.97,89806
2018-05-18,27.91,307906
2018-05-21,28.87,193099
2018-05-22,28.44,452990
2018-05-23,29.17,260186
2018-05-24,29.53,225921
2018-05-25,29.41,130507
2018-05-29,28.65,98434
2018-05-30,28.77,153638
2018-05-31,28.97,733252
2018-06-01,29.92,225958
2018-06-04,30.0,161905
2018-06-05,30.6,357792
2018-06-06,31.11,165287
2018-06-07,30.48,132831
2018-06-08,35.76,581110
2018-06-11,33.8,580636
2018-06-12,34.26,226012
2018-06-13,33.19,240767
2018-06-14,36.83,477899
2018-06-15,34.99,395478
2018-06-18,36.34,203125
2018-06-19,34.63,140779
2018-06-20,34.62,118389
2018-06-21,33.5,213611
2018-06-22,35.23,121845
2018-06-25,33.74,173084
2018-06-26,32.69,164389
2018-06-27,27.09,850096
2018-06-28,28.1,478609
2018-06-29,28.5,328863
2018-07-02,27.92,147429
2018-07-03,27.3,101923
2018-07-05,26.96,259911
2018-07-06,29.0,518267
2018-07-09,30.57,175551
2018-07-10,30.59,242198
2018-07-11,31.0,288705
2018-07-12,30.65,306730
2018-07-13,30.96,174836
2018-07-16,30.91,137438
2018-07-17,31.26,165479
2018-07-18,31.33,139764
2018-07-19,30.89,155329
2018-07-20,30.72,187357
2018-07-23,31.0,186353
2018-07-24,31.36,176418
2018-07-25,31.53,157877
2018-07-26,31.12,132460
2018-07-27,30.72,268134
2018-07-30,28.12,236508
2018-07-31,27.11,245918
2018-08-01,28.0,188119
2018-08-02,27.42,214860
2018-08-03,28.0,156413
2018-08-06,27.66,111448
2018-08-07,27.5,159212
2018-08-08,28.34,305769
2018-08-09,28.41,111420
2018-08-10,28.58,154536
2018-08-13,28.92,191379
2018-08-14,27.0,408896
2018-08-15,26.21,210374
2018-08-16,25.46,175860
2018-08-17,25.26,202967
2018-08-20,25.54,174930
2018-08-21,26.0,273504
2018-08-22,25.39,166114
2018-08-23,24.85,146659
2018-08-24,26.15,158677
2018-08-27,23.4,3073288
2018-08-28,23.2,2094704
2018-08-29,24.13,1101626
2018-08-30,23.4,579435
2018-08-31,23.28,1379450
2018-09-04,24.0,271317
2018-09-05,24.49,297480
2018-09-06,24.87,243728
2018-09-07,24.88,198651
2018-09-10,25.47,166156
2018-09-11,26.4,174926
2018-09-12,27.4,267430
2018-09-13,27.81,203227
2018-09-14,25.27,306329
2018-09-17,25.77,286618
2018-09-18,26.57,176889
2018-09-19,27.08,169530
2018-09-20,27.89,368989
2018-09-21,28.4,1797430
2018-09-24,27.53,209511
2018-09-25,27.98,118186
2018-09-26,28.03,107789
2018-09-27,28.84,1899646
2018-09-28,27.02,131509
