date,close,volume
2018-04-25,6.67,104006
2018-04-26,6.69,177683
2018-04-27,6.73,300270
2018-04-30,6.8,255199
2018-05-01,6.57,208154
2018-05-02,6.55,74965
2018-05-03,6.53,95132
2018-05-04,6.53,67811
2018-05-07,6.56,104625
2018-05-08,6.52,187956
2018-05-09,6.69,180161
2018-05-10,6.83,152393
2018-05-11,6.73,115640
2018-05-14,6.88,213388
2018-05-15,7.98,1227258
2018-05-16,8.35,1101295
2018-05-17,8.08,418109
2018-05-18,7.44,890510
2018-05-21,7.32,336130
2018-05-22,7.38,283410
2018-05-23,7.35,145420
2018-05-24,7.43,548014
2018-05-25,7.36,268504
2018-05-29,7.44,552404
2018-05-30,7.44,198884
2018-05-31,7.43,330912
2018-06-01,7.69,333826
2018-06-04,6.94,2175345
2018-06-05,6.62,1361668
2018-06-06,6.77,858170
2018-06-07,6.79,634094
2018-06-08,6.57,948465
2018-06-11,6.51,671478
2018-06-12,6.47,584045
2018-06-13,6.42,593034
2018-06-14,6.21,1125236
2018-06-15,6.62,970147
2018-06-18,6.61,873917
2018-06-19,6.27,399225
2018-06-20,6.38,711289
2018-06-21,6.33,394322
2018-06-22,6.2,491978
2018-06-25,5.99,1193198
2018-06-26,5.84,1735469
2018-06-27,5.9,1168627
2018-06-28,5.97,1081868
2018-06-29,5.95,575633
2018-07-02,5.87,351199
2018-07-03,5.7,326852
2018-07-05,5.79,729102
2018-07-06,5.8,598115
2018-07-09,5.49,1388931
2018-07-10,4.84,1571543
2018-07-11,4.52,1758673
2018-07-12,4.59,1378592
2018-07-13,4.36,1164453
2018-07-16,4.39,943478
2018-07-17,4.43,606924
2018-07-18,4.24,802024
2018-07-19,3.99,1910718
2018-07-20,4.09,515209
2018-07-23,4.22,1015091
2018-07-24,4.71,1686935
2018-07-25,4.93,1582278
2018-07-26,4.91,942886
2018-07-27,4.77,1234230
2018-07-30,4.68,984732
2018-07-31,4.54,574302
2018-08-01,4.01,1667101
2018-08-02,4.13,744616
2018-08-03,4.2,630266
2018-08-06,4.18,411557
2018-08-07,4.35,1409284
2018-08-08,4.32,1151823
2018-08-09,4.4,691832
2018-08-10,4.03,1048427
2018-08-13,4.1,700428
2018-08-14,4.31,904330
2018-08-15,4.19,929107
2018-08-16,4.27,559878
2018-08-17,4.85,1001604
2018-08-20,5.12,1289667
2018-08-21,5.19,1385821
2018-08-22,5.5,2472590
2018-08-23,5.5,857912
2018-08-24,5.95,1551132
2018-08-27,5.71,2327709
2018-08-28,5.82,672389
2018-08-29,5.99,2039164
2018-08-30,6.11,1591545
2018-08-31,6.5,1566134
2018-09-04,6.82,1722847
2018-09-05,6.75,1334053
2018-09-06,6.22,1553224
2018-09-07,6.23,1086897
2018-09-10,5.79,998110
2018-09-11,5.88,692464
2018-09-12,5.97,808594
2018-09-13,5.93,547199
2018-09-14,6.06,602951
2018-09-17,6.04,409620
2018-09-18,5.87,390543
2018-09-19,5.86,435559
2018-09-20,5.89,393764
2018-09-21,6.6,2344240
2018-09-24,5.99,1505908
2018-09-25,5.76,866377
2018-09-26,5.37,1368892
2018-09-27,5.35,682530
2018-09-28,5.38,720330
2018-10-01,5.3,638905
2018-10-02,5.26,1295517
2018-10-03,5.6,1070826
2018-10-04,5.75,1258446
2018-10-05,5.98,940569
2018-10-08,6.03,868596
2018-10-09,5.99,509020
2018-10-10,5.9,1173077
2018-10-11,5.86,671899
2018-10-12,5.9,634930
2018-10-15,5.99,456356
2018-10-16,5.99,402636
2018-10-17,6.04,406967
2018-10-18,5.9,538840
2018-10-19,5.83,323536
2018-10-22,5.72,304120
2018-10-23,5.5,913054
2018-10-24,5.43,626644
2018-10-25,5.75,463631
2018-10-26,5.63,391654
2018-10-29,5.58,263730
2018-10-30,5.46,272758
2018-10-31,5.71,198535
2018-11-01,6.22,1123071
2018-11-02,6.29,1123653
2018-11-05,5.95,670084
2018-11-06,5.66,1302591
2018-11-07,5.75,270006
2018-11-08,5.76,286643
2018-11-09,5.64,111783
2018-11-12,5.44,251333
2018-11-13,5.65,175389
2018-11-14,5.99,232635
2018-11-15,5.91,427627
2018-11-16,5.51,523036
2018-11-19,5.44,416484
2018-11-20,5.75,935242
2018-11-21,6.19,765218
2018-11-23,6.24,612910
2018-11-26,6.19,838870
2018-11-27,6.2,676989
2018-11-28,6.27,1374160
2018-11-29,5.64,762642
2018-11-30,5.55,489149
2018-12-03,5.64,732237
2018-12-04,5.05,1653601
2018-12-06,5.04,742533
2018-12-07,5.0,654227
2018-12-10,4.95,523644
2018-12-11,4.43,978175
2018-12-12,4.47,1212416
2018-12-13,4.92,1241383
2018-12-14,4.39,3193718
2018-12-17,4.01,2543934
2018-12-18,3.9,1413081
2018-12-19,3.78,950072
2018-12-20,3.76,878131
2018-12-21,3.86,887906
2018-12-24,3.82,307628
2018-12-26,3.7,930677
2018-12-27,3.6,816206
2018-12-28,3.66,814713
2018-12-31,3.6,560025
2019-01-02,3.69,356424
2019-01-03,3.63,527311
2019-01-04,3.71,976090
2019-01-07,3.89,746296
2019-01-08,3.77,656026
2019-01-09,3.78,1036902
2019-01-10,3.86,726250
2019-01-11,3.91,719965
2019-01-14,3.7,1362852
2019-01-15,3.72,948475
2019-01-16,3.79,754887
2019-01-17,3.77,619488
2019-01-18,3.68,743007
2019-01-22,3.53,2448946
2019-01-23,3.28,957149
2019-01-24,3.1,1408648
2019-01-25,3.34,743999
2019-01-28,3.27,504105
2019-01-29,3.45,1182251
2019-01-30,3.47,563148
2019-01-31,3.56,475660
2019-02-01,3.6,529894
2019-02-04,3.5,447252
2019-02-05,3.52,273786
2019-02-06,3.47,204109
2019-02-07,3.48,273276
2019-02-08,3.4,242296
2019-02-11,3.5,168541
2019-02-12,3.65,280455
2019-02-13,3.67,663290
2019-02-14,3.73,818934
2019-02-15,3.91,786672
2019-02-19,4.07,1158008
2019-02-20,4.06,479853
2019-02-21,4.31,1043275
2019-02-22,4.43,1367014
2019-02-25,5.02,3482182
2019-02-26,5.37,1801775
2019-02-27,5.17,1407912
2019-02-28,4.82,1039177
2019-03-01,5.35,1193543
2019-03-04,5.41,1667114
2019-03-05,5.29,655943
2019-03-06,5.14,497222
