date,close,volume
2018-04-25,59.64,1525362
2018-04-26,59.46,1060300
2018-04-27,60.22,1292694
2018-04-30,58.95,1054684
2018-05-01,59.04,875776
2018-05-02,58.74,1302693
2018-05-03,58.99,1223861
2018-05-04,45.76,12390583
2018-05-07,44.49,6302667
2018-05-08,44.67,3163816
2018-05-09,45.42,3487992
2018-05-10,46.36,2116288
2018-05-11,46.55,1625413
2018-05-14,46.84,1624717
2018-05-15,48.48,3374060
2018-05-16,49.25,2727813
2018-05-17,49.78,2505214
2018-05-18,49.9,2369474
2018-05-21,50.12,1946550
2018-05-22,50.13,1479804
2018-05-23,49.02,2151716
2018-05-24,48.75,1484825
2018-05-25,48.53,1102959
2018-05-29,48.39,1225640
2018-05-30,49.56,1091411
2018-05-31,48.74,1871902
2018-06-01,49.0,1675663
2018-06-04,48.77,973208
2018-06-05,49.11,1899788
2018-06-06,49.61,1727655
2018-06-07,49.67,1054286
2018-06-08,50.34,780439
2018-06-11,50.33,836277
2018-06-12,49.82,1010592
2018-06-13,49.44,1316230
2018-06-14,48.89,1400104
2018-06-15,48.68,2344312
2018-06-18,49.71,1373886
2018-06-19,49.21,721424
2018-06-20,49.69,714890
2018-06-21,48.69,923637
2018-06-22,49.52,1322529
2018-06-25,48.5,940040
2018-06-26,48.72,969112
2018-06-27,48.48,1011129
2018-06-28,48.2,1519268
2018-06-29,48.78,828296
2018-07-02,48.59,1194022
2018-07-03,48.41,417250
2018-07-05,48.73,1012735
2018-07-06,49.05,860041
2018-07-09,49.69,1151595
2018-07-10,49.76,918464
2018-07-11,48.84,647796
2018-07-12,48.89,614612
2018-07-13,49.45,1147194
2018-07-16,48.09,1450040
2018-07-17,48.39,1224840
2018-07-18,49.1,1442375
2018-07-19,49.32,679754
2018-07-20,48.92,863751
2018-07-23,48.74,629858
2018-07-24,49.59,1347844
2018-07-25,50.41,1293533
2018-07-26,50.59,1746781
2018-07-27,50.4,1150301
2018-07-30,50.71,739667
2018-07-31,51.25,1019914
2018-08-01,51.09,1430411
2018-08-02,51.7,1913917
2018-08-03,55.65,2789975
2018-08-06,56.29,2182998
2018-08-07,56.35,1584996
2018-08-08,56.33,1003806
2018-08-09,56.14,950317
2018-08-10,55.66,743695
2018-08-13,55.42,1296226
2018-08-14,56.28,1130516
2018-08-15,55.22,1337322
2018-08-16,55.86,830690
2018-08-17,56.82,1152759
2018-08-20,57.0,1203971
2018-08-21,57.62,1676822
2018-08-22,57.51,1030222
2018-08-23,57.56,566576
2018-08-24,57.7,964173
2018-08-27,58.63,1020454
2018-08-28,58.28,1034305
2018-08-29,58.33,848032
2018-08-30,57.75,686669
2018-08-31,57.41,1178229
2018-09-04,56.55,1418359
2018-09-05,56.92,1222541
2018-09-06,56.38,1237233
2018-09-07,56.11,846389
2018-09-10,56.97,1135294
2018-09-11,57.15,785396
2018-09-12,57.62,559330
2018-09-13,57.45,757298
2018-09-14,57.84,735776
2018-09-17,57.63,678560
2018-09-18,58.57,801580
2018-09-19,58.9,1109202
2018-09-20,59.0,781804
2018-09-21,59.43,1170158
2018-09-24,59.06,672647
2018-09-25,58.62,797207
2018-09-26,58.15,726515
2018-09-27,58.37,646328
2018-09-28,58.1,2180489
2018-10-01,58.61,1808485
2018-10-02,60.25,1750294
2018-10-03,59.54,1516225
2018-10-04,59.11,1070033
2018-10-05,58.72,778299
2018-10-08,59.33,2480147
2018-10-09,58.71,1302919
2018-10-10,56.22,1484149
2018-10-11,46.53,6788188
2018-10-12,46.71,3620043
2018-10-15,45.23,2137091
2018-10-16,46.87,2579092
2018-10-17,46.74,2431304
2018-10-18,46.79,2076492
2018-10-19,46.66,1915980
2018-10-22,46.22,1654327
2018-10-23,44.98,1347165
2018-10-24,42.61,1937393
2018-10-25,43.61,1389998
2018-10-26,44.16,2301144
2018-10-29,43.4,2910800
2018-10-30,44.53,1552537
2018-10-31,43.86,2212902
2018-11-01,44.83,2197142
2018-11-02,45.97,3005319
2018-11-05,47.33,3409268
2018-11-06,48.17,1815909
2018-11-07,49.21,1607232
2018-11-08,48.23,1248310
2018-11-09,46.6,2097145
2018-11-12,45.02,1755228
2018-11-13,44.5,1733409
2018-11-14,44.75,2092740
2018-11-15,45.77,3428116
2018-11-16,44.67,2914434
2018-11-19,43.65,2368507
2018-11-20,41.4,2997901
2018-11-21,41.66,1620759
2018-11-23,40.21,842776
2018-11-26,41.22,1964569
2018-11-27,40.71,1385281
2018-11-28,41.8,2000949
2018-11-29,41.08,1334633
2018-11-30,40.93,2661283
2018-12-03,41.36,1760571
2018-12-04,38.76,2087783
2018-12-06,37.34,3351233
2018-12-07,36.53,3086326
2018-12-10,35.71,2006691
2018-12-11,33.8,4916455
2018-12-12,34.11,2839759
2018-12-13,33.53,2587421
2018-12-14,32.9,1641593
2018-12-17,32.58,1966575
2018-12-18,32.38,2026613
2018-12-19,31.94,2520832
2018-12-20,31.05,1869878
2018-12-21,30.23,3877810
2018-12-24,29.99,1197564
2018-12-26,32.31,2421588
2018-12-27,32.15,2434982
2018-12-28,31.83,2152032
2018-12-31,32.2,1780061
2019-01-02,32.94,1485602
2019-01-03,32.37,2114902
2019-01-04,34.12,2435264
2019-01-07,34.91,2203763
2019-01-08,35.29,1472247
2019-01-09,35.8,1711951
2019-01-10,36.12,1336099
2019-01-11,36.64,2968782
2019-01-14,36.69,2136547
2019-01-15,36.5,1072731
2019-01-16,36.44,946877
2019-01-17,37.35,999540
2019-01-18,38.53,1963538
2019-01-22,37.0,2175606
2019-01-23,36.49,1045016
2019-01-24,36.82,1571038
2019-01-25,37.32,1573878
2019-01-28,36.43,2661000
2019-01-29,36.24,1923470
2019-01-30,36.27,2622104
2019-01-31,36.57,2328744
2019-02-01,36.32,1063595
2019-02-04,36.2,1807297
2019-02-05,35.73,2865639
2019-02-06,36.17,1897653
2019-02-07,34.76,1699926
2019-02-08,34.48,2371053
2019-02-11,34.4,1606674
2019-02-12,36.64,3032355
2019-02-13,36.12,2152631
2019-02-14,35.69,1895701
2019-02-15,36.31,2058891
2019-02-19,37.0,1858118
2019-02-20,37.7,3509871
2019-02-21,37.82,2940753
2019-02-22,38.39,3689242
2019-02-25,37.96,2874964
2019-02-26,38.3,1885298
2019-02-27,38.4,1572056
2019-02-28,37.6,1393441
2019-03-01,37.44,1632498
2019-03-04,37.68,1708388
2019-03-05,37.43,1272563
2019-03-06,36.8,1134776
2019-03-07,36.37,1376301
2019-03-08,36.52,1648289
2019-03-11,37.18,1294774
2019-03-12,37.28,1428428
2019-03-13,37.8,1359897
2019-03-14,37.58,1024524
2019-03-15,37.74,1792340
2019-03-18,38.1,1045819
2019-03-19,37.69,1531046
2019-03-20,37.1,874742
2019-03-21,37.54,858327
2019-03-22,35.59,1070474
2019-03-25,35.49,1016179
2019-03-26,35.96,1414317
2019-03-27,36.06,1212346
2019-03-28,36.68,1046723
2019-03-29,36.8,1198188
2019-04-01,38.64,1761767
2019-04-02,38.5,1268153
2019-04-03,38.94,1501727
2019-04-04,39.89,1910218
2019-04-05,40.53,1747763
2019-04-08,40.23,926380
2019-04-09,39.21,807101
2019-04-10,39.74,941820
2019-04-11,40.87,1380129
2019-04-12,41.18,793304
2019-04-15,40.51,1422075
2019-04-16,40.56,1205297
2019-04-17,40.71,1465237
2019-04-18,41.05,909019
2019-04-22,41.35,1315529
2019-04-23,41.56,824799
2019-04-24,41.15,736676
2019-04-25,39.87,746985
2019-04-26,39.74,1692312
2019-04-29,39.6,719921
2019-04-30,39.73,1123142
2019-05-01,39.15,1157995
2019-05-02,29.72,15276166
2019-05-03,29.32,8534582
2019-05-06,29.01,4434783
2019-05-07,29.53,3653735
2019-05-08,29.26,6136108
2019-05-09,29.91,3230537
2019-05-10,30.73,2570193
2019-05-13,29.53,2118239
2019-05-14,29.91,1758650
2019-05-15,29.7,1688408
2019-05-16,29.5,3595931
2019-05-17,29.61,2264650
2019-05-20,29.47,1684035
2019-05-21,30.15,1598651
2019-05-22,29.48,1097916
2019-05-23,28.85,1874122
2019-05-24,29.04,1843869
2019-05-28,28.53,2184616
2019-05-29,28.76,3606819
2019-05-30,28.76,3122761
2019-05-31,27.72,3211960
2019-06-03,28.2,36297990
2019-06-04,29.15,3558641
2019-06-05,29.44,3320559
2019-06-06,29.4,1710618
2019-06-07,29.39,1377842
2019-06-10,29.43,883651
2019-06-11,29.83,1650133
2019-06-12,29.38,1991667
2019-06-13,30.4,4353334
2019-06-14,29.31,2516678
2019-06-17,29.92,2526609
2019-06-18,31.09,1824625
2019-06-19,30.86,1300341
2019-06-20,31.55,1005229
2019-06-21,32.06,2948343
2019-06-24,31.11,1736049
2019-06-25,31.7,1988830
2019-06-26,32.4,2928910
2019-06-27,32.96,2203027
2019-06-28,33.69,2472935
2019-07-01,33.33,1525562
2019-07-02,32.07,1554031
2019-07-03,32.25,638076
2019-07-05,32.37,754349
2019-07-08,31.71,860663
2019-07-09,31.6,825156
2019-07-10,31.89,876302
2019-07-11,31.92,630650
2019-07-12,32.88,871961
2019-07-15,33.12,2177595
2019-07-16,32.89,1079292
2019-07-17,32.12,984607
2019-07-18,30.94,1661922
2019-07-19,31.69,1149479
2019-07-22,31.81,1240238
2019-07-23,32.54,1047407
2019-07-24,33.18,1190280
2019-07-25,32.87,882469
2019-07-26,32.95,1125158
2019-07-29,32.74,1109018
2019-07-30,33.02,1706398
2019-07-31,32.51,1719407
2019-08-01,30.91,2332082
2019-08-02,22.67,10348651
2019-08-05,21.09,5571549
2019-08-06,20.75,6925767
2019-08-07,20.14,6340159
2019-08-08,20.02,4852931
2019-08-09,19.41,2567521
2019-08-12,18.33,1971161
2019-08-13,18.4,3938490
2019-08-14,17.55,3752042
2019-08-15,16.8,4668943
2019-08-16,17.38,5846263
2019-08-19,17.47,3574281
2019-08-20,17.05,2461677
2019-08-21,17.35,2436288
2019-08-22,17.65,3121636
2019-08-23,17.07,2940861
2019-08-26,16.92,1955468
2019-08-27,16.35,3756960
2019-08-28,16.84,2133637
2019-08-29,17.3,2118223
2019-08-30,17.67,2698686
2019-09-03,17.68,3002385
2019-09-04,18.86,2967301
2019-09-05,19.64,3057634
2019-09-06,19.34,2109803
2019-09-09,20.44,2978953
2019-09-10,20.75,2333837
2019-09-11,21.21,2064340
2019-09-12,21.83,3000075
2019-09-13,20.96,4820729
2019-09-16,21.91,2268435
2019-09-17,21.53,2296960
2019-09-18,20.83,1976276
2019-09-19,20.91,1606896
2019-09-20,20.15,4377007
2019-09-23,20.7,2074117
2019-09-24,18.95,4647861
2019-09-25,19.18,2391190
2019-09-26,18.29,1587275
2019-09-27,18.56,2194178
2019-09-30,19.13,2147300
2019-10-01,18.2,2102847
2019-10-02,17.8,1702426
2019-10-03,18.04,1801659
2019-10-04,18.32,1529882
2019-10-07,18.18,1240366
2019-10-08,17.52,1717207
2019-10-09,17.67,1355951
2019-10-10,17.92,1680420
2019-10-11,18.86,2473475
2019-10-14,18.88,2596061
2019-10-15,19.16,1614733
2019-10-16,19.0,1307873
2019-10-17,19.25,1502936
2019-10-18,19.06,1765280
2019-10-21,19.52,1494409
2019-10-22,19.8,1551256
2019-10-23,19.69,2573685
2019-10-24,19.5,1664920
2019-10-25,19.84,1929044
2019-10-28,19.87,1579473
2019-10-29,19.66,2258595
2019-10-30,19.37,2487738
2019-10-31,16.11,5711517
2019-11-01,18.59,4200284
2019-11-04,19.31,3443491
2019-11-05,19.15,2420583
2019-11-06,18.35,3144739
2019-11-07,18.85,2062131
2019-11-08,18.8,2169484
2019-11-11,18.89,3779146
2019-11-12,18.52,2404217
2019-11-13,17.85,2913710
2019-11-14,18.2,2183692
2019-11-15,18.29,1764888
2019-11-18,17.35,2582895
2019-11-19,17.46,1981486
2019-11-20,17.44,2332315
2019-11-21,17.5,2016045
2019-11-22,17.83,1663903
2019-11-25,18.15,2055683
2019-11-26,17.65,8235591
2019-11-27,17.72,2113117
2019-11-29,17.44,671873
2019-12-02,17.11,1969392
2019-12-03,16.66,2528025
2019-12-04,16.67,2933466
2019-12-05,16.29,2348189
2019-12-06,16.51,1975751
2019-12-09,16.1,4078658
2019-12-10,16.33,2792827
2019-12-11,16.81,2535821
2019-12-12,17.66,2980139
2019-12-13,17.24,2621272
2019-12-16,17.6,1574388
2019-12-17,17.66,1966999
2019-12-18,17.69,1985065
2019-12-19,17.96,2096228
2019-12-20,18.36,4058799
2019-12-23,19.28,2414520
2019-12-24,18.47,1792295
2019-12-26,18.69,1382107
2019-12-27,18.13,1557467
2019-12-30,18.48,2385083
2019-12-31,18.88,1719414
2020-01-02,19.16,1748478
2020-01-03,19.12,2199148
2020-01-06,19.25,1402138
2020-01-07,19.12,1802737
2020-01-08,19.03,1898083
2020-01-09,19.07,2047598
2020-01-10,18.72,1625013
2020-01-13,18.84,1744910
2020-01-14,20.4,3437450
2020-01-15,20.23,1973640
2020-01-16,20.79,1889884
2020-01-17,20.47,1314895
2020-01-21,20.14,1337564
2020-01-22,19.86,1563145
2020-01-23,19.94,1352452
2020-01-24,19.49,1523740
2020-01-27,18.76,1407439
2020-01-28,19.02,1437849
2020-01-29,18.68,1097796
2020-01-30,18.61,1349833
2020-01-31,17.89,2077112
2020-02-03,18.39,1444098
2020-02-04,18.65,1819505
2020-02-05,19.36,1664430
2020-02-06,18.85,1545480
2020-02-07,18.05,2672880
2020-02-10,18.24,1382429
2020-02-11,19.0,1417628
2020-02-12,19.96,1435048
2020-02-13,19.97,2285875
2020-02-14,19.54,2386762
2020-02-18,14.79,13191523
2020-02-19,14.06,9775923
2020-02-20,14.56,5000888
2020-02-21,14.74,4549802
2020-02-24,13.78,3648686
2020-02-25,12.37,6186395
2020-02-26,11.03,7569969
2020-02-27,9.93,8693196
2020-02-28,9.32,8415638
2020-03-02,10.04,5202290
2020-03-03,9.67,4017530
2020-03-04,10.14,3116665
2020-03-05,9.39,3485031
2020-03-06,8.85,4175285
2020-03-09,7.54,3418371
2020-03-10,7.81,4180745
2020-03-11,7.06,4514498
2020-03-12,6.25,5485590
2020-03-13,6.98,3403453
2020-03-16,6.03,5501311
2020-03-17,4.44,5633569
2020-03-18,3.4,7472224
2020-03-19,5.99,7710928
2020-03-20,5.63,6516015
2020-03-23,5.93,4337820
2020-03-24,6.07,6255512
2020-03-25,6.23,4321687
2020-03-26,7.28,4119572
2020-03-27,6.49,3005419
2020-03-30,5.97,2628061
2020-03-31,6.91,3172720
2020-04-01,5.97,3079700
2020-04-02,6.2,3356777
2020-04-03,5.98,2702503
2020-04-06,6.53,2399536
2020-04-07,6.75,3246042
2020-04-08,7.28,2175713
2020-04-09,7.86,4418446
2020-04-13,7.59,2569429
2020-04-14,7.69,2083889
2020-04-15,7.36,2825882
2020-04-16,7.21,1916100
2020-04-17,8.22,3213301
2020-04-20,8.11,3128370
2020-04-21,8.21,4109721
2020-04-22,8.17,2628234
2020-04-23,8.89,3738790
2020-04-24,9.06,2484373
2020-04-27,9.81,4478668
2020-04-28,10.55,4134993
2020-04-29,11.61,5301773
2020-04-30,11.7,5470733
2020-05-01,10.2,3884914
2020-05-04,9.97,3249270
2020-05-05,9.66,2903120
2020-05-06,9.51,2581976
2020-05-07,10.01,2254992
2020-05-08,10.38,2423260
2020-05-11,10.44,2529236
2020-05-12,9.1,4214148
2020-05-13,8.0,5591141
2020-05-14,8.66,3944844
2020-05-15,9.12,3072265
2020-05-18,10.42,3968050
2020-05-19,10.12,2810350
2020-05-20,10.9,2339367
2020-05-21,10.91,2895011
2020-05-22,10.82,1509441
2020-05-26,11.66,2701814
2020-05-27,12.1,3076814
2020-05-28,11.59,3073882
2020-05-29,11.61,4696281
2020-06-01,12.2,2353473
2020-06-02,12.2,2802091
2020-06-03,12.67,2862875
2020-06-04,13.45,3453612
2020-06-05,14.08,3191235
2020-06-08,14.92,2991540
2020-06-09,14.26,2409109
2020-06-10,13.3,2550151
2020-06-11,11.73,2840491
2020-06-12,12.37,2218072
2020-06-15,12.79,2360431
2020-06-16,13.29,3302931
2020-06-17,12.83,2550843
2020-06-18,13.16,2090627
2020-06-19,13.49,3413886
2020-06-22,13.57,1902419
2020-06-23,13.71,2092846
2020-06-24,12.62,2745473
2020-06-25,13.02,2812711
2020-06-26,11.24,13513831
2020-06-29,11.99,3725474
2020-06-30,12.08,2867549
2020-07-01,11.47,2277677
2020-07-02,11.7,2655031
2020-07-06,11.8,1662519
2020-07-07,11.56,1952285
2020-07-08,11.56,2327154
2020-07-09,11.23,2292726
2020-07-10,11.58,1281959
2020-07-13,11.79,1932113
2020-07-14,12.0,1427233
2020-07-15,12.65,1751306
2020-07-16,12.53,2204016
2020-07-17,12.45,2918955
2020-07-20,12.13,1994166
2020-07-21,12.42,1976839
2020-07-22,12.23,1351227
2020-07-23,12.35,1355547
2020-07-24,11.9,2477626
2020-07-27,11.59,1957685
2020-07-28,11.25,1341569
2020-07-29,11.59,1443132
2020-07-30,11.33,1247316
2020-07-31,10.19,3760871
2020-08-03,10.69,3493854
2020-08-04,10.8,1785002
2020-08-05,11.28,2999330
2020-08-06,11.08,2047939
2020-08-07,11.38,2050152
2020-08-10,11.96,2429866
2020-08-11,12.23,3262951
2020-08-12,12.04,1937876
2020-08-13,11.68,1638280
2020-08-14,11.5,1250252
