date,close,volume
2018-04-25,23.05,61
2018-04-26,23.05,28
2018-04-27,23.05,44
2018-04-30,22.98,150
2018-05-01,22.98,0
2018-05-02,22.94,100
2018-05-03,22.94,0
2018-05-04,22.79,545
2018-05-07,22.79,0
2018-05-08,22.79,0
2018-05-09,22.79,0
2018-05-10,23.13,105
2018-05-11,23.13,0
2018-05-14,23.13,0
2018-05-15,23.25,2775
2018-05-16,23.28,300
2018-05-17,23.24,1718
2018-05-18,23.24,4
2018-05-21,23.24,0
2018-05-22,23.24,15
2018-05-23,23.24,30
2018-05-24,23.24,0
2018-05-25,23.24,0
2018-05-29,23.24,114
2018-05-30,23.24,105
2018-05-31,23.24,0
2018-06-01,23.24,83
2018-06-04,22.78,108
2018-06-05,22.78,0
2018-06-06,22.78,0
2018-06-07,22.78,0
2018-06-08,22.67,1885
2018-06-11,22.67,0
2018-06-12,22.67,0
2018-06-13,22.9,2945
2018-06-14,22.9,0
2018-06-15,22.9,87
2018-06-18,22.9,0
2018-06-19,22.9,0
2018-06-20,22.29,0
2018-06-21,22.29,60
2018-06-22,22.29,0
2018-06-25,21.78,2310
2018-06-26,21.78,60
2018-06-27,21.78,2
2018-06-28,21.54,167
2018-06-29,21.96,1105
2018-07-02,21.7,137
2018-07-03,22.01,100
2018-07-05,22.08,100
2018-07-06,22.27,504
2018-07-09,22.38,29121
2018-07-10,22.42,847
2018-07-11,22.25,100
2018-07-12,22.25,50
2018-07-13,22.25,30
2018-07-16,22.49,214
2018-07-17,22.39,316
2018-07-18,22.65,422
2018-07-19,22.65,28
2018-07-20,22.87,1780
2018-07-23,22.87,0
2018-07-24,22.86,3159
2018-07-25,22.86,0
2018-07-26,23.15,802
2018-07-27,23.15,4
2018-07-30,23.39,702
2018-07-31,23.39,0
2018-08-01,23.24,544
2018-08-02,23.24,0
2018-08-03,23.26,335
2018-08-06,23.09,198
2018-08-07,23.34,405
2018-08-08,23.34,0
2018-08-09,23.28,483
2018-08-10,22.9,169
2018-08-13,22.89,346
2018-08-14,22.89,0
2018-08-15,22.65,297
2018-08-16,22.65,0
2018-08-17,22.65,1
2018-08-20,22.65,0
2018-08-21,23.25,512
2018-08-22,23.25,0
2018-08-23,23.19,1026
2018-08-24,23.19,0
2018-08-27,23.45,651
2018-08-28,23.56,1103
2018-08-29,23.56,0
2018-08-30,23.52,100
2018-08-31,23.43,204
2018-09-04,23.43,114
2018-09-05,23.43,1
2018-09-06,23.43,0
2018-09-07,23.43,10
2018-09-10,23.43,157
2018-09-11,23.43,0
2018-09-12,23.3,319
2018-09-13,23.3,2
2018-09-14,23.3,73
2018-09-17,23.42,288
2018-09-18,23.41,266
2018-09-19,23.37,11858
2018-09-20,23.37,58
2018-09-21,23.37,16
2018-09-24,23.37,38
2018-09-25,23.37,0
2018-09-26,23.37,75
2018-09-27,23.37,0
2018-09-28,23.37,13
2018-10-01,23.31,160
2018-10-02,23.31,0
2018-10-03,23.29,193
2018-10-04,23.08,215
2018-10-05,23.08,0
2018-10-08,23.08,51
2018-10-09,23.08,5
2018-10-10,23.08,0
2018-10-11,21.85,1014
2018-10-12,21.74,85262
2018-10-15,21.86,500
2018-10-16,22.19,227
2018-10-17,21.96,4139
2018-10-18,21.96,0
2018-10-19,22.18,763
2018-10-22,22.18,162
2018-10-23,22.18,58
2018-10-24,22.18,0
2018-10-25,21.66,186
2018-10-26,21.63,238
2018-10-29,21.45,150
2018-10-30,21.45,14
2018-10-31,21.45,0
2018-11-01,22.39,500
2018-11-02,22.39,110
2018-11-05,22.39,0
2018-11-06,22.39,0
2018-11-07,22.39,0
