date,close,volume
2018-04-25,25.31,113322
2018-04-26,25.33,90017
2018-04-27,25.34,205147
2018-04-30,25.35,331728
2018-05-01,25.31,324563
2018-05-02,25.3,131721
2018-05-03,25.32,366089
2018-05-04,25.32,97415
2018-05-07,25.32,100738
2018-05-08,25.32,136282
2018-05-09,25.31,205285
2018-05-10,25.34,109449
2018-05-11,25.33,143590
2018-05-14,25.32,82942
2018-05-15,25.33,135162
2018-05-16,25.33,377206
2018-05-17,25.33,353287
2018-05-18,25.33,586825
2018-05-21,25.32,46441
2018-05-22,25.33,113588
2018-05-23,25.33,132337
2018-05-24,25.34,67551
2018-05-25,25.33,75721
2018-05-29,25.33,172666
2018-05-30,25.33,86949
2018-05-31,25.33,170533
2018-06-01,25.27,390442
2018-06-04,25.27,182007
2018-06-05,25.27,151689
2018-06-06,25.27,195012
2018-06-07,25.27,101277
2018-06-08,25.27,450165
2018-06-11,25.27,115283
2018-06-12,25.27,108797
2018-06-13,25.27,108610
2018-06-14,25.28,64756
2018-06-15,25.27,147476
2018-06-18,25.27,270968
2018-06-19,25.29,148758
2018-06-20,25.28,61513
2018-06-21,25.27,183788
2018-06-22,25.28,110839
2018-06-25,25.27,90416
2018-06-26,25.28,67640
2018-06-27,25.28,91516
2018-06-28,25.28,119592
2018-06-29,25.27,450476
2018-07-02,25.23,140133
2018-07-03,25.22,45253
2018-07-05,25.21,148845
2018-07-06,25.23,69333
2018-07-09,25.25,118000
2018-07-10,25.25,110648
2018-07-11,25.24,50260
2018-07-12,25.27,79141
2018-07-13,25.27,79769
2018-07-16,25.27,62056
2018-07-17,25.27,101820
2018-07-18,25.27,98175
2018-07-19,25.29,116409
2018-07-20,25.29,52610
2018-07-23,25.27,56562
2018-07-24,25.27,114971
2018-07-25,25.3,218840
2018-07-26,25.31,46943
2018-07-27,25.32,94478
2018-07-30,25.32,103586
2018-07-31,25.32,106349
2018-08-01,25.26,98143
2018-08-02,25.29,180959
2018-08-03,25.28,807973
2018-08-06,25.29,273824
2018-08-07,25.27,326771
2018-08-08,25.31,242953
2018-08-09,25.3,208059
2018-08-10,25.3,134780
2018-08-13,25.3,83415
2018-08-14,25.3,222478
2018-08-15,25.32,71480
2018-08-16,25.33,51706
2018-08-17,25.32,56293
2018-08-20,25.33,37810
2018-08-21,25.32,95039
2018-08-22,25.33,87012
2018-08-23,25.32,49710
2018-08-24,25.32,105969
2018-08-27,25.34,115537
2018-08-28,25.34,135495
2018-08-29,25.33,703685
2018-08-30,25.34,99634
2018-08-31,25.34,67620
2018-09-04,25.27,150388
2018-09-05,25.3,152360
2018-09-06,25.28,87815
2018-09-07,25.29,169499
2018-09-10,25.29,116137
2018-09-11,25.27,214271
2018-09-12,25.3,90961
2018-09-13,25.28,225731
2018-09-14,25.29,167840
2018-09-17,25.29,446978
2018-09-18,25.29,81206
2018-09-19,25.33,194772
2018-09-20,25.33,135871
2018-09-21,25.3,184966
2018-09-24,25.32,79620
2018-09-25,25.33,163568
2018-09-26,25.32,266215
2018-09-27,25.3,765118
2018-09-28,25.33,192329
2018-10-01,25.27,83516
2018-10-02,25.25,2460898
2018-10-03,25.27,259083
2018-10-04,25.27,269805
2018-10-05,25.27,131536
2018-10-08,25.28,164302
2018-10-09,25.28,165462
2018-10-10,25.27,128486
2018-10-11,25.28,1062259
2018-10-12,25.28,814856
2018-10-15,25.28,154561
2018-10-16,25.28,232332
2018-10-17,25.27,249702
2018-10-18,25.27,132461
2018-10-19,25.27,158267
2018-10-22,25.27,92274
2018-10-23,25.28,192582
2018-10-24,25.27,168138
2018-10-25,25.28,87495
2018-10-26,25.27,102422
2018-10-29,25.27,142926
2018-10-30,25.26,109639
2018-10-31,25.26,96519
2018-11-01,25.21,62892
2018-11-02,25.22,229700
2018-11-05,25.22,156540
2018-11-06,25.21,78070
2018-11-07,25.21,1700783
2018-11-08,25.21,1158408
2018-11-09,25.21,916441
2018-11-12,25.21,42939
2018-11-13,25.21,174093
2018-11-14,25.2,383475
2018-11-15,25.19,481458
2018-11-16,25.17,163996
2018-11-19,25.13,132102
2018-11-20,25.1,943639
2018-11-21,25.07,124533
2018-11-23,25.07,109288
2018-11-26,25.08,175732
2018-11-27,25.06,146154
2018-11-28,25.07,185125
2018-11-29,25.04,439066
2018-11-30,25.02,174723
2018-12-03,24.88,395932
2018-12-04,24.8,425265
2018-12-06,24.76,400353
2018-12-07,24.75,220806
2018-12-10,24.7,135282
2018-12-11,24.7,158145
2018-12-12,24.74,513347
2018-12-13,24.77,92416
2018-12-14,24.8,69002
2018-12-17,24.74,2390815
2018-12-18,24.71,313763
2018-12-19,24.71,158028
2018-12-20,24.72,183456
2018-12-21,24.69,166527
2018-12-24,24.69,67410
2018-12-26,24.77,711111
2018-12-27,24.71,584098
2018-12-28,24.73,214887
2018-12-31,24.69,115784
2019-01-02,24.71,89781
2019-01-03,24.68,175725
2019-01-04,24.71,473780
2019-01-07,24.7,85829
2019-01-08,24.71,114467
2019-01-09,24.71,240190
2019-01-10,24.75,151831
2019-01-11,24.77,143446
2019-01-14,24.79,788613
2019-01-15,24.79,145646
2019-01-16,24.84,145105
2019-01-17,24.88,202055
2019-01-18,24.87,420843
2019-01-22,24.89,281396
2019-01-23,24.93,218054
2019-01-24,24.95,127040
2019-01-25,24.99,156010
2019-01-28,24.98,116891
2019-01-29,25.01,127346
2019-01-30,25.02,263967
2019-01-31,25.06,239057
2019-02-01,25.0,224731
2019-02-04,24.98,141219
2019-02-05,24.99,107495
2019-02-06,24.99,658955
2019-02-07,25.02,379039
2019-02-08,25.02,180351
2019-02-11,25.04,73611
2019-02-12,25.04,256063
2019-02-13,25.03,144229
2019-02-14,25.02,319522
2019-02-15,25.05,203845
2019-02-19,25.06,127236
2019-02-20,25.06,114964
2019-02-21,25.05,558121
2019-02-22,25.06,349748
2019-02-25,25.09,125247
2019-02-26,25.09,101571
2019-02-27,25.11,98488
2019-02-28,25.11,127363
2019-03-01,25.06,154718
2019-03-04,25.09,65538
2019-03-05,25.1,75916
2019-03-06,25.09,224160
2019-03-07,25.06,793534
2019-03-08,25.08,104472
2019-03-11,25.08,157299
2019-03-12,25.07,247976
2019-03-13,25.09,69436
2019-03-14,25.09,67147
2019-03-15,25.09,112036
2019-03-18,25.13,79844
2019-03-19,25.12,94264
2019-03-20,25.11,122326
2019-03-21,25.14,142252
2019-03-22,25.13,185660
2019-03-25,25.14,610422
2019-03-26,25.12,130853
2019-03-27,25.16,135008
2019-03-28,25.15,72672
2019-03-29,25.17,213822
2019-04-01,25.11,182648
2019-04-02,25.11,61046
2019-04-03,25.12,271956
2019-04-04,25.14,41402
2019-04-05,25.12,150703
2019-04-08,25.16,1252651
2019-04-09,25.15,464349
2019-04-10,25.16,46330
2019-04-11,25.17,179152
2019-04-12,25.17,255784
2019-04-15,25.17,74576
2019-04-16,25.2,76436
2019-04-17,25.21,83910
2019-04-18,25.2,41710
2019-04-22,25.21,60973
2019-04-23,25.21,45050
2019-04-24,25.21,67087
2019-04-25,25.2,186070
2019-04-26,25.21,119842
2019-04-29,25.23,53520
2019-04-30,25.25,120102
2019-05-01,25.19,102902
2019-05-02,25.2,30195
2019-05-03,25.19,39237
2019-05-06,25.21,49182
2019-05-07,25.21,57133
2019-05-08,25.21,39502
2019-05-09,25.21,47590
2019-05-10,25.2,45957
2019-05-13,25.19,30923
2019-05-14,25.2,44501
2019-05-15,25.2,84404
2019-05-16,25.18,636611
2019-05-17,25.21,58323
2019-05-20,25.2,99537
2019-05-21,25.2,68992
2019-05-22,25.18,45068
2019-05-23,25.21,33587
2019-05-24,25.22,36890
2019-05-28,25.22,64946
2019-05-29,25.21,166106
2019-05-30,25.21,68141
2019-05-31,25.22,56594
2019-06-03,25.14,107014
2019-06-04,25.14,104793
2019-06-05,25.11,333913
2019-06-06,25.13,63901
2019-06-07,25.14,99939
2019-06-10,25.14,116036
2019-06-11,25.15,101178
2019-06-12,25.14,155063
2019-06-13,25.16,39012
2019-06-14,25.16,45493
2019-06-17,25.16,171101
2019-06-18,25.2,112700
2019-06-19,25.17,231598
2019-06-20,25.16,418709
2019-06-21,25.18,43853
2019-06-24,25.18,73190
2019-06-25,25.2,131084
2019-06-26,25.18,104382
2019-06-27,25.19,382442
2019-06-28,25.2,100109
2019-07-01,25.15,60169
2019-07-02,25.16,35438
2019-07-03,25.17,79075
2019-07-05,25.17,39291
2019-07-08,25.17,83846
2019-07-09,25.2,195489
2019-07-10,25.21,72869
2019-07-11,25.2,64138
2019-07-12,25.2,62219
2019-07-15,25.23,86431
2019-07-16,25.23,65238
2019-07-17,25.21,55383
2019-07-18,25.24,68486
2019-07-19,25.24,18529
2019-07-22,25.23,67425
2019-07-23,25.24,51895
2019-07-24,25.24,89256
2019-07-25,25.24,68508
2019-07-26,25.25,35647
2019-07-29,25.26,185870
2019-07-30,25.24,59790
2019-07-31,25.25,101690
2019-08-01,25.19,50949
2019-08-02,25.2,70838
2019-08-05,25.16,155360
2019-08-06,25.17,82456
2019-08-07,25.17,184522
2019-08-08,25.19,57576
2019-08-09,25.19,72976
2019-08-12,25.2,83684
2019-08-13,25.19,64096
2019-08-14,25.18,39710
2019-08-15,25.18,518418
2019-08-16,25.16,92616
2019-08-19,25.19,102302
2019-08-20,25.19,118149
2019-08-21,25.19,45618
2019-08-22,25.21,80884
2019-08-23,25.2,111249
2019-08-26,25.19,1041762
2019-08-27,25.2,95681
2019-08-28,25.21,227154
2019-08-29,25.21,80101
2019-08-30,25.21,36113
2019-09-03,25.16,63603
2019-09-04,25.18,87221
2019-09-05,25.18,47941
2019-09-06,25.18,58732
2019-09-09,25.2,47696
2019-09-10,25.2,69463
2019-09-11,25.21,55770
2019-09-12,25.2,81425
2019-09-13,25.23,111020
2019-09-16,25.23,56158
2019-09-17,25.23,33625
2019-09-18,25.24,23976
2019-09-19,25.24,34710
2019-09-20,25.23,41254
2019-09-23,25.23,37974
2019-09-24,25.23,250615
2019-09-25,25.23,39419
2019-09-26,25.23,57423
2019-09-27,25.24,35160
2019-09-30,25.24,59009
2019-10-01,25.19,151151
2019-10-02,25.21,34027
2019-10-03,25.2,71468
2019-10-04,25.22,61451
2019-10-07,25.21,95096
2019-10-08,25.22,41992
2019-10-09,25.22,128300
2019-10-10,25.23,32972
2019-10-11,25.22,55860
2019-10-14,25.22,31983
2019-10-15,25.23,83559
2019-10-16,25.24,56270
2019-10-17,25.27,42152
2019-10-18,25.26,41979
2019-10-21,25.27,32184
2019-10-22,25.27,60802
2019-10-23,25.28,51647
2019-10-24,25.29,24106
2019-10-25,25.3,67578
2019-10-28,25.3,64909
2019-10-29,25.31,52433
2019-10-30,25.29,88192
2019-10-31,25.31,112174
2019-11-01,25.26,114812
2019-11-04,25.27,123486
2019-11-05,25.27,107961
2019-11-06,25.27,54858
2019-11-07,25.28,485117
2019-11-08,25.29,486485
2019-11-11,25.28,63117
2019-11-12,25.29,103265
2019-11-13,25.29,172696
2019-11-14,25.28,56492
2019-11-15,25.31,579028
2019-11-18,25.32,84017
2019-11-19,25.32,69127
2019-11-20,25.32,56981
2019-11-21,25.33,46685
2019-11-22,25.32,101369
2019-11-25,25.33,112523
2019-11-26,25.35,46374
2019-11-27,25.35,54307
2019-11-29,25.35,44087
2019-12-02,25.31,128047
2019-12-03,25.29,146257
2019-12-04,25.3,56651
2019-12-05,25.3,103825
2019-12-06,25.28,67313
2019-12-09,25.28,98195
2019-12-10,25.31,68073
2019-12-11,25.3,81152
2019-12-12,25.28,76057
2019-12-13,25.3,111895
2019-12-16,25.3,178246
2019-12-17,25.31,78738
2019-12-18,25.31,46409
2019-12-19,25.31,99390
2019-12-20,25.32,66187
2019-12-23,25.32,99898
2019-12-24,25.34,15976
2019-12-26,25.35,40430
2019-12-27,25.35,22877
2019-12-30,25.32,76511
2019-12-31,25.31,45595
2020-01-02,25.31,182576
2020-01-03,25.32,69203
2020-01-06,25.32,67929
2020-01-07,25.33,49595
2020-01-08,25.34,86539
2020-01-09,25.35,174481
2020-01-10,25.35,87457
2020-01-13,25.35,80063
2020-01-14,25.36,104875
2020-01-15,25.37,111362
2020-01-16,25.36,61507
2020-01-17,25.38,143927
2020-01-21,25.38,59885
2020-01-22,25.37,80682
2020-01-23,25.37,181727
2020-01-24,25.39,131924
2020-01-27,25.4,75808
2020-01-28,25.39,304929
2020-01-29,25.4,52018
2020-01-30,25.4,77242
2020-01-31,25.39,115227
2020-02-03,25.35,142216
2020-02-04,25.35,83497
2020-02-05,25.37,174207
2020-02-06,25.4,133115
2020-02-07,25.4,56768
2020-02-10,25.41,73878
2020-02-11,25.42,35438
2020-02-12,25.43,110343
2020-02-13,25.43,75734
2020-02-14,25.43,95700
2020-02-18,25.43,103438
2020-02-19,25.44,60205
2020-02-20,25.43,63623
2020-02-21,25.45,53514
2020-02-24,25.44,105861
2020-02-25,25.44,122573
2020-02-26,25.42,130589
2020-02-27,25.38,302880
2020-02-28,25.34,156603
2020-03-02,25.25,181032
2020-03-03,25.25,104030
2020-03-04,25.27,131410
2020-03-05,25.27,99219
2020-03-06,25.17,318116
2020-03-09,24.5,349284
2020-03-10,24.8,299206
2020-03-11,24.71,249731
2020-03-12,23.0,1201227
2020-03-13,23.98,307549
2020-03-16,22.79,521715
2020-03-17,22.85,696001
2020-03-18,20.87,464743
2020-03-19,21.65,1891513
2020-03-20,21.64,473039
2020-03-23,22.58,224871
2020-03-24,22.84,129028
2020-03-25,23.1,158164
2020-03-26,23.0,258733
2020-03-27,23.04,216366
2020-03-30,23.28,211429
2020-03-31,23.62,62183
2020-04-01,23.92,101337
2020-04-02,23.83,64644
2020-04-03,23.8,204945
2020-04-06,23.98,81305
2020-04-07,24.12,122718
2020-04-08,24.16,70988
2020-04-09,24.43,62132
2020-04-13,24.44,158792
2020-04-14,24.48,85670
2020-04-15,24.41,58883
2020-04-16,24.42,75549
2020-04-17,24.45,319450
2020-04-20,24.46,211022
2020-04-21,24.49,81923
2020-04-22,24.59,84987
2020-04-23,24.53,92196
2020-04-24,24.6,27184
2020-04-27,24.63,66544
2020-04-28,24.56,42723
2020-04-29,24.57,55323
2020-04-30,24.55,54660
2020-05-01,24.56,99942
2020-05-04,24.64,33684
2020-05-05,24.55,312799
2020-05-06,24.55,56752
2020-05-07,24.59,52023
2020-05-08,24.61,38379
2020-05-11,24.61,42137
2020-05-12,24.64,68169
2020-05-13,24.64,25063
2020-05-14,24.66,48189
2020-05-15,24.72,105118
2020-05-18,24.73,34371
2020-05-19,24.71,48627
2020-05-20,24.73,65353
2020-05-21,24.72,53099
2020-05-22,24.71,315789
2020-05-26,24.75,60783
2020-05-27,24.79,78276
2020-05-28,24.79,64491
2020-05-29,24.83,53619
2020-06-01,24.8,56442
2020-06-02,24.78,77833
2020-06-03,24.83,71367
2020-06-04,24.84,59153
2020-06-05,24.89,64519
2020-06-08,24.95,104051
2020-06-09,24.97,42555
2020-06-10,24.99,36601
2020-06-11,24.88,123265
2020-06-12,24.93,29963
2020-06-15,24.96,28823
2020-06-16,24.95,40980
2020-06-17,24.99,18031
2020-06-18,24.98,48182
2020-06-19,25.02,43769
2020-06-22,25.02,33649
2020-06-23,25.02,50952
2020-06-24,25.0,27184
2020-06-25,25.02,32504
2020-06-26,24.98,86899
2020-06-29,25.0,30924
2020-06-30,25.03,35528
2020-07-01,25.02,43749
2020-07-02,25.04,22522
2020-07-06,25.05,48953
2020-07-07,25.05,44828
2020-07-08,25.08,21496
2020-07-09,25.03,27157
2020-07-10,25.03,34906
2020-07-13,25.07,44900
2020-07-14,25.03,84727
2020-07-15,25.09,40526
2020-07-16,25.06,145021
2020-07-17,25.11,42050
2020-07-20,25.1,78962
2020-07-21,25.09,66977
2020-07-22,25.13,42056
2020-07-23,25.09,47411
2020-07-24,25.19,92915
2020-07-27,25.12,32584
2020-07-28,25.14,29365
2020-07-29,25.15,63817
2020-07-30,25.17,26681
2020-07-31,25.15,93915
2020-08-03,25.14,58410
2020-08-04,25.14,49074
2020-08-05,25.14,714880
2020-08-06,25.17,63980
2020-08-07,25.17,43396
2020-08-10,25.17,33901
2020-08-11,25.17,43520
2020-08-12,25.16,293361
2020-08-13,25.16,27493
2020-08-14,25.18,36861
