date,close,volume
2020-02-05,49.87,2113
2020-02-06,50.07,1133
2020-02-07,50.28,7605
2020-02-10,50.39,14176
2020-02-11,50.34,5262
2020-02-12,50.24,12927
2020-02-13,50.56,6564
2020-02-14,50.83,2985
2020-02-18,51.23,8918
2020-02-19,51.12,2547
2020-02-20,51.4,2201
2020-02-21,51.81,10610
2020-02-24,52.05,44285
2020-02-25,51.7,44366
2020-02-26,51.37,16916
2020-02-27,50.78,19486
2020-02-28,50.3,27286
2020-03-02,51.12,6757
2020-03-03,51.56,14266
2020-03-04,52.34,7542
2020-03-05,52.86,9953
2020-03-06,53.91,15406
2020-03-09,53.91,41175
2020-03-10,52.0,10181
2020-03-11,50.75,33780
2020-03-12,48.51,70334
2020-03-13,48.86,19558
2020-03-16,48.2,60873
2020-03-17,48.5,11847
2020-03-18,46.24,12157
2020-03-19,45.99,10810
2020-03-20,46.49,824
2020-03-23,47.45,116058
2020-03-24,48.8,8049
2020-03-25,48.89,6627
2020-03-26,50.29,16030
2020-03-27,50.79,5713
2020-03-30,51.31,6404
2020-03-31,50.11,4015
2020-04-01,49.44,2609
2020-04-02,50.36,2370
2020-04-03,49.99,4380
2020-04-06,51.34,1052
2020-04-07,50.83,1428
2020-04-08,51.33,5615
2020-04-09,52.36,17674
2020-04-13,51.92,14419
2020-04-14,52.37,8960
2020-04-15,52.47,10656
2020-04-16,52.68,5557
2020-04-17,52.63,6618
2020-04-20,52.29,3254
2020-04-21,52.23,8044
2020-04-22,52.68,5210
2020-04-23,52.65,4785
2020-04-24,52.73,2314
2020-04-27,52.4,3502
2020-04-28,52.61,3332
2020-04-29,52.42,3523
2020-04-30,51.67,5863
2020-05-01,51.42,4149
2020-05-04,51.48,1336
2020-05-05,51.57,2577
2020-05-06,50.49,6082
2020-05-07,51.13,3140
2020-05-08,51.09,5377
2020-05-11,50.7,3148
2020-05-12,50.91,6180
2020-05-13,51.02,4795
2020-05-14,51.51,20396
2020-05-15,51.36,90647
2020-05-18,51.3,15153
2020-05-19,51.22,1715
2020-05-20,51.39,1319
2020-05-21,51.26,3547
2020-05-22,51.5,4482
2020-05-26,51.13,3196
2020-05-27,51.25,55679
2020-05-28,51.53,2330
2020-05-29,52.08,3062
2020-06-01,52.11,1066
2020-06-02,52.02,4696
2020-06-03,51.64,2147
2020-06-04,51.1,1773
2020-06-05,50.91,4728
2020-06-08,51.51,32075
2020-06-09,51.59,4701
2020-06-10,52.06,999
2020-06-11,51.78,3982
2020-06-12,51.58,725
2020-06-15,51.65,2947
2020-06-16,51.32,1416
2020-06-17,51.4,630
2020-06-18,51.63,1845
2020-06-19,51.44,2911
2020-06-22,51.59,3189
2020-06-23,51.19,848
2020-06-24,51.28,10736
2020-06-25,51.14,1148
2020-06-26,51.29,772
2020-06-29,51.48,2668
2020-06-30,51.53,1144
2020-07-01,51.75,1661
2020-07-02,51.81,1894
2020-07-06,51.57,1950
2020-07-07,51.99,724
2020-07-08,52.09,803
2020-07-09,52.26,734
2020-07-10,52.35,652
2020-07-13,52.47,3000
2020-07-14,52.74,4104
2020-07-15,52.53,1189
2020-07-16,52.71,698
2020-07-17,53.13,750
2020-07-20,53.03,1916
2020-07-21,53.27,3388
2020-07-22,53.78,246
2020-07-23,54.18,199
2020-07-24,54.22,3018
2020-07-27,54.16,3615
2020-07-28,54.71,6681
2020-07-29,54.76,1379
2020-07-30,54.85,3161
2020-07-31,55.01,2328
2020-08-03,54.77,6538
2020-08-04,55.39,5873
2020-08-05,55.16,999
2020-08-06,55.48,5141
2020-08-07,55.34,581
2020-08-10,55.15,2092
2020-08-11,53.89,3529
2020-08-12,53.8,2234
2020-08-13,53.74,4228
2020-08-14,53.43,447
