date,close,volume
2018-04-25,33.39,776672
2018-04-26,33.31,203933
2018-04-27,33.4,49859
2018-04-30,33.33,400003
2018-05-01,33.44,1001342
2018-05-02,32.87,397345
2018-05-03,32.52,271969
2018-05-04,32.75,227029
2018-05-07,32.5,391793
2018-05-08,32.18,428867
2018-05-09,32.1,245060
2018-05-10,32.25,110161
2018-05-11,31.99,141075
2018-05-14,31.91,370974
2018-05-15,31.86,527365
2018-05-16,31.77,288094
2018-05-17,31.49,395490
2018-05-18,31.57,330158
2018-05-21,31.48,148682
2018-05-22,31.04,415925
2018-05-23,30.92,298989
2018-05-24,30.59,175807
2018-05-25,30.55,173192
2018-05-29,30.24,335090
2018-05-30,30.26,192462
2018-05-31,30.23,147342
2018-06-01,30.47,250777
2018-06-04,30.98,366585
2018-06-05,31.24,353394
2018-06-06,31.54,173854
2018-06-07,31.6,152260
2018-06-08,31.78,161562
2018-06-11,31.8,112427
2018-06-12,31.66,106337
2018-06-13,31.51,133530
2018-06-14,31.02,99238
2018-06-15,30.74,110308
2018-06-18,30.59,296608
2018-06-19,29.67,285580
2018-06-20,29.67,304360
2018-06-21,29.77,226948
2018-06-22,29.91,144895
2018-06-25,29.58,143183
2018-06-26,29.62,147063
2018-06-27,28.86,202515
2018-06-28,28.86,152189
2018-06-29,28.81,125351
2018-07-02,28.25,924489
2018-07-03,28.32,125631
2018-07-05,28.84,351624
2018-07-06,28.9,339758
2018-07-09,29.12,309777
2018-07-10,29.15,175849
2018-07-11,29.08,111350
2018-07-12,29.02,103398
2018-07-13,29.14,220882
2018-07-16,29.02,144525
2018-07-17,29.11,125522
2018-07-18,29.21,93537
2018-07-19,29.1,49859
2018-07-20,29.28,126164
2018-07-23,29.24,164761
2018-07-24,29.37,94101
2018-07-25,29.6,122744
2018-07-26,29.5,165170
2018-07-27,29.67,183772
2018-07-30,29.55,123048
2018-07-31,29.72,95994
2018-08-01,30.02,834057
2018-08-02,29.61,347782
2018-08-03,29.57,317783
2018-08-06,29.75,178816
2018-08-07,29.54,139492
2018-08-08,29.42,312985
2018-08-09,29.18,89467
2018-08-10,28.8,154502
2018-08-13,28.4,284512
2018-08-14,28.51,360835
2018-08-15,28.37,231679
2018-08-16,28.71,216365
2018-08-17,28.75,96622
2018-08-20,28.78,91874
2018-08-21,28.91,24140
2018-08-22,28.98,48460
2018-08-23,28.82,82908
2018-08-24,28.74,61147
2018-08-27,28.63,111707
2018-08-28,28.47,100980
2018-08-29,28.35,198779
2018-08-30,27.52,179666
2018-08-31,27.94,132185
2018-09-04,27.57,159071
2018-09-05,27.61,242853
2018-09-06,27.85,112813
2018-09-07,27.75,103072
2018-09-10,27.65,129218
2018-09-11,27.61,86275
2018-09-12,27.64,114714
2018-09-13,27.7,236359
2018-09-14,27.65,45261
2018-09-17,27.62,49574
2018-09-18,27.92,83830
2018-09-19,28.05,79357
2018-09-20,28.55,130444
2018-09-21,28.7,186916
2018-09-24,28.77,268779
2018-09-25,28.89,66987
2018-09-26,28.82,69666
2018-09-27,28.67,106118
2018-09-28,28.44,65205
2018-10-01,28.5,90666
2018-10-02,28.73,70645
2018-10-03,28.57,39107
2018-10-04,28.27,85249
2018-10-05,27.98,93755
2018-10-08,28.24,93207
2018-10-09,27.96,47368
2018-10-10,27.5,141469
2018-10-11,27.3,154475
2018-10-12,27.74,95399
2018-10-15,27.3,130824
2018-10-16,27.58,91103
2018-10-17,27.31,104111
2018-10-18,26.94,138294
2018-10-19,27.02,63320
2018-10-22,26.86,62848
2018-10-23,26.98,95772
2018-10-24,26.56,110532
2018-10-25,26.8,199824
2018-10-26,26.81,258059
2018-10-29,26.61,169148
2018-10-30,26.91,121862
2018-10-31,27.07,77699
2018-11-01,27.53,123586
2018-11-02,27.57,86539
2018-11-05,27.62,102929
2018-11-06,27.5,238679
2018-11-07,27.7,135283
2018-11-08,27.4,51413
2018-11-09,27.3,82308
2018-11-12,27.1,124302
2018-11-13,26.85,85631
2018-11-14,27.01,119379
2018-11-15,27.26,73931
2018-11-16,27.2,93466
2018-11-19,27.17,151455
2018-11-20,27.07,164823
2018-11-21,27.21,105878
2018-11-23,27.15,12544
2018-11-26,27.27,104440
2018-11-27,27.43,86396
2018-11-28,27.65,67660
2018-11-29,27.65,57568
