date,close,volume
2018-04-25,15.25,19374
2018-04-26,15.1,20467
2018-04-27,15.1,16658
2018-04-30,14.75,32939
2018-05-01,15.15,35201
2018-05-02,15.15,39626
2018-05-03,14.8,13349
2018-05-04,15.05,18336
2018-05-07,15.2,35653
2018-05-08,15.25,15670
2018-05-09,15.6,35085
2018-05-10,15.65,13492
2018-05-11,15.45,13581
2018-05-14,15.5,27390
2018-05-15,15.4,17834
2018-05-16,15.8,37798
2018-05-17,15.9,41836
2018-05-18,15.8,33027
2018-05-21,15.88,32544
2018-05-22,15.75,18888
2018-05-23,15.8,27974
2018-05-24,15.9,28418
2018-05-25,15.9,17704
2018-05-29,15.8,25160
2018-05-30,15.8,33684
2018-05-31,15.8,30307
2018-06-01,15.75,89973
2018-06-04,15.85,64942
2018-06-05,15.9,70648
2018-06-06,16.35,64058
2018-06-07,16.3,19581
2018-06-08,16.05,24802
2018-06-11,16.02,36971
2018-06-12,16.0,28356
2018-06-13,15.9,26788
2018-06-14,15.85,53925
2018-06-15,16.1,95965
2018-06-18,16.25,17036
2018-06-19,16.3,31437
2018-06-20,16.6,31498
2018-06-21,16.2,40555
2018-06-22,16.2,122812
2018-06-25,16.05,33716
2018-06-26,16.1,24973
2018-06-27,15.9,29937
2018-06-28,16.0,16713
2018-06-29,15.95,41585
2018-07-02,16.5,47300
2018-07-03,16.5,17283
2018-07-05,16.45,21663
2018-07-06,16.55,26646
2018-07-09,16.7,18585
2018-07-10,16.5,26282
2018-07-11,16.5,24986
2018-07-12,16.4,16043
2018-07-13,16.3,11568
2018-07-16,16.2,16301
2018-07-17,16.1,20056
2018-07-18,16.25,17523
2018-07-19,16.3,22175
2018-07-20,16.75,31572
2018-07-23,16.65,19460
2018-07-24,16.25,21124
2018-07-25,16.25,25487
2018-07-26,16.55,18931
2018-07-27,15.85,41278
2018-07-30,15.85,25330
2018-07-31,15.98,45528
2018-08-01,16.0,23987
2018-08-02,16.05,23178
2018-08-03,15.95,29276
