date,close,volume
2018-04-25,12.31,41624
2018-04-26,12.47,63647
2018-04-27,12.46,29630
2018-04-30,12.51,40447
2018-05-01,12.54,63791
2018-05-02,12.58,76022
2018-05-03,12.54,80302
2018-05-04,12.58,49690
2018-05-07,12.66,62808
2018-05-08,12.72,48958
2018-05-09,12.73,57286
2018-05-10,12.71,49200
2018-05-11,12.75,25318
2018-05-14,12.84,69668
2018-05-15,12.75,50353
2018-05-16,12.66,64535
2018-05-17,12.78,63227
2018-05-18,12.65,43516
2018-05-21,12.72,37944
2018-05-22,12.72,35495
2018-05-23,12.75,41310
2018-05-24,12.73,37807
2018-05-25,12.73,32616
2018-05-29,12.61,49274
2018-05-30,12.77,60828
2018-05-31,12.73,34733
2018-06-01,12.77,57531
2018-06-04,12.76,59881
2018-06-05,12.86,38304
2018-06-06,12.83,53765
2018-06-07,12.88,36002
2018-06-08,12.87,36726
2018-06-11,12.98,44579
2018-06-12,12.86,116788
2018-06-13,12.81,99418
2018-06-14,12.97,64369
2018-06-15,13.01,70973
2018-06-18,13.1,183949
2018-06-19,12.89,53119
2018-06-20,12.73,51383
2018-06-21,12.74,34981
2018-06-22,12.85,45222
2018-06-25,12.62,86766
2018-06-26,12.82,24749
2018-06-27,12.69,62841
2018-06-28,12.88,61009
2018-06-29,12.85,68666
2018-07-02,12.9,80936
2018-07-03,12.98,40968
2018-07-05,13.07,85795
2018-07-06,13.07,109036
2018-07-09,13.01,95908
2018-07-10,13.06,57510
2018-07-11,13.02,31524
2018-07-12,13.05,35216
2018-07-13,13.0,28791
2018-07-16,13.04,36379
2018-07-17,12.99,36974
2018-07-18,12.89,62273
2018-07-19,12.87,57745
2018-07-20,12.93,39577
2018-07-23,12.97,75859
2018-07-24,13.0,57785
2018-07-25,13.19,74768
2018-07-26,13.19,95093
2018-07-27,13.23,40149
2018-07-30,12.96,70994
2018-07-31,13.13,56363
2018-08-01,13.22,58488
2018-08-02,13.32,178343
2018-08-03,13.31,17022
2018-08-06,13.32,35379
2018-08-07,13.32,26647
2018-08-08,13.35,32642
2018-08-09,13.35,22646
2018-08-10,13.31,33986
2018-08-13,13.26,14109
2018-08-14,13.3,18225
2018-08-15,13.25,48905
2018-08-16,13.2,47155
2018-08-17,13.22,42319
2018-08-20,13.27,70572
2018-08-21,13.15,56379
2018-08-22,13.15,49341
2018-08-23,13.07,103364
2018-08-24,13.12,42961
2018-08-27,13.18,38732
2018-08-28,13.17,23634
2018-08-29,13.26,43551
2018-08-30,13.25,45150
2018-08-31,13.15,46596
2018-09-04,13.23,42465
2018-09-05,13.2,49173
2018-09-06,13.12,65836
2018-09-07,13.06,42938
2018-09-10,13.08,23056
2018-09-11,13.24,54899
2018-09-12,13.22,42667
2018-09-13,13.3,46481
2018-09-14,13.2,52471
2018-09-17,13.21,58330
2018-09-18,13.19,43054
2018-09-19,13.07,88688
2018-09-20,13.2,46470
2018-09-21,13.17,38064
2018-09-24,13.19,30842
2018-09-25,13.15,58653
2018-09-26,13.01,94284
2018-09-27,12.95,145823
2018-09-28,12.94,73771
2018-10-01,13.1,109722
2018-10-02,13.17,111358
2018-10-03,13.22,50077
2018-10-04,13.04,39287
2018-10-05,12.72,131578
2018-10-08,12.53,67935
2018-10-09,12.43,197790
2018-10-10,11.96,507324
2018-10-11,11.8,203337
2018-10-12,11.83,152457
2018-10-15,11.9,69871
2018-10-16,12.1,103004
2018-10-17,12.08,61141
2018-10-18,11.92,50104
2018-10-19,12.0,40192
2018-10-22,11.9,57382
2018-10-23,11.77,98087
2018-10-24,11.62,50824
2018-10-25,11.66,66760
2018-10-26,11.49,138683
2018-10-29,11.35,73684
2018-10-30,11.3,63296
2018-10-31,11.43,100456
2018-11-01,11.79,148891
2018-11-02,11.77,90631
2018-11-05,11.81,51114
2018-11-06,11.81,59968
2018-11-07,12.13,80754
2018-11-08,12.18,61093
