date,close,volume
2018-04-25,19.5,32192
2018-04-26,19.51,53649
2018-04-27,19.52,43875
2018-04-30,19.5,17840
2018-05-01,19.5,54833
2018-05-02,19.49,20170
2018-05-03,19.44,25676
2018-05-04,19.42,37224
2018-05-07,19.43,24790
2018-05-08,19.43,13621
2018-05-09,19.43,18640
2018-05-10,19.43,121963
2018-05-11,19.46,72776
2018-05-14,19.45,12996
2018-05-15,19.46,26619
2018-05-16,19.44,13243
2018-05-17,19.44,14157
2018-05-18,19.44,28625
2018-05-21,19.43,78423
2018-05-22,19.33,36919
2018-05-23,19.31,26198
2018-05-24,19.24,36729
2018-05-25,19.27,23974
2018-05-29,19.19,22355
2018-05-30,19.18,42002
2018-05-31,19.22,35164
2018-06-01,19.17,49598
2018-06-04,19.2,35806
2018-06-05,19.17,46798
2018-06-06,19.18,13857
2018-06-07,19.19,29995
2018-06-08,19.18,201036
2018-06-11,19.21,39150
2018-06-12,19.2,40032
2018-06-13,19.18,104365
2018-06-14,19.19,15112
2018-06-15,19.27,6259
2018-06-18,19.22,18018
2018-06-19,19.17,16412
2018-06-20,19.18,25339
2018-06-21,19.07,21677
2018-06-22,18.99,16301
2018-06-25,19.01,45718
2018-06-26,18.94,26452
2018-06-27,18.9,23741
2018-06-28,18.95,29365
2018-06-29,19.0,35152
2018-07-02,18.97,19358
2018-07-03,18.97,10167
2018-07-05,18.99,23240
2018-07-06,19.06,4516
2018-07-09,19.05,24326
2018-07-10,19.08,6137
2018-07-11,19.1,64811
2018-07-12,19.16,10198
2018-07-13,19.18,60246
2018-07-16,19.15,17732
2018-07-17,19.17,32926
2018-07-18,19.15,35627
2018-07-19,19.16,10334
2018-07-20,19.03,11485
2018-07-23,19.04,3575
2018-07-24,19.09,17009
2018-07-25,19.1,8612
2018-07-26,19.08,189111
2018-07-27,19.05,251225
2018-07-30,19.14,16854
2018-07-31,19.22,43844
2018-08-01,19.12,59316
2018-08-02,19.18,9020
2018-08-03,19.2,13801
2018-08-06,19.18,9543
2018-08-07,19.22,41837
2018-08-08,19.22,40348
2018-08-09,19.16,76621
2018-08-10,19.2,15828
2018-08-13,19.2,25284
2018-08-14,19.21,22242
2018-08-15,19.1,13696
2018-08-16,19.21,10637
2018-08-17,19.17,6740
2018-08-20,19.1,14430
2018-08-21,19.12,49404
2018-08-22,19.12,5826
2018-08-23,19.1,21729
2018-08-24,19.11,25380
2018-08-27,19.14,14143
2018-08-28,19.17,15696
2018-08-29,19.15,30718
2018-08-30,19.15,13975
2018-08-31,19.17,18944
2018-09-04,19.09,4819
2018-09-05,19.05,19129
2018-09-06,19.14,5473
2018-09-07,19.1,23681
2018-09-10,19.14,15766
2018-09-11,19.2,30633
2018-09-12,19.09,18576
2018-09-13,19.23,14590
2018-09-14,19.22,9890
2018-09-17,19.05,104987
2018-09-18,19.13,78100
2018-09-19,19.05,1988
2018-09-20,19.16,25976
2018-09-21,19.13,3670
2018-09-24,19.15,37607
2018-09-25,19.14,6243
2018-09-26,19.03,15655
2018-09-27,19.15,13368
2018-09-28,18.98,14567
2018-10-01,19.14,21627
2018-10-02,19.12,19911
2018-10-03,19.04,155103
2018-10-04,19.09,12227
2018-10-05,19.02,4873
2018-10-08,18.98,3701
2018-10-09,19.0,22182
2018-10-10,18.86,57754
2018-10-11,18.96,17430
2018-10-12,18.84,78731
2018-10-15,18.95,18471
2018-10-16,18.97,22022
2018-10-17,18.9,49074
2018-10-18,18.95,34038
2018-10-19,18.88,2837
2018-10-22,18.95,13428
2018-10-23,18.84,123902
2018-10-24,18.81,30196
2018-10-25,18.7,98843
2018-10-26,18.79,45713
2018-10-29,18.79,38881
2018-10-30,18.79,40385
2018-10-31,18.79,13507
2018-11-01,18.81,37119
2018-11-02,18.75,5416
