date,close,volume
2018-04-25,16.84,365380
2018-04-26,16.76,321431
2018-04-27,16.72,226162
2018-04-30,16.75,487827
2018-05-01,17.09,397994
2018-05-02,17.09,297783
2018-05-03,17.24,715776
2018-05-04,17.74,449615
2018-05-07,17.88,786400
2018-05-08,16.86,334220
2018-05-09,17.94,691772
2018-05-10,17.27,406782
2018-05-11,17.96,746183
2018-05-14,17.79,513737
2018-05-15,17.75,400749
2018-05-16,18.75,549836
2018-05-17,18.9,645932
2018-05-18,18.64,400941
2018-05-21,18.67,435359
2018-05-22,19.47,500550
2018-05-23,18.4,415644
2018-05-24,18.41,269536
2018-05-25,18.49,249436
2018-05-29,18.13,266603
2018-05-30,18.02,343981
2018-05-31,17.56,376741
2018-06-01,18.27,314533
2018-06-04,16.84,1056476
2018-06-05,17.48,400285
2018-06-06,17.66,354624
2018-06-07,17.34,317769
2018-06-08,17.08,235862
2018-06-11,17.2,213077
2018-06-12,17.23,217864
2018-06-13,17.27,168554
2018-06-14,17.64,312760
2018-06-15,17.01,838517
2018-06-18,17.0,253965
2018-06-19,17.31,405270
2018-06-20,17.68,318391
2018-06-21,17.13,233059
2018-06-22,17.38,645549
2018-06-25,17.27,262817
2018-06-26,17.77,345024
2018-06-27,16.79,269898
2018-06-28,15.55,728795
2018-06-29,15.81,418502
2018-07-02,16.11,338925
2018-07-03,16.32,233461
2018-07-05,16.32,190368
2018-07-06,17.03,227320
2018-07-09,16.7,311620
2018-07-10,16.87,187303
2018-07-11,17.23,194662
2018-07-12,17.56,274510
2018-07-13,17.26,131229
2018-07-16,17.26,190155
2018-07-17,17.46,174092
2018-07-18,17.24,127557
2018-07-19,17.16,179713
2018-07-20,16.97,111405
2018-07-23,16.77,135199
2018-07-24,16.24,258795
2018-07-25,15.71,542384
2018-07-26,15.79,227803
2018-07-27,14.77,381368
2018-07-30,15.04,464864
2018-07-31,14.9,320090
2018-08-01,14.91,293806
2018-08-02,15.19,180102
2018-08-03,15.19,278259
2018-08-06,15.19,219456
2018-08-07,15.38,167294
2018-08-08,15.47,142940
2018-08-09,14.7,479407
2018-08-10,14.09,320166
2018-08-13,14.31,364074
2018-08-14,13.86,456674
2018-08-15,13.59,384752
2018-08-16,13.75,273130
2018-08-17,13.18,243634
2018-08-20,13.3,420709
2018-08-21,13.42,510861
2018-08-22,13.93,1220118
2018-08-23,13.55,342053
2018-08-24,14.0,312327
2018-08-27,14.3,290901
2018-08-28,14.22,223094
2018-08-29,14.06,176581
2018-08-30,14.14,379828
2018-08-31,14.0,218175
2018-09-04,14.16,300030
2018-09-05,14.17,209939
2018-09-06,13.53,326321
2018-09-07,13.1,186057
2018-09-10,13.06,184713
2018-09-11,13.59,1374594
2018-09-12,14.38,351491
2018-09-13,13.53,454012
2018-09-14,13.53,357342
2018-09-17,13.56,282696
2018-09-18,13.82,240451
2018-09-19,14.24,251390
2018-09-20,14.12,227340
2018-09-21,13.88,1276881
2018-09-24,13.8,203976
2018-09-25,14.28,270531
2018-09-26,13.81,188055
2018-09-27,13.94,125048
2018-09-28,13.92,176406
2018-10-01,14.05,307352
2018-10-02,13.77,437815
2018-10-03,14.01,261742
2018-10-04,13.87,173900
2018-10-05,13.45,227943
2018-10-08,13.18,210495
2018-10-09,12.8,304346
2018-10-10,12.82,446726
2018-10-11,13.17,230439
2018-10-12,13.1,214473
2018-10-15,13.1,155441
2018-10-16,13.91,242250
2018-10-17,14.39,267743
2018-10-18,14.24,271038
2018-10-19,14.3,309366
2018-10-22,13.34,525532
2018-10-23,12.85,490948
2018-10-24,12.3,758758
2018-10-25,12.52,380968
2018-10-26,12.62,204348
2018-10-29,11.9,233526
2018-10-30,12.33,359494
2018-10-31,12.14,341157
2018-11-01,12.99,304864
2018-11-02,12.83,192041
2018-11-05,12.42,128925
2018-11-06,12.11,189173
2018-11-07,11.13,1048250
2018-11-08,11.49,301464
2018-11-09,11.57,298407
2018-11-12,11.23,279430
2018-11-13,11.26,219356
2018-11-14,10.97,437321
2018-11-15,11.57,236470
2018-11-16,11.88,268433
2018-11-19,11.44,203720
2018-11-20,11.37,153389
2018-11-21,11.96,160597
2018-11-23,12.04,175949
2018-11-26,12.47,214446
2018-11-27,12.21,186716
2018-11-28,12.86,206860
2018-11-29,12.63,205995
2018-11-30,12.84,194702
2018-12-03,13.6,291130
2018-12-04,12.72,297259
2018-12-06,12.9,279345
2018-12-07,12.19,761267
2018-12-10,12.09,531936
2018-12-11,12.03,454035
