date,close,volume
2018-10-05,19.49,400
2018-10-08,19.23,703
2018-10-09,19.13,687
2018-10-10,19.13,0
2018-10-11,19.13,0
2018-10-12,19.13,100
2018-10-15,18.33,100
2018-10-16,18.83,200
2018-10-17,18.73,200
2018-10-18,18.73,0
2018-10-19,18.4,300
2018-10-22,18.31,200
2018-10-23,17.98,520
2018-10-24,17.98,1
2018-10-25,17.71,100
2018-10-26,17.6,200
2018-10-29,17.6,0
2018-10-30,17.75,200
2018-10-31,17.95,100
2018-11-01,18.33,200
2018-11-02,18.39,200
2018-11-05,18.31,201
2018-11-06,18.35,200
2018-11-07,18.65,200
2018-11-08,18.5,100
2018-11-09,18.34,201
2018-11-12,17.88,311
2018-11-13,18.0,110
2018-11-14,18.01,100
2018-11-15,17.94,312
2018-11-16,17.94,200
2018-11-19,17.64,200
2018-11-20,17.12,301
2018-11-21,17.12,0
2018-11-23,17.34,100
2018-11-26,17.63,200
2018-11-27,17.52,201
2018-11-28,17.75,200
2018-11-29,17.69,100
2018-11-30,17.55,116
2018-12-03,17.81,107
2018-12-04,17.33,101
2018-12-06,17.31,210
2018-12-07,17.12,106
2018-12-10,16.99,200
2018-12-11,16.99,1
2018-12-12,16.99,0
2018-12-13,16.99,0
2018-12-14,16.99,0
2018-12-17,16.99,1
2018-12-18,16.99,0
2018-12-19,16.99,1
2018-12-20,16.99,0
2018-12-21,16.44,413
2018-12-24,16.44,0
2018-12-26,16.57,101
2018-12-27,16.58,210
2018-12-28,16.58,0
2018-12-31,16.58,0
2019-01-02,16.58,2
2019-01-03,16.58,0
2019-01-04,17.03,100
2019-01-07,17.26,100
2019-01-08,17.42,102
2019-01-09,17.42,1
2019-01-10,17.62,201
2019-01-11,17.54,105
2019-01-14,17.45,100
2019-01-15,17.5,100
2019-01-16,17.5,0
2019-01-17,17.66,100
2019-01-18,17.66,1
2019-01-22,17.66,0
2019-01-23,17.89,100
2019-01-24,17.87,200
2019-01-25,17.87,0
2019-01-28,17.92,100
2019-01-29,17.92,0
2019-01-30,17.92,0
2019-01-31,17.92,1
2019-02-01,17.92,0
2019-02-04,18.23,101
2019-02-05,18.23,4
2019-02-06,18.23,0
2019-02-07,18.23,0
2019-02-08,18.03,203
2019-02-11,18.03,1
2019-02-12,18.25,100
2019-02-13,18.22,100
2019-02-14,18.22,0
2019-02-15,18.47,175
2019-02-19,18.47,0
2019-02-20,18.47,0
2019-02-21,18.56,102
2019-02-22,18.61,100
2019-02-25,18.61,0
2019-02-26,18.61,6
2019-02-27,18.61,1
2019-02-28,18.61,0
2019-03-01,18.95,100
2019-03-04,18.95,0
2019-03-05,18.95,5
2019-03-06,18.95,0
2019-03-07,18.59,100
2019-03-08,18.68,105
2019-03-11,18.68,2
2019-03-12,18.68,0
2019-03-13,18.68,2
2019-03-14,18.68,0
2019-03-15,18.68,0
2019-03-18,18.68,3
2019-03-19,18.68,0
2019-03-20,19.49,101
2019-03-21,19.4,100
2019-03-22,19.4,0
2019-03-25,19.4,2
2019-03-26,19.4,9
2019-03-27,19.06,126
2019-03-28,19.06,27
