date,close,volume
2018-04-25,72.2,1756419
2018-04-26,72.27,2671062
2018-04-27,71.31,3691930
2018-04-30,70.31,1668696
2018-05-01,72.04,1975711
2018-05-02,71.52,1989985
2018-05-03,72.51,1898225
2018-05-04,73.29,1253674
2018-05-07,73.54,1316374
2018-05-08,74.25,1129230
2018-05-09,75.22,1251158
2018-05-10,75.54,919600
2018-05-11,75.62,1009369
2018-05-14,76.3,1753077
2018-05-15,76.25,1144104
2018-05-16,76.78,987656
2018-05-17,77.35,1246824
2018-05-18,77.87,2053934
2018-05-21,77.61,1185253
2018-05-22,76.11,1554973
2018-05-23,76.18,1225948
2018-05-24,76.16,1459533
2018-05-25,75.51,817599
2018-05-29,74.02,1511124
2018-05-30,74.19,1310697
2018-05-31,72.69,2276951
2018-06-01,73.81,1183307
2018-06-04,74.25,1600252
2018-06-05,74.3,856656
2018-06-06,74.96,1345712
2018-06-07,77.98,2649446
2018-06-08,78.2,1447817
2018-06-11,78.37,1100420
2018-06-12,78.29,1080832
2018-06-13,78.09,1153673
2018-06-14,80.13,2549491
2018-06-15,81.07,3365099
2018-06-18,80.37,1939034
2018-06-19,79.01,1870799
2018-06-20,78.8,1123108
2018-06-21,78.1,1268103
2018-06-22,77.84,2185389
2018-06-25,77.63,1902068
2018-06-26,75.2,6011387
2018-06-27,74.79,5353717
2018-06-28,75.8,3478275
2018-06-29,77.11,3436976
2018-07-02,76.76,1477122
2018-07-03,76.54,797999
2018-07-05,77.14,1343560
2018-07-06,77.22,921040
2018-07-09,77.9,1723276
2018-07-10,77.06,1227903
2018-07-11,76.24,1286525
2018-07-12,76.95,1589021
2018-07-13,77.22,1005514
2018-07-16,76.46,1069574
2018-07-17,77.57,963522
2018-07-18,77.52,1381959
2018-07-19,77.62,1307458
2018-07-20,77.64,1872976
2018-07-23,76.18,1443217
2018-07-24,77.41,2075507
2018-07-25,79.03,2121867
2018-07-26,81.21,2990390
2018-07-27,79.81,2233563
2018-07-30,79.75,2577646
2018-07-31,82.08,2756895
2018-08-01,80.94,2233250
2018-08-02,80.93,1486353
2018-08-03,81.21,1010550
2018-08-06,80.96,1286050
2018-08-07,81.28,832797
2018-08-08,80.78,898233
2018-08-09,80.24,746902
2018-08-10,79.7,1983412
2018-08-13,79.31,1497435
2018-08-14,79.56,1089070
2018-08-15,79.69,1307767
2018-08-16,80.34,1278865
2018-08-17,80.25,2439392
2018-08-20,80.6,1815360
2018-08-21,80.39,1625429
2018-08-22,79.92,1029661
2018-08-23,80.02,1317554
