date,close,volume
2018-04-25,19.7,0
2018-04-26,19.7,15
2018-04-27,19.7,0
2018-04-30,19.7,0
2018-05-01,19.7,6
2018-05-02,19.2,285
2018-05-03,19.2,3
2018-05-04,19.2,2
2018-05-07,19.2,0
2018-05-08,19.2,24
2018-05-09,19.2,147
2018-05-10,19.2,0
2018-05-11,19.2,3
2018-05-14,19.2,0
2018-05-15,19.32,251
2018-05-16,19.32,11
2018-05-17,19.32,0
2018-05-18,19.28,185
2018-05-21,19.28,8
2018-05-22,19.36,777
2018-05-23,19.35,783
2018-05-24,19.3,101
2018-05-25,19.25,1545
2018-05-29,19.25,757
2018-05-30,19.31,1750
2018-05-31,19.11,232
2018-06-01,19.11,7
2018-06-04,19.3,1763
2018-06-05,19.3,0
2018-06-06,19.3,214
2018-06-07,19.36,122
2018-06-08,19.62,330
2018-06-11,19.68,101
2018-06-12,19.68,0
2018-06-13,19.78,100
2018-06-14,19.78,35
2018-06-15,19.99,263
2018-06-18,19.83,1002
2018-06-19,19.83,0
2018-06-20,19.83,1
2018-06-21,19.83,0
2018-06-22,19.83,41
2018-06-25,20.08,450
2018-06-26,20.08,10
2018-06-27,20.08,2
2018-06-28,20.08,15
2018-06-29,20.08,53
2018-07-02,20.08,9
2018-07-03,19.73,155
2018-07-05,19.73,35
2018-07-06,19.73,124
2018-07-09,20.19,1030
2018-07-10,20.18,2252
2018-07-11,20.18,2
2018-07-12,20.15,301
2018-07-13,20.15,1
2018-07-16,20.15,4
2018-07-17,20.12,300
2018-07-18,19.96,200
2018-07-19,19.96,5
2018-07-20,19.96,0
2018-07-23,19.95,129
2018-07-24,19.95,0
2018-07-25,19.95,100
2018-07-26,20.18,100
2018-07-27,20.18,0
2018-07-30,19.84,1052
2018-07-31,19.84,0
2018-08-01,19.84,2
2018-08-02,19.84,5
2018-08-03,19.84,0
2018-08-06,19.84,7
2018-08-07,19.84,19
2018-08-08,19.84,5
2018-08-09,19.84,0
2018-08-10,19.79,810
2018-08-13,19.79,56
2018-08-14,19.79,0
2018-08-15,19.79,3
2018-08-16,19.79,0
2018-08-17,19.9,223
2018-08-20,19.9,0
2018-08-21,19.92,101
2018-08-22,19.93,113
2018-08-23,19.85,5010
2018-08-24,19.85,0
2018-08-27,19.85,55
2018-08-28,19.85,1
