date,close,volume
2018-04-25,67.78,253300
2018-04-26,66.64,189937
2018-04-27,66.7,295827
2018-04-30,65.24,245907
2018-05-01,65.65,351381
2018-05-02,66.16,242550
2018-05-03,67.39,330587
2018-05-04,69.14,259702
2018-05-07,69.76,273614
2018-05-08,70.14,214503
2018-05-09,71.29,249316
2018-05-10,72.27,206309
2018-05-11,71.84,159291
2018-05-14,71.91,154249
2018-05-15,73.0,241846
2018-05-16,74.31,392456
2018-05-17,73.87,311779
2018-05-18,74.8,285317
2018-05-21,75.79,152193
2018-05-22,73.4,192904
2018-05-23,72.61,233820
2018-05-24,72.67,111594
2018-05-25,72.49,103805
2018-05-29,71.68,227986
2018-05-30,73.42,268251
2018-05-31,71.9,209395
2018-06-01,72.79,182023
2018-06-04,73.21,284440
2018-06-05,72.99,258184
2018-06-06,72.02,206110
2018-06-07,73.32,165516
2018-06-08,72.12,255065
2018-06-11,72.41,219062
2018-06-12,72.37,145386
2018-06-13,71.24,210570
2018-06-14,71.91,190482
2018-06-15,71.66,356954
2018-06-18,71.91,161405
2018-06-19,71.22,250741
2018-06-20,72.08,190317
2018-06-21,70.35,200030
2018-06-22,70.54,508241
2018-06-25,69.34,211570
2018-06-26,69.85,184285
2018-06-27,68.97,115361
2018-06-28,69.08,211900
2018-06-29,74.23,570673
2018-07-02,74.14,383480
2018-07-03,74.78,151031
2018-07-05,75.96,152508
2018-07-06,75.32,206490
2018-07-09,77.04,219114
2018-07-10,75.7,180845
2018-07-11,75.78,347837
2018-07-12,75.67,267910
2018-07-13,76.86,231760
2018-07-16,77.0,254513
2018-07-17,76.98,206378
2018-07-18,77.29,355297
2018-07-19,84.15,1161280
2018-07-20,88.28,977008
2018-07-23,86.75,490290
2018-07-24,84.9,418654
2018-07-25,86.08,532294
2018-07-26,85.18,260836
2018-07-27,82.84,378985
2018-07-30,81.39,524376
2018-07-31,82.34,269255
2018-08-01,82.93,333747
2018-08-02,83.01,254318
2018-08-03,83.58,215952
2018-08-06,84.03,200229
2018-08-07,85.37,236904
2018-08-08,85.09,270500
2018-08-09,84.57,133966
2018-08-10,84.34,124584
2018-08-13,82.77,225901
2018-08-14,83.49,165373
2018-08-15,81.56,226026
2018-08-16,82.19,160943
2018-08-17,83.01,86629
2018-08-20,83.76,110022
2018-08-21,85.83,412810
2018-08-22,85.91,279249
2018-08-23,85.28,180733
2018-08-24,85.75,136070
2018-08-27,86.38,172818
2018-08-28,85.52,162018
2018-08-29,85.28,154415
2018-08-30,85.12,144422
2018-08-31,84.45,189285
2018-09-04,83.41,203252
2018-09-05,83.45,192265
2018-09-06,83.28,183881
2018-09-07,83.08,161637
2018-09-10,83.76,162882
2018-09-11,83.07,175696
2018-09-12,81.9,245977
2018-09-13,82.64,215007
2018-09-14,83.17,322002
2018-09-17,84.25,168627
2018-09-18,84.86,209839
2018-09-19,84.89,148278
2018-09-20,85.64,210323
2018-09-21,85.69,400356
2018-09-24,86.25,222746
2018-09-25,86.07,138223
2018-09-26,86.29,217798
2018-09-27,86.65,243154
2018-09-28,86.59,167159
2018-10-01,86.6,212837
2018-10-02,86.13,176959
2018-10-03,87.62,206996
2018-10-04,88.04,256200
2018-10-05,88.74,199575
2018-10-08,89.08,198904
2018-10-09,88.61,245489
2018-10-10,84.29,284443
2018-10-11,81.9,279956
2018-10-12,82.0,228930
2018-10-15,83.31,182515
2018-10-16,85.28,142994
2018-10-17,84.27,183502
2018-10-18,82.46,294173
2018-10-19,82.6,226615
2018-10-22,83.83,333631
2018-10-23,78.39,799655
2018-10-24,73.37,753703
2018-10-25,72.75,413941
2018-10-26,72.5,236200
2018-10-29,73.03,301450
2018-10-30,73.03,322726
2018-10-31,74.93,356470
2018-11-01,76.27,338198
2018-11-02,76.52,201559
2018-11-05,77.49,211046
2018-11-06,78.29,194479
2018-11-07,79.69,247099
2018-11-08,79.87,198166
2018-11-09,78.71,169243
2018-11-12,76.53,208551
2018-11-13,78.84,236756
2018-11-14,79.42,162936
2018-11-15,81.7,138555
2018-11-16,82.81,178511
2018-11-19,80.45,191573
2018-11-20,78.61,226933
2018-11-21,79.73,206113
2018-11-23,79.42,89373
2018-11-26,81.18,155053
2018-11-27,81.16,183572
2018-11-28,84.15,167517
2018-11-29,83.16,184130
2018-11-30,83.51,245624
2018-12-03,83.9,185542
2018-12-04,79.02,267049
2018-12-06,78.79,183403
2018-12-07,77.27,133396
2018-12-10,76.71,142816
2018-12-11,77.03,144218
2018-12-12,77.91,201513
2018-12-13,75.15,222140
2018-12-14,73.68,202492
2018-12-17,72.15,229326
2018-12-18,72.36,178124
2018-12-19,70.65,264701
2018-12-20,69.69,275680
2018-12-21,69.11,860559
2018-12-24,68.44,117352
2018-12-26,71.79,530920
2018-12-27,72.23,375436
2018-12-28,71.17,212270
2018-12-31,70.81,370173
2019-01-02,70.73,344828
2019-01-03,67.99,251845
2019-01-04,71.12,283256
2019-01-07,70.34,215138
2019-01-08,71.91,236744
2019-01-09,71.82,451431
2019-01-10,72.46,191488
2019-01-11,72.18,180792
2019-01-14,71.5,185536
2019-01-15,70.99,163428
2019-01-16,71.13,203351
2019-01-17,72.4,430513
2019-01-18,73.44,355541
2019-01-22,71.79,699635
2019-01-23,71.52,449633
2019-01-24,72.04,219434
2019-01-25,74.24,359671
2019-01-28,75.06,404734
2019-01-29,76.41,459695
2019-01-30,77.09,201700
2019-01-31,75.68,188183
2019-02-01,75.38,182577
2019-02-04,75.72,161267
2019-02-05,75.7,154184
2019-02-06,74.61,116259
2019-02-07,73.83,201116
2019-02-08,72.88,205930
2019-02-11,73.47,147690
2019-02-12,74.44,211865
2019-02-13,75.02,130788
2019-02-14,76.32,256167
2019-02-15,77.67,290166
2019-02-19,78.08,248568
2019-02-20,79.1,203292
2019-02-21,77.05,234249
2019-02-22,77.6,197237
2019-02-25,78.55,218329
2019-02-26,78.23,297636
2019-02-27,78.53,164718
2019-02-28,79.5,306512
2019-03-01,77.61,313141
2019-03-04,77.48,150083
2019-03-05,76.68,113135
2019-03-06,75.4,274982
2019-03-07,75.44,204970
2019-03-08,75.2,152535
2019-03-11,76.0,155873
2019-03-12,76.01,143746
2019-03-13,76.62,216138
2019-03-14,75.34,197038
2019-03-15,75.3,516946
2019-03-18,76.7,152854
2019-03-19,76.55,202873
2019-03-20,76.29,217008
2019-03-21,77.85,222070
2019-03-22,72.2,392108
2019-03-25,71.95,447004
2019-03-26,74.32,273780
2019-03-27,75.14,313134
2019-03-28,75.33,197964
2019-03-29,76.37,307115
2019-04-01,77.33,177896
2019-04-02,76.95,174458
2019-04-03,77.24,102572
2019-04-04,78.03,128425
2019-04-05,78.42,186999
2019-04-08,77.47,117705
2019-04-09,75.94,140139
2019-04-10,76.75,148128
2019-04-11,77.34,149301
2019-04-12,79.39,190617
2019-04-15,77.18,227729
2019-04-16,78.12,155973
2019-04-17,77.4,127851
2019-04-18,78.26,157460
2019-04-22,77.23,130454
2019-04-23,78.11,253762
2019-04-24,78.59,231641
2019-04-25,75.42,228050
2019-04-26,77.42,163676
2019-04-29,77.6,197901
2019-04-30,77.13,217886
2019-05-01,76.99,145793
2019-05-02,76.57,158741
2019-05-03,78.28,184916
2019-05-06,77.42,464024
2019-05-07,75.37,238372
2019-05-08,75.08,127107
2019-05-09,75.64,175423
2019-05-10,76.2,139758
2019-05-13,75.46,206428
2019-05-14,76.65,149526
2019-05-15,77.37,111988
2019-05-16,77.49,194798
2019-05-17,77.0,274310
2019-05-20,75.77,178197
2019-05-21,76.63,107904
2019-05-22,75.12,162640
2019-05-23,73.46,190369
2019-05-24,73.28,183234
2019-05-28,73.37,246498
2019-05-29,72.5,202261
2019-05-30,72.16,188809
2019-05-31,69.82,253111
2019-06-03,70.84,329113
2019-06-04,73.65,242194
2019-06-05,73.37,197809
2019-06-06,73.6,223061
2019-06-07,74.37,213443
2019-06-10,75.23,160672
2019-06-11,75.32,248420
2019-06-12,74.87,256913
2019-06-13,74.8,335433
2019-06-14,74.01,302130
2019-06-17,72.73,369662
2019-06-18,75.49,239529
2019-06-19,76.01,288498
2019-06-20,77.5,293015
2019-06-21,77.45,423104
2019-06-24,75.4,242719
2019-06-25,75.69,311736
2019-06-26,76.33,186016
2019-06-27,77.74,155575
2019-06-28,79.29,395068
2019-07-01,78.97,191836
2019-07-02,77.26,195754
2019-07-03,77.39,151772
2019-07-05,77.94,153957
2019-07-08,76.75,171487
2019-07-09,75.43,263847
2019-07-10,75.02,235280
2019-07-11,75.5,173377
