date,close,volume
2019-11-22,6.49,2590638
2019-11-25,6.59,1732238
2019-11-26,6.46,2273637
2019-11-27,6.26,2452609
2019-11-29,6.36,1093630
2019-12-02,6.49,2488553
2019-12-03,6.52,3530376
2019-12-04,6.5,1672003
2019-12-05,6.17,2257397
2019-12-06,6.02,3017520
2019-12-09,6.11,3577522
2019-12-10,5.89,2739778
2019-12-11,5.94,1608615
2019-12-12,6.07,1458040
2019-12-13,6.0,2088633
2019-12-16,6.05,2167722
2019-12-17,6.2,1496887
2019-12-18,6.27,1806478
2019-12-19,6.22,1657560
2019-12-20,6.35,4220418
2019-12-23,6.4,1559881
2019-12-24,6.32,496033
2019-12-26,6.27,1052775
2019-12-27,6.2,1232831
2019-12-30,6.11,1315370
2019-12-31,6.38,2001644
2020-01-02,6.37,1663927
2020-01-03,6.26,1312702
2020-01-06,6.2,2334672
2020-01-07,6.16,1253214
2020-01-08,6.09,1510162
2020-01-09,5.94,3071374
2020-01-10,5.81,2697070
2020-01-13,6.06,2371421
2020-01-14,6.17,1701566
2020-01-15,6.82,4315608
2020-01-16,6.99,3264312
2020-01-17,6.96,2251837
2020-01-21,6.9,1638711
2020-01-22,6.85,1527611
2020-01-23,6.85,1586623
2020-01-24,6.65,1609953
2020-01-27,6.33,1616925
2020-01-28,6.46,1783300
2020-01-29,6.34,1362600
2020-01-30,6.39,1060941
2020-01-31,6.11,2229234
2020-02-03,6.17,1411407
2020-02-04,6.26,1277215
2020-02-05,6.49,1548104
2020-02-06,6.47,1112231
2020-02-07,6.25,1365960
2020-02-10,6.13,1380603
2020-02-11,6.35,1260216
2020-02-12,6.46,1043237
2020-02-13,6.38,1039856
2020-02-14,6.24,1106338
2020-02-18,6.27,1009833
2020-02-19,6.45,1164200
2020-02-20,6.11,1919769
2020-02-21,5.93,1828541
2020-02-24,5.55,2414811
2020-02-25,5.09,2805503
2020-02-26,4.89,3212037
2020-02-27,4.8,6109769
2020-02-28,4.2,5796703
2020-03-02,3.92,4431779
2020-03-03,3.98,4822232
2020-03-04,4.15,2425970
2020-03-05,3.85,2987712
2020-03-06,4.07,3563787
2020-03-09,3.09,5974931
2020-03-10,3.53,5055330
2020-03-11,3.5,3086248
2020-03-12,3.32,4402573
2020-03-13,3.42,2454903
2020-03-16,2.6,4436893
2020-03-17,2.35,3905585
2020-03-18,1.25,5065984
2020-03-19,1.6,3410911
2020-03-20,1.61,4284288
2020-03-23,1.65,2125154
2020-03-24,1.97,1845106
2020-03-25,1.71,2660670
2020-03-26,2.01,3285599
2020-03-27,1.99,3580701
2020-03-30,1.94,1828763
2020-03-31,1.48,3341223
2020-04-01,1.19,5227340
2020-04-02,0.97,6940478
2020-04-03,0.82,4826311
2020-04-06,0.6739,7135775
2020-04-07,0.6369,16367812
2020-04-08,0.7417,7971654
2020-04-09,0.9296,13519963
2020-04-13,0.9809,6539989
2020-04-14,1.0,5124505
2020-04-15,0.9523,3816597
2020-04-16,0.88,3103880
2020-04-17,0.9046,2255290
2020-04-20,0.8039,5895682
2020-04-21,0.7812,3420694
2020-04-22,0.749,3989756
2020-04-23,0.7686,3320712
2020-04-24,0.7176,3551118
2020-04-27,0.8833,4880468
2020-04-28,0.8605,4404070
2020-04-29,0.921,6137815
2020-04-30,1.13,10225911
2020-05-01,1.1,4702046
2020-05-04,1.06,4796508
2020-05-05,1.1,2913465
2020-05-06,1.07,3554326
2020-05-07,0.9756,6607206
2020-05-08,1.09,3105804
2020-05-11,1.39,13268318
2020-05-12,1.11,6179373
2020-05-13,1.01,4283856
2020-05-14,1.02,3071659
2020-05-15,0.9457,2991758
2020-05-18,1.02,3918617
2020-05-19,1.18,7185781
2020-05-20,1.23,2761009
2020-05-21,1.42,6073622
2020-05-22,1.37,3473787
2020-05-26,1.45,3575379
2020-05-27,1.48,3513352
2020-05-28,1.33,3429101
2020-05-29,1.31,3813121
2020-06-01,1.37,1842575
2020-06-02,1.41,3050821
2020-06-03,1.34,3878639
2020-06-04,1.39,4636600
2020-06-05,2.81,55506775
2020-06-08,2.91,15062869
2020-06-09,2.7,4675092
2020-06-10,2.61,5066038
2020-06-11,1.84,8060040
2020-06-12,2.02,4780119
2020-06-15,2.08,4039400
2020-06-16,2.07,3126982
2020-06-17,1.99,3128395
2020-06-18,1.9,3115247
2020-06-19,1.86,4563480
2020-06-22,1.71,4800672
2020-06-23,1.69,3014506
2020-06-24,1.59,2574927
2020-06-25,1.53,1858671
2020-06-26,1.43,4622631
2020-06-29,1.46,2266997
2020-06-30,1.38,2605626
2020-07-01,1.33,2289341
2020-07-02,1.27,2682365
2020-07-06,1.17,3357231
2020-07-07,1.16,3049310
2020-07-08,1.19,2855808
2020-07-09,1.18,3785983
2020-07-10,1.21,2181006
2020-07-13,1.17,2141092
2020-07-14,1.16,1273441
2020-07-15,1.34,3761473
2020-07-16,1.43,3073118
2020-07-17,1.33,1904828
2020-07-20,1.23,1769519
2020-07-21,1.36,1948155
2020-07-22,1.35,1897698
2020-07-23,1.44,2108308
2020-07-24,1.58,8284753
2020-07-27,1.45,3082831
2020-07-28,1.47,2102108
2020-07-29,1.5,2357503
2020-07-30,1.45,1291045
2020-07-31,1.48,1281936
2020-08-03,1.57,2082793
2020-08-04,1.73,3819353
2020-08-05,1.67,2747246
2020-08-06,1.6,3529909
2020-08-07,1.54,1498326
2020-08-10,1.77,3434010
2020-08-11,1.77,4516519
2020-08-12,1.88,1968314
2020-08-13,1.74,1537776
2020-08-14,1.78,1315574
