date,close,volume
2018-04-25,42.45,177738
2018-04-26,43.5,219020
2018-04-27,43.65,211438
2018-04-30,42.75,184357
2018-05-01,41.4,300780
2018-05-02,42.0,130791
2018-05-03,41.5,152390
2018-05-04,41.5,141989
2018-05-07,40.9,166974
2018-05-08,42.15,191552
2018-05-09,42.75,146806
2018-05-10,42.6,129743
2018-05-11,43.3,147579
2018-05-14,43.8,122022
2018-05-15,44.15,143304
2018-05-16,44.95,220097
2018-05-17,45.0,208622
2018-05-18,44.35,314757
2018-05-21,44.65,272160
2018-05-22,44.45,150494
2018-05-23,44.6,110068
2018-05-24,45.45,110712
2018-05-25,45.9,162423
2018-05-29,43.75,524648
2018-05-30,43.8,372728
2018-05-31,43.7,209298
2018-06-01,43.35,389387
2018-06-04,45.0,724747
2018-06-05,40.95,1104735
2018-06-06,39.9,532948
2018-06-07,40.1,423896
2018-06-08,41.05,335420
2018-06-11,41.45,305695
2018-06-12,40.8,504292
2018-06-13,40.5,288733
2018-06-14,39.9,274800
2018-06-15,40.5,382616
2018-06-18,40.65,269456
2018-06-19,41.25,296356
2018-06-20,42.2,301932
2018-06-21,42.7,310678
2018-06-22,42.3,372553
2018-06-25,41.4,224760
2018-06-26,41.95,183827
2018-06-27,40.9,155400
2018-06-28,40.75,224324
2018-06-29,39.7,310736
2018-07-02,39.85,219161
2018-07-03,39.9,123812
2018-07-05,40.2,197263
2018-07-06,41.05,136283
2018-07-09,40.45,206054
2018-07-10,37.95,562568
2018-07-11,38.25,346508
2018-07-12,38.1,303995
2018-07-13,39.4,229145
2018-07-16,39.4,218787
2018-07-17,39.9,232380
2018-07-18,41.4,218606
2018-07-19,41.45,332789
2018-07-20,40.75,266539
2018-07-23,40.8,238205
2018-07-24,39.85,238802
2018-07-25,40.65,185306
2018-07-26,41.05,185108
2018-07-27,40.0,304625
2018-07-30,39.95,342873
2018-07-31,40.7,198962
2018-08-01,40.05,189562
2018-08-02,40.7,167457
2018-08-03,41.45,187902
2018-08-06,41.8,195021
2018-08-07,41.85,201748
2018-08-08,41.5,228180
2018-08-09,41.5,269425
2018-08-10,41.75,232772
2018-08-13,42.8,354651
2018-08-14,44.0,433076
2018-08-15,42.6,268040
2018-08-16,41.9,257358
2018-08-17,43.7,249654
2018-08-20,45.4,369097
2018-08-21,46.2,325105
2018-08-22,46.1,216322
2018-08-23,46.5,216168
2018-08-24,44.8,268397
2018-08-27,44.8,255023
2018-08-28,45.65,157257
2018-08-29,46.35,217362
2018-08-30,49.6,871415
2018-08-31,50.85,617842
2018-09-04,49.1,655433
2018-09-05,47.6,767600
2018-09-06,47.0,766361
2018-09-07,47.5,778691
2018-09-10,47.85,689792
2018-09-11,47.25,367457
2018-09-12,47.15,270568
2018-09-13,45.65,322892
2018-09-14,47.1,423952
2018-09-17,47.85,382430
2018-09-18,47.65,445678
2018-09-19,47.4,310844
2018-09-20,47.0,434585
2018-09-21,47.05,618386
2018-09-24,45.9,300037
2018-09-25,46.2,199441
2018-09-26,47.25,399825
2018-09-27,47.55,239525
2018-09-28,47.1,337899
2018-10-01,46.22,353496
2018-10-02,44.14,456608
2018-10-03,45.17,356946
2018-10-04,44.83,406057
2018-10-05,44.5,302591
2018-10-08,43.75,283192
2018-10-09,43.66,267009
2018-10-10,41.8,272326
2018-10-11,41.88,301559
2018-10-12,42.49,383175
2018-10-15,43.0,324604
2018-10-16,44.15,467479
2018-10-17,43.62,252421
2018-10-18,42.53,291832
2018-10-19,41.59,296074
2018-10-22,42.43,271993
2018-10-23,42.45,200027
2018-10-24,42.22,342107
2018-10-25,42.57,228561
2018-10-26,41.69,244879
2018-10-29,42.7,282702
2018-10-30,44.76,289324
2018-10-31,42.79,258951
2018-11-01,44.02,184475
2018-11-02,44.64,271749
2018-11-05,45.76,237008
2018-11-06,45.87,183816
2018-11-07,45.27,336275
2018-11-08,46.18,127463
2018-11-09,45.45,204993
2018-11-12,44.82,410537
2018-11-13,44.75,266600
2018-11-14,43.28,366753
2018-11-15,42.79,367451
2018-11-16,42.77,320401
2018-11-19,40.58,319344
2018-11-20,38.88,287839
2018-11-21,40.31,145639
2018-11-23,40.39,68697
2018-11-26,41.44,208339
2018-11-27,42.22,245970
2018-11-28,43.1,239989
2018-11-29,41.78,356985
2018-11-30,41.76,325468
2018-12-03,43.71,342564
2018-12-04,42.91,495073
2018-12-06,43.93,585339
2018-12-07,43.95,599737
2018-12-10,43.23,503442
2018-12-11,42.75,338514
2018-12-12,44.48,261405
2018-12-13,42.12,331149
2018-12-14,42.93,469094
2018-12-17,43.53,594008
2018-12-18,44.21,514051
2018-12-19,43.77,527629
2018-12-20,42.75,396650
2018-12-21,41.31,642677
2018-12-24,41.17,248952
2018-12-26,42.75,481136
2018-12-27,43.17,236969
2018-12-28,43.94,255620
2018-12-31,44.3,239311
2019-01-02,45.06,416699
2019-01-03,45.79,452791
2019-01-04,47.48,408230
2019-01-07,48.99,441567
2019-01-08,50.09,377410
2019-01-09,49.15,781070
2019-01-10,46.92,598300
2019-01-11,47.48,416280
2019-01-14,47.24,340710
2019-01-15,46.58,239935
2019-01-16,47.33,403923
2019-01-17,48.25,399503
2019-01-18,48.35,361950
2019-01-22,46.96,361359
2019-01-23,47.29,317607
2019-01-24,47.65,223914
2019-01-25,48.46,364240
2019-01-28,48.8,301186
2019-01-29,49.14,410440
2019-01-30,46.93,278902
2019-01-31,45.18,335170
2019-02-01,45.13,329066
2019-02-04,45.74,385685
2019-02-05,44.84,427694
2019-02-06,44.04,324803
2019-02-07,44.15,210010
2019-02-08,43.11,266712
2019-02-11,43.78,200143
2019-02-12,44.58,165203
2019-02-13,44.53,202172
2019-02-14,44.51,280590
2019-02-15,45.81,256883
2019-02-19,46.46,245248
2019-02-20,46.88,257838
2019-02-21,45.83,219634
2019-02-22,46.27,167577
2019-02-25,46.73,153831
2019-02-26,46.73,161646
2019-02-27,48.37,167161
2019-02-28,48.27,173302
2019-03-01,48.27,234723
2019-03-04,46.49,355388
2019-03-05,45.92,260318
2019-03-06,46.0,249619
2019-03-07,45.5,152945
2019-03-08,44.76,252338
2019-03-11,45.54,208866
2019-03-12,45.39,296868
2019-03-13,46.51,500545
2019-03-14,43.13,778876
2019-03-15,41.9,529171
2019-03-18,42.6,318413
2019-03-19,42.17,332900
2019-03-20,41.64,339541
2019-03-21,42.05,251358
2019-03-22,41.28,372402
2019-03-25,42.6,308037
2019-03-26,43.04,508224
2019-03-27,44.4,352979
2019-03-28,45.4,301010
2019-03-29,45.55,412746
2019-04-01,45.56,321526
2019-04-02,44.61,228206
2019-04-03,44.08,250106
2019-04-04,45.71,357193
2019-04-05,46.21,265924
2019-04-08,44.38,420930
2019-04-09,43.12,436136
2019-04-10,43.92,341867
2019-04-11,43.58,357486
2019-04-12,43.51,558698
2019-04-15,43.23,205608
2019-04-16,43.89,234360
2019-04-17,44.18,243173
2019-04-18,44.39,335742
2019-04-22,42.15,224749
2019-04-23,43.3,221424
2019-04-24,44.51,184770
2019-04-25,44.37,186314
2019-04-26,44.96,184036
2019-04-29,45.48,209225
2019-04-30,44.81,245984
2019-05-01,43.33,389845
2019-05-02,43.8,168295
2019-05-03,46.46,259803
2019-05-06,46.46,223226
2019-05-07,44.93,273021
2019-05-08,45.1,191468
2019-05-09,45.64,149039
2019-05-10,46.04,269883
2019-05-13,44.32,258124
2019-05-14,44.97,152178
2019-05-15,45.45,206460
2019-05-16,45.55,176057
2019-05-17,45.19,279165
2019-05-20,42.22,413498
2019-05-21,43.62,244465
2019-05-22,43.81,321472
2019-05-23,42.62,286741
2019-05-24,42.8,437023
2019-05-28,43.26,266051
2019-05-29,40.66,442636
2019-05-30,40.26,441686
2019-05-31,44.98,1156062
2019-06-03,46.29,577046
2019-06-04,46.58,495705
2019-06-05,43.31,252010
2019-06-06,43.5,381605
2019-06-07,43.8,234302
2019-06-10,44.02,205610
2019-06-11,44.27,309707
2019-06-12,44.33,192588
2019-06-13,45.2,212121
2019-06-14,44.87,268617
2019-06-17,44.75,333840
2019-06-18,45.17,265373
2019-06-19,44.94,322736
2019-06-20,43.55,351146
2019-06-21,44.45,420242
2019-06-24,44.16,313486
2019-06-25,43.15,331354
2019-06-26,42.48,331145
2019-06-27,42.48,306247
2019-06-28,42.29,518366
2019-07-01,42.07,282880
2019-07-02,41.5,323589
2019-07-03,41.47,147437
2019-07-05,42.59,231195
2019-07-08,42.06,282180
2019-07-09,41.78,245098
2019-07-10,41.86,394932
2019-07-11,42.23,236296
2019-07-12,42.87,192813
2019-07-15,42.43,173798
2019-07-16,41.84,174522
2019-07-17,40.24,239175
2019-07-18,40.11,296820
2019-07-19,39.98,252535
2019-07-22,39.88,266985
2019-07-23,40.15,223965
2019-07-24,40.74,191063
2019-07-25,39.91,223995
2019-07-26,40.12,173463
2019-07-29,40.05,162286
2019-07-30,39.61,289501
2019-07-31,39.38,279710
2019-08-01,36.66,341264
2019-08-02,36.5,338655
2019-08-05,36.78,363279
2019-08-06,37.77,301279
2019-08-07,38.1,304053
2019-08-08,38.6,275646
2019-08-09,37.99,302222
2019-08-12,35.59,302155
2019-08-13,35.53,350579
2019-08-14,32.73,566999
2019-08-15,32.24,419963
2019-08-16,33.47,269781
2019-08-19,33.36,306941
2019-08-20,32.6,245738
2019-08-21,33.25,309695
2019-08-22,34.61,297360
2019-08-23,32.72,291853
2019-08-26,32.9,734991
2019-08-27,35.04,728313
2019-08-28,35.69,431293
2019-08-29,36.22,393546
2019-08-30,35.68,280864
2019-09-03,34.84,374948
2019-09-04,34.46,304090
2019-09-05,35.35,423696
2019-09-06,36.14,1220651
2019-09-09,40.88,833974
2019-09-10,42.67,614558
2019-09-11,43.17,469496
2019-09-12,43.04,350638
2019-09-13,42.92,349068
2019-09-16,41.96,260976
2019-09-17,41.29,280344
2019-09-18,40.66,264603
2019-09-19,40.43,279445
2019-09-20,39.05,835854
2019-09-23,39.23,433785
2019-09-24,38.56,308930
2019-09-25,40.11,358387
2019-09-26,38.83,296851
2019-09-27,39.21,469086
2019-09-30,40.02,306042
2019-10-01,38.48,334683
2019-10-02,37.92,286117
2019-10-03,37.81,279695
2019-10-04,37.52,176422
2019-10-07,36.96,334816
2019-10-08,36.66,235137
2019-10-09,36.64,300416
2019-10-10,37.19,213938
2019-10-11,38.27,301283
2019-10-14,37.98,188908
2019-10-15,39.09,241128
2019-10-16,40.18,224870
2019-10-17,40.29,178089
2019-10-18,39.77,200569
2019-10-21,40.14,208461
2019-10-22,40.86,163731
2019-10-23,41.3,165525
2019-10-24,39.87,168881
2019-10-25,40.31,185950
2019-10-28,39.78,176161
2019-10-29,39.8,176413
2019-10-30,39.4,161480
2019-10-31,38.85,192032
2019-11-01,38.84,187304
2019-11-04,39.22,250623
2019-11-05,41.24,219844
2019-11-06,41.1,190537
2019-11-07,40.49,146406
2019-11-08,39.4,143844
2019-11-11,39.79,187632
2019-11-12,39.49,161582
2019-11-13,39.76,208039
2019-11-14,40.49,239166
2019-11-15,41.27,254267
2019-11-18,41.14,259732
2019-11-19,37.94,330105
2019-11-20,35.77,339179
2019-11-21,35.59,264193
2019-11-22,36.25,212872
2019-11-25,36.28,273938
2019-11-26,37.09,339930
2019-11-27,37.52,271809
2019-11-29,37.14,236036
2019-12-02,36.91,342663
2019-12-03,36.8,290294
2019-12-04,36.54,266888
