date,close,volume
2018-04-25,25.57,143608
2018-04-26,26.05,229066
2018-04-27,26.32,204126
2018-04-30,26.75,459085
2018-05-01,26.8,306668
2018-05-02,27.65,541979
2018-05-03,27.15,219268
2018-05-04,26.82,376604
2018-05-07,28.02,231317
2018-05-08,27.6,185857
2018-05-09,27.61,354033
2018-05-10,29.0,714271
2018-05-11,28.65,364583
2018-05-14,28.84,331153
2018-05-15,29.79,294674
2018-05-16,30.14,307637
2018-05-17,30.59,336127
2018-05-18,30.9,291590
2018-05-21,30.97,164429
2018-05-22,30.31,149393
2018-05-23,30.49,149546
2018-05-24,30.44,194495
2018-05-25,30.12,122244
2018-05-29,29.68,305896
2018-05-30,30.1,300778
2018-05-31,30.52,555648
2018-06-01,31.07,245257
2018-06-04,31.32,150062
2018-06-05,31.42,263669
2018-06-06,31.46,195762
2018-06-07,30.81,172089
2018-06-08,30.19,273816
2018-06-11,29.73,241188
2018-06-12,30.1,144548
2018-06-13,29.74,226924
2018-06-14,30.14,183091
2018-06-15,30.17,209152
2018-06-18,31.23,301119
2018-06-19,30.9,213219
2018-06-20,29.58,293327
2018-06-21,29.61,417339
2018-06-22,28.69,723471
2018-06-25,27.94,379474
2018-06-26,28.24,273194
2018-06-27,27.15,398011
2018-06-28,27.11,342418
2018-06-29,26.99,239349
2018-07-02,26.67,226058
2018-07-03,26.9,282876
2018-07-05,28.17,606775
2018-07-06,28.21,709023
2018-07-09,28.63,676921
2018-07-10,28.27,297021
2018-07-11,28.98,667550
2018-07-12,28.99,321400
2018-07-13,29.35,183928
2018-07-16,31.28,1083524
2018-07-17,33.15,746648
2018-07-18,33.83,632226
2018-07-19,34.15,263048
2018-07-20,34.01,194709
2018-07-23,33.92,191222
2018-07-24,33.03,221490
2018-07-25,33.1,187579
2018-07-26,32.16,248263
2018-07-27,31.28,308648
2018-07-30,30.52,292431
2018-07-31,31.13,189191
2018-08-01,29.8,416956
2018-08-02,28.89,363742
2018-08-03,29.0,353876
2018-08-06,29.15,301089
2018-08-07,28.58,208436
2018-08-08,28.51,300056
2018-08-09,25.69,1020298
2018-08-10,25.97,416859
2018-08-13,25.95,344222
2018-08-14,26.44,334050
2018-08-15,26.43,232783
2018-08-16,27.33,323928
2018-08-17,26.61,201400
2018-08-20,27.48,239602
2018-08-21,27.8,262347
2018-08-22,27.83,240366
2018-08-23,29.09,258789
2018-08-24,29.11,192017
2018-08-27,28.5,315504
2018-08-28,28.85,234575
2018-08-29,29.01,160783
2018-08-30,28.47,291375
2018-08-31,29.01,299779
2018-09-04,27.56,397382
2018-09-05,26.99,587967
2018-09-06,24.83,403880
2018-09-07,24.21,906335
2018-09-10,23.59,458653
2018-09-11,25.29,501759
2018-09-12,26.49,812733
2018-09-13,26.29,398902
2018-09-14,26.5,382034
2018-09-17,26.43,160704
2018-09-18,26.97,290599
2018-09-19,26.81,174432
2018-09-20,24.73,577505
2018-09-21,23.3,1074025
2018-09-24,23.02,487157
2018-09-25,23.4,237711
2018-09-26,22.9,335120
2018-09-27,23.7,279773
2018-09-28,24.01,347880
2018-10-01,24.74,448082
2018-10-02,24.69,397492
2018-10-03,25.5,350893
2018-10-04,25.53,315357
2018-10-05,24.02,645109
2018-10-08,23.08,472076
2018-10-09,23.19,265573
2018-10-10,22.27,304277
2018-10-11,22.21,522406
2018-10-12,22.08,386117
2018-10-15,21.28,479261
2018-10-16,21.67,220270
2018-10-17,22.11,218492
2018-10-18,21.6,209609
2018-10-19,20.91,220817
2018-10-22,18.83,556740
2018-10-23,17.79,429094
2018-10-24,18.02,366184
2018-10-25,18.97,273363
2018-10-26,18.55,515144
2018-10-29,17.06,550196
2018-10-30,17.82,293982
2018-10-31,18.17,342104
2018-11-01,19.27,281043
2018-11-02,18.63,279995
2018-11-05,17.61,206748
2018-11-06,17.43,222734
2018-11-07,17.3,304469
2018-11-08,17.69,797856
2018-11-09,14.44,1971722
2018-11-12,14.77,1105870
2018-11-13,14.32,734650
2018-11-14,14.9,644519
2018-11-15,15.45,349008
2018-11-16,16.03,427562
2018-11-19,15.04,727654
2018-11-20,14.94,702753
2018-11-21,15.18,476791
2018-11-23,15.31,191347
2018-11-26,15.91,608458
2018-11-27,16.4,319366
2018-11-28,17.64,393134
2018-11-29,18.24,685940
2018-11-30,18.09,561988
2018-12-03,18.41,413309
2018-12-04,17.65,421178
2018-12-06,18.19,369328
2018-12-07,17.52,368963
2018-12-10,17.48,212068
2018-12-11,17.13,193504
2018-12-12,17.96,204483
2018-12-13,16.81,284705
2018-12-14,16.92,201344
2018-12-17,16.42,197802
2018-12-18,16.2,219327
2018-12-19,15.9,240635
2018-12-20,14.95,374596
2018-12-21,14.05,507326
2018-12-24,13.73,183894
2018-12-26,15.49,185920
2018-12-27,15.47,186101
2018-12-28,15.82,156262
2018-12-31,16.02,186347
2019-01-02,16.68,185662
2019-01-03,16.7,247608
2019-01-04,17.58,259906
2019-01-07,18.32,201296
2019-01-08,18.48,234576
2019-01-09,18.46,158609
2019-01-10,18.58,99007
2019-01-11,18.5,343167
2019-01-14,18.23,177222
2019-01-15,18.26,225319
2019-01-16,19.27,258497
2019-01-17,20.03,318804
2019-01-18,20.05,226201
2019-01-22,18.6,293737
2019-01-23,18.18,224173
2019-01-24,18.4,174294
2019-01-25,18.42,187233
2019-01-28,18.08,276154
2019-01-29,18.32,165105
2019-01-30,18.53,124991
2019-01-31,18.7,145568
2019-02-01,19.61,154702
2019-02-04,18.97,126761
2019-02-05,19.28,117253
2019-02-06,18.6,86920
2019-02-07,18.02,82814
2019-02-08,17.02,416160
2019-02-11,18.0,197921
2019-02-12,18.15,73616
2019-02-13,18.11,112796
2019-02-14,17.77,93410
2019-02-15,18.14,90482
2019-02-19,18.28,227419
2019-02-20,18.03,136919
2019-02-21,17.96,72108
2019-02-22,19.03,115510
2019-02-25,18.58,78209
2019-02-26,18.51,89552
2019-02-27,17.86,57904
2019-02-28,18.22,116030
2019-03-01,17.87,139465
2019-03-04,18.0,106341
2019-03-05,17.35,83389
2019-03-06,17.24,172025
2019-03-07,17.31,119176
2019-03-08,17.35,91775
2019-03-11,17.58,96618
2019-03-12,17.54,60699
2019-03-13,17.09,66447
2019-03-14,16.45,277422
2019-03-15,13.0,2266977
2019-03-18,14.13,494079
2019-03-19,14.91,540806
2019-03-20,15.79,386647
2019-03-21,15.45,232549
2019-03-22,14.86,144186
2019-03-25,14.6,122619
2019-03-26,14.3,299361
2019-03-27,14.0,184685
2019-03-28,14.35,170417
2019-03-29,14.16,112009
2019-04-01,14.9,176854
2019-04-02,15.58,279823
2019-04-03,15.56,113239
2019-04-04,15.83,97962
2019-04-05,16.52,179111
2019-04-08,16.09,83559
2019-04-09,15.64,72536
2019-04-10,15.99,143971
2019-04-11,15.95,65327
2019-04-12,16.33,84930
2019-04-15,15.93,102533
2019-04-16,16.03,128380
2019-04-17,16.23,88209
2019-04-18,16.33,113615
2019-04-22,16.14,148078
2019-04-23,16.11,64228
2019-04-24,16.01,52792
2019-04-25,15.93,42963
2019-04-26,16.25,153624
2019-04-29,16.28,140650
2019-04-30,15.73,132987
2019-05-01,15.15,112587
2019-05-02,15.01,124420
2019-05-03,15.27,82094
2019-05-06,14.9,106791
2019-05-07,14.41,147883
2019-05-08,14.38,113527
2019-05-09,14.49,319786
2019-05-10,14.7,142293
2019-05-13,14.02,161641
2019-05-14,14.02,112741
2019-05-15,13.94,177970
2019-05-16,13.98,93387
2019-05-17,13.75,130634
2019-05-20,13.55,122285
2019-05-21,13.74,134664
2019-05-22,13.82,76895
2019-05-23,13.57,107866
2019-05-24,13.33,119419
2019-05-28,13.01,146174
2019-05-29,12.98,105297
2019-05-30,13.04,100160
2019-05-31,12.9,67166
2019-06-03,12.55,124699
2019-06-04,13.4,110908
2019-06-05,13.04,78377
2019-06-06,12.8,67771
2019-06-07,13.63,124249
2019-06-10,13.58,84266
2019-06-11,13.89,89365
2019-06-12,13.56,111486
2019-06-13,14.29,98595
2019-06-14,13.82,75879
2019-06-17,14.17,135932
2019-06-18,14.28,90922
2019-06-19,13.88,79335
2019-06-20,13.9,108509
2019-06-21,13.68,100830
2019-06-24,13.52,116207
2019-06-25,13.47,100165
2019-06-26,13.55,75529
2019-06-27,13.94,145636
2019-06-28,14.0,445952
2019-07-01,13.78,115798
2019-07-02,14.15,101314
2019-07-03,14.19,103995
2019-07-05,14.49,59161
2019-07-08,14.4,63721
2019-07-09,14.51,116585
2019-07-10,14.5,175714
2019-07-11,14.29,166844
2019-07-12,14.66,132414
2019-07-15,14.75,155397
2019-07-16,15.04,163271
2019-07-17,14.6,206301
2019-07-18,14.32,81173
2019-07-19,14.15,87470
2019-07-22,14.09,95586
2019-07-23,14.27,94864
2019-07-24,14.46,134479
2019-07-25,14.19,95548
2019-07-26,14.52,89339
2019-07-29,14.49,86041
2019-07-30,14.49,89905
2019-07-31,14.02,114162
2019-08-01,13.9,149724
2019-08-02,13.73,75176
2019-08-05,13.37,100814
2019-08-06,13.29,72119
2019-08-07,13.09,180135
2019-08-08,13.65,191300
2019-08-09,13.95,370854
2019-08-12,13.26,78513
2019-08-13,13.26,117159
2019-08-14,12.67,172215
2019-08-15,12.56,104549
2019-08-16,13.12,75320
2019-08-19,13.61,75624
