date,close,volume
2019-03-07,48.76,11487
2019-03-08,48.51,11219
2019-03-11,49.31,10665
2019-03-12,49.95,7221
2019-03-13,50.68,12548
2019-03-14,50.51,5563
2019-03-15,50.88,5603
2019-03-18,50.51,13571
2019-03-19,50.79,27946
2019-03-20,50.69,1981
2019-03-21,50.87,9001
2019-03-22,49.33,4853
2019-03-25,49.27,1323
2019-03-26,49.68,3020
2019-03-27,49.17,741
2019-03-28,49.61,250
2019-03-29,50.26,986
2019-04-01,50.33,1279
2019-04-02,50.57,6117
2019-04-03,50.78,1238
2019-04-04,50.51,2812
2019-04-05,50.95,2380
2019-04-08,50.81,556
2019-04-09,50.43,4823
2019-04-10,50.87,2294
2019-04-11,50.28,684
2019-04-12,49.94,2601
2019-04-15,49.77,1902
2019-04-16,49.23,1932
2019-04-17,47.6,1368
2019-04-18,47.47,2426
2019-04-22,47.31,21481
2019-04-23,48.09,2949
2019-04-24,48.02,3270
2019-04-25,48.36,1439
2019-04-26,48.8,652
2019-04-29,48.84,4318
2019-04-30,48.85,714
2019-05-01,48.34,847
2019-05-02,48.88,10098
2019-05-03,49.69,362
2019-05-06,49.96,1431
2019-05-07,48.84,434
2019-05-08,48.75,779
2019-05-09,48.49,2142
2019-05-10,48.66,689
2019-05-13,47.3,1639
2019-05-14,47.9,512
2019-05-15,48.18,72
2019-05-16,48.66,785
2019-05-17,48.25,11826
2019-05-20,47.76,355
2019-05-21,48.42,512
2019-05-22,48.55,563
2019-05-23,47.88,2395
2019-05-24,48.45,549
2019-05-28,48.04,467
2019-05-29,47.64,1583
2019-05-30,47.66,106
2019-05-31,46.98,459
2019-06-03,47.42,327
2019-06-04,48.28,1297
2019-06-05,48.55,2827
2019-06-06,48.53,463
2019-06-07,49.32,511
2019-06-10,49.54,1418
2019-06-11,49.32,1738
2019-06-12,49.5,137
2019-06-13,49.87,37
2019-06-14,49.49,71
2019-06-17,50.56,797
2019-06-18,51.27,10254
2019-06-19,51.73,176
2019-06-20,51.95,703
2019-06-21,51.74,42552
2019-06-24,51.01,1509
2019-06-25,50.95,374
2019-06-26,50.56,111
2019-06-27,51.4,987
2019-06-28,52.01,30
2019-07-01,52.28,5580
2019-07-02,52.16,2583
2019-07-03,52.68,103
2019-07-05,52.35,7428
2019-07-08,51.77,1698
2019-07-09,51.97,1037
2019-07-10,52.12,1301
2019-07-11,51.97,750
2019-07-12,51.5,2956
2019-07-15,51.66,1626
2019-07-16,51.39,646
2019-07-17,51.6,660
2019-07-18,52.16,1616
2019-07-19,51.62,668
2019-07-22,51.71,1110
2019-07-23,51.94,102
2019-07-24,52.34,836
2019-07-25,51.44,177
2019-07-26,51.81,615
2019-07-29,52.07,411
2019-07-30,52.03,597
2019-07-31,51.61,594
2019-08-01,51.85,1015
2019-08-02,51.28,3684
2019-08-05,49.73,2141
2019-08-06,50.28,1251
2019-08-07,50.37,777
2019-08-08,51.26,176
2019-08-09,51.06,522
2019-08-12,50.3,1092
2019-08-13,50.85,261
2019-08-14,49.5,1757
2019-08-15,49.46,452
2019-08-16,50.25,697
2019-08-19,50.75,255
2019-08-20,50.44,15100
2019-08-21,50.8,1754
2019-08-22,50.41,243
2019-08-23,49.13,1917
2019-08-26,49.58,670
2019-08-27,49.41,422
2019-08-28,49.72,2174
2019-08-29,50.23,662
2019-08-30,50.26,1492
2019-09-03,49.61,1144
2019-09-04,49.71,780
2019-09-05,50.13,302
2019-09-06,50.01,474
2019-09-09,49.39,778
2019-09-10,49.74,698
2019-09-11,50.54,4506
2019-09-12,50.46,362
2019-09-13,50.34,193
2019-09-16,50.34,1030
2019-09-17,50.57,92
2019-09-18,50.5,225
2019-09-19,50.62,302
2019-09-20,50.99,215
2019-09-23,50.61,143
2019-09-24,50.04,150
2019-09-25,49.82,917
2019-09-26,49.16,570
2019-09-27,48.66,327
2019-09-30,48.93,629
2019-10-01,48.06,277
2019-10-02,47.41,401
2019-10-03,47.96,483
2019-10-04,48.6,281
2019-10-07,48.48,355
2019-10-08,47.27,59
2019-10-09,47.49,1222
2019-10-10,47.7,124
2019-10-11,48.28,961
2019-10-14,48.17,643
2019-10-15,49.04,999
2019-10-16,49.08,550
2019-10-17,49.5,113
2019-10-18,49.31,220
2019-10-21,49.51,769
2019-10-22,49.22,566
2019-10-23,49.45,661
2019-10-24,49.73,202
2019-10-25,49.88,428
2019-10-28,50.54,431
2019-10-29,50.91,663
2019-10-30,51.07,1164
2019-10-31,51.01,1020
