date,close,volume
2018-04-25,15.8,7400
2018-04-26,15.8,13274
2018-04-27,15.45,30278
2018-04-30,15.55,14742
2018-05-01,15.45,14564
2018-05-02,15.55,7997
2018-05-03,15.85,12610
2018-05-04,15.5,21183
2018-05-07,15.45,13712
2018-05-08,15.3,12968
2018-05-09,15.25,11721
2018-05-10,15.65,21927
2018-05-11,15.55,4554
2018-05-14,15.45,11537
2018-05-15,15.5,10300
2018-05-16,15.7,9502
2018-05-17,15.8,9738
2018-05-18,15.55,27717
2018-05-21,15.35,82227
2018-05-22,15.6,20496
2018-05-23,15.75,10686
2018-05-24,15.5,25681
2018-05-25,15.65,17222
2018-05-29,15.65,15740
2018-05-30,15.75,20820
2018-05-31,15.65,10875
2018-06-01,15.8,12083
2018-06-04,15.7,5524
2018-06-05,15.0,60136
2018-06-06,15.35,33867
2018-06-07,15.65,18276
2018-06-08,15.7,16240
2018-06-11,15.8,28315
2018-06-12,15.8,9403
2018-06-13,15.75,19441
2018-06-14,15.65,14576
2018-06-15,15.7,21680
2018-06-18,15.85,10574
2018-06-19,15.9,15551
2018-06-20,15.95,24554
2018-06-21,16.25,44813
2018-06-22,16.6,141044
2018-06-25,16.4,10712
2018-06-26,16.05,45321
2018-06-27,15.9,9554
2018-06-28,16.1,17351
2018-06-29,16.15,19774
2018-07-02,16.1,11532
2018-07-03,16.1,4952
2018-07-05,16.3,11260
2018-07-06,16.2,8924
2018-07-09,16.35,16250
2018-07-10,16.2,5171
2018-07-11,16.0,8907
2018-07-12,16.0,7397
2018-07-13,16.1,7014
2018-07-16,16.1,9785
2018-07-17,15.85,6620
2018-07-18,15.8,10974
2018-07-19,15.95,12938
2018-07-20,15.9,6807
2018-07-23,15.9,7667
2018-07-24,15.7,9561
2018-07-25,15.25,30903
2018-07-26,15.4,6185
2018-07-27,15.0,17308
2018-07-30,14.95,13292
2018-07-31,15.0,20336
2018-08-01,14.45,49792
2018-08-02,13.6,85003
2018-08-03,12.55,103314
2018-08-06,12.6,60452
2018-08-07,12.6,11006
2018-08-08,12.75,31117
2018-08-09,12.45,48507
2018-08-10,12.35,32740
2018-08-13,12.65,20524
2018-08-14,12.55,20970
2018-08-15,12.45,20866
2018-08-16,12.55,9868
2018-08-17,12.7,13495
2018-08-20,12.73,9192
2018-08-21,12.9,13588
2018-08-22,13.15,19800
2018-08-23,13.3,12815
2018-08-24,13.15,6154
2018-08-27,13.2,9603
2018-08-28,12.95,7815
2018-08-29,13.05,9265
2018-08-30,12.95,5120
2018-08-31,12.9,9585
2018-09-04,12.65,11489
2018-09-05,12.65,4009
2018-09-06,12.65,5366
2018-09-07,12.6,9322
2018-09-10,12.65,6726
2018-09-11,12.45,9779
2018-09-12,12.45,10278
2018-09-13,12.5,4367
2018-09-14,12.45,7047
2018-09-17,12.45,6255
2018-09-18,12.45,5878
2018-09-19,12.45,13692
2018-09-20,12.7,5580
2018-09-21,12.55,27642
2018-09-24,12.55,6583
2018-09-25,12.35,42727
2018-09-26,12.2,6827
2018-09-27,12.15,7192
2018-09-28,12.05,9888
2018-10-01,11.68,16804
2018-10-02,11.61,7834
2018-10-03,11.47,17610
2018-10-04,11.7,6920
2018-10-05,11.45,6190
2018-10-08,11.71,41749
2018-10-09,12.04,10852
2018-10-10,11.85,6110
2018-10-11,11.55,11998
2018-10-12,11.41,16105
2018-10-15,11.49,12097
2018-10-16,11.57,19639
2018-10-17,11.46,10237
2018-10-18,11.37,14038
2018-10-19,11.26,10866
2018-10-22,11.36,11044
2018-10-23,11.3,39158
2018-10-24,11.1,29433
2018-10-25,11.11,20638
2018-10-26,10.8,19255
2018-10-29,10.89,44928
2018-10-30,11.14,10692
2018-10-31,11.38,14981
2018-11-01,11.63,16205
2018-11-02,11.7,8399
2018-11-05,11.52,7946
2018-11-06,11.74,9588
2018-11-07,11.93,16258
2018-11-08,11.94,9873
2018-11-09,11.64,28564
2018-11-12,11.58,23314
2018-11-13,11.64,5498
2018-11-14,11.63,10425
2018-11-15,11.6,41157
2018-11-16,11.66,35578
2018-11-19,11.68,14036
2018-11-20,11.62,36071
2018-11-21,11.74,32721
2018-11-23,11.8,13812
2018-11-26,11.63,59675
2018-11-27,11.55,26903
2018-11-28,11.54,15259
2018-11-29,11.46,45528
2018-11-30,11.33,33970
2018-12-03,11.55,14593
2018-12-04,11.2,39823
2018-12-06,10.81,18239
2018-12-07,10.81,20264
2018-12-10,10.8,15927
2018-12-11,10.99,10101
2018-12-12,10.96,15210
2018-12-13,11.0,13656
2018-12-14,11.28,13923
2018-12-17,11.08,24315
2018-12-18,11.35,14798
2018-12-19,11.35,15634
2018-12-20,11.3,12082
2018-12-21,11.24,42549
2018-12-24,10.92,6364
2018-12-26,11.17,19799
2018-12-27,11.23,6370
2018-12-28,11.28,10223
2018-12-31,10.97,24304
2019-01-02,11.32,7658
2019-01-03,11.12,10139
2019-01-04,11.78,31892
2019-01-07,12.3,16407
2019-01-08,12.21,7551
2019-01-09,12.1,6099
2019-01-10,11.98,14290
2019-01-11,12.3,4658
2019-01-14,12.05,8050
2019-01-15,12.13,4367
2019-01-16,12.02,7910
2019-01-17,12.12,14706
2019-01-18,12.54,13076
2019-01-22,12.78,26683
2019-01-23,13.25,45336
2019-01-24,13.48,16956
2019-01-25,13.65,14009
2019-01-28,13.47,15220
2019-01-29,13.7,13409
2019-01-30,13.9,5870
2019-01-31,13.86,18026
2019-02-01,13.25,19993
2019-02-04,13.85,13008
2019-02-05,13.44,4014
2019-02-06,13.64,5057
2019-02-07,13.33,3935
2019-02-08,13.64,9373
2019-02-11,14.18,17266
2019-02-12,14.19,9216
2019-02-13,14.23,6806
2019-02-14,14.22,15985
2019-02-15,14.18,12902
2019-02-19,14.26,14160
2019-02-20,14.06,14000
2019-02-21,14.3,3887
2019-02-22,14.44,27257
2019-02-25,14.28,7672
2019-02-26,14.07,4499
2019-02-27,13.6,13704
2019-02-28,13.31,24054
2019-03-01,13.36,27032
2019-03-04,13.77,13586
2019-03-05,13.54,4558
2019-03-06,12.99,28072
2019-03-07,13.1,19251
2019-03-08,12.69,9893
2019-03-11,13.0,6502
2019-03-12,12.82,2863
2019-03-13,12.82,6132
2019-03-14,12.3,12277
2019-03-15,12.77,41881
2019-03-18,12.6,3745
2019-03-19,12.74,3706
2019-03-20,12.91,12405
2019-03-21,12.79,8770
2019-03-22,12.08,9198
2019-03-25,12.34,7414
2019-03-26,12.44,4131
2019-03-27,12.51,9723
2019-03-28,12.79,6545
2019-03-29,12.36,47832
2019-04-01,12.58,10010
2019-04-02,12.57,5153
2019-04-03,12.63,4930
2019-04-04,12.68,3280
2019-04-05,12.67,45933
2019-04-08,12.39,51072
2019-04-09,12.11,27492
2019-04-10,12.48,24588
2019-04-11,12.38,2773
2019-04-12,12.49,5013
2019-04-15,12.42,9657
2019-04-16,12.6,3891
2019-04-17,12.52,4028
2019-04-18,12.65,7929
2019-04-22,12.6,3869
2019-04-23,12.52,5491
2019-04-24,12.31,4640
2019-04-25,11.86,8430
2019-04-26,12.18,2524
2019-04-29,12.33,2859
2019-04-30,12.07,20737
2019-05-01,11.85,10456
2019-05-02,11.75,3414
2019-05-03,12.97,19744
2019-05-06,12.77,8841
2019-05-07,12.35,16446
2019-05-08,12.5,9897
2019-05-09,12.55,7934
2019-05-10,12.32,21407
2019-05-13,12.05,17245
2019-05-14,12.19,11519
2019-05-15,11.95,32276
2019-05-16,11.73,12423
2019-05-17,11.57,24655
2019-05-20,11.77,11479
2019-05-21,12.07,25554
2019-05-22,11.83,16957
2019-05-23,11.81,7477
2019-05-24,11.9,7475
2019-05-28,11.36,43677
2019-05-29,11.01,13202
2019-05-30,10.96,12639
2019-05-31,11.08,8946
2019-06-03,11.1,10626
2019-06-04,11.47,9934
2019-06-05,11.38,13107
2019-06-06,11.51,6180
2019-06-07,11.8,114323
2019-06-10,12.25,11728
2019-06-11,11.97,11298
2019-06-12,12.36,12967
2019-06-13,12.59,13320
2019-06-14,12.4,6305
2019-06-17,12.48,4935
2019-06-18,12.55,3666
2019-06-19,12.62,3975
2019-06-20,12.79,3116
2019-06-21,12.96,31975
2019-06-24,12.57,7845
2019-06-25,12.4,5535
2019-06-26,12.46,7281
2019-06-27,12.61,11645
2019-06-28,13.0,69232
2019-07-01,13.13,11366
2019-07-02,13.0,7418
2019-07-03,13.02,6713
2019-07-05,13.21,3322
2019-07-08,13.16,8222
2019-07-09,12.89,5034
2019-07-10,13.29,11455
2019-07-11,13.08,20888
2019-07-12,12.95,9919
2019-07-15,12.97,8466
2019-07-16,13.02,6635
2019-07-17,12.91,6786
2019-07-18,12.91,7456
2019-07-19,12.81,5658
2019-07-22,12.63,12923
2019-07-23,12.96,7796
2019-07-24,13.12,8296
2019-07-25,13.08,3508
2019-07-26,12.98,9718
2019-07-29,12.92,6717
2019-07-30,13.3,9785
2019-07-31,12.76,19126
2019-08-01,12.97,11552
2019-08-02,12.25,15999
2019-08-05,12.17,22111
2019-08-06,12.16,9105
2019-08-07,12.0,5780
2019-08-08,12.01,9575
2019-08-09,11.78,6240
2019-08-12,11.51,8557
2019-08-13,12.03,9199
2019-08-14,11.43,14414
2019-08-15,11.55,12195
2019-08-16,11.62,10369
2019-08-19,11.55,4159
2019-08-20,11.42,7805
2019-08-21,11.36,6510
2019-08-22,11.3,8052
2019-08-23,10.75,12697
2019-08-26,11.19,8458
2019-08-27,10.95,8052
