date,close,volume
2018-04-25,22.99,3787104
2018-04-26,23.01,1581577
2018-04-27,23.0,1766237
2018-04-30,22.74,2200153
2018-05-01,22.6,1684173
2018-05-02,22.84,2128719
2018-05-03,22.87,1650430
2018-05-04,22.96,1632900
2018-05-07,22.79,2533208
2018-05-08,22.75,1845185
2018-05-09,22.91,1841499
2018-05-10,23.14,1350453
2018-05-11,23.14,855434
2018-05-14,23.2,1518061
2018-05-15,23.21,1727213
2018-05-16,23.83,1876857
2018-05-17,24.21,2594222
2018-05-18,24.05,1394866
2018-05-21,24.23,1866803
2018-05-22,24.06,1066291
2018-05-23,23.9,1045066
2018-05-24,23.77,1879921
2018-05-25,23.49,940658
2018-05-29,23.22,2020511
2018-05-30,23.51,1804023
2018-05-31,24.03,3884098
2018-06-01,24.06,2255257
2018-06-04,24.35,1499738
2018-06-05,24.22,2397872
2018-06-06,24.32,2449993
2018-06-07,24.55,2190384
2018-06-08,24.39,2866767
2018-06-11,25.03,3364339
2018-06-12,25.18,1795523
2018-06-13,25.11,1514552
2018-06-14,25.22,1315009
2018-06-15,25.22,2288740
2018-06-18,25.22,1208622
2018-06-19,25.07,1491215
2018-06-20,25.01,1340470
2018-06-21,24.56,1540336
2018-06-22,24.04,4457559
2018-06-25,23.43,2517317
2018-06-26,23.51,2357909
2018-06-27,23.12,1586432
2018-06-28,23.14,2523463
2018-06-29,23.02,1893056
2018-07-02,22.93,1668713
2018-07-03,22.8,1194223
2018-07-05,23.15,1700383
2018-07-06,23.26,1139255
2018-07-09,23.73,1104430
2018-07-10,23.89,1224725
2018-07-11,23.17,1735990
2018-07-12,23.0,2262944
2018-07-13,23.23,1376362
2018-07-16,23.38,1450170
2018-07-17,23.67,1139059
2018-07-18,23.83,1560746
2018-07-19,23.41,2744955
2018-07-20,22.23,5145725
2018-07-23,22.51,3289036
2018-07-24,22.3,2822031
2018-07-25,22.23,3668037
2018-07-26,22.5,2169623
2018-07-27,22.64,1911227
2018-07-30,22.95,1888622
2018-07-31,23.2,2089723
2018-08-01,22.68,1754656
2018-08-02,23.08,2107041
2018-08-03,23.1,1498962
2018-08-06,23.41,1964195
2018-08-07,23.88,2284602
2018-08-08,23.86,2221021
2018-08-09,23.64,2388360
2018-08-10,23.67,1875280
2018-08-13,23.26,1798441
2018-08-14,23.6,1383502
2018-08-15,23.65,1858363
2018-08-16,23.89,1344904
2018-08-17,24.18,1229748
2018-08-20,24.4,1139809
2018-08-21,24.85,1966711
2018-08-22,23.82,2598833
2018-08-23,23.52,1663525
2018-08-24,23.54,1053609
2018-08-27,24.03,1246453
2018-08-28,23.93,1164245
2018-08-29,23.63,1265935
2018-08-30,23.5,1276268
2018-08-31,23.38,1433078
2018-09-04,22.86,2354317
2018-09-05,23.38,2466626
2018-09-06,23.52,2054652
2018-09-07,23.47,1090547
2018-09-10,23.55,1209446
2018-09-11,23.34,939803
2018-09-12,23.14,1543194
2018-09-13,23.15,1329053
2018-09-14,22.91,3504156
2018-09-17,22.5,2151721
2018-09-18,21.8,4284039
2018-09-19,22.12,2851179
2018-09-20,22.72,2493633
2018-09-21,22.5,3645986
2018-09-24,22.34,1527718
2018-09-25,21.63,3054117
2018-09-26,21.59,2152181
2018-09-27,21.29,1894491
2018-09-28,21.46,2038153
2018-10-01,21.22,2068060
2018-10-02,20.95,1552860
2018-10-03,21.07,1855894
2018-10-04,20.88,2706668
2018-10-05,20.35,1917998
2018-10-08,20.69,2876114
2018-10-09,20.02,1982916
2018-10-10,19.53,3640056
2018-10-11,19.28,2609541
2018-10-12,18.99,3615193
2018-10-15,19.24,2526730
2018-10-16,19.36,3082348
2018-10-17,18.94,4272148
2018-10-18,18.62,3861745
2018-10-19,19.93,7347673
2018-10-22,20.48,5836873
2018-10-23,20.97,4563003
2018-10-24,20.04,3362475
2018-10-25,20.03,2929327
2018-10-26,20.45,2944576
2018-10-29,20.7,3761537
2018-10-30,20.9,2862652
2018-10-31,21.05,3665650
2018-11-01,21.52,2625369
2018-11-02,21.48,1988078
2018-11-05,21.68,2376381
2018-11-06,21.57,1690994
2018-11-07,21.91,2005316
2018-11-08,22.01,1000617
2018-11-09,21.83,2106816
2018-11-12,21.83,2310637
2018-11-13,22.07,1925427
2018-11-14,22.58,2518542
2018-11-15,22.81,2336785
2018-11-16,22.51,2149844
2018-11-19,22.65,1805947
2018-11-20,22.15,1704526
2018-11-21,22.35,1533383
2018-11-23,22.41,802532
2018-11-26,22.4,1607854
2018-11-27,22.18,1287629
2018-11-28,22.54,1581678
2018-11-29,22.42,2255660
2018-11-30,22.52,2361579
2018-12-03,22.75,2476035
2018-12-04,21.98,1866091
2018-12-06,21.66,2153071
2018-12-07,21.01,1349092
2018-12-10,20.81,1919066
2018-12-11,20.87,1713189
2018-12-12,21.09,1615111
2018-12-13,20.65,1300485
2018-12-14,20.34,1489619
2018-12-17,20.05,1743502
2018-12-18,19.97,2305652
2018-12-19,19.97,1814798
2018-12-20,19.99,2048741
2018-12-21,19.87,4385757
2018-12-24,19.38,972980
2018-12-26,19.98,1462880
2018-12-27,20.08,1388085
2018-12-28,19.84,2248338
2018-12-31,20.21,1961662
2019-01-02,20.33,2585277
2019-01-03,20.01,1805821
2019-01-04,20.42,1549382
2019-01-07,20.42,1235607
2019-01-08,21.02,2003083
2019-01-09,21.56,1524289
2019-01-10,21.97,2633342
2019-01-11,22.06,1415595
2019-01-14,22.07,997802
2019-01-15,22.23,1637366
2019-01-16,22.29,1167650
2019-01-17,22.37,1395007
2019-01-18,22.95,2035211
2019-01-22,22.56,2732928
2019-01-23,22.49,2134557
2019-01-24,22.59,1200334
2019-01-25,22.79,1362605
2019-01-28,22.87,1998579
2019-01-29,23.03,1904031
2019-01-30,22.25,5593370
2019-01-31,21.18,4797673
2019-02-01,21.0,3073832
2019-02-04,20.95,2941430
2019-02-05,20.76,2282361
2019-02-06,20.77,1358969
2019-02-07,19.98,3037966
2019-02-08,19.77,2650907
2019-02-11,19.98,3142351
2019-02-12,20.15,2665282
2019-02-13,19.88,1788715
2019-02-14,19.77,2506734
2019-02-15,20.36,2271853
2019-02-19,20.49,1734434
2019-02-20,20.4,2091586
2019-02-21,19.99,2026392
2019-02-22,20.11,1415735
2019-02-25,20.11,2402229
2019-02-26,20.33,1613716
2019-02-27,20.31,1416498
2019-02-28,20.34,1520339
2019-03-01,20.5,1779144
2019-03-04,20.13,2034190
2019-03-05,20.47,2048042
2019-03-06,20.48,2935996
2019-03-07,20.54,2770232
2019-03-08,20.48,1604069
2019-03-11,20.67,1453839
2019-03-12,20.86,2132331
2019-03-13,20.68,1810970
2019-03-14,20.55,1694846
2019-03-15,20.83,3670799
2019-03-18,20.68,1365535
2019-03-19,20.7,1095516
2019-03-20,20.27,1446720
2019-03-21,20.42,1080728
2019-03-22,19.94,1042609
2019-03-25,19.98,1528766
2019-03-26,20.2,1169622
2019-03-27,20.48,1747479
2019-03-28,20.62,1506047
2019-03-29,20.68,1757914
2019-04-01,21.12,1864389
2019-04-02,20.8,1539909
2019-04-03,21.01,1770063
2019-04-04,21.16,2307843
2019-04-05,21.2,1081031
2019-04-08,21.38,918947
2019-04-09,21.01,797686
2019-04-10,21.31,1285445
2019-04-11,21.45,1183840
2019-04-12,21.82,1023935
2019-04-15,21.67,823079
2019-04-16,21.93,1333664
2019-04-17,22.01,948825
2019-04-18,22.3,1147976
2019-04-22,21.85,927555
2019-04-23,22.1,2153874
2019-04-24,23.42,2507168
2019-04-25,22.77,2490508
2019-04-26,23.29,2388022
2019-04-29,23.12,936268
2019-04-30,23.03,1079112
2019-05-01,22.88,1180028
2019-05-02,23.04,1411288
2019-05-03,23.39,1117251
2019-05-06,23.49,1923904
2019-05-07,23.36,1564161
2019-05-08,22.82,1128796
2019-05-09,22.6,1202660
2019-05-10,22.62,1511094
2019-05-13,21.92,1553977
2019-05-14,22.13,738120
2019-05-15,22.12,1246115
2019-05-16,22.19,1108918
2019-05-17,22.08,777706
2019-05-20,22.0,1063493
2019-05-21,22.37,1449871
2019-05-22,22.08,831677
2019-05-23,21.79,1268574
2019-05-24,21.97,1259025
2019-05-28,22.01,1197253
2019-05-29,21.7,2330643
2019-05-30,21.68,1285448
2019-05-31,21.36,2079917
2019-06-03,22.33,2469971
2019-06-04,23.02,1745473
2019-06-05,23.43,1520562
2019-06-06,23.38,1269694
2019-06-07,23.6,1413307
2019-06-10,23.93,1607576
2019-06-11,23.84,961019
2019-06-12,23.8,850647
2019-06-13,23.77,835586
2019-06-14,23.51,1036412
2019-06-17,23.36,998643
2019-06-18,23.54,1170529
2019-06-19,23.66,1202681
2019-06-20,23.97,1058051
2019-06-21,24.09,2853320
2019-06-24,24.14,1300171
2019-06-25,24.34,1941237
2019-06-26,24.37,1038113
2019-06-27,24.97,1258673
2019-06-28,24.61,5595383
2019-07-01,24.46,1585003
2019-07-02,24.41,1196318
2019-07-03,24.39,533881
2019-07-05,24.38,464333
2019-07-08,23.91,1166031
2019-07-09,23.61,2488685
2019-07-10,23.62,878579
2019-07-11,23.53,1149044
2019-07-12,23.88,1163841
2019-07-15,23.71,1018402
2019-07-16,23.88,1682501
2019-07-17,23.51,1562299
2019-07-18,23.57,1869257
2019-07-19,25.82,5312576
2019-07-22,26.26,4183166
2019-07-23,26.44,3516114
2019-07-24,27.1,2139369
2019-07-25,27.04,1596931
2019-07-26,27.57,1794725
2019-07-29,27.49,2907300
2019-07-30,27.15,2105728
2019-07-31,27.42,1818540
2019-08-01,26.89,1477936
2019-08-02,27.04,1416033
2019-08-05,26.69,1516362
2019-08-06,27.2,1236881
2019-08-07,27.1,2085485
2019-08-08,27.73,1253029
2019-08-09,27.19,2268793
2019-08-12,26.94,1812520
2019-08-13,27.31,1714900
2019-08-14,26.28,1414901
2019-08-15,25.94,2846871
2019-08-16,26.43,1954004
2019-08-19,26.56,1983061
2019-08-20,26.48,1728114
2019-08-21,26.66,1987530
2019-08-22,26.7,964641
2019-08-23,25.91,1240024
2019-08-26,25.9,1777193
2019-08-27,26.14,2458365
2019-08-28,26.55,963483
2019-08-29,26.6,1094190
2019-08-30,26.6,1033867
2019-09-03,26.37,1551769
2019-09-04,26.82,997343
2019-09-05,27.14,1613985
2019-09-06,27.28,1585102
2019-09-09,27.48,1435745
2019-09-10,27.94,1506797
2019-09-11,27.98,1609365
2019-09-12,28.06,1751475
2019-09-13,28.06,1389104
2019-09-16,27.48,1307953
2019-09-17,27.55,1909624
2019-09-18,27.73,1052951
2019-09-19,27.72,843902
2019-09-20,27.72,2910799
2019-09-23,27.92,1153233
2019-09-24,27.5,2389892
2019-09-25,27.74,1129143
2019-09-26,27.66,1052613
2019-09-27,27.67,800798
2019-09-30,27.54,1540594
2019-10-01,27.31,1467869
2019-10-02,26.86,1700145
2019-10-03,26.35,2235672
2019-10-04,26.33,2054217
2019-10-07,26.14,1471015
2019-10-08,25.55,1535632
2019-10-09,25.84,864312
2019-10-10,25.96,1043521
2019-10-11,26.44,1040143
2019-10-14,26.34,991603
2019-10-15,26.97,1962286
2019-10-16,27.59,2082330
2019-10-17,27.59,2095127
2019-10-18,27.96,3096420
2019-10-21,27.47,2374333
2019-10-22,27.66,1125625
2019-10-23,27.95,1865564
2019-10-24,27.85,1156955
2019-10-25,27.71,828391
2019-10-28,28.0,1542422
2019-10-29,28.55,1785720
2019-10-30,28.29,1437837
2019-10-31,28.05,1399669
2019-11-01,28.52,1407032
2019-11-04,28.93,1722136
2019-11-05,29.33,1760895
2019-11-06,29.15,1274146
2019-11-07,29.4,975450
2019-11-08,29.21,990107
2019-11-11,29.26,1072126
2019-11-12,28.87,941641
2019-11-13,28.25,1122108
2019-11-14,28.87,2737248
