date,close,volume
2018-04-25,32.88,11379
2018-04-26,33.08,13651
2018-04-27,32.67,4414
2018-04-30,32.79,52178
2018-05-01,32.55,8588
2018-05-02,33.0,13214
2018-05-03,32.91,17172
2018-05-04,32.99,6413
2018-05-07,33.05,8705
2018-05-08,33.14,13730
2018-05-09,32.99,14966
2018-05-10,32.98,5389
2018-05-11,32.85,4157
2018-05-14,32.84,10516
2018-05-15,33.01,13070
2018-05-16,32.99,22933
2018-05-17,32.98,23567
2018-05-18,32.37,10285
2018-05-21,32.96,5138
2018-05-22,32.76,5584
2018-05-23,32.98,5460
2018-05-24,32.93,4722
2018-05-25,32.76,10267
2018-05-29,32.53,10673
2018-05-30,32.89,6841
2018-05-31,32.55,8845
2018-06-01,32.86,13337
2018-06-04,32.73,5616
2018-06-05,32.85,16922
2018-06-06,32.95,8820
2018-06-07,32.92,7995
2018-06-08,32.75,5248
2018-06-11,32.35,6728
2018-06-12,31.95,3478
2018-06-13,32.16,10661
2018-06-14,32.18,6231
2018-06-15,32.22,14250
2018-06-18,33.02,8959
2018-06-19,33.22,6688
2018-06-20,34.21,9446
2018-06-21,33.45,15878
2018-06-22,35.56,311496
2018-06-25,34.98,35685
2018-06-26,34.28,13042
2018-06-27,33.17,12754
2018-06-28,33.27,8565
2018-06-29,32.94,26530
2018-07-02,32.77,17814
2018-07-03,33.24,7426
2018-07-05,33.67,9076
2018-07-06,32.99,12748
2018-07-09,33.37,10306
2018-07-10,32.74,8541
2018-07-11,32.64,9119
2018-07-12,32.8,4938
2018-07-13,32.42,1448
2018-07-16,33.21,7527
2018-07-17,32.83,5666
2018-07-18,32.73,7007
2018-07-19,32.73,11912
2018-07-20,33.3,14407
2018-07-23,33.39,7818
2018-07-24,33.2,3150
2018-07-25,33.3,22585
2018-07-26,33.03,8740
2018-07-27,31.45,16842
2018-07-30,31.52,8949
2018-07-31,31.36,26513
2018-08-01,30.85,16742
2018-08-02,29.64,22156
2018-08-03,30.08,45768
2018-08-06,30.46,11454
2018-08-07,30.54,11992
2018-08-08,30.8,3472
2018-08-09,30.9,5889
2018-08-10,30.49,9388
2018-08-13,30.7,7848
2018-08-14,30.8,12396
2018-08-15,30.63,5246
2018-08-16,31.0,15235
2018-08-17,30.21,21621
2018-08-20,30.44,5739
2018-08-21,30.3,14043
2018-08-22,30.7,10011
2018-08-23,30.88,5085
2018-08-24,30.95,9749
2018-08-27,30.97,8601
2018-08-28,30.73,13070
2018-08-29,31.13,7265
2018-08-30,31.3,11190
2018-08-31,31.45,5152
2018-09-04,31.71,14329
2018-09-05,31.44,14382
2018-09-06,30.94,10472
2018-09-07,32.39,27371
2018-09-10,33.0,40300
2018-09-11,33.1,41534
2018-09-12,32.87,36831
2018-09-13,32.93,22488
2018-09-14,33.12,46864
2018-09-17,32.96,40774
2018-09-18,32.92,44638
2018-09-19,32.78,37816
2018-09-20,33.18,49886
2018-09-21,31.5,193303
2018-09-24,31.23,30555
2018-09-25,30.68,22806
2018-09-26,30.54,12958
2018-09-27,30.53,13658
2018-09-28,30.23,15227
2018-10-01,29.7,28074
2018-10-02,29.97,20117
2018-10-03,29.8,24961
2018-10-04,30.15,19768
2018-10-05,30.5,11926
2018-10-08,31.55,16425
2018-10-09,30.74,13882
2018-10-10,30.8,15994
2018-10-11,30.0,14830
2018-10-12,29.3,33750
2018-10-15,30.35,23783
2018-10-16,30.81,16980
2018-10-17,30.38,7268
2018-10-18,30.04,8111
2018-10-19,29.36,12344
2018-10-22,30.09,3984
2018-10-23,29.1,10309
2018-10-24,29.4,30429
2018-10-25,29.94,19033
2018-10-26,29.3,15296
2018-10-29,29.8,14611
2018-10-30,29.8,22154
2018-10-31,29.82,16501
2018-11-01,29.63,16570
2018-11-02,29.7,18020
2018-11-05,29.34,10986
2018-11-06,29.66,28064
2018-11-07,30.0,19811
2018-11-08,30.34,13509
2018-11-09,30.37,7489
2018-11-12,29.86,6161
2018-11-13,30.16,4631
2018-11-14,29.97,11264
2018-11-15,30.06,15610
2018-11-16,29.95,20251
2018-11-19,30.49,12601
2018-11-20,30.01,7141
2018-11-21,30.33,6484
2018-11-23,30.44,2792
2018-11-26,30.33,5263
2018-11-27,29.71,6957
2018-11-28,30.0,13492
2018-11-29,30.58,7735
2018-11-30,30.51,11465
2018-12-03,30.63,7988
2018-12-04,29.55,18288
2018-12-06,29.95,14409
2018-12-07,29.63,14949
2018-12-10,29.97,11593
2018-12-11,29.52,12693
2018-12-12,29.84,10590
2018-12-13,29.67,11192
2018-12-14,29.48,12568
2018-12-17,29.13,20791
2018-12-18,29.11,15803
2018-12-19,29.21,35330
2018-12-20,29.14,24781
2018-12-21,29.48,46137
2018-12-24,28.83,5766
2018-12-26,29.09,19540
2018-12-27,29.06,33843
2018-12-28,29.58,14014
2018-12-31,29.82,11393
2019-01-02,29.7,33288
2019-01-03,29.86,25824
2019-01-04,30.68,9763
2019-01-07,30.82,10493
2019-01-08,31.21,8113
2019-01-09,30.91,6314
2019-01-10,30.62,10613
2019-01-11,30.5,12749
2019-01-14,30.16,12333
2019-01-15,30.2,8397
2019-01-16,30.75,11030
2019-01-17,30.75,8999
2019-01-18,31.36,7817
2019-01-22,28.9,26433
2019-01-23,29.8,9165
2019-01-24,30.0,8891
2019-01-25,30.15,10817
2019-01-28,30.12,18225
2019-01-29,29.98,6319
2019-01-30,29.8,4305
2019-01-31,30.0,12794
2019-02-01,30.4,14244
2019-02-04,30.58,4207
2019-02-05,30.78,5049
2019-02-06,30.1,8483
2019-02-07,30.1,12890
2019-02-08,29.8,13809
2019-02-11,30.07,4775
2019-02-12,30.38,5336
2019-02-13,30.34,1600
2019-02-14,29.45,6384
2019-02-15,30.0,24072
2019-02-19,29.8,22017
2019-02-20,31.13,178661
2019-02-21,31.05,39994
2019-02-22,31.1,18118
2019-02-25,31.15,20411
2019-02-26,31.24,9674
2019-02-27,31.1,6252
2019-02-28,30.76,9161
2019-03-01,30.92,5413
2019-03-04,30.56,13485
2019-03-05,30.61,27882
2019-03-06,30.06,23892
2019-03-07,30.1,17349
2019-03-08,30.05,10094
2019-03-11,30.26,11673
2019-03-12,30.53,10999
2019-03-13,30.62,16030
2019-03-14,30.4,8490
2019-03-15,30.25,84141
2019-03-18,30.2,41083
2019-03-19,30.08,12621
2019-03-20,29.68,11304
2019-03-21,29.02,24843
2019-03-22,27.19,28471
2019-03-25,27.36,31313
2019-03-26,28.06,18335
2019-03-27,28.6,10896
2019-03-28,29.13,16110
2019-03-29,29.22,25829
2019-04-01,28.9,18020
2019-04-02,28.83,14479
2019-04-03,28.6,20377
2019-04-04,28.38,17341
2019-04-05,28.48,24164
2019-04-08,28.55,41007
2019-04-09,27.95,13143
2019-04-10,27.89,50021
2019-04-11,27.89,46100
2019-04-12,27.93,28430
2019-04-15,27.82,13829
2019-04-16,27.62,9381
2019-04-17,27.66,17920
2019-04-18,27.38,31387
2019-04-22,27.2,14542
2019-04-23,26.62,20014
2019-04-24,26.6,13153
2019-04-25,26.54,8065
2019-04-26,27.6,90464
2019-04-29,28.1,19929
2019-04-30,28.07,25016
2019-05-01,28.45,21334
2019-05-02,27.9,7311
2019-05-03,28.5,23731
2019-05-06,28.19,46391
2019-05-07,28.2,30401
2019-05-08,28.44,23333
2019-05-09,28.2,25384
2019-05-10,28.55,22314
2019-05-13,28.12,17468
2019-05-14,28.23,28152
2019-05-15,28.6,27978
2019-05-16,28.99,24375
2019-05-17,29.14,27575
2019-05-20,29.33,28659
2019-05-21,29.5,19438
2019-05-22,29.31,23082
2019-05-23,29.0,25758
2019-05-24,29.61,21955
2019-05-28,29.44,45043
2019-05-29,29.42,41599
2019-05-30,29.33,40861
2019-05-31,29.25,27893
2019-06-03,29.52,36126
2019-06-04,30.05,22893
2019-06-05,29.55,28848
2019-06-06,30.03,17638
2019-06-07,29.9,15321
2019-06-10,30.0,15963
2019-06-11,30.26,11885
2019-06-12,30.62,8194
2019-06-13,30.78,8992
2019-06-14,30.61,60116
2019-06-17,30.33,10077
2019-06-18,30.55,13124
2019-06-19,30.32,13225
2019-06-20,30.35,21817
2019-06-21,30.84,37493
2019-06-24,30.25,17704
2019-06-25,30.68,19214
2019-06-26,30.39,11958
2019-06-27,31.11,17677
2019-06-28,31.15,97030
2019-07-01,31.08,12775
2019-07-02,30.41,16459
2019-07-03,30.7,4105
2019-07-05,31.01,13036
2019-07-08,31.09,11233
2019-07-09,31.09,5018
2019-07-10,30.87,9760
2019-07-11,30.69,9471
2019-07-12,30.44,9025
2019-07-15,30.4,3013
2019-07-16,30.4,10695
2019-07-17,30.73,20109
2019-07-18,31.1,5250
2019-07-19,30.87,5437
2019-07-22,30.95,8228
2019-07-23,30.16,6612
2019-07-24,31.4,13546
2019-07-25,31.21,10448
2019-07-26,30.96,26406
2019-07-29,30.82,22864
2019-07-30,30.84,14380
2019-07-31,30.82,18837
2019-08-01,30.39,24051
2019-08-02,30.41,9250
2019-08-05,29.95,15649
2019-08-06,30.21,9142
2019-08-07,30.16,9041
2019-08-08,30.36,11526
2019-08-09,30.06,10107
2019-08-12,30.72,11772
2019-08-13,30.63,5498
2019-08-14,30.16,11959
2019-08-15,30.07,7687
2019-08-16,30.45,8798
2019-08-19,30.56,8998
2019-08-20,30.24,6637
2019-08-21,29.93,32682
2019-08-22,29.69,24568
2019-08-23,29.43,23515
