date,close,volume
2018-04-25,8.22,173169
2018-04-26,8.18,138927
2018-04-27,8.16,75306
2018-04-30,8.08,216127
2018-05-01,8.06,101921
2018-05-02,8.21,155702
2018-05-03,8.3,110574
2018-05-04,8.32,106679
2018-05-07,8.48,174399
2018-05-08,8.57,72071
2018-05-09,8.77,117882
2018-05-10,8.74,120187
2018-05-11,8.87,97367
2018-05-14,8.83,162086
2018-05-15,8.46,171133
2018-05-16,8.37,161232
2018-05-17,8.26,156521
2018-05-18,8.23,77237
2018-05-21,8.29,89292
2018-05-22,8.55,130348
2018-05-23,8.43,136219
2018-05-24,8.26,171746
2018-05-25,8.22,62216
2018-05-29,8.17,198196
2018-05-30,8.23,294063
2018-05-31,8.66,212477
2018-06-01,8.47,209906
2018-06-04,8.73,283735
2018-06-05,8.73,110523
2018-06-06,8.77,216870
2018-06-07,8.74,84452
2018-06-08,8.69,98545
2018-06-11,8.79,179039
2018-06-12,8.66,83166
2018-06-13,8.77,190299
2018-06-14,9.0,251251
2018-06-15,9.19,336533
2018-06-18,9.17,171400
2018-06-19,9.04,138213
2018-06-20,9.07,221569
2018-06-21,8.9,119958
2018-06-22,9.0,122065
2018-06-25,8.82,93071
2018-06-26,8.75,75824
2018-06-27,8.73,293620
2018-06-28,8.7,281728
2018-06-29,8.69,371915
2018-07-02,8.51,262684
2018-07-03,8.67,84201
2018-07-05,8.78,116473
2018-07-06,8.73,102923
2018-07-09,8.68,84688
2018-07-10,8.78,103667
2018-07-11,8.42,128849
2018-07-12,8.46,126640
2018-07-13,8.51,115817
2018-07-16,8.5,159961
2018-07-17,8.5,95920
2018-07-18,8.65,133645
2018-07-19,8.61,85384
2018-07-20,8.69,137649
2018-07-23,8.67,71964
2018-07-24,9.07,121526
2018-07-25,9.03,373279
2018-07-26,9.01,70691
2018-07-27,8.94,75981
2018-07-30,9.07,66423
2018-07-31,9.35,407232
2018-08-01,9.21,59011
2018-08-02,9.21,71328
2018-08-03,9.22,250066
2018-08-06,9.18,80289
2018-08-07,9.05,140045
2018-08-08,9.11,54449
2018-08-09,8.94,61997
2018-08-10,8.8,153153
2018-08-13,8.64,114415
2018-08-14,8.71,63145
2018-08-15,8.43,161295
2018-08-16,8.72,112951
2018-08-17,9.01,159650
2018-08-20,9.16,798288
2018-08-21,9.7,365510
2018-08-22,9.89,127843
2018-08-23,9.46,170454
2018-08-24,9.62,102678
2018-08-27,9.59,102557
2018-08-28,9.56,102672
2018-08-29,9.63,101874
2018-08-30,9.45,58483
2018-08-31,9.25,81628
2018-09-04,9.23,170338
2018-09-05,8.98,87231
2018-09-06,9.01,180103
2018-09-07,8.82,123892
2018-09-10,8.81,88427
2018-09-11,8.86,130086
2018-09-12,8.82,57821
2018-09-13,8.82,70716
2018-09-14,9.17,124798
2018-09-17,9.14,60698
2018-09-18,9.35,126368
2018-09-19,9.24,51212
2018-09-20,9.13,105319
2018-09-21,9.46,92647
2018-09-24,9.43,81357
2018-09-25,9.41,92140
2018-09-26,9.73,131081
2018-09-27,9.56,60386
2018-09-28,9.86,144956
2018-10-01,9.87,150839
2018-10-02,9.95,116379
2018-10-03,9.74,126670
2018-10-04,9.39,179553
2018-10-05,9.24,135565
2018-10-08,9.25,122007
2018-10-09,9.18,81275
2018-10-10,8.94,115156
2018-10-11,8.75,106212
2018-10-12,9.07,90816
2018-10-15,8.86,67444
2018-10-16,9.0,63544
2018-10-17,8.72,112356
2018-10-18,8.42,89037
2018-10-19,8.56,99734
2018-10-22,8.44,94435
2018-10-23,7.79,382629
2018-10-24,7.42,99768
2018-10-25,7.71,125086
2018-10-26,7.61,156922
2018-10-29,7.52,135839
2018-10-30,7.27,235531
2018-10-31,7.61,275970
2018-11-01,7.71,145435
2018-11-02,7.85,314871
2018-11-05,7.86,130340
2018-11-06,7.71,255923
2018-11-07,7.65,394482
2018-11-08,7.26,110549
2018-11-09,7.09,90355
2018-11-12,7.03,87292
2018-11-13,6.79,124138
2018-11-14,6.5,248903
2018-11-15,6.68,207954
2018-11-16,6.89,194785
2018-11-19,6.76,151132
2018-11-20,6.5,372378
2018-11-21,6.73,192837
2018-11-23,6.95,168572
2018-11-26,7.09,268980
2018-11-27,7.48,260387
2018-11-28,7.55,262942
2018-11-29,7.23,175842
2018-11-30,7.04,261911
2018-12-03,7.4,163549
2018-12-04,7.22,238819
2018-12-06,6.85,202773
2018-12-07,6.98,151149
2018-12-10,6.74,100647
2018-12-11,6.9,110656
2018-12-12,7.02,208757
2018-12-13,7.14,125472
2018-12-14,7.0,70825
2018-12-17,6.77,107565
2018-12-18,6.33,203713
2018-12-19,5.93,260032
2018-12-20,5.81,240624
2018-12-21,6.04,142488
2018-12-24,6.08,115977
2018-12-26,6.17,144495
2018-12-27,5.9,149520
2018-12-28,6.12,217125
2018-12-31,6.16,76178
2019-01-02,6.23,150709
2019-01-03,5.96,166215
2019-01-04,6.49,90617
2019-01-07,6.76,132621
2019-01-08,7.0,100034
2019-01-09,7.01,91422
2019-01-10,6.77,164688
2019-01-11,6.6,119722
2019-01-14,6.45,101591
2019-01-15,6.34,107188
2019-01-16,6.39,85484
2019-01-17,6.47,104163
2019-01-18,6.71,146452
2019-01-22,6.12,192837
2019-01-23,6.16,342465
2019-01-24,5.88,230346
2019-01-25,5.96,468262
2019-01-28,5.36,553562
2019-01-29,5.44,174439
2019-01-30,5.12,793435
2019-01-31,5.07,307513
2019-02-01,5.31,333694
2019-02-04,5.18,223853
2019-02-05,5.2,296103
2019-02-06,5.11,299144
2019-02-07,5.12,261680
2019-02-08,5.15,179618
2019-02-11,5.13,120548
2019-02-12,5.34,118133
2019-02-13,5.36,118225
2019-02-14,5.39,104254
2019-02-15,5.38,214218
2019-02-19,5.24,385387
2019-02-20,5.35,261638
2019-02-21,5.26,130656
2019-02-22,5.31,166017
2019-02-25,5.31,505592
2019-02-26,5.32,310002
2019-02-27,5.17,131664
2019-02-28,5.0,361446
2019-03-01,4.88,326301
2019-03-04,4.95,240010
2019-03-05,5.11,631018
2019-03-06,4.96,252867
2019-03-07,4.79,202261
2019-03-08,4.68,260233
2019-03-11,4.71,218168
2019-03-12,4.89,140062
2019-03-13,4.92,131504
2019-03-14,5.12,209392
2019-03-15,5.06,480278
2019-03-18,4.85,268763
2019-03-19,5.02,268837
2019-03-20,5.32,409853
2019-03-21,5.23,194070
2019-03-22,5.12,412564
2019-03-25,4.88,356466
2019-03-26,4.92,208040
2019-03-27,4.86,109614
2019-03-28,4.84,103026
2019-03-29,4.77,110470
2019-04-01,4.93,153664
2019-04-02,4.95,197592
2019-04-03,5.13,159502
2019-04-04,5.13,124757
2019-04-05,5.14,154378
2019-04-08,5.3,158287
2019-04-09,5.26,117911
2019-04-10,5.51,173648
2019-04-11,5.54,193007
2019-04-12,5.47,162618
2019-04-15,5.45,105376
2019-04-16,5.55,331764
2019-04-17,5.57,179737
2019-04-18,5.63,111135
2019-04-22,5.55,133775
2019-04-23,5.6,197649
2019-04-24,5.5,147394
2019-04-25,5.4,178255
2019-04-26,5.59,111017
2019-04-29,5.82,407859
2019-04-30,5.96,565520
2019-05-01,6.06,183094
2019-05-02,5.74,210157
2019-05-03,5.82,142468
2019-05-06,5.56,207259
2019-05-07,5.35,152005
2019-05-08,5.56,161245
2019-05-09,5.34,132516
2019-05-10,5.47,87838
2019-05-13,5.08,150376
2019-05-14,5.22,125151
2019-05-15,5.29,68766
2019-05-16,5.31,64313
2019-05-17,5.2,106812
2019-05-20,5.22,106099
2019-05-21,5.21,157431
2019-05-22,5.37,119057
2019-05-23,5.14,299875
2019-05-24,5.07,163901
2019-05-28,4.99,222202
2019-05-29,4.87,329101
2019-05-30,4.75,240700
2019-05-31,4.56,326065
2019-06-03,4.36,392375
2019-06-04,4.73,576765
2019-06-05,4.74,318345
2019-06-06,4.64,198844
2019-06-07,4.78,179737
2019-06-10,4.7,86470
2019-06-11,4.82,121857
2019-06-12,4.48,109624
2019-06-13,4.73,154243
2019-06-14,4.65,117028
2019-06-17,4.74,69258
2019-06-18,4.86,127796
2019-06-19,5.06,319024
2019-06-20,5.29,263005
2019-06-21,5.41,240733
2019-06-24,5.3,272999
2019-06-25,5.25,194030
2019-06-26,5.42,232053
2019-06-27,5.69,465606
2019-06-28,5.81,103482
2019-07-01,6.18,229669
2019-07-02,6.22,329417
2019-07-03,6.24,171992
2019-07-05,6.37,678281
2019-07-08,6.34,234050
2019-07-09,6.38,344806
2019-07-10,6.47,237152
2019-07-11,6.5,254375
2019-07-12,6.5,184928
2019-07-15,6.45,393370
2019-07-16,6.61,301627
2019-07-17,6.55,319637
2019-07-18,6.63,287776
2019-07-19,6.69,285999
2019-07-22,6.82,315044
2019-07-23,6.61,229152
2019-07-24,6.35,469826
2019-07-25,6.37,309106
2019-07-26,6.47,88294
2019-07-29,6.34,123407
2019-07-30,6.26,158661
2019-07-31,6.08,227282
2019-08-01,5.87,191476
2019-08-02,5.73,207558
2019-08-05,5.31,278109
2019-08-06,5.48,238659
2019-08-07,5.3,273907
2019-08-08,5.48,275798
2019-08-09,5.43,177502
2019-08-12,5.36,197148
2019-08-13,5.71,255237
2019-08-14,5.45,198175
2019-08-15,5.21,517324
2019-08-16,5.52,252186
2019-08-19,5.6,310346
2019-08-20,5.67,191989
2019-08-21,5.89,285912
2019-08-22,5.92,268223
2019-08-23,5.66,316601
2019-08-26,5.82,161085
2019-08-27,5.88,197281
2019-08-28,6.06,174067
2019-08-29,6.05,251369
2019-08-30,6.2,266558
2019-09-03,6.28,209066
2019-09-04,6.36,431342
2019-09-05,6.33,337609
2019-09-06,6.39,212943
2019-09-09,6.6,384453
2019-09-10,6.5,282152
2019-09-11,6.47,275072
2019-09-12,6.48,182766
2019-09-13,6.56,258751
2019-09-16,6.48,260484
2019-09-17,6.27,166677
2019-09-18,6.23,172350
