date,close,volume
2018-04-25,29.91,5230406
2018-04-26,30.12,4056071
2018-04-27,30.41,2951131
2018-04-30,29.24,4655197
2018-05-01,28.85,3706596
2018-05-02,29.12,4433489
2018-05-03,28.99,4736059
2018-05-04,28.8,3956070
2018-05-07,28.35,4383649
2018-05-08,28.72,3303731
2018-05-09,29.21,3882520
2018-05-10,28.8,4973996
2018-05-11,29.19,4062205
2018-05-14,30.38,5880818
2018-05-15,31.16,7987478
2018-05-16,31.57,6633025
2018-05-17,31.39,3350745
2018-05-18,31.57,3664340
2018-05-21,31.7,3221567
2018-05-22,31.75,4414999
2018-05-23,31.98,4556354
2018-05-24,32.95,8791845
2018-05-25,28.15,25859353
2018-05-29,28.29,11607034
2018-05-30,28.88,9877206
2018-05-31,27.98,5645904
2018-06-01,28.96,6544138
2018-06-04,29.19,5961740
2018-06-05,31.18,11697873
2018-06-06,31.09,6813621
2018-06-07,31.54,5762192
2018-06-08,31.74,4202824
2018-06-11,32.75,6020622
2018-06-12,32.93,5228784
2018-06-13,32.23,5042723
2018-06-14,31.33,6897106
2018-06-15,31.63,5341287
2018-06-18,32.54,4874235
2018-06-19,32.53,6041203
2018-06-20,33.08,5961507
2018-06-21,33.75,6172569
2018-06-22,33.39,6888151
2018-06-25,33.54,5000337
2018-06-26,33.73,6079937
2018-06-27,33.24,4137786
2018-06-28,33.51,3834397
2018-06-29,32.39,5614681
2018-07-02,31.73,5664967
2018-07-03,32.24,2537109
2018-07-05,31.6,4283746
2018-07-06,31.26,6702124
2018-07-09,30.82,5711038
2018-07-10,31.01,3705042
2018-07-11,30.2,3978362
2018-07-12,29.59,7424854
2018-07-13,29.4,4668571
2018-07-16,29.48,5644065
2018-07-17,29.9,4394015
2018-07-18,30.16,3685478
2018-07-19,30.71,3604139
2018-07-20,30.05,3035630
2018-07-23,30.05,3673362
2018-07-24,29.54,6508950
2018-07-25,30.07,3830726
2018-07-26,30.15,2971599
2018-07-27,29.43,2688739
2018-07-30,29.87,2784343
2018-07-31,30.17,2913482
2018-08-01,29.21,3727911
2018-08-02,30.07,3119933
2018-08-03,30.35,3216324
2018-08-06,30.47,2665121
2018-08-07,30.71,1990966
2018-08-08,30.89,2728584
2018-08-09,31.18,2919579
2018-08-10,31.33,3434520
2018-08-13,31.15,2379653
2018-08-14,32.7,5016917
2018-08-15,31.05,6688169
2018-08-16,30.75,5192602
2018-08-17,31.28,3793702
2018-08-20,32.17,4953907
2018-08-21,32.31,3979129
2018-08-22,32.21,4294590
2018-08-23,32.44,7739310
2018-08-24,29.65,18666456
2018-08-27,30.19,7348798
2018-08-28,30.71,5213842
2018-08-29,30.67,5181322
2018-08-30,30.15,2879336
2018-08-31,30.35,3104023
2018-09-04,30.37,5011154
2018-09-05,30.26,6355089
2018-09-06,29.02,4241919
2018-09-07,28.94,6349497
2018-09-10,28.9,4438320
2018-09-11,28.68,3917097
2018-09-12,28.36,4868139
2018-09-13,28.23,3545990
2018-09-14,27.78,3143062
2018-09-17,27.05,4182322
2018-09-18,26.99,5254657
2018-09-19,27.21,6661095
2018-09-20,27.48,3920160
2018-09-21,27.8,7129104
2018-09-24,27.7,5806828
2018-09-25,27.96,4811654
