date,close,volume
2018-04-25,57.83,795790
2018-04-26,58.96,973980
2018-04-27,59.26,1082880
2018-04-30,58.67,908607
2018-05-01,58.99,1238515
2018-05-02,61.95,2673048
2018-05-03,60.35,1793977
2018-05-04,59.89,1528258
2018-05-07,59.37,879855
2018-05-08,59.58,765568
2018-05-09,59.41,880740
2018-05-10,59.19,857285
2018-05-11,59.29,709514
2018-05-14,59.39,668185
2018-05-15,59.23,799723
2018-05-16,59.69,746394
2018-05-17,59.74,626310
2018-05-18,59.76,538688
2018-05-21,60.41,512731
2018-05-22,60.47,518173
2018-05-23,60.28,692361
2018-05-24,60.53,546179
2018-05-25,60.56,463864
2018-05-29,60.44,765922
2018-05-30,60.9,711910
2018-05-31,60.09,1187219
2018-06-01,61.39,974750
2018-06-04,61.01,571987
2018-06-05,61.69,744369
2018-06-06,61.89,662000
2018-06-07,61.43,715892
2018-06-08,61.85,640716
2018-06-11,62.26,566328
2018-06-12,62.37,561784
2018-06-13,62.24,734874
2018-06-14,61.94,1039383
2018-06-15,61.24,1542193
2018-06-18,61.26,866338
2018-06-19,60.93,846007
2018-06-20,61.44,759346
2018-06-21,60.12,735733
2018-06-22,60.23,945959
2018-06-25,59.71,590754
2018-06-26,60.25,519184
2018-06-27,59.98,698912
2018-06-28,60.96,908818
2018-06-29,61.0,1058307
2018-07-02,60.92,708738
2018-07-03,60.62,357775
2018-07-05,60.58,704558
2018-07-06,61.35,672391
2018-07-09,62.39,1149347
2018-07-10,63.3,1264057
2018-07-11,62.28,998246
2018-07-12,63.07,1066389
2018-07-13,63.23,692898
2018-07-16,63.44,740319
2018-07-17,64.06,941525
2018-07-18,64.05,1257414
2018-07-19,65.03,1084999
2018-07-20,64.55,912685
2018-07-23,63.87,1101604
2018-07-24,63.48,1183864
2018-07-25,63.41,1043051
2018-07-26,63.61,880593
2018-07-27,62.93,888749
2018-07-30,61.9,854245
2018-07-31,62.45,1922802
2018-08-01,64.5,2601960
2018-08-02,64.53,1568115
2018-08-03,64.91,1555242
2018-08-06,64.55,1326267
2018-08-07,64.84,1214275
2018-08-08,64.43,965159
2018-08-09,64.67,1002059
2018-08-10,63.83,890094
2018-08-13,63.54,996349
2018-08-14,64.18,1041978
2018-08-15,63.64,1094203
2018-08-16,64.46,1179883
2018-08-17,65.35,2796942
2018-08-20,64.7,1419901
2018-08-21,64.94,1070207
2018-08-22,64.97,1291023
2018-08-23,65.0,996252
2018-08-24,64.74,814480
2018-08-27,65.72,802196
2018-08-28,66.38,963963
2018-08-29,68.11,1765154
2018-08-30,67.72,792335
2018-08-31,68.14,842864
2018-09-04,67.99,964442
2018-09-05,68.72,1185593
2018-09-06,69.03,969344
2018-09-07,67.92,1223294
2018-09-10,68.03,1084596
2018-09-11,68.4,798029
2018-09-12,68.45,1031028
2018-09-13,68.61,985719
2018-09-14,68.72,903568
2018-09-17,68.34,850249
2018-09-18,68.98,837010
2018-09-19,69.19,845730
2018-09-20,69.71,863876
2018-09-21,70.04,3604062
2018-09-24,69.68,883286
2018-09-25,69.62,677701
2018-09-26,69.57,905846
2018-09-27,69.59,835805
2018-09-28,70.05,1130797
2018-10-01,69.85,943962
2018-10-02,69.46,870999
2018-10-03,69.4,903141
2018-10-04,69.14,864513
2018-10-05,68.6,593403
2018-10-08,67.85,843711
2018-10-09,67.23,960727
2018-10-10,64.6,1805297
2018-10-11,62.97,1709519
2018-10-12,62.59,1554329
2018-10-15,62.18,1062378
2018-10-16,63.13,954211
2018-10-17,63.05,1134645
2018-10-18,62.29,1039137
2018-10-19,61.97,979404
2018-10-22,62.61,1142504
2018-10-23,62.56,1386381
2018-10-24,61.49,1279052
2018-10-25,62.15,1216012
2018-10-26,61.56,1152006
2018-10-29,61.77,980424
2018-10-30,63.05,1757964
2018-10-31,66.16,3126309
2018-11-01,67.42,1878311
2018-11-02,66.15,1339258
2018-11-05,64.85,1434139
2018-11-06,64.56,1256539
2018-11-07,65.74,1107062
2018-11-08,66.58,1032205
2018-11-09,66.11,970436
2018-11-12,65.65,730299
2018-11-13,64.98,942187
2018-11-14,64.21,886469
2018-11-15,65.22,958581
2018-11-16,65.48,815929
2018-11-19,64.84,841317
2018-11-20,64.38,981739
2018-11-21,65.12,1181788
2018-11-23,64.99,476779
2018-11-26,65.87,805479
2018-11-27,65.36,948976
2018-11-28,66.38,732766
2018-11-29,65.98,703260
2018-11-30,66.66,1792333
2018-12-03,68.57,1179865
2018-12-04,66.4,1368250
2018-12-06,65.03,1759824
2018-12-07,64.68,982546
2018-12-10,64.93,849644
2018-12-11,65.39,866391
2018-12-12,66.27,871549
2018-12-13,66.1,694255
2018-12-14,65.14,652064
2018-12-17,63.11,1135152
2018-12-18,63.56,1067255
2018-12-19,62.18,1562251
2018-12-20,62.12,1112749
2018-12-21,61.33,1487376
2018-12-24,60.55,587340
2018-12-26,62.2,899133
2018-12-27,62.96,693991
2018-12-28,62.82,559403
2018-12-31,63.32,688115
2019-01-02,62.52,844050
2019-01-03,61.39,855576
2019-01-04,63.72,903314
2019-01-07,64.18,877157
2019-01-08,64.78,802437
2019-01-09,65.68,956515
2019-01-10,66.05,546504
2019-01-11,66.57,627950
2019-01-14,65.76,790659
2019-01-15,66.26,567157
2019-01-16,66.68,795842
2019-01-17,67.04,835680
2019-01-18,67.9,996205
2019-01-22,67.39,648878
2019-01-23,67.64,961569
2019-01-24,68.02,649352
2019-01-25,68.58,759885
2019-01-28,67.63,1215505
2019-01-29,68.68,944845
2019-01-30,69.1,785550
2019-01-31,69.18,2594302
2019-02-01,69.34,825650
2019-02-04,69.57,676693
2019-02-05,69.64,828247
