date,close,volume
2019-11-07,12.0,1312416
2019-11-08,12.0,424286
2019-11-11,12.08,130005
2019-11-12,13.05,242645
2019-11-13,13.25,134300
2019-11-14,13.25,63691
2019-11-15,11.79,105262
2019-11-18,12.76,75659
2019-11-19,13.69,178425
2019-11-20,13.9,48378
2019-11-21,12.18,80563
2019-11-22,12.39,83134
2019-11-25,12.58,60311
2019-11-26,12.9,44885
2019-11-27,12.57,61525
2019-11-29,12.53,3846
2019-12-02,12.07,154346
2019-12-03,12.02,68878
2019-12-04,12.0,102163
2019-12-05,10.9,127527
2019-12-06,10.8,142468
2019-12-09,10.0,53709
2019-12-10,9.5,47538
2019-12-11,9.82,18964
2019-12-12,9.13,56338
2019-12-13,9.84,35810
2019-12-16,10.0,113788
2019-12-17,11.18,158151
2019-12-18,13.27,178386
2019-12-19,13.63,121763
2019-12-20,13.73,297436
2019-12-23,13.77,72491
2019-12-24,12.6,57649
2019-12-26,13.88,49734
2019-12-27,13.73,29769
2019-12-30,13.2,32674
2019-12-31,13.16,40060
2020-01-02,13.88,24035
2020-01-03,14.35,73125
2020-01-06,14.5,42941
2020-01-07,15.65,164811
2020-01-08,15.1,83082
2020-01-09,15.0,32311
2020-01-10,14.69,38329
2020-01-13,14.23,48936
2020-01-14,15.0,71766
2020-01-15,14.21,90086
2020-01-16,13.86,110492
2020-01-17,13.42,79057
2020-01-21,12.67,35725
2020-01-22,12.86,43002
2020-01-23,12.79,39954
2020-01-24,12.68,39179
2020-01-27,11.69,41910
2020-01-28,13.21,41698
2020-01-29,13.93,50594
2020-01-30,13.89,43431
2020-01-31,14.84,137343
2020-02-03,13.21,41212
2020-02-04,13.53,43001
2020-02-05,13.38,38962
2020-02-06,13.63,36244
2020-02-07,13.53,22234
2020-02-10,13.66,15569
2020-02-11,14.38,23805
2020-02-12,13.84,7735
2020-02-13,14.04,6080
2020-02-14,13.95,6362
2020-02-18,14.34,11011
2020-02-19,15.35,28956
2020-02-20,15.54,10484
2020-02-21,15.86,12568
2020-02-24,14.69,27241
2020-02-25,14.95,21669
2020-02-26,15.12,7477
2020-02-27,15.95,32811
2020-02-28,17.08,46081
2020-03-02,17.67,44607
2020-03-03,16.69,12250
2020-03-04,16.36,27718
2020-03-05,15.42,10128
2020-03-06,13.7,27582
2020-03-09,11.5,27491
2020-03-10,11.24,14732
2020-03-11,10.93,38456
2020-03-12,8.47,48580
2020-03-13,8.76,23493
2020-03-16,6.52,32600
2020-03-17,6.52,32916
2020-03-18,5.89,17137
2020-03-19,6.74,20128
2020-03-20,8.67,40227
2020-03-23,8.34,20968
2020-03-24,9.5,22834
2020-03-25,9.25,14390
2020-03-26,9.5,10662
2020-03-27,9.03,4734
2020-03-30,10.32,21615
2020-03-31,9.5,10733
2020-04-01,9.53,11085
2020-04-02,9.52,8389
2020-04-03,9.5,8512
2020-04-06,10.42,13106
2020-04-07,10.57,18121
2020-04-08,10.75,7678
2020-04-09,10.28,15808
2020-04-13,10.51,9792
2020-04-14,10.5,8047
2020-04-15,10.5,9460
2020-04-16,11.02,11439
2020-04-17,11.5,7724
2020-04-20,12.38,19401
2020-04-21,13.0,12388
2020-04-22,12.43,17721
2020-04-23,13.07,4953
2020-04-24,12.76,2344
2020-04-27,12.99,20019
2020-04-28,12.43,11247
2020-04-29,14.41,7171
2020-04-30,13.66,2190
2020-05-01,12.35,18385
2020-05-04,12.6,5233
2020-05-05,11.06,17608
2020-05-06,11.51,17160
2020-05-07,12.0,12306
2020-05-08,11.7,17336
2020-05-11,11.8,11800
2020-05-12,11.65,8645
2020-05-13,10.81,13306
2020-05-14,11.0,5887
2020-05-15,11.0,9196
2020-05-18,11.4,60577
2020-05-19,11.32,31614
2020-05-20,12.0,21728
2020-05-21,11.84,21362
2020-05-22,11.63,16423
2020-05-26,11.15,38991
2020-05-27,11.14,17354
2020-05-28,10.59,31212
2020-05-29,10.46,14247
2020-06-01,9.83,39256
2020-06-02,9.4,36095
2020-06-03,9.64,13354
2020-06-04,9.5,44111
2020-06-05,9.75,27183
2020-06-08,9.3,68519
2020-06-09,9.31,89028
2020-06-10,8.84,104122
2020-06-11,8.85,54211
2020-06-12,8.72,48057
2020-06-15,9.01,58749
2020-06-16,9.27,46544
2020-06-17,9.33,53257
2020-06-18,8.98,90349
2020-06-19,8.55,1178570
2020-06-22,9.04,134526
2020-06-23,9.15,154343
2020-06-24,9.0,69531
2020-06-25,9.0,116900
2020-06-26,8.5,927701
2020-06-29,8.09,149789
2020-06-30,7.14,70111
2020-07-01,7.22,45881
2020-07-02,7.21,38079
2020-07-06,7.35,74713
2020-07-07,7.49,19470
2020-07-08,7.49,42310
2020-07-09,7.35,63614
2020-07-10,7.18,51503
2020-07-13,7.35,30622
2020-07-14,7.87,27365
2020-07-15,8.58,77598
2020-07-16,8.55,12964
2020-07-17,7.92,45927
2020-07-20,8.13,10593
2020-07-21,8.3,10248
2020-07-22,7.99,16131
2020-07-23,7.89,13975
2020-07-24,7.62,17254
2020-07-27,7.88,13050
2020-07-28,7.72,6438
2020-07-29,7.75,14444
2020-07-30,7.77,12447
2020-07-31,6.96,68418
2020-08-03,7.16,23238
2020-08-04,7.21,22539
2020-08-05,7.35,31377
2020-08-06,7.55,7293
2020-08-07,7.96,14709
2020-08-10,7.96,7844
2020-08-11,7.81,38680
2020-08-12,7.94,5691
2020-08-13,7.91,2422
2020-08-14,7.81,5489
