date,close,volume
2018-04-25,34.16,732
2018-04-26,34.45,1466
2018-04-27,34.37,1401
2018-04-30,34.37,109
2018-05-01,34.3,3622
2018-05-02,34.3,109
2018-05-03,34.15,1168
2018-05-04,34.38,581
2018-05-07,34.42,1196
2018-05-08,34.58,2160
2018-05-09,34.24,4672
2018-05-10,34.43,3252
2018-05-11,34.67,893
2018-05-14,34.85,1759
2018-05-15,34.47,2720
2018-05-16,34.59,1847
2018-05-17,34.57,3142
2018-05-18,34.57,588
2018-05-21,34.54,403
2018-05-22,34.51,1176
2018-05-23,34.31,3339
2018-05-24,34.01,707
2018-05-25,34.01,110
2018-05-29,33.96,15634
2018-05-30,34.12,1970
2018-05-31,33.97,3104
2018-06-01,34.16,3316
2018-06-04,34.31,2404
2018-06-05,34.23,11826
2018-06-06,34.44,8523
2018-06-07,34.44,230
2018-06-08,34.53,2150
2018-06-11,34.64,2586
2018-06-12,34.41,1209
2018-06-13,34.52,991
2018-06-14,34.44,2454
2018-06-15,34.29,2285
2018-06-18,34.04,553
2018-06-19,33.66,9298
2018-06-20,33.72,174
2018-06-21,33.57,5149
2018-06-22,33.81,2298
2018-06-25,32.92,910
2018-06-26,33.23,753
2018-06-27,33.15,1084
2018-06-28,32.91,119
2018-06-29,32.99,2392
2018-07-02,32.33,2039
2018-07-03,32.33,17
2018-07-05,32.35,3342
2018-07-06,32.57,5843
2018-07-09,32.9,2132
2018-07-10,32.9,112
2018-07-11,32.31,2046
2018-07-12,32.43,5261
2018-07-13,32.63,12067
2018-07-16,32.66,5728
2018-07-17,32.97,1972
2018-07-18,32.95,10607
2018-07-19,32.87,9310
2018-07-20,32.96,11685
2018-07-23,33.16,2910
2018-07-24,33.35,588
2018-07-25,33.58,522
2018-07-26,33.67,4037
2018-07-27,33.67,13
2018-07-30,33.53,2279
2018-07-31,33.25,1080
2018-08-01,33.25,67
2018-08-02,33.11,6332
2018-08-03,33.0,18096
2018-08-06,32.8,387
2018-08-07,33.09,1343
2018-08-08,33.05,1639
2018-08-09,32.97,4089
2018-08-10,32.41,8507
2018-08-13,32.28,1217
2018-08-14,32.44,1427
2018-08-15,32.07,1004
2018-08-16,32.19,4348
2018-08-17,32.28,846
2018-08-20,32.36,624
2018-08-21,32.42,1562
2018-08-22,32.56,1185
2018-08-23,32.48,3379
2018-08-24,32.51,401
2018-08-27,33.02,778
2018-08-28,32.93,3394
2018-08-29,33.07,431
2018-08-30,32.78,3697
2018-08-31,32.87,644
2018-09-04,32.56,2273
2018-09-05,32.19,1061
2018-09-06,32.11,241
2018-09-07,32.06,48600
2018-09-10,32.12,3018
2018-09-11,32.22,403
2018-09-12,32.22,6
2018-09-13,32.61,2514
2018-09-14,32.89,2121
2018-09-17,33.04,2329
2018-09-18,33.76,603
2018-09-19,33.92,1407
2018-09-20,33.97,1401
2018-09-21,33.98,1184
2018-09-24,33.81,299
2018-09-25,34.2,624
2018-09-26,34.39,349
2018-09-27,34.25,1761
2018-09-28,34.17,745
2018-10-01,34.45,1744
2018-10-02,34.31,1290
2018-10-03,34.06,12394
2018-10-04,33.49,1199
2018-10-05,33.66,1882
2018-10-08,33.72,1496
2018-10-09,33.56,500
2018-10-10,33.05,499
2018-10-11,32.39,2344
2018-10-12,32.41,1978
2018-10-15,32.38,1198
2018-10-16,32.76,1859
2018-10-17,32.78,9268
2018-10-18,32.23,961
2018-10-19,32.32,596
2018-10-22,32.25,1403
2018-10-23,31.83,2211
2018-10-24,30.88,5057
2018-10-25,31.41,2219
2018-10-26,30.8,3665
2018-10-29,30.71,6630
2018-10-30,30.93,1473
2018-10-31,31.44,2133
2018-11-01,31.28,4038
2018-11-02,31.4,6306
2018-11-05,31.43,2388
2018-11-06,31.67,1116
2018-11-07,32.02,1982
2018-11-08,31.89,1462
2018-11-09,31.51,369
2018-11-12,31.16,964
2018-11-13,30.92,237
2018-11-14,31.07,989
2018-11-15,31.33,25975
2018-11-16,31.38,2079
2018-11-19,31.18,7028
2018-11-20,30.74,400
2018-11-21,31.13,1045
2018-11-23,31.16,119
2018-11-26,31.43,638
2018-11-27,31.38,58276
2018-11-28,31.63,1321
2018-11-29,31.69,2089
2018-11-30,31.71,1926
2018-12-03,32.09,2089
2018-12-04,31.14,917
2018-12-06,31.05,1126
2018-12-07,30.77,1241
2018-12-10,30.65,1782
2018-12-11,30.61,896
2018-12-12,31.01,1834
2018-12-13,30.93,2835
2018-12-14,30.6,3098
2018-12-17,30.33,686
2018-12-18,30.41,5687
2018-12-19,30.02,7920
2018-12-20,29.83,148705
2018-12-21,28.92,1423
2018-12-24,27.89,1619
2018-12-26,28.44,448
2018-12-27,28.81,8925
2018-12-28,28.87,6188
2018-12-31,28.82,38735
2019-01-02,29.0,597
2019-01-03,28.87,1974
2019-01-04,29.86,1281
2019-01-07,29.94,4249
2019-01-08,30.04,537
2019-01-09,30.19,3257
2019-01-10,30.37,736
2019-01-11,30.0,3386
2019-01-14,29.85,758
2019-01-15,30.2,787
2019-01-16,30.33,638
2019-01-17,30.31,993
2019-01-18,30.77,4122
2019-01-22,30.11,1061
2019-01-23,30.05,2120
2019-01-24,30.25,372
2019-01-25,30.48,58632
2019-01-28,30.28,3338
2019-01-29,30.39,379
2019-01-30,30.73,76750
2019-01-31,30.71,3045
2019-02-01,30.6,591
2019-02-04,30.7,82039
2019-02-05,30.79,3725
2019-02-06,30.52,3030
2019-02-07,30.04,3108
2019-02-08,29.76,1518
2019-02-11,29.83,877
2019-02-12,30.44,8524
2019-02-13,30.4,222
2019-02-14,30.36,32
2019-02-15,30.8,392
2019-02-19,30.85,1530
2019-02-20,30.9,4787
2019-02-21,30.82,255
2019-02-22,30.89,1618
2019-02-25,31.01,3674
2019-02-26,31.18,981
2019-02-27,31.02,2117
2019-02-28,30.72,1272
2019-03-01,30.83,605
2019-03-04,30.68,1897
2019-03-05,30.75,1010
2019-03-06,30.58,1090
2019-03-07,30.22,3676
2019-03-08,30.17,469
2019-03-11,30.54,1429
2019-03-12,30.59,1125
2019-03-13,30.74,1215
2019-03-14,30.39,2363
2019-03-15,30.73,2393
2019-03-18,30.84,2638
2019-03-19,30.79,1541
2019-03-20,30.82,1315
2019-03-21,31.03,1607
2019-03-22,30.66,70
2019-03-25,30.71,1054
2019-03-26,31.1,1037
2019-03-27,30.95,2247
2019-03-28,30.99,214
2019-03-29,30.97,1740
2019-04-01,31.33,5372
2019-04-02,31.04,2004
2019-04-03,31.14,759
2019-04-04,31.09,391
2019-04-05,31.08,38645
