date,close,volume
2018-04-25,58.03,240692
2018-04-26,58.64,261003
2018-04-27,57.81,119121
2018-04-30,56.74,206077
2018-05-01,57.57,255006
2018-05-02,58.5,187239
2018-05-03,58.42,126228
2018-05-04,59.08,169625
2018-05-07,59.05,125613
2018-05-08,61.22,192167
2018-05-09,61.59,126792
2018-05-10,61.76,150009
2018-05-11,60.93,115510
2018-05-14,61.6,155292
2018-05-15,61.5,196952
2018-05-16,62.25,367210
2018-05-17,62.98,469415
2018-05-18,64.25,436771
2018-05-21,65.35,313394
2018-05-22,65.28,316346
2018-05-23,64.06,332096
2018-05-24,63.64,170601
2018-05-25,63.12,197786
2018-05-29,63.51,164764
2018-05-30,64.84,273239
2018-05-31,64.43,277466
2018-06-01,67.99,679621
2018-06-04,68.24,314046
2018-06-05,69.93,430003
2018-06-06,70.16,344790
2018-06-07,72.6,654005
2018-06-08,73.41,519584
2018-06-11,72.13,1443838
2018-06-12,72.92,272230
2018-06-13,68.64,1234930
2018-06-14,68.61,532071
2018-06-15,67.61,530278
2018-06-18,68.23,220764
2018-06-19,65.17,455117
2018-06-20,63.28,896609
2018-06-21,61.92,501968
2018-06-22,63.5,819680
2018-06-25,63.07,342592
2018-06-26,63.23,308736
2018-06-27,62.73,165171
2018-06-28,61.98,216060
2018-06-29,61.68,178832
2018-07-02,62.68,176418
2018-07-03,63.52,131725
2018-07-05,63.01,323455
2018-07-06,62.76,109000
2018-07-09,64.69,207724
2018-07-10,65.2,247127
2018-07-11,64.14,182346
2018-07-12,65.15,138203
2018-07-13,65.76,178257
2018-07-16,66.05,426027
2018-07-17,67.08,246541
2018-07-18,68.0,531774
2018-07-19,77.66,1576261
2018-07-20,76.88,841282
2018-07-23,75.23,503616
2018-07-24,75.12,358625
2018-07-25,75.03,412653
2018-07-26,74.04,412499
2018-07-27,74.54,328282
2018-07-30,75.89,727757
2018-07-31,78.09,437008
2018-08-01,77.95,418779
2018-08-02,77.99,254618
2018-08-03,76.43,524527
2018-08-06,77.45,189214
2018-08-07,77.88,207999
2018-08-08,76.85,210956
2018-08-09,76.74,86112
2018-08-10,76.6,86205
2018-08-13,76.86,156736
2018-08-14,77.64,142162
2018-08-15,75.56,469529
2018-08-16,76.54,131618
2018-08-17,77.0,93141
2018-08-20,77.08,167592
2018-08-21,77.62,219902
2018-08-22,77.09,148057
2018-08-23,73.48,496025
2018-08-24,74.32,226603
2018-08-27,75.63,272514
2018-08-28,75.27,231126
2018-08-29,76.17,174060
2018-08-30,74.9,233639
2018-08-31,75.55,457356
2018-09-04,76.21,239083
2018-09-05,75.71,112361
2018-09-06,74.36,158426
2018-09-07,74.49,198462
2018-09-10,74.75,258213
2018-09-11,75.09,108051
2018-09-12,75.41,276601
2018-09-13,77.0,386512
2018-09-14,77.69,267299
2018-09-17,77.81,273805
2018-09-18,77.29,286129
2018-09-19,75.3,283220
2018-09-20,75.89,245639
2018-09-21,74.13,562704
2018-09-24,75.07,443290
2018-09-25,76.88,209613
2018-09-26,76.04,252249
2018-09-27,77.79,426923
2018-09-28,78.33,330743
2018-10-01,78.17,271900
2018-10-02,75.39,403364
2018-10-03,75.84,367620
2018-10-04,74.59,399629
2018-10-05,72.91,385938
2018-10-08,72.83,207985
2018-10-09,70.67,521193
2018-10-10,66.61,711939
2018-10-11,64.72,561343
2018-10-12,65.07,344916
2018-10-15,66.63,551723
2018-10-16,68.46,502230
2018-10-17,67.51,412749
2018-10-18,68.25,997265
2018-10-19,69.78,884858
2018-10-22,70.78,717220
2018-10-23,69.16,627351
2018-10-24,65.17,497704
2018-10-25,65.9,317463
2018-10-26,66.55,269951
2018-10-29,64.89,233138
2018-10-30,67.56,263862
2018-10-31,68.05,442199
2018-11-01,69.48,284334
2018-11-02,70.73,348803
2018-11-05,70.46,334074
2018-11-06,71.41,281268
2018-11-07,72.51,246189
2018-11-08,72.04,303703
2018-11-09,69.79,178295
2018-11-12,67.67,172009
2018-11-13,66.83,275523
2018-11-14,65.41,251226
2018-11-15,66.42,375833
2018-11-16,66.56,257929
2018-11-19,64.06,212353
2018-11-20,60.81,308101
2018-11-21,62.36,285757
2018-11-23,62.17,72825
2018-11-26,62.7,256946
2018-11-27,60.61,152738
2018-11-28,61.41,462666
2018-11-29,61.68,315310
2018-11-30,63.56,284391
2018-12-03,67.85,638546
2018-12-04,62.69,375576
2018-12-06,60.89,379115
2018-12-07,60.27,293345
2018-12-10,60.52,365299
2018-12-11,61.07,197310
2018-12-12,61.9,400722
2018-12-13,60.96,487337
2018-12-14,61.26,426556
2018-12-17,59.24,341484
2018-12-18,60.41,244933
2018-12-19,58.66,316058
2018-12-20,59.9,528243
2018-12-21,61.36,855001
2018-12-24,58.6,182567
2018-12-26,62.68,235943
2018-12-27,64.17,393665
2018-12-28,64.87,335277
2018-12-31,65.03,352909
2019-01-02,65.95,262654
2019-01-03,63.64,309297
2019-01-04,66.86,335850
2019-01-07,67.26,363247
2019-01-08,67.87,385908
2019-01-09,69.62,309289
2019-01-10,69.94,232118
2019-01-11,69.09,487274
2019-01-14,69.7,246330
2019-01-15,68.57,308210
2019-01-16,70.03,310851
2019-01-17,71.03,195302
2019-01-18,73.26,490536
2019-01-22,72.97,456108
2019-01-23,72.62,297372
2019-01-24,72.77,188747
2019-01-25,72.65,246734
2019-01-28,71.4,449265
2019-01-29,72.48,195948
2019-01-30,73.78,236473
2019-01-31,74.7,261648
2019-02-01,75.11,382805
2019-02-04,76.74,236586
2019-02-05,76.03,175924
2019-02-06,76.27,180678
2019-02-07,75.02,275426
2019-02-08,76.2,261870
2019-02-11,80.15,878522
2019-02-12,81.48,452864
2019-02-13,82.45,638337
2019-02-14,85.84,1296808
2019-02-15,88.16,774541
2019-02-19,84.62,622124
2019-02-20,85.2,476575
2019-02-21,85.94,750837
2019-02-22,87.99,382388
2019-02-25,87.6,371275
2019-02-26,87.41,232775
2019-02-27,87.61,250538
2019-02-28,88.28,362528
2019-03-01,88.98,323661
2019-03-04,87.4,230125
2019-03-05,87.29,174752
2019-03-06,86.11,214716
2019-03-07,86.74,227733
2019-03-08,86.7,201329
2019-03-11,88.65,217724
2019-03-12,89.4,264132
2019-03-13,90.03,415314
2019-03-14,89.04,264554
2019-03-15,90.85,507474
2019-03-18,92.92,238536
2019-03-19,92.92,318053
2019-03-20,92.37,273451
2019-03-21,94.46,385979
2019-03-22,88.73,640723
2019-03-25,88.18,367802
2019-03-26,90.66,222647
2019-03-27,89.66,177952
2019-03-28,90.0,295240
2019-03-29,90.52,491209
2019-04-01,90.72,302523
2019-04-02,88.0,354187
