date,close,volume
2018-04-25,107.06,33990
2018-04-26,107.91,39652
2018-04-27,108.45,33402
2018-04-30,108.36,48312
2018-05-01,108.58,41730
2018-05-02,108.4,29803
2018-05-03,107.79,227581
2018-05-04,108.92,74757
2018-05-07,109.14,58769
2018-05-08,110.47,56354
2018-05-09,111.06,47585
2018-05-10,112.98,140523
2018-05-11,112.78,26120
2018-05-14,113.8,115153
2018-05-15,111.91,56275
2018-05-16,114.19,45606
2018-05-17,112.62,72659
2018-05-18,112.2,33722
2018-05-21,112.96,29160
2018-05-22,112.57,44127
2018-05-23,112.28,30509
2018-05-24,111.88,25725
2018-05-25,112.09,27191
2018-05-29,110.27,43362
2018-05-30,110.7,13666
2018-05-31,111.33,42223
2018-06-01,113.46,142112
2018-06-04,115.08,41834
2018-06-05,115.45,53506
2018-06-06,116.82,29566
2018-06-07,115.69,38879
2018-06-08,115.43,56088
2018-06-11,115.4,44014
2018-06-12,115.83,67788
2018-06-13,114.45,69642
2018-06-14,114.62,21621
2018-06-15,113.37,60646
2018-06-18,112.21,37949
2018-06-19,110.16,47947
2018-06-20,110.07,43878
2018-06-21,107.82,35859
2018-06-22,108.85,34456
2018-06-25,105.82,61923
2018-06-26,105.53,47072
2018-06-27,102.28,129753
2018-06-28,103.22,58710
2018-06-29,104.78,56088
2018-07-02,103.16,61782
2018-07-03,102.96,42283
2018-07-05,102.27,46857
2018-07-06,103.68,53018
2018-07-09,105.78,34486
2018-07-10,104.53,49207
2018-07-11,102.83,45598
2018-07-12,104.67,32218
2018-07-13,104.62,27266
2018-07-16,103.83,26757
2018-07-17,103.93,33958
2018-07-18,103.66,45423
2018-07-19,101.82,55899
2018-07-20,102.94,50524
2018-07-23,102.56,20156
2018-07-24,104.59,58198
2018-07-25,106.3,95851
2018-07-26,104.42,40429
2018-07-27,103.93,24507
2018-07-30,102.82,27539
2018-07-31,103.16,30549
2018-08-01,101.36,52414
2018-08-02,99.99,289622
2018-08-03,99.74,61240
2018-08-06,99.03,266441
2018-08-07,100.83,39029
2018-08-08,100.2,40918
2018-08-09,101.33,22704
2018-08-10,100.55,22652
2018-08-13,98.86,66179
2018-08-14,97.67,96613
2018-08-15,94.06,82319
2018-08-16,95.1,58369
2018-08-17,96.23,42031
2018-08-20,97.02,51130
2018-08-21,98.71,93595
2018-08-22,99.24,20307
2018-08-23,97.56,52430
2018-08-24,98.86,35497
2018-08-27,100.95,41623
2018-08-28,100.36,40192
2018-08-29,101.1,51077
2018-08-30,97.98,49043
2018-08-31,98.26,33601
2018-09-04,97.02,68554
2018-09-05,94.44,43438
2018-09-06,94.2,129589
2018-09-07,93.72,52730
2018-09-10,92.2,78734
2018-09-11,91.78,160486
2018-09-12,92.57,67948
2018-09-13,94.77,83808
2018-09-14,94.0,83730
2018-09-17,92.71,115523
2018-09-18,93.84,140512
2018-09-19,96.04,250660
2018-09-20,97.01,55954
2018-09-21,97.8,52624
2018-09-24,96.37,126587
2018-09-25,96.87,40475
2018-09-26,97.21,260406
2018-09-27,97.25,107776
2018-09-28,96.67,64471
2018-10-01,96.75,23145
2018-10-02,94.48,42006
2018-10-03,94.19,44328
2018-10-04,91.9,50745
2018-10-05,91.57,49591
2018-10-08,90.52,71398
2018-10-09,89.55,76538
2018-10-10,86.5,108639
2018-10-11,86.18,132960
2018-10-12,88.83,120520
2018-10-15,87.31,42447
2018-10-16,88.91,75950
2018-10-17,87.76,50196
2018-10-18,85.22,74922
2018-10-19,86.5,46869
2018-10-22,89.28,64503
2018-10-23,87.51,63002
2018-10-24,84.43,109559
2018-10-25,86.36,41689
2018-10-26,84.9,70741
2018-10-29,82.62,70238
2018-10-30,83.9,58632
2018-10-31,86.15,83305
2018-11-01,90.48,80452
2018-11-02,90.53,74111
2018-11-05,90.25,61693
2018-11-06,90.41,30955
2018-11-07,92.54,85473
2018-11-08,89.82,58058
2018-11-09,87.45,64219
2018-11-12,86.32,21494
2018-11-13,88.36,57142
2018-11-14,89.26,100492
2018-11-15,91.23,77286
2018-11-16,91.2,76120
2018-11-19,89.32,80117
2018-11-20,87.59,137519
2018-11-21,89.61,65292
2018-11-23,88.75,47068
