date,close,volume
2018-04-25,22.86,1093179
2018-04-26,22.53,1101026
2018-04-27,22.57,664432
2018-04-30,23.25,1376379
2018-05-01,23.19,1147355
2018-05-02,24.0,1306784
2018-05-03,26.04,2243371
2018-05-04,27.5,2052301
2018-05-07,26.62,1709166
2018-05-08,24.98,4553999
2018-05-09,26.01,3930855
2018-05-10,26.45,1125941
2018-05-11,26.81,865281
2018-05-14,26.5,701435
2018-05-15,26.65,704384
2018-05-16,27.19,1221504
2018-05-17,27.85,1008428
2018-05-18,27.24,582093
2018-05-21,27.81,741261
2018-05-22,26.85,1139634
2018-05-23,26.5,759000
2018-05-24,26.23,1052712
2018-05-25,26.23,1948170
2018-05-29,25.7,901638
2018-05-30,26.75,801882
2018-05-31,27.17,938198
2018-06-01,28.38,1001531
2018-06-04,28.45,755119
2018-06-05,30.0,1102148
2018-06-06,30.27,1427881
2018-06-07,29.81,1232966
2018-06-08,29.08,1669804
2018-06-11,29.42,1282160
2018-06-12,29.0,4134472
2018-06-13,27.98,1407651
2018-06-14,27.54,1929792
2018-06-15,25.67,3187647
2018-06-18,25.95,1173455
2018-06-19,25.05,2160072
2018-06-20,25.79,1304428
2018-06-21,25.11,1037517
2018-06-22,25.27,1900109
2018-06-25,24.99,1848800
2018-06-26,25.72,1082412
2018-06-27,26.25,1282107
2018-06-28,26.44,784123
2018-06-29,27.57,1512919
2018-07-02,25.92,1912272
2018-07-03,26.71,786885
2018-07-05,27.3,1130755
2018-07-06,27.54,1090576
2018-07-09,28.46,1397450
2018-07-10,28.06,1178182
2018-07-11,26.95,1080626
2018-07-12,26.41,1432905
2018-07-13,25.57,1958328
2018-07-16,25.72,1175631
2018-07-17,26.54,1724841
2018-07-18,27.32,663416
2018-07-19,26.49,816832
2018-07-20,26.78,943608
2018-07-23,27.47,878173
2018-07-24,28.24,1540822
2018-07-25,28.12,846193
2018-07-26,27.4,815458
2018-07-27,27.24,578570
2018-07-30,25.93,829116
2018-07-31,25.87,1291769
2018-08-01,26.56,925234
2018-08-02,24.96,1976857
2018-08-03,25.01,797880
2018-08-06,24.93,938510
2018-08-07,25.89,1159339
2018-08-08,25.58,829205
2018-08-09,25.04,883386
2018-08-10,25.1,458744
