date,close,volume
2018-04-25,5.02,177939
2018-04-26,5.03,98658
2018-04-27,5.07,88262
2018-04-30,5.1,105650
2018-05-01,5.17,90631
2018-05-02,6.96,3635863
2018-05-03,6.85,538771
2018-05-04,6.81,409017
2018-05-07,6.67,467375
2018-05-08,6.56,320799
2018-05-09,6.53,192883
2018-05-10,6.36,339255
2018-05-11,6.37,395992
2018-05-14,6.23,538188
2018-05-15,6.25,327032
2018-05-16,6.08,368463
2018-05-17,6.08,274834
2018-05-18,6.22,289473
2018-05-21,6.29,138676
2018-05-22,6.23,115294
2018-05-23,6.18,162924
2018-05-24,6.22,128897
2018-05-25,6.13,265713
2018-05-29,6.17,191048
2018-05-30,6.26,271901
2018-05-31,6.15,196450
2018-06-01,6.16,135835
2018-06-04,6.27,164911
2018-06-05,6.21,108304
2018-06-06,6.14,100514
2018-06-07,6.2,218804
2018-06-08,6.32,171625
2018-06-11,6.35,270228
2018-06-12,6.3,274485
2018-06-13,6.26,184649
2018-06-14,6.1,224481
2018-06-15,6.16,263119
2018-06-18,6.09,283920
2018-06-19,5.88,478008
2018-06-20,5.82,279930
2018-06-21,5.75,430962
2018-06-22,5.87,540306
2018-06-25,6.02,169172
2018-06-26,5.94,188410
2018-06-27,5.83,128688
2018-06-28,6.03,255150
2018-06-29,5.85,158412
2018-07-02,5.84,114282
2018-07-03,5.93,101120
2018-07-05,5.77,157720
2018-07-06,5.79,99726
2018-07-09,5.7,224716
2018-07-10,5.61,179699
2018-07-11,5.59,173870
2018-07-12,5.73,217936
2018-07-13,5.8,47043
2018-07-16,5.73,57613
2018-07-17,5.82,52820
2018-07-18,5.86,84623
2018-07-19,6.1,204323
2018-07-20,6.06,233000
2018-07-23,6.06,191250
2018-07-24,6.05,80228
2018-07-25,5.89,139830
2018-07-26,5.99,83765
2018-07-27,5.84,133785
2018-07-30,5.72,78319
2018-07-31,5.78,122798
2018-08-01,5.73,130472
2018-08-02,5.66,112157
2018-08-03,5.63,97816
2018-08-06,5.64,157661
2018-08-07,5.74,209731
2018-08-08,5.8,179113
2018-08-09,6.04,408715
2018-08-10,5.89,126057
2018-08-13,5.95,122219
2018-08-14,6.07,223503
2018-08-15,6.05,196444
2018-08-16,6.26,218224
2018-08-17,6.26,143059
2018-08-20,6.29,141241
2018-08-21,6.5,222921
2018-08-22,6.25,325216
2018-08-23,6.36,118666
2018-08-24,6.37,63586
2018-08-27,6.26,116269
2018-08-28,6.25,80478
2018-08-29,6.32,55763
2018-08-30,6.26,67641
2018-08-31,6.27,115439
2018-09-04,6.28,195355
2018-09-05,6.15,113803
2018-09-06,6.12,58377
2018-09-07,6.12,122251
2018-09-10,6.05,86031
2018-09-11,6.08,85107
2018-09-12,6.07,132778
2018-09-13,6.0,238286
2018-09-14,6.03,89883
2018-09-17,5.88,157823
2018-09-18,5.9,70446
2018-09-19,5.87,76155
2018-09-20,5.87,72148
2018-09-21,5.93,294480
2018-09-24,6.03,113320
2018-09-25,6.13,43144
2018-09-26,6.15,105857
2018-09-27,6.22,108875
2018-09-28,6.12,77547
2018-10-01,6.1,114203
2018-10-02,5.89,199465
2018-10-03,5.88,93932
2018-10-04,5.61,368692
2018-10-05,5.68,193834
2018-10-08,5.65,76615
2018-10-09,5.65,95936
2018-10-10,5.75,277748
2018-10-11,5.65,188177
2018-10-12,5.66,148553
2018-10-15,5.47,193307
2018-10-16,5.47,187245
2018-10-17,5.46,123681
2018-10-18,5.34,195002
2018-10-19,5.33,126590
2018-10-22,5.47,439098
2018-10-23,5.45,106644
2018-10-24,5.31,95624
2018-10-25,5.32,151959
2018-10-26,5.23,247717
2018-10-29,5.32,189008
2018-10-30,5.38,92136
2018-10-31,5.2,128134
2018-11-01,5.15,175293
2018-11-02,5.27,116931
2018-11-05,5.24,93246
2018-11-06,5.33,86060
2018-11-07,5.38,354114
2018-11-08,5.13,369244
2018-11-09,4.96,271606
2018-11-12,5.04,405910
2018-11-13,3.65,3642497
2018-11-14,3.53,1785792
2018-11-15,3.35,1729990
2018-11-16,3.22,733527
2018-11-19,3.23,931056
2018-11-20,3.09,935831
2018-11-21,3.05,498813
2018-11-23,3.11,307955
2018-11-26,3.16,2350739
2018-11-27,3.09,1032330
2018-11-28,3.15,806220
2018-11-29,3.18,417797
2018-11-30,3.16,404149
2018-12-03,3.25,387629
2018-12-04,3.09,755356
2018-12-06,2.98,644936
2018-12-07,3.03,331295
2018-12-10,3.02,317836
2018-12-11,3.05,336557
2018-12-12,3.25,1174621
2018-12-13,3.3,602247
2018-12-14,3.21,651101
2018-12-17,3.1,483424
2018-12-18,3.03,526683
2018-12-19,2.71,1148996
2018-12-20,2.5,946767
2018-12-21,2.55,1030005
2018-12-24,2.49,234563
2018-12-26,2.54,809218
2018-12-27,2.47,301576
2018-12-28,2.61,689472
2018-12-31,2.64,408667
2019-01-02,2.67,288075
2019-01-03,2.67,252153
2019-01-04,2.91,397030
2019-01-07,3.09,434944
2019-01-08,3.14,376660
2019-01-09,3.24,332390
2019-01-10,3.16,231768
2019-01-11,3.25,417067
