date,close,volume
2018-08-15,5.65,0
2018-08-16,5.65,0
2018-08-17,5.65,0
2018-08-20,5.65,0
2018-08-21,5.65,0
2018-08-22,5.65,0
2018-08-23,5.65,0
2018-08-24,5.65,0
2018-08-27,5.65,0
2018-08-28,5.65,0
2018-08-29,5.65,0
2018-08-30,5.65,0
2018-08-31,5.65,0
2018-09-04,5.65,0
2018-09-05,5.65,0
2018-09-06,5.65,0
2018-09-07,5.65,0
2018-09-10,5.65,0
2018-09-11,5.65,0
2018-09-12,5.65,0
2018-09-13,5.65,0
2018-09-14,5.65,0
2018-09-17,5.65,0
2018-09-18,5.65,0
2018-09-19,5.65,0
2018-09-20,5.65,0
2018-09-21,5.65,0
2018-09-24,5.65,0
2018-09-25,5.65,0
2018-09-26,5.65,0
2018-09-27,5.65,0
2018-09-28,5.65,0
2018-10-01,5.65,0
2018-10-02,5.65,0
2018-10-03,5.65,0
2018-10-04,5.65,0
2018-10-05,5.65,0
2018-10-08,5.65,0
2018-10-09,5.65,0
2018-10-10,5.65,0
2018-10-11,5.65,0
2018-10-12,5.65,0
2018-10-15,5.65,0
2018-10-16,5.65,0
2018-10-17,5.65,0
2018-10-18,4.09,34348
2018-10-19,3.91,97623
2018-10-22,3.9,76289
2018-10-23,3.49,493160
2018-10-24,3.3,381335
2018-10-25,3.18,78539
2018-10-26,3.0,202160
2018-10-29,2.73,219966
2018-10-30,2.92,160425
2018-10-31,2.82,101312
2018-11-01,2.96,97574
2018-11-02,3.03,54965
2018-11-05,3.03,208673
2018-11-06,3.06,42812
2018-11-07,3.21,141258
2018-11-08,3.19,97401
2018-11-09,3.12,168251
2018-11-12,3.15,80409
2018-11-13,3.19,246012
2018-11-14,3.1,61606
2018-11-15,3.19,357109
2018-11-16,3.04,145895
2018-11-19,3.15,185754
2018-11-20,3.0,258470
2018-11-21,3.04,87418
2018-11-23,3.12,18015
2018-11-26,3.15,81443
2018-11-27,3.19,97205
2018-11-28,3.2,84488
2018-11-29,3.22,78287
2018-11-30,3.27,72334
2018-12-03,3.24,65574
2018-12-04,3.18,79775
2018-12-06,3.07,45727
2018-12-07,3.14,85825
2018-12-10,3.02,95597
2018-12-11,3.05,170419
2018-12-12,3.09,277807
2018-12-13,2.98,1038128
2018-12-14,3.0,38968
2018-12-17,3.23,679017
2018-12-18,3.49,437096
2018-12-19,3.9,489085
2018-12-20,3.93,536531
2018-12-21,3.39,1038615
2018-12-24,3.06,115171
2018-12-26,2.96,181220
2018-12-27,2.76,191495
2018-12-28,2.79,215494
2018-12-31,3.08,256588
2019-01-02,3.11,105823
2019-01-03,3.03,136824
2019-01-04,3.15,77526
2019-01-07,3.24,65377
