date,close,volume
2018-04-25,3.9,3014628
2018-04-26,3.86,3687827
2018-04-27,3.85,3257541
2018-04-30,3.83,6333634
2018-05-01,3.85,2783889
2018-05-02,3.87,4529786
2018-05-03,3.87,2302713
2018-05-04,3.93,2059081
2018-05-07,3.96,2525724
2018-05-08,3.97,3323784
2018-05-09,3.95,3006106
2018-05-10,3.96,5881132
2018-05-11,3.93,2498845
2018-05-14,3.92,2544602
2018-05-15,3.91,3578923
2018-05-16,3.9,2641043
2018-05-17,3.95,3379101
2018-05-18,3.96,4129195
2018-05-21,3.98,3009301
2018-05-22,3.93,3592938
2018-05-23,3.96,3059736
2018-05-24,3.97,3918160
2018-05-25,3.96,3551697
2018-05-29,3.89,6213965
2018-05-30,3.89,3809776
2018-05-31,3.76,4093521
2018-06-01,3.71,3291000
2018-06-04,3.61,3060090
2018-06-05,3.73,5287698
2018-06-06,3.78,3694163
2018-06-07,3.78,5277417
2018-06-08,3.74,2360404
2018-06-11,3.82,4669333
2018-06-12,3.93,3646627
2018-06-13,3.92,2693625
2018-06-14,3.91,3087234
2018-06-15,3.84,7862419
2018-06-18,3.85,1991607
2018-06-19,3.83,2172382
2018-06-20,3.83,1720865
2018-06-21,3.83,2140139
2018-06-22,3.87,3316061
2018-06-25,3.7,3988524
2018-06-26,3.67,3161493
2018-06-27,3.53,4051825
2018-06-28,3.44,4181598
2018-06-29,3.48,3484898
2018-07-02,3.47,2749368
2018-07-03,3.56,2038303
2018-07-05,3.64,2747513
2018-07-06,3.73,2642802
2018-07-09,3.67,2897779
2018-07-10,3.63,2162187
2018-07-11,3.42,4689184
2018-07-12,3.49,1742738
2018-07-13,3.46,2221087
2018-07-16,3.43,2976425
2018-07-17,3.36,4627541
2018-07-18,3.45,10633133
2018-07-19,3.24,10986499
2018-07-20,3.22,8118664
2018-07-23,3.39,8529569
2018-07-24,3.45,6279167
2018-07-25,3.53,3572687
2018-07-26,3.24,14278751
2018-07-27,3.15,8989225
2018-07-30,3.13,5665756
2018-07-31,3.2,6483073
2018-08-01,3.09,4465638
2018-08-02,2.99,4633202
2018-08-03,3.06,5572832
2018-08-06,3.01,2845451
2018-08-07,2.92,2943841
2018-08-08,2.87,4796135
2018-08-09,3.11,6443638
2018-08-10,3.03,3788201
2018-08-13,2.95,4968967
2018-08-14,2.85,4086578
2018-08-15,2.69,10158791
2018-08-16,2.63,7630885
2018-08-17,2.74,7262960
2018-08-20,2.7,4293115
2018-08-21,2.8,3246388
2018-08-22,2.86,2627097
2018-08-23,2.69,4783131
2018-08-24,2.88,6026296
2018-08-27,2.99,4123922
2018-08-28,2.83,5311149
2018-08-29,2.87,2902917
2018-08-30,2.8,4648629
2018-08-31,2.84,2955832
2018-09-04,2.76,8491753
2018-09-05,2.81,4322438
2018-09-06,2.77,5551031
2018-09-07,2.71,4083239
2018-09-10,2.71,4234373
2018-09-11,2.7,4521852
2018-09-12,2.94,8013578
2018-09-13,2.85,4130005
2018-09-14,2.83,3464304
2018-09-17,3.0,10052176
2018-09-18,2.99,5729061
2018-09-19,3.04,8563364
2018-09-20,3.04,6841173
2018-09-21,2.98,17180325
2018-09-24,2.95,5976376
2018-09-25,2.94,5038468
2018-09-26,2.86,4343295
2018-09-27,2.71,5199017
2018-09-28,2.79,4878983
2018-10-01,2.8,2571967
2018-10-02,2.92,5399509
2018-10-03,2.93,3212705
2018-10-04,2.9,4376962
2018-10-05,2.88,3168525
2018-10-08,2.85,4669533
2018-10-09,2.83,4675305
2018-10-10,2.79,5802225
2018-10-11,2.96,7085544
2018-10-12,2.9,5796325
2018-10-15,2.92,5227480
2018-10-16,2.99,7786041
2018-10-17,3.04,5326368
2018-10-18,2.89,4219261
2018-10-19,2.93,4495599
2018-10-22,2.85,3267513
2018-10-23,2.74,6763214
2018-10-24,2.64,5188550
2018-10-25,2.45,9750867
2018-10-26,2.45,8224124
2018-10-29,2.43,5696068
2018-10-30,2.46,4595060
2018-10-31,2.4,5506497
2018-11-01,2.56,5597508
2018-11-02,2.58,4426331
2018-11-05,2.59,3179130
2018-11-06,2.49,4856956
2018-11-07,2.43,4627656
2018-11-08,2.45,4731553
2018-11-09,2.43,4944278
2018-11-12,2.32,6770384
2018-11-13,2.22,7324306
2018-11-14,2.33,8509032
2018-11-15,2.51,5366598
2018-11-16,2.58,9069233
2018-11-19,2.57,4206979
2018-11-20,2.47,6321067
2018-11-21,2.59,3231951
2018-11-23,2.55,2703287
2018-11-26,2.46,4197721
2018-11-27,2.42,3806757
2018-11-28,2.59,5532257
2018-11-29,2.42,5487915
2018-11-30,2.38,4852023
2018-12-03,2.46,5143139
2018-12-04,2.37,6530115
2018-12-06,2.34,6131619
2018-12-07,2.41,5590314
2018-12-10,2.36,3903402
2018-12-11,2.32,4104790
2018-12-12,2.36,3836627
2018-12-13,2.36,2754415
2018-12-14,2.3,2950357
2018-12-17,2.45,5906007
2018-12-18,2.54,5795876
2018-12-19,2.36,7083619
2018-12-20,2.44,7459598
2018-12-21,2.41,13763004
2018-12-24,2.33,3851639
2018-12-26,2.42,7365531
2018-12-27,2.35,7032332
2018-12-28,2.33,5479699
2018-12-31,2.36,4270714
2019-01-02,2.47,5504877
2019-01-03,2.52,4757865
2019-01-04,2.58,5586348
2019-01-07,2.55,4555986
2019-01-08,2.78,9601745
2019-01-09,2.93,6078876
2019-01-10,2.79,5111223
2019-01-11,2.71,3883641
2019-01-14,2.74,3884780
2019-01-15,2.48,7573874
2019-01-16,2.51,6076152
2019-01-17,2.46,5674038
2019-01-18,2.41,6087931
2019-01-22,2.36,5400666
2019-01-23,2.33,2936566
2019-01-24,2.36,2906266
2019-01-25,2.49,4662159
2019-01-28,2.49,2669141
2019-01-29,2.59,3639096
2019-01-30,2.58,5833012
2019-01-31,2.7,6626212
2019-02-01,2.64,4237138
2019-02-04,2.61,3294338
2019-02-05,2.7,3128941
2019-02-06,2.62,3426258
2019-02-07,2.57,3752476
2019-02-08,2.63,2373882
2019-02-11,2.58,1901560
2019-02-12,2.54,4682458
2019-02-13,2.55,2901779
2019-02-14,2.58,3337694
2019-02-15,2.69,4320784
2019-02-19,2.92,9575308
2019-02-20,2.93,12936687
2019-02-21,2.74,7343929
2019-02-22,2.59,5594197
2019-02-25,2.57,6417684
2019-02-26,2.62,4081927
2019-02-27,2.41,11241332
2019-02-28,2.4,2780124
2019-03-01,2.29,12599839
2019-03-04,2.3,9031899
2019-03-05,2.35,6133302
2019-03-06,2.23,7555970
2019-03-07,2.24,5078705
2019-03-08,2.3,6398063
2019-03-11,2.3,4588382
2019-03-12,2.38,4453501
2019-03-13,2.42,4335035
2019-03-14,2.33,3059970
2019-03-15,2.47,15657593
2019-03-18,2.4,5868205
2019-03-19,2.4,4757892
2019-03-20,2.46,5617044
2019-03-21,2.46,6003664
2019-03-22,2.43,4235836
2019-03-25,2.45,5181317
2019-03-26,2.46,2941006
2019-03-27,2.42,2028349
2019-03-28,2.34,4264034
2019-03-29,2.3,3584599
2019-04-01,2.23,5810992
2019-04-02,2.23,3410481
2019-04-03,2.3,6186862
2019-04-04,2.4,3837925
2019-04-05,2.4,2780667
2019-04-08,2.45,5134750
2019-04-09,2.4,4260295
2019-04-10,2.37,4201453
2019-04-11,2.29,4930302
2019-04-12,2.23,8273122
2019-04-15,2.27,4517185
2019-04-16,2.29,4749324
2019-04-17,2.3,2704650
2019-04-18,2.15,8226368
2019-04-22,2.09,6890897
2019-04-23,2.09,7578785
2019-04-24,2.1,4782935
2019-04-25,2.03,5911068
2019-04-26,2.17,6246056
2019-04-29,2.16,3731708
2019-04-30,2.1,4754015
2019-05-01,2.08,4945663
2019-05-02,1.99,10513683
2019-05-03,2.05,4703830
2019-05-06,2.01,3193650
2019-05-07,2.1,6121180
2019-05-08,2.04,5913782
2019-05-09,1.77,15416258
2019-05-10,1.56,17520765
2019-05-13,1.58,9459679
2019-05-14,1.55,6546511
2019-05-15,1.57,5344904
2019-05-16,1.51,6680107
2019-05-17,1.52,6873179
2019-05-20,1.4,6676284
2019-05-21,1.45,7029619
2019-05-22,1.39,3493213
2019-05-23,1.38,5087323
2019-05-24,1.39,7025036
2019-05-28,1.26,10260625
2019-05-29,1.32,5596719
2019-05-30,1.29,6658152
2019-05-31,1.31,8752469
2019-06-03,1.48,10271094
2019-06-04,1.51,9012081
2019-06-05,1.44,9280219
2019-06-06,1.44,5808259
2019-06-07,1.47,6147082
2019-06-10,1.45,6932090
2019-06-11,1.52,5132154
2019-06-12,1.54,4021383
2019-06-13,1.63,5823752
2019-06-14,1.58,7124648
2019-06-17,1.68,7139839
2019-06-18,1.71,7920780
2019-06-19,1.71,8481174
2019-06-20,1.84,14978050
2019-06-21,1.84,23301502
2019-06-24,1.77,13863292
2019-06-25,1.75,9611602
2019-06-26,1.79,7070781
2019-06-27,1.78,5483262
2019-06-28,1.8,9629614
2019-07-01,1.68,6356801
2019-07-02,1.73,6042170
2019-07-03,1.74,4012218
2019-07-05,1.72,4197059
2019-07-08,1.64,6500422
2019-07-09,1.67,3784475
2019-07-10,1.74,5237401
2019-07-11,1.72,7356852
2019-07-12,1.73,3375645
2019-07-15,1.73,3112877
2019-07-16,1.76,8509664
2019-07-17,1.96,22637179
2019-07-18,2.01,17534519
2019-07-19,1.89,16063931
2019-07-22,1.96,9941316
2019-07-23,1.94,7791439
2019-07-24,2.01,9446002
2019-07-25,1.84,9686417
2019-07-26,1.88,5979750
2019-07-29,1.91,6552773
2019-07-30,1.95,7425838
2019-07-31,1.85,10928000
2019-08-01,1.9,6274287
2019-08-02,1.89,5368387
2019-08-05,2.01,13160371
2019-08-06,2.0,9923889
2019-08-07,1.67,21237214
2019-08-08,1.71,12195374
2019-08-09,1.57,12811107
2019-08-12,1.6,6768103
2019-08-13,1.54,9867965
2019-08-14,1.44,11958240
2019-08-15,1.46,10354480
2019-08-16,1.45,6187335
2019-08-19,1.52,8776766
2019-08-20,1.57,6973813
2019-08-21,1.62,5558889
2019-08-22,1.58,9186500
2019-08-23,1.67,7985166
2019-08-26,1.66,6338469
2019-08-27,1.78,9412707
2019-08-28,1.84,10860936
2019-08-29,1.76,11654155
2019-08-30,1.78,6040406
2019-09-03,1.89,9666989
2019-09-04,1.94,14222756
2019-09-05,1.81,14406965
2019-09-06,1.8,13019314
2019-09-09,1.75,9544450
2019-09-10,1.93,8865043
2019-09-11,2.0,9216679
2019-09-12,1.9,12131657
2019-09-13,1.81,9171038
2019-09-16,1.96,10565564
2019-09-17,1.96,5714031
2019-09-18,1.89,9890246
2019-09-19,1.88,5407455
2019-09-20,1.98,9584034
2019-09-23,2.06,13108672
2019-09-24,2.07,10401196
2019-09-25,2.0,8574706
2019-09-26,1.91,11062938
2019-09-27,1.94,6702747
2019-09-30,1.76,8912697
2019-10-01,1.84,6251013
2019-10-02,1.93,8791961
2019-10-03,1.89,6613870
2019-10-04,1.92,4398739
2019-10-07,1.93,4785518
2019-10-08,2.01,10094241
2019-10-09,1.97,8263679
2019-10-10,1.99,9034458
2019-10-11,1.91,7833831
2019-10-14,1.88,4256903
2019-10-15,1.82,6067395
2019-10-16,1.86,5091737
2019-10-17,2.0,5468668
2019-10-18,1.99,5301717
2019-10-21,1.96,3692742
2019-10-22,1.99,3593222
2019-10-23,2.0,5745824
2019-10-24,2.01,9127484
2019-10-25,2.1,10335236
2019-10-28,2.11,5174968
2019-10-29,2.14,6913728
2019-10-30,2.21,8687760
2019-10-31,2.3,9617441
2019-11-01,2.33,5261378
2019-11-04,2.32,8636055
2019-11-05,2.3,8972654
2019-11-06,2.37,10406411
2019-11-07,2.23,13167509
2019-11-08,2.31,7849090
2019-11-11,2.44,9214646
2019-11-12,2.42,11060540
2019-11-13,2.43,8842575
2019-11-14,2.4,7673633
2019-11-15,2.39,8946281
2019-11-18,2.45,6740354
2019-11-19,2.45,9336542
2019-11-20,2.47,7782673
2019-11-21,2.37,6994028
2019-11-22,2.33,7398310
2019-11-25,2.35,6475011
2019-11-26,2.4,7062806
2019-11-27,2.39,7726399
2019-11-29,2.47,6599283
2019-12-02,2.53,7620975
2019-12-03,2.75,13662838
2019-12-04,2.77,9388008
2019-12-05,2.92,11025045
2019-12-06,2.78,11968241
2019-12-09,2.77,7661810
2019-12-10,2.8,4943342
2019-12-11,2.86,8136840
2019-12-12,2.95,11225788
2019-12-13,3.05,10785741
2019-12-16,3.09,7947563
2019-12-17,3.02,7197473
2019-12-18,3.14,6835668
2019-12-19,3.04,10080865
2019-12-20,3.0,21168697
2019-12-23,3.26,13632588
2019-12-24,3.38,7375743
2019-12-26,3.4,12579168
2019-12-27,3.31,8940236
2019-12-30,3.38,9954579
2019-12-31,3.39,6370056
2020-01-02,3.42,6844022
2020-01-03,3.35,11769967
2020-01-06,3.31,11499523
2020-01-07,3.41,18265481
