date,close,volume
2018-04-25,99.08,829
2018-04-26,99.08,97
2018-04-27,99.08,20
2018-04-30,99.08,8
2018-05-01,99.08,6
2018-05-02,99.08,107
2018-05-03,99.08,0
2018-05-04,99.08,31
2018-05-07,99.08,68
2018-05-08,99.22,219
2018-05-09,99.22,46
2018-05-10,99.21,150
2018-05-11,99.21,0
2018-05-14,99.21,73
2018-05-15,99.21,49
2018-05-16,99.27,327
2018-05-17,99.27,19
2018-05-18,99.27,32
2018-05-21,99.27,5
2018-05-22,99.29,680
2018-05-23,99.29,47
2018-05-24,99.33,1034
2018-05-25,99.18,6
2018-05-29,99.18,15
2018-05-30,99.18,44
2018-05-31,99.18,10
2018-06-01,99.24,3324
2018-06-04,99.23,250
2018-06-05,99.22,987
2018-06-06,99.22,5
2018-06-07,99.22,0
2018-06-08,99.22,1
2018-06-11,99.22,68
2018-06-12,99.22,0
2018-06-13,99.28,103
2018-06-14,99.28,2038
2018-06-15,99.33,2309
2018-06-18,99.33,2
2018-06-19,99.33,2
2018-06-20,99.36,9504
2018-06-21,99.36,0
2018-06-22,99.36,185
2018-06-25,99.3,5073
2018-06-26,99.21,317
2018-06-27,99.21,16
2018-06-28,99.22,1929
2018-06-29,99.22,84
2018-07-02,99.22,496
2018-07-03,99.22,25
2018-07-05,99.22,86
2018-07-06,99.22,6
2018-07-09,99.22,13
2018-07-10,99.29,179
2018-07-11,99.26,332
2018-07-12,99.26,2
2018-07-13,99.26,16
2018-07-16,99.26,49
2018-07-17,99.26,11
2018-07-18,99.26,106
2018-07-19,99.26,9
2018-07-20,99.26,77
2018-07-23,99.26,8
2018-07-24,99.26,0
2018-07-25,99.39,127
2018-07-26,99.21,306
2018-07-27,99.25,300
2018-07-30,99.3,911
2018-07-31,99.3,162
2018-08-01,99.3,57
2018-08-02,99.31,114
2018-08-03,99.31,198
2018-08-06,99.29,1725
2018-08-07,99.29,4
2018-08-08,99.29,2
2018-08-09,99.37,232
2018-08-10,99.37,197
2018-08-13,99.42,4769
2018-08-14,99.42,0
2018-08-15,99.42,97
2018-08-16,99.4,117
2018-08-17,99.4,110
2018-08-20,99.4,5
2018-08-21,99.4,83
2018-08-22,99.4,18
2018-08-23,99.4,84
2018-08-24,99.4,103
2018-08-27,99.29,267
2018-08-28,99.29,9
2018-08-29,99.29,21
2018-08-30,99.35,100
2018-08-31,99.31,119
2018-09-04,99.36,101
2018-09-05,99.36,10
2018-09-06,99.36,53
2018-09-07,99.38,106
2018-09-10,99.37,1351
2018-09-11,99.4,231
2018-09-12,99.4,208
2018-09-13,99.4,56
2018-09-14,99.41,109
2018-09-17,99.41,1167
2018-09-18,99.45,100296
2018-09-19,99.45,632
2018-09-20,99.45,0
2018-09-21,99.59,2564
2018-09-24,99.45,100
2018-09-25,99.45,0
2018-09-26,99.29,170
2018-09-27,99.29,612
2018-09-28,99.34,123
2018-10-01,99.35,378
2018-10-02,99.4,1912
2018-10-03,99.38,215
2018-10-04,99.38,14185
2018-10-05,99.38,300
2018-10-08,99.4,1202
2018-10-09,99.38,34751
2018-10-10,99.38,9186
2018-10-11,99.44,1584
2018-10-12,99.42,1100
2018-10-15,99.43,433
