date,close,volume
2018-04-25,21.96,211580
2018-04-26,22.15,177020
2018-04-27,22.54,1124018
2018-04-30,22.06,329573
2018-05-01,22.18,359715
2018-05-02,22.12,422751
2018-05-03,21.87,359318
2018-05-04,22.04,495993
2018-05-07,21.75,185961
2018-05-08,21.73,211915
2018-05-09,22.09,215553
2018-05-10,22.43,251806
2018-05-11,21.84,381451
2018-05-14,22.1,385145
2018-05-15,24.95,3360348
2018-05-16,25.0,646423
2018-05-17,24.76,364382
2018-05-18,25.19,528249
2018-05-21,25.35,326031
2018-05-22,25.35,244343
2018-05-23,25.42,202795
2018-05-24,24.94,171178
2018-05-25,25.0,122874
2018-05-29,24.44,239776
2018-05-30,24.31,294659
2018-05-31,23.87,265517
2018-06-01,24.25,237592
2018-06-04,24.14,135925
2018-06-05,23.95,186997
2018-06-06,23.83,205409
2018-06-07,23.49,227367
2018-06-08,23.34,197732
2018-06-11,23.24,199230
2018-06-12,23.63,173466
2018-06-13,24.31,457181
2018-06-14,24.38,379853
2018-06-15,23.15,586628
2018-06-18,23.04,221894
2018-06-19,22.69,338710
2018-06-20,22.74,192857
2018-06-21,22.51,281779
2018-06-22,22.74,243107
2018-06-25,22.21,228861
2018-06-26,22.23,189412
2018-06-27,21.17,263718
2018-06-28,21.83,442298
2018-06-29,22.14,179822
2018-07-02,22.1,221644
2018-07-03,21.61,272780
2018-07-05,21.46,477379
2018-07-06,22.18,160882
2018-07-09,22.16,182222
2018-07-10,21.84,196909
2018-07-11,21.56,137608
2018-07-12,21.65,146487
2018-07-13,21.61,173551
2018-07-16,21.8,280442
2018-07-17,22.05,339477
2018-07-18,22.31,183745
2018-07-19,22.13,227247
2018-07-20,22.49,362165
2018-07-23,22.74,372444
2018-07-24,23.52,556662
2018-07-25,23.62,254522
2018-07-26,23.47,247773
2018-07-27,23.21,226093
2018-07-30,23.2,101351
2018-07-31,23.2,359187
2018-08-01,23.2,129458
2018-08-02,22.92,180810
2018-08-03,22.82,250893
2018-08-06,23.1,106752
2018-08-07,23.37,110328
2018-08-08,23.44,233588
2018-08-09,23.55,214233
2018-08-10,23.45,187921
2018-08-13,23.66,197875
2018-08-14,23.35,357212
2018-08-15,20.75,2853944
2018-08-16,21.11,997126
2018-08-17,21.11,310671
2018-08-20,21.6,397363
2018-08-21,21.14,195868
2018-08-22,21.28,131780
2018-08-23,21.44,136380
2018-08-24,21.43,248100
2018-08-27,21.71,305677
2018-08-28,21.65,176470
2018-08-29,21.84,173270
2018-08-30,21.61,184042
2018-08-31,21.7,132028
2018-09-04,21.11,648731
2018-09-05,20.75,174252
2018-09-06,20.15,458404
2018-09-07,19.86,260325
2018-09-10,19.95,466082
2018-09-11,19.83,288410
2018-09-12,20.14,221936
2018-09-13,20.45,195446
2018-09-14,20.51,420316
2018-09-17,20.56,210366
2018-09-18,20.6,192535
2018-09-19,20.49,234210
2018-09-20,20.73,131799
2018-09-21,20.96,396922
2018-09-24,20.64,87919
2018-09-25,20.97,216829
2018-09-26,20.62,170798
2018-09-27,20.81,105198
2018-09-28,21.37,171941
2018-10-01,21.23,217624
2018-10-02,21.1,148507
2018-10-03,20.6,183338
2018-10-04,20.07,107518
2018-10-05,19.82,246020
2018-10-08,19.96,190677
2018-10-09,19.75,83336
2018-10-10,19.14,169406
2018-10-11,18.41,197679
2018-10-12,18.78,124652
2018-10-15,19.16,223469
2018-10-16,19.47,102556
2018-10-17,19.54,92237
