date,close,volume
2018-04-25,37.8,347280
2018-04-26,37.65,226419
2018-04-27,37.9,220603
2018-04-30,37.65,142433
2018-05-01,37.5,229636
2018-05-02,37.8,197845
2018-05-03,37.3,122437
2018-05-04,37.65,129195
2018-05-07,37.65,203071
2018-05-08,37.55,157523
2018-05-09,38.0,174423
2018-05-10,38.7,231906
2018-05-11,38.6,99224
2018-05-14,37.95,167086
2018-05-15,38.1,118361
2018-05-16,38.55,162802
2018-05-17,38.6,146776
2018-05-18,38.95,106571
2018-05-21,38.9,185920
2018-05-22,38.85,161975
2018-05-23,39.15,188170
2018-05-24,38.85,202029
2018-05-25,38.15,82137
2018-05-29,38.2,201351
2018-05-30,38.4,84258
2018-05-31,37.8,130909
2018-06-01,38.4,158268
2018-06-04,38.65,151757
2018-06-05,38.9,122663
2018-06-06,38.6,71981
2018-06-07,38.2,95302
2018-06-08,38.25,73936
2018-06-11,37.75,59418
2018-06-12,37.55,138329
2018-06-13,37.7,130696
2018-06-14,38.7,122839
2018-06-15,38.35,184164
2018-06-18,37.35,121683
2018-06-19,36.3,188927
2018-06-20,36.9,164810
2018-06-21,37.1,307164
2018-06-22,36.65,790116
2018-06-25,35.8,154774
2018-06-26,36.25,137917
2018-06-27,35.1,95444
2018-06-28,35.55,108565
2018-06-29,35.0,149481
2018-07-02,35.5,211994
2018-07-03,36.1,73289
2018-07-05,36.35,77206
2018-07-06,35.75,41834
2018-07-09,35.95,48747
2018-07-10,35.1,61647
2018-07-11,35.4,101689
2018-07-12,35.4,61686
2018-07-13,35.15,62478
2018-07-16,35.1,67990
2018-07-17,35.4,63295
2018-07-18,36.3,131727
2018-07-19,35.35,69952
2018-07-20,34.8,87176
2018-07-23,35.2,91823
2018-07-24,34.5,169345
2018-07-25,34.85,95231
2018-07-26,35.45,88641
2018-07-27,34.6,124414
2018-07-30,34.2,128539
2018-07-31,40.9,718322
2018-08-01,41.6,279625
2018-08-02,41.8,295253
2018-08-03,41.95,217618
2018-08-06,44.1,178108
2018-08-07,43.6,191904
2018-08-08,43.8,144191
2018-08-09,43.8,96158
2018-08-10,42.4,111364
2018-08-13,41.9,126645
2018-08-14,42.25,194375
2018-08-15,41.8,280228
2018-08-16,41.35,107801
2018-08-17,41.6,298181
2018-08-20,41.85,118096
2018-08-21,43.5,403825
2018-08-22,44.5,219491
2018-08-23,44.25,106067
2018-08-24,44.05,112634
2018-08-27,44.5,98854
2018-08-28,44.05,67730
2018-08-29,43.9,98157
2018-08-30,44.2,134107
2018-08-31,44.2,110378
2018-09-04,44.2,135857
2018-09-05,44.15,84596
2018-09-06,43.1,87562
2018-09-07,41.25,155990
2018-09-10,40.55,173029
2018-09-11,39.05,146211
2018-09-12,38.45,147340
2018-09-13,38.05,150775
2018-09-14,37.15,118526
2018-09-17,36.45,151074
2018-09-18,35.45,102967
2018-09-19,34.65,115056
2018-09-20,35.0,79906
2018-09-21,35.45,206191
2018-09-24,35.0,111934
2018-09-25,34.55,125986
2018-09-26,34.35,250539
2018-09-27,33.8,135047
2018-09-28,33.85,164739
2018-10-01,32.24,184788
2018-10-02,31.34,211083
2018-10-03,31.42,262661
2018-10-04,31.93,169272
2018-10-05,31.2,165924
2018-10-08,31.01,102263
2018-10-09,31.12,403286
2018-10-10,30.76,226467
2018-10-11,29.76,184842
2018-10-12,29.39,154601
2018-10-15,30.05,168475
2018-10-16,30.87,204691
2018-10-17,30.6,97646
2018-10-18,29.22,86722
2018-10-19,28.57,133425
2018-10-22,29.13,118553
2018-10-23,28.86,102765
2018-10-24,28.82,284156
2018-10-25,30.27,222601
2018-10-26,28.99,131602
2018-10-29,29.36,127909
2018-10-30,36.37,518929
2018-10-31,34.51,343786
2018-11-01,34.93,634733
2018-11-02,34.91,151632
2018-11-05,34.12,214930
2018-11-06,36.1,254768
2018-11-07,36.61,156906
2018-11-08,35.93,158307
2018-11-09,35.02,148294
2018-11-12,35.33,151564
2018-11-13,35.32,102295
2018-11-14,35.17,225134
2018-11-15,35.82,103756
2018-11-16,35.75,175385
2018-11-19,36.37,146240
2018-11-20,35.12,234641
2018-11-21,35.15,76746
2018-11-23,35.56,84064
2018-11-26,35.39,138568
2018-11-27,34.38,113810
2018-11-28,35.9,134423
2018-11-29,35.05,76446
2018-11-30,36.66,133134
2018-12-03,35.57,151106
2018-12-04,32.75,116384
2018-12-06,32.5,189480
2018-12-07,31.99,155591
2018-12-10,32.69,147819
2018-12-11,33.37,129975
2018-12-12,34.04,131420
2018-12-13,33.82,155298
2018-12-14,33.53,203024
2018-12-17,32.13,236204
2018-12-18,32.58,130054
2018-12-19,31.23,112417
2018-12-20,31.32,91263
2018-12-21,30.32,381388
2018-12-24,30.01,49884
2018-12-26,30.55,177224
2018-12-27,31.19,117315
2018-12-28,31.06,83725
2018-12-31,31.19,128304
2019-01-02,31.57,78067
2019-01-03,30.98,105398
2019-01-04,31.85,145052
2019-01-07,31.74,276362
2019-01-08,33.45,104146
2019-01-09,33.41,143201
2019-01-10,32.99,55755
2019-01-11,33.44,61067
2019-01-14,33.07,70262
2019-01-15,32.93,94907
2019-01-16,32.61,135596
2019-01-17,33.48,140490
2019-01-18,33.25,120419
2019-01-22,33.13,320316
2019-01-23,32.48,64884
2019-01-24,32.94,93696
2019-01-25,32.53,81231
2019-01-28,32.17,64766
2019-01-29,32.22,39011
2019-01-30,32.49,148285
2019-01-31,33.05,189807
2019-02-01,32.49,108990
2019-02-04,32.82,171622
2019-02-05,32.5,132124
2019-02-06,32.49,151031
2019-02-07,32.34,73005
2019-02-08,31.89,51617
2019-02-11,32.61,60310
2019-02-12,32.83,43872
2019-02-13,33.5,61957
2019-02-14,33.22,118780
2019-02-15,33.68,117057
2019-02-19,34.03,92091
2019-02-20,34.2,102790
2019-02-21,33.4,72288
2019-02-22,33.81,78881
2019-02-25,33.86,283619
2019-02-26,43.13,803842
2019-02-27,43.59,224380
2019-02-28,43.11,361143
2019-03-01,43.27,139522
2019-03-04,42.4,386699
2019-03-05,43.03,171113
2019-03-06,42.15,142871
2019-03-07,41.96,76613
2019-03-08,40.77,95738
2019-03-11,41.8,277961
2019-03-12,40.65,173999
2019-03-13,41.16,185631
2019-03-14,40.69,197116
