date,close,volume
2018-04-25,18.62,1528290
2018-04-26,18.74,1440021
2018-04-27,19.2,1884252
2018-04-30,19.16,2798251
2018-05-01,18.58,3233092
2018-05-02,19.72,3012890
2018-05-03,17.92,4642603
2018-05-04,18.7,2445922
2018-05-07,19.39,5267772
2018-05-08,15.76,18841376
2018-05-09,14.99,13282224
2018-05-10,14.89,6404838
2018-05-11,15.47,5265838
2018-05-14,14.88,4515779
2018-05-15,14.88,2812119
2018-05-16,15.38,3740854
2018-05-17,15.79,3794769
2018-05-18,14.19,10051232
2018-05-21,14.46,5570746
2018-05-22,14.61,3092173
2018-05-23,14.69,1843787
2018-05-24,14.61,1801299
2018-05-25,14.28,3197801
2018-05-29,13.46,6584723
2018-05-30,13.42,5363185
2018-05-31,13.21,3100716
2018-06-01,13.1,4045940
2018-06-04,12.65,6008298
2018-06-05,12.93,3828210
2018-06-06,13.28,3447584
2018-06-07,13.7,3175471
2018-06-08,13.91,2735020
2018-06-11,14.79,6639688
2018-06-12,16.01,9300253
2018-06-13,15.79,5408574
2018-06-14,15.81,3672067
2018-06-15,15.41,3152585
2018-06-18,15.99,3417833
2018-06-19,16.62,3239738
2018-06-20,17.26,3912830
2018-06-21,17.02,4000287
2018-06-22,17.57,3509193
2018-06-25,16.71,3986070
2018-06-26,14.76,7135777
2018-06-27,14.39,5666997
2018-06-28,13.46,5407299
2018-06-29,13.42,4845913
2018-07-02,13.78,3710311
2018-07-03,13.51,2167893
2018-07-05,13.84,2836263
2018-07-06,14.24,3459855
2018-07-09,14.97,3552927
2018-07-10,13.52,8453626
2018-07-11,12.87,7774497
2018-07-12,12.4,5310930
2018-07-13,12.34,5249936
2018-07-16,12.05,4770965
2018-07-17,11.92,4554262
2018-07-18,11.98,4402144
2018-07-19,12.2,4603038
2018-07-20,12.33,5078663
2018-07-23,12.29,3846353
2018-07-24,12.23,3037687
2018-07-25,12.52,3256969
2018-07-26,12.59,3625747
2018-07-27,12.22,3898302
2018-07-30,12.93,7130459
2018-07-31,13.33,3981900
2018-08-01,13.25,3622741
2018-08-02,13.36,2671547
2018-08-03,13.92,5676237
2018-08-06,13.71,5369604
2018-08-07,17.09,27996479
2018-08-08,15.85,8111589
2018-08-09,17.06,6195144
2018-08-10,17.06,3617823
2018-08-13,16.86,3627623
2018-08-14,17.41,3766708
2018-08-15,17.08,2584580
2018-08-16,17.93,3684888
2018-08-17,18.28,3307479
2018-08-20,18.42,2376498
2018-08-21,18.96,4444069
2018-08-22,18.72,3530856
2018-08-23,17.27,7058667
2018-08-24,17.06,3268021
2018-08-27,17.05,3584810
2018-08-28,17.16,4200989
2018-08-29,17.31,2233130
2018-08-30,15.57,6601743
2018-08-31,15.41,4216194
2018-09-04,15.56,4242751
2018-09-05,16.07,3464931
2018-09-06,15.73,2174814
2018-09-07,15.83,2831661
2018-09-10,16.4,2875888
2018-09-11,16.68,2818395
2018-09-12,17.36,3981343
2018-09-13,16.5,3880603
2018-09-14,16.39,2431025
2018-09-17,16.33,2207740
2018-09-18,16.63,1980758
2018-09-19,16.82,1699564
2018-09-20,16.14,4641094
2018-09-21,15.95,4064843
2018-09-24,15.19,3013608
2018-09-25,14.88,3317403
2018-09-26,14.75,2573442
2018-09-27,14.72,3849365
2018-09-28,14.29,3553499
2018-10-01,14.37,2340722
2018-10-02,14.47,2192375
2018-10-03,14.65,1692940
2018-10-04,14.18,2598414
2018-10-05,13.95,3006666
2018-10-08,14.41,1790734
2018-10-09,13.98,3156544
2018-10-10,13.21,3619488
2018-10-11,13.3,2808217
2018-10-12,13.72,2402533
2018-10-15,14.01,1819053
2018-10-16,14.43,3544196
2018-10-17,14.4,2103470
2018-10-18,13.19,4387511
2018-10-19,13.38,2501005
2018-10-22,13.28,2269468
2018-10-23,13.29,2253027
2018-10-24,11.43,6174421
2018-10-25,12.4,3702341
2018-10-26,11.8,4195327
2018-10-29,11.86,2757242
2018-10-30,12.23,2097927
2018-10-31,12.03,2582731
2018-11-01,12.71,2911930
2018-11-02,12.91,2592161
