date,close,volume
2018-04-25,14.32,4304
2018-04-26,14.45,2824
2018-04-27,14.63,427
2018-04-30,14.7,4256
2018-05-01,14.76,5435
2018-05-02,14.91,294
2018-05-03,14.38,196
2018-05-04,14.38,101
2018-05-07,14.4,1195
2018-05-08,14.3,428
2018-05-09,14.35,6076
2018-05-10,14.49,3009
2018-05-11,14.39,400
2018-05-14,14.39,11
2018-05-15,14.39,110
2018-05-16,14.8,6782
2018-05-17,14.55,305
2018-05-18,14.51,807
2018-05-21,14.51,163
2018-05-22,14.82,929
2018-05-23,14.53,2088
2018-05-24,14.53,0
2018-05-25,14.66,2273
2018-05-29,14.77,2445
2018-05-30,14.65,2761
2018-05-31,14.65,1019
2018-06-01,14.85,742
2018-06-04,14.86,5076
2018-06-05,14.86,159
2018-06-06,14.7,1444
2018-06-07,14.7,75
2018-06-08,14.97,1157
2018-06-11,14.8,2693
2018-06-12,14.66,2797
2018-06-13,14.8,2000
2018-06-14,14.8,562
2018-06-15,14.8,688
2018-06-18,14.86,1196
2018-06-19,14.61,1726
2018-06-20,14.97,3263
2018-06-21,14.69,1594
2018-06-22,14.55,4758
2018-06-25,14.77,179
2018-06-26,14.75,245
2018-06-27,14.75,38
2018-06-28,14.97,3996
2018-06-29,14.82,3131
2018-07-02,14.82,90
2018-07-03,14.82,202
2018-07-05,14.66,1271
2018-07-06,14.66,116
2018-07-09,14.96,2946
2018-07-10,14.96,175
2018-07-11,14.97,1587
2018-07-12,14.69,354
2018-07-13,14.99,1586
2018-07-16,14.95,1650
2018-07-17,14.85,1386
2018-07-18,14.95,3147
2018-07-19,14.72,310
2018-07-20,14.72,0
2018-07-23,17.5,10721
2018-07-24,15.8,6211
2018-07-25,15.4,2651
2018-07-26,15.4,104
2018-07-27,15.4,118
2018-07-30,15.4,98
2018-07-31,15.4,0
2018-08-01,15.34,1392
2018-08-02,15.15,2073
2018-08-03,15.15,125
2018-08-06,14.79,240
2018-08-07,14.79,0
2018-08-08,14.79,0
2018-08-09,14.88,620
2018-08-10,14.88,726
2018-08-13,14.9,102
2018-08-14,14.9,0
2018-08-15,15.3,2738
2018-08-16,15.45,8144
2018-08-17,15.33,1328
2018-08-20,15.33,0
2018-08-21,15.4,7228
2018-08-22,15.4,2614
2018-08-23,15.0,400
2018-08-24,15.0,5869
2018-08-27,14.91,5113
2018-08-28,15.39,1461
2018-08-29,15.87,2853
2018-08-30,15.87,11
2018-08-31,15.57,1160
2018-09-04,15.6,1600
2018-09-05,15.6,0
2018-09-06,15.81,677
2018-09-07,15.81,23
2018-09-10,15.81,22
2018-09-11,15.5,2921
2018-09-12,15.5,25
2018-09-13,15.5,24
2018-09-14,15.06,1696
2018-09-17,15.08,207
2018-09-18,15.02,1220
2018-09-19,15.45,11693
2018-09-20,15.45,1145
2018-09-21,15.5,1625
2018-09-24,15.45,420
2018-09-25,15.45,409
2018-09-26,15.06,411
2018-09-27,15.45,335
2018-09-28,15.35,2115
2018-10-01,15.25,2936
2018-10-02,15.25,0
2018-10-03,15.5,1203
2018-10-04,15.37,448
2018-10-05,15.49,217
2018-10-08,15.5,265
2018-10-09,15.65,597
2018-10-10,15.45,704
2018-10-11,15.48,2333
2018-10-12,15.31,2285
2018-10-15,15.31,22
2018-10-16,15.31,0
2018-10-17,15.31,416
2018-10-18,15.54,109
2018-10-19,15.54,0
2018-10-22,15.35,886
2018-10-23,15.15,4516
2018-10-24,15.15,247
2018-10-25,15.1,1387
2018-10-26,15.07,2026
2018-10-29,14.83,937
2018-10-30,15.18,4586
2018-10-31,15.18,184
2018-11-01,14.9,177
2018-11-02,14.9,54
2018-11-05,14.95,356
2018-11-06,14.95,887
2018-11-07,14.95,75
2018-11-08,14.95,0
2018-11-09,14.95,5
2018-11-12,14.86,343
2018-11-13,15.15,746
2018-11-14,15.15,1082
2018-11-15,15.02,2424
2018-11-16,14.96,8204
2018-11-19,14.96,788
2018-11-20,15.07,2199
2018-11-21,15.02,9136
2018-11-23,14.98,2003
2018-11-26,14.98,12
2018-11-27,14.96,2142
2018-11-28,14.96,12
2018-11-29,15.2,5755
2018-11-30,15.02,9474
2018-12-03,15.02,515
2018-12-04,15.03,710
2018-12-06,15.02,7898
2018-12-07,15.05,1643
2018-12-10,15.05,33
2018-12-11,15.05,898
2018-12-12,15.02,6017
2018-12-13,15.01,9472
2018-12-14,15.01,17207
2018-12-17,15.05,104
2018-12-18,15.01,10792
2018-12-19,14.93,24869
2018-12-20,14.95,6637
2018-12-21,14.83,660
2018-12-24,15.0,518
2018-12-26,15.0,36
2018-12-27,14.82,210
2018-12-28,15.03,108
2018-12-31,14.98,5512
2019-01-02,15.05,1424
2019-01-03,15.05,20
2019-01-04,15.05,1
2019-01-07,14.98,642
2019-01-08,14.97,12406
2019-01-09,14.97,1
2019-01-10,14.91,421
2019-01-11,15.03,1445
2019-01-14,15.05,2377
2019-01-15,15.15,350
2019-01-16,15.1,548
2019-01-17,15.01,221
2019-01-18,15.01,0
2019-01-22,15.01,62
2019-01-23,15.0,1407
2019-01-24,15.0,0
2019-01-25,15.0,12
2019-01-28,15.06,330
2019-01-29,15.09,7236
2019-01-30,15.09,0
2019-01-31,15.11,9585
2019-02-01,15.12,3387
2019-02-04,15.15,2007
2019-02-05,15.12,2986
2019-02-06,15.16,5305
2019-02-07,15.16,120
2019-02-08,15.16,52
2019-02-11,15.21,11589
2019-02-12,15.18,184
2019-02-13,15.24,210
2019-02-14,15.18,196
2019-02-15,15.18,1237
2019-02-19,15.35,6377
2019-02-20,15.5,6911
2019-02-21,15.63,20949
2019-02-22,15.63,9
2019-02-25,16.11,1338
2019-02-26,15.83,408
2019-02-27,15.95,628
2019-02-28,15.85,708
2019-03-01,15.85,0
2019-03-04,15.9,251
2019-03-05,16.12,6401
2019-03-06,16.31,5550
2019-03-07,16.75,2410
2019-03-08,16.3,522
2019-03-11,16.42,1451
2019-03-12,16.31,1883
2019-03-13,16.27,1037
2019-03-14,16.27,202
2019-03-15,16.27,1956
2019-03-18,16.27,476
2019-03-19,16.32,748
2019-03-20,16.27,10374
2019-03-21,16.15,5618
2019-03-22,14.97,7045
2019-03-25,15.75,561
2019-03-26,16.16,307
2019-03-27,16.3,767
2019-03-28,16.25,400
2019-03-29,16.12,416
2019-04-01,16.12,417
2019-04-02,16.0,411
2019-04-03,16.21,908
2019-04-04,16.06,1992
2019-04-05,16.06,300
2019-04-08,16.1,6350
2019-04-09,16.14,2429
2019-04-10,16.12,431
2019-04-11,16.2,702
2019-04-12,16.08,1297
2019-04-15,16.11,18667
2019-04-16,16.06,2589
2019-04-17,16.02,6282
2019-04-18,16.04,1100
2019-04-22,16.0,3102
2019-04-23,16.0,432
2019-04-24,16.04,3325
2019-04-25,16.0,503
2019-04-26,15.62,18030
2019-04-29,15.62,0
2019-04-30,15.62,0
2019-05-01,15.62,0
2019-05-02,15.7,526
2019-05-03,15.7,3
2019-05-06,15.7,4218
2019-05-07,15.7,122
2019-05-08,15.7,2192
2019-05-09,15.8,500
2019-05-10,16.0,3315
2019-05-13,15.76,1016
2019-05-14,16.0,4783
2019-05-15,15.72,1485
2019-05-16,15.72,3
2019-05-17,15.6,6414
2019-05-20,15.6,1
2019-05-21,15.6,5
2019-05-22,15.6,0
2019-05-23,15.6,5
2019-05-24,15.85,742
2019-05-28,15.85,0
2019-05-29,15.67,9558
2019-05-30,15.67,11
2019-05-31,15.67,37
2019-06-03,16.0,305
2019-06-04,15.76,3679
2019-06-05,15.52,1249
2019-06-06,15.52,24
2019-06-07,15.4,100
2019-06-10,15.92,291
2019-06-11,15.92,0
2019-06-12,15.92,2
2019-06-13,15.92,53
2019-06-14,15.92,41
2019-06-17,15.5,643
2019-06-18,15.35,2207
2019-06-19,15.76,101
2019-06-20,15.46,447
2019-06-21,15.27,647
2019-06-24,15.27,4
2019-06-25,15.15,503
2019-06-26,15.15,2
2019-06-27,15.08,896
2019-06-28,15.08,254
2019-07-01,15.08,13
2019-07-02,15.08,5
2019-07-03,14.9,433
2019-07-05,14.9,73
2019-07-08,14.54,1383
2019-07-09,14.45,1178
2019-07-10,14.4,1060
2019-07-11,14.4,2
2019-07-12,14.27,8463
2019-07-15,14.27,0
2019-07-16,14.27,1
2019-07-17,14.27,19
2019-07-18,14.38,6372
2019-07-19,14.42,3100
2019-07-22,14.42,93
2019-07-23,14.42,1
2019-07-24,14.42,0
2019-07-25,14.42,0
2019-07-26,14.45,574
2019-07-29,14.42,2000
2019-07-30,14.42,3404
2019-07-31,14.42,1792
2019-08-01,14.42,443
2019-08-02,14.75,4084
2019-08-05,14.37,13199
2019-08-06,14.35,5341
2019-08-07,14.32,4869
2019-08-08,14.25,649
2019-08-09,14.75,1194
2019-08-12,14.26,396
2019-08-13,14.26,35
2019-08-14,14.26,0
2019-08-15,14.26,4397
2019-08-16,14.25,3774
2019-08-19,14.49,1249
2019-08-20,14.49,34
2019-08-21,14.4,930
2019-08-22,14.27,4179
2019-08-23,14.27,750
2019-08-26,14.27,4284
2019-08-27,14.29,1425
2019-08-28,14.3,4983
2019-08-29,14.27,5614
2019-08-30,14.47,161
2019-09-03,14.47,0
2019-09-04,14.4,19986
2019-09-05,14.45,27061
2019-09-06,14.44,1069
2019-09-09,14.44,3
2019-09-10,14.44,0
2019-09-11,14.68,185
2019-09-12,14.56,3119
2019-09-13,14.8,2524
2019-09-16,14.66,1173
2019-09-17,14.77,905
2019-09-18,14.77,638
2019-09-19,14.66,817
2019-09-20,15.06,8221
2019-09-23,15.06,38
2019-09-24,15.06,18
2019-09-25,14.76,146
2019-09-26,14.76,8
2019-09-27,14.76,141
2019-09-30,14.76,2
2019-10-01,14.76,0
2019-10-02,14.86,880
2019-10-03,14.86,79
2019-10-04,14.86,199
2019-10-07,14.86,272
2019-10-08,14.87,118
2019-10-09,14.87,129
2019-10-10,14.87,401
2019-10-11,14.87,0
2019-10-14,14.87,0
2019-10-15,14.82,234
2019-10-16,14.87,1508
2019-10-17,14.86,1065
2019-10-18,14.83,1048
2019-10-21,14.82,3524
2019-10-22,14.82,3274
2019-10-23,14.77,100
2019-10-24,14.77,16587
2019-10-25,14.82,4672
2019-10-28,14.78,1547
2019-10-29,14.78,111
2019-10-30,14.78,237
2019-10-31,14.76,117
2019-11-01,14.76,0
2019-11-04,14.85,947
2019-11-05,14.85,101
2019-11-06,15.25,4387
2019-11-07,15.25,8
2019-11-08,15.2,3022
2019-11-11,15.4,946
2019-11-12,15.4,0
2019-11-13,15.4,1
2019-11-14,15.21,771
2019-11-15,15.2,301
2019-11-18,15.2,0
2019-11-19,15.64,1470
2019-11-20,15.18,1648
2019-11-21,15.18,0
2019-11-22,15.18,20
2019-11-25,15.18,0
2019-11-26,15.18,45
2019-11-27,15.18,67
2019-11-29,15.18,3
2019-12-02,15.15,8196
2019-12-03,15.01,14760
2019-12-04,14.96,374
2019-12-05,14.96,28
2019-12-06,14.96,156
2019-12-09,15.01,504
2019-12-10,15.13,1300
2019-12-11,15.13,707
2019-12-12,15.13,2
2019-12-13,15.13,3
2019-12-16,15.05,1634
2019-12-17,15.98,2755
2019-12-18,16.04,564
2019-12-19,16.04,307
2019-12-20,16.04,3789
2019-12-23,16.04,717
2019-12-24,16.04,90
2019-12-26,16.24,4817
2019-12-27,16.86,2265
2019-12-30,17.0,1200
2019-12-31,17.0,86
2020-01-02,17.0,329
2020-01-03,16.5,117
2020-01-06,16.28,4080
2020-01-07,17.0,4103
2020-01-08,16.97,1149
2020-01-09,17.04,950
2020-01-10,17.04,1
2020-01-13,17.22,1026
2020-01-14,17.25,1065
2020-01-15,17.25,193
2020-01-16,17.13,300
2020-01-17,17.13,0
2020-01-21,17.15,404
2020-01-22,17.15,623
2020-01-23,17.15,9
2020-01-24,17.18,738
2020-01-27,17.15,991
2020-01-28,17.15,0
2020-01-29,17.2,106
2020-01-30,17.2,136
2020-01-31,17.2,11
2020-02-03,17.15,131
2020-02-04,17.15,603
2020-02-05,17.15,1
2020-02-06,16.0,206
2020-02-07,16.0,8
2020-02-10,16.0,303
2020-02-11,16.0,0
2020-02-12,16.0,8
2020-02-13,16.0,0
2020-02-14,16.0,9
2020-02-18,16.0,1620
2020-02-19,16.0,0
2020-02-20,16.0,0
2020-02-21,15.5,2406
2020-02-24,15.5,500
2020-02-25,15.5,3
2020-02-26,15.5,0
2020-02-27,15.5,0
2020-02-28,15.0,1203
2020-03-02,14.85,1821
2020-03-03,14.98,630
2020-03-04,15.0,2601
2020-03-05,14.82,1506
2020-03-06,14.75,547
2020-03-09,13.57,5603
2020-03-10,14.45,2713
2020-03-11,12.9,23828
2020-03-12,10.84,1977
2020-03-13,11.72,3040
2020-03-16,10.55,7258
2020-03-17,10.26,9225
2020-03-18,10.8,5062
2020-03-19,10.59,3274
2020-03-20,10.72,2455
2020-03-23,10.17,1082
2020-03-24,10.95,2092
2020-03-25,10.85,1386
2020-03-26,12.05,5119
2020-03-27,12.05,180
2020-03-30,11.92,471
2020-03-31,11.92,1
2020-04-01,11.56,1312
2020-04-02,11.56,0
2020-04-03,9.91,1976
2020-04-06,10.03,3951
2020-04-07,10.58,1369
2020-04-08,11.11,6261
2020-04-09,12.09,1576
2020-04-13,11.75,1738
2020-04-14,11.75,170
2020-04-15,11.74,511
2020-04-16,11.71,1184
2020-04-17,11.59,13944
2020-04-20,11.22,904
2020-04-21,11.22,0
2020-04-22,11.21,1000
2020-04-23,11.21,0
2020-04-24,11.65,4405
2020-04-27,11.7,1215
2020-04-28,12.53,100
2020-04-29,12.3,2763
2020-04-30,12.5,972
2020-05-01,12.5,200
2020-05-04,12.5,1
2020-05-05,12.5,0
2020-05-06,12.5,10
2020-05-07,12.5,8
2020-05-08,12.75,1490
2020-05-11,12.2,797
2020-05-12,12.2,6
2020-05-13,12.22,206
2020-05-14,12.2,2308
2020-05-15,12.2,11
2020-05-18,12.2,282
2020-05-19,12.2,0
2020-05-20,12.75,2265
2020-05-21,12.23,218
2020-05-22,12.23,0
2020-05-26,12.23,5
2020-05-27,12.23,3
2020-05-28,12.31,113
2020-05-29,12.4,606
2020-06-01,12.41,353
2020-06-02,12.41,5
2020-06-03,11.88,821
2020-06-04,11.0,1194
2020-06-05,11.13,4811
2020-06-08,12.0,385
2020-06-09,12.27,427
2020-06-10,11.6,408
2020-06-11,11.35,1260
2020-06-12,11.25,694
2020-06-15,11.54,1301
2020-06-16,11.54,9
2020-06-17,11.96,180
2020-06-18,12.5,6230
2020-06-19,13.0,4154
2020-06-22,13.0,2531
