date,close,volume
2018-04-25,12.69,9361558
2018-04-26,12.65,13749334
2018-04-27,12.71,9018135
2018-04-30,12.62,13789370
2018-05-01,12.53,14791684
2018-05-02,12.53,15501640
2018-05-03,12.59,10794862
2018-05-04,12.62,10508343
2018-05-07,12.62,9227334
2018-05-08,12.62,16807708
2018-05-09,12.6,14238277
2018-05-10,12.67,12422965
2018-05-11,12.65,9546413
2018-05-14,12.61,13856600
2018-05-15,12.4,13761683
2018-05-16,12.39,10503337
2018-05-17,12.38,10460664
2018-05-18,12.4,9634923
2018-05-21,12.41,5716568
2018-05-22,12.4,7335520
2018-05-23,12.41,12169183
2018-05-24,12.51,13327285
2018-05-25,12.48,7926566
2018-05-29,12.48,35755608
2018-05-30,12.49,13494310
2018-05-31,12.46,31528226
2018-06-01,12.41,19540816
2018-06-04,12.39,31270029
2018-06-05,12.44,11826842
2018-06-06,12.44,22369437
2018-06-07,12.44,11128276
2018-06-08,12.46,8261382
2018-06-11,12.47,7045934
2018-06-12,12.43,11907765
2018-06-13,12.47,16518118
2018-06-14,12.5,11644096
2018-06-15,12.29,17652995
2018-06-18,12.26,9059356
2018-06-19,12.23,9847689
2018-06-20,12.18,8815788
2018-06-21,12.15,12426821
2018-06-22,12.18,7518261
2018-06-25,12.14,7582322
2018-06-26,12.07,10865302
2018-06-27,12.0,20240580
2018-06-28,11.97,13678078
2018-06-29,12.02,9863033
2018-07-02,11.9,18689265
2018-07-03,12.01,10912084
2018-07-05,12.05,8915670
2018-07-06,12.03,21285500
2018-07-09,12.06,11476354
2018-07-10,12.04,11686513
2018-07-11,11.9,11684053
2018-07-12,11.95,14392807
2018-07-13,11.9,12094319
2018-07-16,11.91,8067737
2018-07-17,11.77,10896950
2018-07-18,11.77,15713506
2018-07-19,11.73,14268114
2018-07-20,11.81,10151982
2018-07-23,11.75,11476230
2018-07-24,11.75,9018553
2018-07-25,11.82,9484682
2018-07-26,11.73,8783846
2018-07-27,11.73,9428563
2018-07-30,11.72,6679671
2018-07-31,11.74,12341460
2018-08-01,11.66,8918212
2018-08-02,11.59,8380613
2018-08-03,11.64,9184964
2018-08-06,11.58,11655744
2018-08-07,11.6,7362925
2018-08-08,11.63,10983310
2018-08-09,11.62,4886833
2018-08-10,11.61,13234596
2018-08-13,11.45,12086127
2018-08-14,11.46,10781537
2018-08-15,11.27,16354971
2018-08-16,11.26,10156905
2018-08-17,11.35,13261687
2018-08-20,11.41,11600294
2018-08-21,11.45,8994666
2018-08-22,11.47,8294699
2018-08-23,11.37,11841199
2018-08-24,11.56,11845221
2018-08-27,11.6,14830901
2018-08-28,11.52,15503912
2018-08-29,11.57,10723551
2018-08-30,11.51,13488252
2018-08-31,11.5,11660426
2018-09-04,11.45,26124450
2018-09-05,11.48,22358608
2018-09-06,11.51,14597693
2018-09-07,11.46,10301762
2018-09-10,11.46,10264732
2018-09-11,11.48,7258944
2018-09-12,11.56,14071511
2018-09-13,11.52,12152796
2018-09-14,11.46,14110128
2018-09-17,11.5,8580017
2018-09-18,11.49,14708833
2018-09-19,11.53,10057160
2018-09-20,11.57,10944136
2018-09-21,11.49,15990355
2018-09-24,11.49,7678409
2018-09-25,11.52,5403414
2018-09-26,11.45,13029718
2018-09-27,11.36,12828922
2018-09-28,11.43,7519768
2018-10-01,11.4,10132137
2018-10-02,11.53,10802753
2018-10-03,11.5,18799064
2018-10-04,11.49,12171307
2018-10-05,11.53,18957458
2018-10-08,11.39,15739387
2018-10-09,11.42,16617216
2018-10-10,11.44,15864196
2018-10-11,11.72,25867774
2018-10-12,11.68,13700840
2018-10-15,11.75,22069332
2018-10-16,11.75,15784607
2018-10-17,11.72,13917895
2018-10-18,11.75,12252403
2018-10-19,11.75,10145824
2018-10-22,11.72,8186533
2018-10-23,11.79,17618000
2018-10-24,11.81,16418305
2018-10-25,11.8,14823460
2018-10-26,11.82,22254449
2018-10-29,11.78,16422789
2018-10-30,11.73,12106681
2018-10-31,11.67,11382622
2018-11-01,11.82,21676384
2018-11-02,11.82,16343249
2018-11-05,11.8,10511668
2018-11-06,11.75,12635511
2018-11-07,11.75,9540834
2018-11-08,11.72,10528857
2018-11-09,11.6,16883407
2018-11-12,11.51,12728412
2018-11-13,11.51,13732937
2018-11-14,11.61,14508839
2018-11-15,11.62,12171295
2018-11-16,11.7,9450403
2018-11-19,11.73,9663993
2018-11-20,11.72,14954767
2018-11-21,11.75,8665141
2018-11-23,11.72,5498608
2018-11-26,11.72,8704849
2018-11-27,11.64,10267978
2018-11-28,11.7,15414571
2018-11-29,11.73,11939735
2018-11-30,11.71,10876580
2018-12-03,11.79,17400117
2018-12-04,11.87,13429653
2018-12-06,11.86,13165361
